Unnamed: 0,01_概要,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,新キャラ一覧,,,,,,,,,
,,,,,,,,,,
,キャラID,,,キャラ名,,獲得場所,レアリティ,獲得属性色,備考,
,chara_kim_00001,,,溢れる母性 花園 羽々里,,ピックアップガシャ,UR,青,,
,chara_kim_00101,,,花園 羽香里,,ピックアップガシャ,SSR,緑,,
,chara_kim_00201,,,院田 唐音,,ピックアップガシャ,SSR,赤,,
,chara_kim_00301,,,好本 静,,ピックアップガシャ,SSR,黄,,
,outpost_kim_enemy_0001,,,愛城 恋太郎,,,,無,ゲート専用キャラ、施策内は基本このゲートで,
,enemy_kim_00101,,,学生A（男）,,,,,敵専用,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,新アイテム一覧,,,,,,,,,
,,,,,,,,,,
,アイテムID,,,アイテム名,,ID管理シート,備考,,,記載したい物
,piece_kim_00001,,,溢れる母性 花園 羽々里のかけら,,GLOW_ID 管理,,,,キャラのかけら
,piece_kim_00101,,,花園 羽香里のかけら,,GLOW_ID 管理,,,,
,piece_kim_00201,,,院田 唐音のかけら,,GLOW_ID 管理,,,,
,piece_kim_00301,,,好本 静のかけら,,GLOW_ID 管理,,,,
,item_kim_00001,,,打ち消しの薬,,,,,,
,ticket_kim_00001,,,SSR彼女確定ガシャチケット,,,,,,
,,,,,,,,,,キャラ専用カラーメモリー
,,,,,,,,,,
,emblem_event_kim_00001,,,神様,,GLOW_ID 管理,,,,
,emblem_event_kim_00002,,,花園 羽々里の大好きな気持ち,,GLOW_ID 管理,,,,
,emblem_event_kim_00003,,,花園 羽香里の大好きな気持ち,,GLOW_ID 管理,,,,
,emblem_event_kim_00004,,,院田 唐音の大好きな気持ち,,GLOW_ID 管理,,,,
,emblem_event_kim_00005,,,好本 静の大好きな気持ち,,GLOW_ID 管理,,,,エンブレム
,emblem_adventbattle_kim_season01_00001,,,恋愛勇者(1位),,GLOW_ID 管理,,,,
,emblem_adventbattle_kim_season01_00002,,,恋愛勇者(2位),,GLOW_ID 管理,,,,
,emblem_adventbattle_kim_season01_00003,,,恋愛勇者(3位),,GLOW_ID 管理,,,,
,emblem_adventbattle_kim_season01_00004,,,恋愛勇者(4~50位),,GLOW_ID 管理,,,,
,emblem_adventbattle_kim_season01_00005,,,恋愛勇者(51~300位),,GLOW_ID 管理,,,,
,emblem_adventbattle_kim_season01_00006,,,"恋愛勇者(301～1,000位)",,GLOW_ID 管理,,,,
,artwork_event_kim_0001,,,キスゾンビ,,GLOW_ID 管理,,,,原画のかけら（完成）
,artwork_event_kim_0002,,,運命の出会い,,GLOW_ID 管理,,,,
,,,,,,,,,,
,,,,,,,,,,ガシャチケット
,,,,,,,,,,エネミー専用キャラ（新キャラ一覧へ）
