施策名称,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,@小澤,#REF!,,,,,
,,,,,@川口,#REF!,,,,,
,,,,クエストスケジュールデータ作成,@目黒,#REF!,,,,,
,,,,,,#REF!,,,,,
,,,,ミッションデータ作成,@嘉村,#REF!,,ログボテキスト管理,,,
,,,,,@加藤,#REF!,,,,,
,,,,ガチャデータ作成,@目黒,#REF!,,,,,
,,,,,@嘉村,#REF!,,,,,
,,,,サーバインフラ調整,,#REF!,,,,,
,,,,アプリ機能開発,,#REF!,,,,,
,,,,バナー画像作成,@正清,#REF!,,制作依頼一覧,,,
,,,,,@望月,#REF!,,,,,
,,,,,@鵜飼,#REF!,,,,,
,,,,UIデザイン作成,@前川,#REF!,,,,,
,,,,チュートリアルダイアログ作成,,#REF!,,,,,
,,,,オーラ・モーション作成,,#REF!,,,,,
,,,,告知スケジュール作成,,#REF!,,告知スケジュール,,,
,,,,お知らせ作成,@林,#REF!,,,,,
,,,,,@市橋,,,,,,
,,,,Push,@市橋,#REF!,,,,,
,,,,,@林,#REF!,,,,,
,,,,"Twitter,LINEOA",@林,#REF!,,,,,
,,,,マーケ関連（生放送含む）窓口,,#REF!,,,,,
,,,,生放送環境作成,,,,,,,
,,,,,🔺空いてるところ、わかる方で記載してください。,,,,,,
,■施作一覧,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,鬼滅のりたーんず関連をグレーアウトしております。,,,,,,▼2021年！曜日に注意！,,
,,,,施策,,施策コード,施策通し番号,,期間,,
,,,FIX状況,,,,,,開始,終了,
,,,#REF!,#REF!,,,,,,,
,,,#REF!,#REF!,,,,,,,
,,,#REF!,,,,1,,,,
,,,#REF!,,,,2,,,,
,,,#REF!,,,,3,,,,
,,,#REF!,,,,4,,,,
,,,#REF!,,,,5,,,,
,,,#REF!,,,,6,,,,
,,,#REF!,,,,7,,,,
,,,#REF!,,,,8,,,,
,,,#REF!,,,,9,,,,
,,,#REF!,,,,10,,,,
,,,#REF!,,,,11,,,,
,,,#REF!,,,,12,,,,
,,,#REF!,,,,13,,,,
,,,#REF!,,,,14,,,,
,,,#REF!,,,,15,,,,
,,,#REF!,,,,16,,,,
,,,#REF!,,,,17,,,,
,,,#REF!,,,,18,,,,
,,,#REF!,,,,19,,,,
,,,#REF!,,,,20,,,,
,,,#REF!,,,,21,,,,
,,,#REF!,,,,22,,,,
,,,#REF!,,,,23,,,,
,,,#REF!,,,,24,,,,
,,,#REF!,,,,25,,,,
,,,#REF!,,,,26,,,,
,,,#REF!,,,,27,,,,
,,,#REF!,,,,28,,,,
,,,#REF!,,,,29,,,,
,,,#REF!,,,,30,,,,
,,,#REF!,,,,31,,,,
,,,,,,,32,,,,
,,,,,,,33,,,,
,,,,,,,34,,,,
,,,,,,,35,,,,
,,,,,,,36,,,,
,,,,,,,37,,,,
,,,,,,,38,,,,
,,,,,,,39,,,,
,,,,,,,40,,,,
,,,,,,,41,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,↑ここに記載しないデネ！,,,,,,,
,■キャラ一覧,,,監修IDマスタ,←正式名称は監修IDマスタを見てね,,,,,,
,,,,,,,,,,,
,,,キャラID,キャラ名,,入手と種別,入手開始日,,,,
