,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,event_osh1_savage_00002,,,osh_0001,,,150000,,,202512020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,emblem,,emblem_event_osh_00001,,,エンブレム,,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,item,,none,,,いいジャンメダル【赤】,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,140秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,200秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,300秒,,,SlipDamage,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Item,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,3,,2コマ,,0.55,,0.4,,0.6,,none,,none,,osh_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,4,,2コマ,,0.55,,0.75,,0.25,,none,,none,,osh_00001,,,SlipDamage,,,,,800,,,,SlipDamage,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,1,,1コマ,,0.55,,1,,none,,none,,none,,osh_00001,,,SlipDamage,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,6,,2コマ,,0.55,,0.5,,0.5,,none,,none,,osh_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃感覚値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value
,,,1,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Boss,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,0.8,,ElapsedTime,,,,800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,1,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,1,0,None,0.8,ElapsedTime,800,None,,None,,,FALSE,,Boss,Normal,5,1.5,1,,0,,None,
,,,groupchange_1,,,,w1,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,1,,none,,1,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,FriendUnitDead,,,,1,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,groupchange_1,,FriendUnitDead,1,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,,0,,None,
,w1,,2,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,75,,5,,,,Fall4,,0.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,2,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,5,75,Fall4,0.8,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,,None,
,w1,,3,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,75,,75,,5,,,,Fall4,,1.3,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,3,,ElapsedTimeSinceSequenceGroupActivated,75,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,5,75,Fall4,1.3,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,,None,
,w1,,4,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,75,,5,,,,Fall4,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,4,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,5,75,Fall4,1.8,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,,None,
,w1,,5,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,75,,75,,5,,,,Fall4,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,5,,ElapsedTimeSinceSequenceGroupActivated,75,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,5,75,Fall4,2.5,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,,None,
,w1,,6,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,600,,700,,30,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,6,,ElapsedTimeSinceSequenceGroupActivated,600,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,30,700,None,,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,,None,
,w1,,7,,,,c_osh_00201_osh1savage02_Normal_Blue,,,,星野 ルビー,,,,Normal,,Blue,,Attack,,Boss,,Normal,,,,500000,,10,,300,,1,,68.5,,75,,104.53,,,,,,自身の攻撃を10秒間、50%Up,,,,,6,,150,,,,35,,0.22,,0,,0.23,,1,,3,,200,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,300,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,7,,ElapsedTimeSinceSequenceGroupActivated,300,SummonEnemy,c_osh_00201_osh1savage02_Normal_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Boss,Normal,10,1,1,,0,,None,
,w1,,8,,,,c_osh_00301_osh1savage02_Normal_Blue,,,,MEMちょ,,,,Normal,,Blue,,Support,,Boss,,Normal,,,,300000,,6,,300,,1,,56.5,,80,,109.89,,,,,,青属性の攻撃20秒間20%Up,,,,,5,,166.5,,,,30,,0.27,,0,,0.28,,1,,2,,200,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,700,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,8,,ElapsedTimeSinceSequenceGroupActivated,700,SummonEnemy,c_osh_00301_osh1savage02_Normal_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Boss,Normal,6,1,1,,0,,None,
,w1,,9,,,,c_osh_00401_osh1savage02_Normal_Blue,,,,有馬 かな,,,,Normal,,Blue,,Technical,,Default,,Normal,,,,500000,,10,,300,,1,,58.5,,60,,126.58,,,,,,中範囲に100%ダメージ + 5秒間のスタン効果付与,,,,,6,,123.5,,,,36,,0.24,,0,,0.25,,1,,2,,200,,,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1100,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,9,,ElapsedTimeSinceSequenceGroupActivated,1100,SummonEnemy,c_osh_00401_osh1savage02_Normal_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,10,1,1,,0,,None,
,w1,,10,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,7,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,10,,FriendUnitDead,7,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,,None,
,w1,,11,,,,c_osh_00001_osh1savage02_Boss_Blue,,,,B小町不動のセンター アイ,,,,Boss,,Blue,,Support,,Default,,Normal,,,,800000,,8,,300,,1,,80,,30,,136.36,,,,,,青属性の味方の体力10%回復,,,,,5,,162,,,,25,,0.35,,0,,0.36,,1,,2,,200,,,,,,,,,,FriendUnitDead,,,,7,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,11,,FriendUnitDead,7,SummonEnemy,c_osh_00001_osh1savage02_Boss_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,8,1,1,,0,,None,
,w1,,12,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,7,,75,,8,,1500,,Fall4,,1.3,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,12,,FriendUnitDead,7,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,8,75,Fall4,1.3,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,1500,None,
,w1,,13,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,7,,75,,6,,1500,,Fall4,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,13,,FriendUnitDead,7,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,6,75,Fall4,1.8,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,1500,None,
,w1,,14,,,,e_glo_00002_osh1savage02_Normal_Blue,,,,推し活ファントム,,,,Normal,,Blue,,Attack,,Default,,Normal,,,,50000,,5,,750,,1.5,,58.5,,65,,303.64,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,7,,75,,6,,1500,,Fall4,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,14,,FriendUnitDead,7,SummonEnemy,e_glo_00002_osh1savage02_Normal_Blue,,6,75,Fall4,2.5,None,,None,,None,,,FALSE,,Default,Normal,5,1.5,1,,0,1500,None,
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,1,,none,,1,,none,,none,,攻撃力に数値を入力,,,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,,0,,None,
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,1,,none,,1,,none,,none,,攻撃力に数値を入力,,,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,,0,,None,
