,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,event_osh1_savage_00003,,,osh_0001,,,180000,,,202512020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,750,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,item,,none,,,いいジャンメダル【赤】,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,item,,Coin,,,コイン,,,,,,,,5000,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,240秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,300秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,400秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Item,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,7,,3コマ,,0.55,,0.33,,0.34,,0.33,,none,,osh_00001,,,,,,,,,,,,SlipDamage,,,,,350,,,,SlipDamage,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,12,,4コマ,,0.55,,0.25,,0.25,,0.25,,0.25,,osh_00001,,,SlipDamage,,,,,350,,,,SlipDamage,,,,,350,,,,SlipDamage,,,,,350,,,,SlipDamage,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,11,,3コマ,,0.55,,0.4,,0.2,,0.4,,none,,osh_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃感覚値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value
,,,1,,,,e_glo_00002_osh1savage03a_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Defense,,Boss,,Normal,,,,1000000,,20,,500,,5,,58.5,,50,,230.41,,,,,,,,,,,-,,0,,,,32,,0.12,,0,,0.13,,1,,1,,100,,500,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,0.9,,ElapsedTime,,,,300,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,1,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03a_Normal_Green,,1,0,None,0.9,ElapsedTime,300,None,,None,,,FALSE,,Boss,Normal,20,5,1,500,0,,None,
,,,2,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.1,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,2,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.1,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,3,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.15,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,3,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.15,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,4,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.2,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,4,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.2,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,5,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.25,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,5,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.25,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,6,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.3,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,6,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.3,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,7,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.35,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,7,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.35,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,8,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.4,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,8,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.4,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,9,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.45,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,9,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.45,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,10,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.5,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,10,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.5,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,11,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.55,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,11,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.55,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,12,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.6,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,12,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.6,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,13,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.65,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,13,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.65,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,14,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.7,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,14,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.7,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,15,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.75,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,15,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.75,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
,,,16,,,,e_glo_00002_osh1savage03b_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,32000,,3.2,,2500,,5,,58.5,,65,,1012.15,,,,,,,,,,,-,,0,,,,35,,0.17,,0,,0.18,,1,,2,,100,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.8,,ElapsedTime,,,,1800,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,16,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1savage03b_Normal_Green,,1,0,None,1.8,ElapsedTime,1800,None,,None,,,FALSE,,Default,Normal,3.2,5,1,50,0,,None,
