作品_ID,作品名,接頭語（カテゴリー）,識別ID,アイテム_ID,assetKey,画像ファイルID,アイテム名,レアリティ,最大所持数,最大表示上限数,フレーバーテキスト,アイテム備考,start_date
dan,ダンダダン,piece,00201,piece_dan_00201,piece_dan_00201,item_icon_piece_dan_00201,アイラのかけら,SR,"999,999,999","999,999,999",アイラのグレードアップに使用するアイテム,,"¥45,952.625"
dan,ダンダダン,piece,00202,piece_dan_00202,piece_dan_00202,item_icon_piece_dan_00202,アクさらの愛 アイラ のかけら,UR,"999,999,999","999,999,999",アクさらの愛 アイラのグレードアップに使用するアイテム,,"¥45,952.625"
dan,ダンダダン,piece,00301,piece_dan_00301,piece_dan_00301,item_icon_piece_dan_00301,招き猫 ターボババアのかけら,SR,"999,999,999","999,999,999",招き猫 ターボババアのグレードアップに使用するアイテム,,"¥45,952.625"
,,,,,,,,,,,,,
gom,姫様“拷問”の時間です,piece,00001,piece_gom_00001,piece_gom_00001,item_icon_piece_gom_00001,囚われの王女 姫様のかけら,UR,"999,999,999","999,999,999",囚われの王女 姫様のグレードアップに使用するアイテム,,2024-01-01 00:00:00
gom,姫様“拷問”の時間です,piece,00101,piece_gom_00101,piece_gom_00101,item_icon_piece_gom_00101,トーチャー・トルチュールのかけら,SR,"999,999,999","999,999,999",トーチャー・トルチュールのグレードアップに使用するアイテム,,2024-01-01 00:00:00
gom,姫様“拷問”の時間です,piece,00201,piece_gom_00201,piece_gom_00201,item_icon_piece_gom_00201,クロルのかけら,R,"999,999,999","999,999,999",クロルのグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
chi,チェンソーマン,piece,00001,piece_chi_00001,piece_chi_00001,item_icon_piece_chi_00001,デンジのかけら,R,"999,999,999","999,999,999",デンジのグレードアップに使用するアイテム,,2024-01-01 00:00:00
chi,チェンソーマン,piece,00002,piece_chi_00002,piece_chi_00002,item_icon_piece_chi_00002,悪魔が恐れる悪魔 チェンソーマンのかけら,UR,"999,999,999","999,999,999",悪魔が恐れる悪魔 チェンソーマンのグレードアップに使用するアイテム,,2024-01-01 00:00:00
chi,チェンソーマン,piece,00201,piece_chi_00201,piece_chi_00201,item_icon_piece_chi_00201,早川 アキのかけら,SSR,"999,999,999","999,999,999",早川 アキのグレードアップに使用するアイテム,,2024-01-01 00:00:00
chi,チェンソーマン,piece,00301,piece_chi_00301,piece_chi_00301,item_icon_piece_chi_00301,パワーのかけら,SSR,"999,999,999","999,999,999",パワーのグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
bat,忘却バッテリー,piece,00001,piece_bat_00001,piece_bat_00001,item_icon_piece_bat_00001,清峰 葉流火のかけら,SR,"999,999,999","999,999,999",清峰 葉流火のグレードアップに使用するアイテム,,2024-01-01 00:00:00
bat,忘却バッテリー,piece,00101,piece_bat_00101,piece_bat_00101,item_icon_piece_bat_00101,要 圭のかけら,SR,"999,999,999","999,999,999",要 圭のグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
kai,怪獣８号,piece,00001,piece_kai_00001,piece_kai_00001,item_icon_piece_kai_00001,日比野 カフカのかけら,R,"999,999,999","999,999,999",日比野 カフカのグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00002,piece_kai_00002,piece_kai_00002,item_icon_piece_kai_00002,隠された英雄の姿 怪獣８号のかけら,UR,"999,999,999","999,999,999",隠された英雄の姿 怪獣８号のグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00101,piece_kai_00101,piece_kai_00101,item_icon_piece_kai_00101,市川 レノのかけら,SR,"999,999,999","999,999,999",市川 レノのグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00201,piece_kai_00201,piece_kai_00201,item_icon_piece_kai_00201,第三部隊隊長 亜白 ミナのかけら,UR,"999,999,999","999,999,999",第三部隊隊長 亜白 ミナのグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00301,piece_kai_00301,piece_kai_00301,item_icon_piece_kai_00301,四ノ宮 キコルのかけら,SSR,"999,999,999","999,999,999",四ノ宮 キコルのグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00401,piece_kai_00401,piece_kai_00401,item_icon_piece_kai_00401,保科 宗四郎のかけら,SSR,"999,999,999","999,999,999",保科 宗四郎のグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00501,piece_kai_00501,piece_kai_00501,item_icon_piece_kai_00501,四ノ宮 功のかけら,SR,"999,999,999","999,999,999",四ノ宮 功のグレードアップに使用するアイテム,,2024-01-01 00:00:00
kai,怪獣８号,piece,00601,piece_kai_00601,piece_kai_00601,item_icon_piece_kai_00601,古橋 伊春のかけら,SR,"999,999,999","999,999,999",古橋 伊春のグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
yuw,2.5次元の誘惑,piece,00001,piece_yuw_00001,piece_yuw_00001,item_icon_piece_yuw_00001,リリエルに捧ぐ愛 天乃 リリサのかけら,UR,"999,999,999","999,999,999",リリエルに捧ぐ愛 天乃 リリサのグレードアップに使用するアイテム,,2024-01-01 00:00:00
yuw,2.5次元の誘惑,piece,00101,piece_yuw_00101,piece_yuw_00101,item_icon_piece_yuw_00101,コスプレに託す乙女心 橘 美花莉のかけら,UR,"999,999,999","999,999,999",コスプレに託す乙女心 橘 美花莉のグレードアップに使用するアイテム,,2024-01-01 00:00:00
yuw,2.5次元の誘惑,piece,00102,piece_yuw_00102,piece_yuw_00102,item_icon_piece_yuw_00102,愛届ける聖夜のサンタ 橘 美花莉のかけら,UR,"999,999,999","999,999,999",愛届ける聖夜のサンタ 橘 美花莉のグレードアップに使用するアイテム,,2025-12-22 12:00:00
yuw,2.5次元の誘惑,piece,00201,piece_yuw_00201,piece_yuw_00201,item_icon_piece_yuw_00201,羽生まゆりのかけら,SSR,"999,999,999","999,999,999",羽生 まゆりのグレードアップに使用するアイテム,,2025-11-25 15:00:00
yuw,2.5次元の誘惑,piece,00301,piece_yuw_00301,piece_yuw_00301,item_icon_piece_yuw_00301,勇気を纏うコスプレ 乃愛のかけら,UR,"999,999,999","999,999,999",勇気を纏うコスプレ 乃愛のグレードアップに使用するアイテム,,2025-11-25 15:00:00
yuw,2.5次元の誘惑,piece,00401,piece_yuw_00401,piece_yuw_00401,item_icon_piece_yuw_00401,伝えたいウチの想い 喜咲 アリアのかけら,UR,"999,999,999","999,999,999",伝えたいウチの想い 喜咲 アリアのグレードアップに使用するアイテム,,2025-11-25 15:00:00
yuw,2.5次元の誘惑,piece,00501,piece_yuw_00501,piece_yuw_00501,item_icon_piece_yuw_00501,753♡のかけら,SR,"999,999,999","999,999,999",753♡のグレードアップに使用するアイテム,,2025-11-25 15:00:00
yuw,2.5次元の誘惑,piece,00601,piece_yuw_00601,piece_yuw_00601,item_icon_piece_yuw_00601,奥村 正宗のかけら,SR,"999,999,999","999,999,999",奥村 正宗のグレードアップに使用するアイテム,,2025-11-25 15:00:00
,,,,,,,,,,,,,
sur,魔都精兵のスレイブ,piece,00001,piece_sur_00001,piece_sur_00001,item_icon_piece_sur_00001,和倉 優希のかけら,R,"999,999,999","999,999,999",和倉 優希のグレードアップに使用するアイテム,,2024-01-01 00:00:00
sur,魔都精兵のスレイブ,piece,00101,piece_sur_00101,piece_sur_00101,item_icon_piece_sur_00101,誇り高き魔都の剣姫 羽前 京香のかけら,UR,"999,999,999","999,999,999",誇り高き魔都の剣姫 羽前 京香のグレードアップに使用するアイテム,,2024-01-01 00:00:00
sur,魔都精兵のスレイブ,piece,00201,piece_sur_00201,piece_sur_00201,item_icon_piece_sur_00201,東 日万凛のかけら,SR,"999,999,999","999,999,999",東 日万凛のグレードアップに使用するアイテム,,2024-01-01 00:00:00
sur,魔都精兵のスレイブ,piece,00301,piece_sur_00301,piece_sur_00301,item_icon_piece_sur_00301,駿河 朱々のかけら,SR,"999,999,999","999,999,999",駿河 朱々のグレードアップに使用するアイテム,,2024-01-01 00:00:00
sur,魔都精兵のスレイブ,piece,00401,piece_sur_00401,piece_sur_00401,item_icon_piece_sur_00401,大川村 寧のかけら,SR,"999,999,999","999,999,999",大川村 寧のグレードアップに使用するアイテム,,2024-01-01 00:00:00
sur,魔都精兵のスレイブ,piece,00501,piece_sur_00501,piece_sur_00501,item_icon_piece_sur_00501,空間を操る六番組組長 出雲 天花のかけら,UR,"999,999,999","999,999,999",空間を操る六番組組長 出雲 天花のグレードアップに使用するアイテム,,2025-12-08 12:00:00
sur,魔都精兵のスレイブ,piece,00601,piece_sur_00601,piece_sur_00601,item_icon_piece_sur_00601,東 八千穂のかけら,SSR,"999,999,999","999,999,999",東 八千穂のグレードアップに使用するアイテム,,2025-12-08 12:00:00
sur,魔都精兵のスレイブ,piece,00701,piece_sur_00701,piece_sur_00701,item_icon_piece_sur_00701,和倉 青羽のかけら,SR,"999,999,999","999,999,999",和倉 青羽のグレードアップに使用するアイテム,,2025-12-08 15:00:00
sur,魔都精兵のスレイブ,piece,00801,piece_sur_00801,piece_sur_00801,item_icon_piece_sur_00801,無窮の鎖 和倉 優希のかけら,SR,"999,999,999","999,999,999",無窮の鎖 和倉 優希のグレードアップに使用するアイテム,,2025-12-08 15:00:00
,,,,,,,,,,,,,
ron,鴨乃橋ロンの禁断推理,piece,00001,piece_ron_00001,piece_ron_00001,item_icon_piece_ron_00001,鴨乃橋 ロンのかけら,SSR,"999,999,999","999,999,999",鴨乃橋 ロンのグレードアップに使用するアイテム,,2024-01-01 00:00:00
ron,鴨乃橋ロンの禁断推理,piece,00101,piece_ron_00101,piece_ron_00101,item_icon_piece_ron_00101,一色 都々丸のかけら,R,"999,999,999","999,999,999",一色 都々丸のグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
aha,阿波連さんははかれない,piece,00001,piece_aha_00001,piece_aha_00001,item_icon_piece_aha_00001,ライドウのかけら,SR,"999,999,999","999,999,999",ライドウのグレードアップに使用するアイテム,,2024-01-01 00:00:00
aha,,,,,,,,,,,,,
,,,,,,,,,,,,,
tak,タコピーの原罪,piece,00001,piece_tak_00001,piece_tak_00001,item_icon_piece_tak_00001,ハッピー星からの使者 タコピーのかけら,UR,"999,999,999","999,999,999",ハッピー星からの使者 タコピーのグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
jig,地獄楽,piece,00001,piece_jig_00001,piece_jig_00001,item_icon_piece_jig_00001,がらんの画眉丸のかけら,UR,"999,999,999","999,999,999",がらんの画眉丸のグレードアップに使用するアイテム,,2024-01-01 00:00:00
jig,地獄楽,piece,00101,piece_jig_00101,piece_jig_00101,item_icon_piece_jig_00101,山田浅ェ門 佐切のかけら,SSR,"999,999,999","999,999,999",山田浅ェ門 佐切のグレードアップに使用するアイテム,,2024-01-01 00:00:00
jig,地獄楽,piece,00201,piece_jig_00201,piece_jig_00201,item_icon_piece_jig_00201,杠のかけら,SSR,"999,999,999","999,999,999",杠のグレードアップに使用するアイテム,,2024-01-01 00:00:00
jig,地獄楽,piece,00301,piece_jig_00301,piece_jig_00301,item_icon_piece_jig_00301,山田浅ェ門 仙汰のかけら,SR,"999,999,999","999,999,999",山田浅ェ門 仙汰のグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
mag,株式会社マジルミエ,piece,00001,piece_mag_00001,piece_mag_00001,item_icon_piece_mag_00001,新人魔法少女 桜木 カナのかけら,UR,"999,999,999","999,999,999",新人魔法少女 桜木 カナのグレードアップに使用するアイテム,,2024-01-01 00:00:00
mag,株式会社マジルミエ,piece,00101,piece_mag_00101,piece_mag_00101,item_icon_piece_mag_00101,越谷 仁美のかけら,SR,"999,999,999","999,999,999",越谷 仁美のグレードアップに使用するアイテム,,2024-01-01 00:00:00
mag,株式会社マジルミエ,piece,00201,piece_mag_00201,piece_mag_00201,item_icon_piece_mag_00201,絶対効率の体現者 土刃 メイのかけら,UR,"999,999,999","999,999,999",絶対効率の体現者 土刃 メイのグレードアップに使用するアイテム,,2025-11-06 15:00:00
mag,株式会社マジルミエ,piece,00301,piece_mag_00301,piece_mag_00301,item_icon_piece_mag_00301,葵 リリーのかけら,SSR,"999,999,999","999,999,999",葵 リリーのグレードアップに使用するアイテム,,2025-11-06 15:00:00
