ENABLE,id,release_key,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,achievement_202601010_26,202601010,SpecificQuestClear,quest_event_jig1_savage,1,__NULL__,,0,,achievement_202601010_26,26,QuestSelect
e,achievement_202601010_27,202601010,DefeatEnemyCount,,10,__NULL__,,0,,achievement_202601010_27,27,StageSelect
e,achievement_202601010_28,202601010,DefeatEnemyCount,,20,__NULL__,,0,,achievement_202601010_28,28,StageSelect
e,achievement_202601010_29,202601010,DefeatEnemyCount,,30,__NULL__,,0,,achievement_202601010_29,29,StageSelect
e,achievement_202601010_30,202601010,DefeatEnemyCount,,40,__NULL__,,0,,achievement_202601010_30,30,StageSelect
e,achievement_202601010_31,202601010,DefeatEnemyCount,,50,__NULL__,,0,,achievement_202601010_31,31,StageSelect
e,achievement_202601010_32,202601010,DefeatEnemyCount,,60,__NULL__,,0,,achievement_202601010_32,32,StageSelect
e,achievement_202601010_33,202601010,DefeatEnemyCount,,70,__NULL__,,0,,achievement_202601010_33,33,StageSelect
e,achievement_202601010_34,202601010,DefeatEnemyCount,,80,__NULL__,,0,,achievement_202601010_34,34,StageSelect
e,achievement_202601010_35,202601010,DefeatEnemyCount,,90,__NULL__,,0,,achievement_202601010_35,35,StageSelect
e,achievement_202601010_36,202601010,DefeatEnemyCount,,100,__NULL__,,0,,achievement_202601010_36,36,StageSelect
e,achievement_202601010_37,202601010,DefeatEnemyCount,,150,__NULL__,,0,,achievement_202601010_37,37,StageSelect
e,achievement_202601010_38,202601010,DefeatEnemyCount,,200,__NULL__,,0,,achievement_202601010_38,38,StageSelect
e,achievement_202601010_39,202601010,DefeatEnemyCount,,300,__NULL__,,0,,achievement_202601010_39,39,StageSelect
e,achievement_202601010_40,202601010,DefeatEnemyCount,,400,__NULL__,,0,,achievement_202601010_40,40,StageSelect
e,achievement_202601010_41,202601010,DefeatEnemyCount,,500,__NULL__,,0,,achievement_202601010_41,41,StageSelect
e,achievement_202601010_42,202601010,DefeatEnemyCount,,750,__NULL__,,0,,achievement_202601010_42,42,StageSelect
e,achievement_202601010_43,202601010,DefeatEnemyCount,,1000,__NULL__,,0,,achievement_202601010_43,43,StageSelect
