,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,event_you1_savage_00003,,,event_you_0001,,,200000,,,202602010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,emblem,,emblem_event_you_00001,,,エンブレム,,,,,,,,1,,100,,ブラック幼稚園園章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,Item,,Coin,,,コイン,,,,,,,,5000,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Item,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,240秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,300秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,400秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,4,,2コマ,,0.55,,0.75,,0.25,,none,,none,,you_00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,6,,2コマ,,0.55,,0.5,,0.5,,none,,none,,you_00003,,,Poison,,,,,4500,,5,,Poison,,,,,4500,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,7,,3コマ,,0.55,,0.33,,0.34,,0.33,,none,,you_00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,10,,3コマ,,0.55,,0.25,,0.25,,0.5,,none,,you_00003,,,Poison,,,,,3000,,5.5,,Poison,,,,,3000,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃感覚値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value
,,,1,,,,c_you_00001_you1_savage01_Boss_Red,,,,元殺し屋の新人教諭 リタ,,,,Boss,,Red,,Attack,,Boss,,Normal,,あり,,300000,,6,,800,,1.6,,67,,10,,519.48,,,,,,特殊効果なし,,,,,5,,88.5,,,,45,,0.2,,0,,0.22,,1,,2,,300,,,,,,,,,,InitialSummon,,,,1,,0,,1,,,,None,,1.65,,Damage,,,,1,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,1,,InitialSummon,1,SummonEnemy,c_you_00001_you1_savage01_Boss_Red,,1,0,None,1.65,Damage,1,None,,None,,,FALSE,,Boss,Normal,6,1.6,1,,0,,None,
,,,2,,,,c_you_00301_you1_savage01_Boss_Green,,,,ハナ,,,,Boss,,Green,,Technical,,Boss,,Normal,,あり,,250000,,5,,700,,1.4,,88.5,,20,,322.58,,,,,,範囲攻撃,,,,,8,,183.5,,,,35,,0.3,,0,,0.35,,1,,2,,300,,,,,,,,,,InitialSummon,,,,1,,0,,1,,,,None,,1.75,,Damage,,,,1,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,2,,InitialSummon,1,SummonEnemy,c_you_00301_you1_savage01_Boss_Green,,1,0,None,1.75,Damage,1,None,,None,,,FALSE,,Boss,Normal,5,1.4,1,,0,,None,
,,,3,,,,c_you_00001_you1_savage01_Boss_Red,,,,元殺し屋の新人教諭 リタ,,,,Boss,,Red,,Attack,,Boss,,Normal,,あり,,400000,,8,,850,,1.7,,67,,10,,551.95,,,,,,特殊効果なし,,,,,5,,88.5,,,,45,,0.2,,0,,0.22,,1,,2,,300,,,,,,,,,,FriendUnitDead,,,,1,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,TRUE,,None,,,,,,,,,,,,,,,3,,FriendUnitDead,1,SummonEnemy,c_you_00001_you1_savage01_Boss_Red,,1,0,None,,None,,None,,None,,,TRUE,,Boss,Normal,8,1.7,1.1,,0,,None,
,,,4,,,,c_you_00201_you1_savage01_Boss_Green,,,,ダグ,,,,Boss,,Green,,Attack,,Boss,,Normal,,あり,,500000,,10,,350,,0.7,,83.5,,20,,169.08,,,,,,特殊効果なし,,,,,6,,158.5,,,,32,,0.6,,0,,0.62,,1,,2,,300,,,,,,,,,,EnterTargetKomaIndex,,,,4,,0,,1,,,,Fall0,,1.55,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,4,,EnterTargetKomaIndex,4,SummonEnemy,c_you_00201_you1_savage01_Boss_Green,,1,0,Fall0,1.55,None,,None,,None,,,FALSE,,Boss,Normal,10,0.7,0.9,,0,,None,
,,,5,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Boss,,Normal,,あり,,40000,,4,,70,,0.7,,63.5,,70,,26.22,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,EnterTargetKomaIndex,,,,4,,0,,1,,,,Fall0,,1.35,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,5,,EnterTargetKomaIndex,4,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,1,0,Fall0,1.35,None,,None,,None,,,FALSE,,Boss,Normal,4,0.7,0.9,,0,,None,
,,,6,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,80000,,8,,600,,6,,63.5,,70,,224.72,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,EnterTargetKomaIndex,,,,4,,0,,1,,,,Fall0,,2.45,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,6,,EnterTargetKomaIndex,4,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,1,0,Fall0,2.45,None,,None,,None,,,FALSE,,Default,Normal,8,6,1,,0,,None,
,,,7,,,,e_you_00101_you1_savage01_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,40000,,4,,400,,4,,63.5,,70,,149.81,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,EnterTargetKomaIndex,,,,4,,0,,1,,,,Fall0,,2.55,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,7,,EnterTargetKomaIndex,4,SummonEnemy,e_you_00101_you1_savage01_Normal_Green,,1,0,Fall0,2.55,None,,None,,None,,,FALSE,,Default,Normal,4,4,1,,0,,None,
,,,8,,,,c_you_00001_you1_savage01_Boss_Red,,,,元殺し屋の新人教諭 リタ,,,,Boss,,Red,,Attack,,Boss,,Normal,,あり,,1300000,,26,,1000,,2,,67,,10,,649.35,,,,,,特殊効果なし,,,,,5,,88.5,,,,45,,0.2,,0,,0.22,,1,,2,,300,,,,,,,,,,OutpostDamage,,,,1,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,TRUE,,None,,,,,,,,,,,,,,,8,,OutpostDamage,1,SummonEnemy,c_you_00001_you1_savage01_Boss_Red,,1,0,None,,None,,None,,None,,,TRUE,,Boss,Normal,26,2,1,,0,,None,
,,,9,,,,c_you_00101_you1_savage01_Boss_Blue,,,,ルーク,,,,Boss,,Blue,,Technical,,Boss,,Normal,,あり,,1100000,,22,,900,,1.8,,82,,30,,401.79,,,,,,特殊効果なし,,,,,5,,178.5,,,,40,,0.26,,0,,0.27,,1,,3,,300,,,,,,,,,,OutpostDamage,,,,1,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,TRUE,,None,,,,,,,,,,,,,,,9,,OutpostDamage,1,SummonEnemy,c_you_00101_you1_savage01_Boss_Blue,,1,0,None,,None,,None,,None,,,TRUE,,Boss,Normal,22,1.8,1,,0,50,None,
,,,10,,,,e_you_00001_you1_savage01_02_Normal_Colorless,,,,不良系金髪イケメン,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,80000,,8,,240,,3,,63.5,,70,,89.89,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,300,,1000,,12,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,10,,ElapsedTime,300,SummonEnemy,e_you_00001_you1_savage01_02_Normal_Colorless,,12,1000,None,,None,,None,,None,,,FALSE,,Default,Normal,8,3,1,,0,,None,
,,,11,,,,e_you_00001_you1_savage01_02_Normal_Colorless,,,,不良系金髪イケメン,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,60000,,6,,480,,6,,63.5,,70,,179.78,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,800,,1400,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,11,,ElapsedTime,800,SummonEnemy,e_you_00001_you1_savage01_02_Normal_Colorless,,10,1400,None,,None,,None,,None,,,FALSE,,Default,Normal,6,6,1,,0,,None,
,,,12,,,,e_you_00101_you1_savage01_Normal_Colorless,,,,イケメンじゃない殺し屋,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,60000,,6,,700,,7,,63.5,,70,,262.17,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,900,,1500,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,12,,ElapsedTime,900,SummonEnemy,e_you_00101_you1_savage01_Normal_Colorless,,10,1500,None,,None,,None,,None,,,FALSE,,Default,Normal,6,7,1,,0,,None,
,,,13,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,80000,,8,,400,,4,,63.5,,70,,149.81,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,1,,1000,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,13,,FriendUnitDead,1,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,3,1000,None,,None,,None,,None,,,FALSE,,Default,Normal,8,4,1,,0,,None,
,,,14,,,,e_you_00101_you1_savage01_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,60000,,6,,600,,6,,63.5,,70,,224.72,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,1,,1100,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,14,,FriendUnitDead,1,SummonEnemy,e_you_00101_you1_savage01_Normal_Green,,3,1100,None,,None,,None,,None,,,FALSE,,Default,Normal,6,6,1,,0,,None,
,,,15,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,90000,,9,,500,,5,,63.5,,70,,187.27,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,3,,1500,,8,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,15,,FriendUnitDead,3,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,8,1500,None,,None,,None,,None,,,FALSE,,Default,Normal,9,5,1,,0,,None,
,,,16,,,,e_you_00101_you1_savage01_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,70000,,7,,700,,7,,63.5,,70,,262.17,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,3,,1600,,8,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,16,,FriendUnitDead,3,SummonEnemy,e_you_00101_you1_savage01_Normal_Green,,8,1600,None,,None,,None,,None,,,FALSE,,Default,Normal,7,7,1,,0,,None,
,,,17,,,,e_you_00001_you1_savage01_02_Normal_Colorless,,,,不良系金髪イケメン,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,80000,,8,,240,,3,,63.5,,70,,89.89,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,EnterTargetKomaIndex,,,,4,,0,,1,,,,Fall0,,2.75,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,17,,EnterTargetKomaIndex,4,SummonEnemy,e_you_00001_you1_savage01_02_Normal_Colorless,,1,0,Fall0,2.75,None,,None,,None,,,FALSE,,Default,Normal,8,3,1,,0,,None,
