,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,event_you1_savage_00001,,,event_you_0001,,,100000,,,202602010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,Item,,ticket_glo_00002,,,スペシャルガシャチケット,,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Item,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,140秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,200秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,300秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,8,,3コマ,,0.55,,0.5,,0.25,,0.25,,none,,you_00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,7,,3コマ,,0.55,,0.33,,0.34,,0.33,,none,,you_00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,5,,2コマ,,0.55,,0.25,,0.75,,none,,none,,you_00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃感覚値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value
,,,1,,,,c_you_00201_you1_savage01_Boss_Green,,,,ダグ,,,,Boss,,Green,,Attack,,Boss,,Normal,,あり,,190000,,3.8,,1050,,2.1,,83.5,,20,,507.25,,,,,,特殊効果なし,,,,,6,,158.5,,,,32,,0.6,,0,,0.62,,1,,2,,300,,,,,,,,,,InitialSummon,,,,1,,0,,1,,,,None,,1.45,,ElapsedTime,,,,1430,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,1,,InitialSummon,1,SummonEnemy,c_you_00201_you1_savage01_Boss_Green,,1,0,None,1.45,ElapsedTime,1430,None,,None,,,FALSE,,Boss,Normal,3.8,2.1,1,,0,,None,
,,,2,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,120000,,12,,500,,5,,63.5,,70,,187.27,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,1330,,0,,1,,,,Fall0,,1.3,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,2,,ElapsedTime,1330,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,1,0,Fall0,1.3,None,,None,,None,,,FALSE,,Default,Normal,12,5,1,,0,,None,
,,,3,,,,e_you_00101_you1_savage01_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,70000,,7,,800,,8,,63.5,,70,,299.63,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,1330,,0,,1,,,,Fall0,,1.35,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,3,,ElapsedTime,1330,SummonEnemy,e_you_00101_you1_savage01_Normal_Green,,1,0,Fall0,1.35,None,,None,,None,,,FALSE,,Default,Normal,7,8,1,,0,,None,
,,,4,,,,c_you_00301_you1_savage01_Boss_Blue,,,,ハナ,,,,Boss,,Blue,,Technical,,Boss,,Normal,,あり,,160000,,3.2,,900,,1.8,,88.5,,20,,414.75,,,,,,範囲攻撃,,,,,8,,183.5,,,,35,,0.3,,0,,0.35,,1,,2,,300,,,,,,,,,,FriendUnitDead,,,,1,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,4,,FriendUnitDead,1,SummonEnemy,c_you_00301_you1_savage01_Boss_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Boss,Normal,3.2,1.8,1,,0,,None,
,,,5,,,,e_you_00001_you1_savage01_Normal_Colorless,,,,不良系金髪イケメン,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,100000,,10,,400,,4,,63.5,,70,,149.81,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,1,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,5,,FriendUnitDead,1,SummonEnemy,e_you_00001_you1_savage01_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,10,4,1,,0,50,None,
,,,6,,,,e_you_00101_you1_savage01_Normal_Colorless,,,,イケメンじゃない殺し屋,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,50000,,5,,700,,7,,63.5,,70,,262.17,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,1,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,6,,FriendUnitDead,1,SummonEnemy,e_you_00101_you1_savage01_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,5,7,1,,0,50,None,
,,,7,,,,c_you_00301_you1_savage01_Boss_Blue,,,,ハナ,,,,Boss,,Blue,,Technical,,Boss,,Normal,,あり,,210000,,4.2,,1150,,2.3,,88.5,,20,,529.95,,,,,,範囲攻撃,,,,,8,,183.5,,,,35,,0.3,,0,,0.35,,1,,2,,300,,,,,,,,,,FriendUnitDead,,,,4,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,7,,FriendUnitDead,4,SummonEnemy,c_you_00301_you1_savage01_Boss_Blue,,1,0,None,,None,,None,,None,,,FALSE,,Boss,Normal,4.2,2.3,1,,0,,None,
,,,8,,,,c_you_00201_you1_savage01_Boss_Green,,,,ダグ,,,,Boss,,Green,,Attack,,Boss,,Normal,,あり,,235000,,4.7,,1200,,2.4,,83.5,,20,,579.71,,,,,,特殊効果なし,,,,,6,,158.5,,,,32,,0.6,,0,,0.62,,1,,2,,300,,,,,,,,,,FriendUnitDead,,,,4,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,8,,FriendUnitDead,4,SummonEnemy,c_you_00201_you1_savage01_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,Boss,Normal,4.7,2.4,1,,0,,None,
,,,9,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,120000,,12,,500,,5,,63.5,,70,,187.27,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,4,,1500,,3,,300,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,9,,FriendUnitDead,4,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,3,1500,None,,None,,None,,None,,,FALSE,,Default,Normal,12,5,1,,0,300,None,
,,,10,,,,e_you_00101_you1_savage01_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,60000,,6,,700,,7,,63.5,,70,,262.17,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,FriendUnitDead,,,,4,,1500,,3,,300,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,10,,FriendUnitDead,4,SummonEnemy,e_you_00101_you1_savage01_Normal_Green,,3,1500,None,,None,,None,,None,,,FALSE,,Default,Normal,6,7,1,,0,300,None,
,,,11,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,130000,,13,,700,,7,,63.5,,70,,262.17,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,100,,,,,,,,InitialSummon,,,,1,,0,,1,,,,None,,0.8,,Damage,,,,1,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,11,,InitialSummon,1,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,1,0,None,0.8,Damage,1,None,,None,,,FALSE,,Default,Normal,13,7,1,100,0,,None,
,,,12,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,140000,,14,,600,,6,,63.5,,70,,224.72,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,100,,,,,,,,InitialSummon,,,,1,,0,,1,,,,None,,2.1,,EnterTargetKoma,,,,5,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,12,,InitialSummon,1,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,1,0,None,2.1,EnterTargetKoma,5,None,,None,,,FALSE,,Default,Normal,14,6,1,100,0,,None,
,,,13,,,,e_you_00101_you1_savage01_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,130000,,13,,700,,7,,63.5,,70,,262.17,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,100,,,,,,,,InitialSummon,,,,1,,0,,1,,,,None,,2.2,,EnterTargetKoma,,,,5,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,13,,InitialSummon,1,SummonEnemy,e_you_00101_you1_savage01_Normal_Green,,1,0,None,2.2,EnterTargetKoma,5,None,,None,,,FALSE,,Default,Normal,13,7,1,100,0,,None,
,,,14,,,,e_you_00001_you1_savage01_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Attack,,Default,,Normal,,なし,,90000,,9,,600,,6,,63.5,,70,,224.72,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,1000,,1200,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,14,,ElapsedTime,1000,SummonEnemy,e_you_00001_you1_savage01_Normal_Green,,10,1200,None,,None,,None,,None,,,FALSE,,Default,Normal,9,6,1,,0,,None,
,,,15,,,,e_you_00101_you1_savage01_Normal_Colorless,,,,イケメンじゃない殺し屋,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,25000,,2.5,,500,,5,,63.5,,70,,187.27,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,1100,,1400,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,15,,ElapsedTime,1100,SummonEnemy,e_you_00101_you1_savage01_Normal_Colorless,,10,1400,None,,None,,None,,None,,,FALSE,,Default,Normal,2.5,5,1,,0,,None,
,,,16,,,,e_you_00001_you1_savage01_Normal_Colorless,,,,不良系金髪イケメン,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,65000,,6.5,,500,,5,,63.5,,70,,187.27,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,100,,,,,,,,ElapsedTime,,,,7850,,600,,5,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,16,,ElapsedTime,7850,SummonEnemy,e_you_00001_you1_savage01_Normal_Colorless,,5,600,None,,None,,None,,None,,,FALSE,,Default,Normal,6.5,5,1,100,0,,None,
,,,17,,,,e_you_00101_you1_savage01_Normal_Colorless,,,,イケメンじゃない殺し屋,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,40000,,4,,600,,6,,63.5,,70,,224.72,,,,,,,,,,,-,,none,,,,30,,0.6,,0,,0.62,,1,,2,,100,,100,,,,,,,,ElapsedTime,,,,8000,,1000,,5,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,17,,ElapsedTime,8000,SummonEnemy,e_you_00101_you1_savage01_Normal_Colorless,,5,1000,None,,None,,None,,None,,,FALSE,,Default,Normal,4,6,1,100,0,,None,
,,,18,,,,e_you_00001_you1_savage01_Normal_Colorless,,,,不良系金髪イケメン,,,,Normal,,Colorless,,Attack,,Default,,Normal,,なし,,60000,,6,,500,,5,,63.5,,70,,187.27,,,,,,,,,,,-,,none,,,,37,,0.2,,0,,0.22,,1,,2,,100,,,,,,,,,,ElapsedTime,,,,300,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,18,,ElapsedTime,300,SummonEnemy,e_you_00001_you1_savage01_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,6,5,1.3,,0,,None,
