memo
TABLE,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward
ENABLE,id,release_key,mst_dungeon_block_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order
e,dungeon_jig_block_boss_00001_reward_00002,999999999,dungeon_jig_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_kai_block_normal_00001_reward_00001,999999999,dungeon_kai_block_normal_00001,Block,Coin,,300,,1
e,dungeon_kai_block_normal_00001_reward_00002,999999999,dungeon_kai_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_kai_block_boss_00001_reward_00001,999999999,dungeon_kai_block_boss_00001,Block,Coin,,500,,1
e,dungeon_kai_block_boss_00001_reward_00002,999999999,dungeon_kai_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_kim_block_normal_00001_reward_00001,999999999,dungeon_kim_block_normal_00001,Block,Coin,,300,,1
e,dungeon_kim_block_normal_00001_reward_00002,999999999,dungeon_kim_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_kim_block_boss_00001_reward_00001,999999999,dungeon_kim_block_boss_00001,Block,Coin,,500,,1
e,dungeon_kim_block_boss_00001_reward_00002,999999999,dungeon_kim_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_mag_block_normal_00001_reward_00001,999999999,dungeon_mag_block_normal_00001,Block,Coin,,300,,1
e,dungeon_mag_block_normal_00001_reward_00002,999999999,dungeon_mag_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_mag_block_boss_00001_reward_00001,999999999,dungeon_mag_block_boss_00001,Block,Coin,,500,,1
e,dungeon_mag_block_boss_00001_reward_00002,999999999,dungeon_mag_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_osh_block_normal_00001_reward_00001,999999999,dungeon_osh_block_normal_00001,Block,Coin,,300,,1
e,dungeon_osh_block_normal_00001_reward_00002,999999999,dungeon_osh_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_osh_block_boss_00001_reward_00001,999999999,dungeon_osh_block_boss_00001,Block,Coin,,500,,1
e,dungeon_osh_block_boss_00001_reward_00002,999999999,dungeon_osh_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_spy_block_normal_00001_reward_00001,999999999,dungeon_spy_block_normal_00001,Block,Coin,,300,,1
e,dungeon_spy_block_normal_00001_reward_00002,999999999,dungeon_spy_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_spy_block_boss_00001_reward_00001,999999999,dungeon_spy_block_boss_00001,Block,Coin,,500,,1
e,dungeon_spy_block_boss_00001_reward_00002,999999999,dungeon_spy_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_sum_block_normal_00001_reward_00001,999999999,dungeon_sum_block_normal_00001,Block,Coin,,300,,1
e,dungeon_sum_block_normal_00001_reward_00002,999999999,dungeon_sum_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_sum_block_boss_00001_reward_00001,999999999,dungeon_sum_block_boss_00001,Block,Coin,,500,,1
e,dungeon_sum_block_boss_00001_reward_00002,999999999,dungeon_sum_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_sur_block_normal_00001_reward_00001,999999999,dungeon_sur_block_normal_00001,Block,Coin,,300,,1
e,dungeon_sur_block_normal_00001_reward_00002,999999999,dungeon_sur_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_sur_block_boss_00001_reward_00001,999999999,dungeon_sur_block_boss_00001,Block,Coin,,500,,1
e,dungeon_sur_block_boss_00001_reward_00002,999999999,dungeon_sur_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_tak_block_normal_00001_reward_00001,999999999,dungeon_tak_block_normal_00001,Block,Coin,,300,,1
e,dungeon_tak_block_normal_00001_reward_00002,999999999,dungeon_tak_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_tak_block_boss_00001_reward_00001,999999999,dungeon_tak_block_boss_00001,Block,Coin,,500,,1
e,dungeon_tak_block_boss_00001_reward_00002,999999999,dungeon_tak_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_you_block_normal_00001_reward_00001,999999999,dungeon_you_block_normal_00001,Block,Coin,,300,,1
e,dungeon_you_block_normal_00001_reward_00002,999999999,dungeon_you_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_you_block_boss_00001_reward_00001,999999999,dungeon_you_block_boss_00001,Block,Coin,,500,,1
e,dungeon_you_block_boss_00001_reward_00002,999999999,dungeon_you_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_yuw_block_normal_00001_reward_00001,999999999,dungeon_yuw_block_normal_00001,Block,Coin,,300,,1
e,dungeon_yuw_block_normal_00001_reward_00002,999999999,dungeon_yuw_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_yuw_block_boss_00001_reward_00001,999999999,dungeon_yuw_block_boss_00001,Block,Coin,,500,,1
e,dungeon_yuw_block_boss_00001_reward_00002,999999999,dungeon_yuw_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_glo_block_rare_00001_reward_00001,999999999,dungeon_glo_block_rare_00001,Block,Coin,,800,,1
e,dungeon_glo_block_rare_00001_reward_00002,999999999,dungeon_glo_block_rare_00001,Block,FreeDiamond,,20,,2
e,dungeon_glo_block_rare_00001_reward_00003,999999999,dungeon_glo_block_rare_00001,RandomBlock,Coin,,1000,60,3
