,カラーメモリー・グレー,100,プリズムで購入,10個,1回,,ピックアップガシャチケット,1,広告視聴,1回,1回
,カラーメモリー・レッド,100,プリズムで購入,10個,1回,,ランクマッチチケット,1,プリズムで購入,30個,5回
,カラーメモリー・グリーン,100,プリズムで購入,10個,1回,,メモリーフラグメント・初級,5,プリズムで購入,25個,6回
,カラーメモリー・ブルー,100,プリズムで購入,10個,1回,,メモリーフラグメント・中級,5,プリズムで購入,35個,2回
,カラーメモリー・イエロー,100,プリズムで購入,10個,1回,,メモリーフラグメント・上級,1,プリズムで購入,15個,1回
,ランクマッチチケット,1,プリズムで購入,30個,1回,,,,,,
,,,,,,,毎週2体はLv.上限40開放できるぐらいの塩梅,,,,
,,,,,,,コインでアイテム交換できるようにするとただでさえ足りない設計なので、コインを使うのはやめました,,,,
,◆コイン,設計書,,,,,,,,,
,■販売期間,2025/09/22 12:00,〜,無期限,,,,,,,
,アイテム名,個数,対価,必要リソース数,1日の上限数,,,,,,
,コイン,3000,無料,1,1,,,,,,
,,3000,広告視聴,1,2,,,,,,
,,,,,,,,,,,
,恒常パックラインナップ_一覧,,,,,,,,,,
,"・割引率の上限：通常販売のものは「55%まで」、購入制限があるものは「80%まで」が割引上限（セール上限）となります。
※上記以上の割引率での提供を行いたい場合はBNEプロデューサーへご相談ください。",,,,,,,,,,
,◆【お一人様1回まで購入可】お得強化パック,,,,,,,,,,
,,,,,,,,,,,
,■ID,monthly_item_pack_3,,,,,,,,,
,■store_product_id,52,,,,,,,,,
,■Biling ID（ios）,BNEI0434_0050,,,,,,,,,
,■Biling ID（aos）,com.bandainamcoent.jumble_0050,,,1体Lv.70まで強化可能なメモリーフラグメントをラインナップにしてます。,,,,,,
,■商品種別,パック,,,,,,,,,
,■合計価格(税込),"¥1,040",,,,,,,,,
,■税別価格,¥936,,,,,,,,,
,■割引価格(税込)=販売価格,¥980,■割引率,5.77%,,,,,,,
,■税別割引価格,¥882,,,,,,,,,
,■購入可能回数,1,毎月、月初めに販売,,,,,,,,
,■販売期間(有効期間),2026/02/02 15:00:00,〜,2026/2/28 23:59:59,,,,,,,
,■リリースキー,202601010,,,,,,,,,
,,,,,,,,,,,
,名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
,メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00,,
,メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00,,
,メモリーフラグメント・上級,有償販売,(無期限),3,3,0,¥30.00,¥90,¥0.00,,
,,,,,,合計,,"¥1,040",¥0.00,,
,,,,,,割引後価格,,¥980,▼無償報酬の割合,,
,,,,,,割引,,5.77%,0.00%,,
,,,,,,,,,,,
,,,,,,,,,,,
,◆【毎日更新】強化パック,,,,,,,,,,
,,,,,,,,,,,
,■ID,,,,パック画面のへの誘導先として。広告視聴で購入可能。,,,,,,
,■合計価格(税込),¥0,,,→広告見せるか無料ボタンタップのみで購入できるようにするかは御社内でご意見いただけますと幸いです。,,,,,,
,■税別価格,¥0,,,"→（BNEより）1回目は無料,2回目は広告視聴で返答済み",,,,,,
,■割引価格(税込)=販売価格,¥0,■割引率,#DIV/0!,,,,,,,
,■税別割引価格,¥0,,,,,,,,,
,■購入可能回数,2,"⇦毎日リセット。(1回目は無料,2回目は広告視聴)",,,,,,,,
,■販売期間,2025/09/22 12:00,〜,無期限,,,,,,,
,,,,,,,,,,,
,名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
,カラーメモリー・グレー,無償販売,(無期限),10,0,10,¥0.27,¥0,¥2.70,,
,カラーメモリー・レッド,無償販売,(無期限),10,0,10,¥0.27,¥0,¥2.70,,
,カラーメモリー・グリーン,無償販売,(無期限),10,0,10,¥0.27,¥0,¥2.70,,
,カラーメモリー・ブルー,無償販売,(無期限),10,0,10,¥0.27,¥0,¥2.70,,
,カラーメモリー・イエロー,無償販売,(無期限),10,0,10,¥0.27,¥0,¥2.70,,
,コイン,無償販売,(無期限),1000,0,1000,¥0.01,¥0,¥10.00,,
,,,,,,合計,,¥0,¥23.50,,
,,,,,,割引後価格,,¥0,▼無償報酬の割合,,
,,,,,,割引,,,#DIV/0!,,
