memo,,,,,,,,,,,,,
TABLE,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttackI18n,MstAttackI18n
e,202509010,chara_jig_00201_Special_00001,chara_jig_00201,1,Special,,,128,83,0,,敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を3秒間、最大体力の1%ダメージの毒状態にする,
e,202509010,chara_jig_00201_Special_00002,chara_jig_00201,2,Special,,,128,83,0,,敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を3秒間、最大体力の1%ダメージの毒状態にする,ステータスUP
e,202509010,chara_jig_00201_Special_00003,chara_jig_00201,3,Special,,,128,83,0,,敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を6秒間、最大体力の1%ダメージの毒状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00201_Special_00004,chara_jig_00201,4,Special,,,128,83,0,,敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を6秒間、最大体力の1%ダメージの毒状態にする,ステータスUP
e,202509010,chara_jig_00201_Special_00005,chara_jig_00201,5,Special,,,128,83,0,,敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を9秒間、最大体力の1%ダメージの毒状態にする,ステータスUP + 必殺ワザ性能UP
,,chara_jig_00201_Special_00006,chara_jig_00201,6,Special,,,128,83,0,,,
,,chara_jig_00201_Special_00007,chara_jig_00201,7,Special,,,128,83,0,,,
,,chara_jig_00201_Special_00008,chara_jig_00201,8,Special,,,128,83,0,,,
,,chara_jig_00201_Special_00009,chara_jig_00201,9,Special,,,128,83,0,,,
,,chara_jig_00201_Special_00010,chara_jig_00201,10,Special,,,128,83,0,,,
e,202509010,chara_jig_00301_Normal_00000,chara_jig_00301,0,Normal,,,90,25,95,,表示場所なし,
e,202509010,chara_jig_00301_Special_00001,chara_jig_00301,1,Special,,,117,0,0,,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大140%ダメージ),
e,202509010,chara_jig_00301_Special_00002,chara_jig_00301,2,Special,,,117,0,0,,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大156%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00301_Special_00003,chara_jig_00301,3,Special,,,117,0,0,,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大167%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00301_Special_00004,chara_jig_00301,4,Special,,,117,0,0,,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大175%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00301_Special_00005,chara_jig_00301,5,Special,,,117,0,0,,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大180%ダメージ),ステータスUP + 必殺ワザ性能UP
,,chara_jig_00301_Special_00006,chara_jig_00301,6,Special,,,108,0,0,,,
,,chara_jig_00301_Special_00007,chara_jig_00301,7,Special,,,108,0,0,,,
,,chara_jig_00301_Special_00008,chara_jig_00301,8,Special,,,108,0,0,,,
,,chara_jig_00301_Special_00009,chara_jig_00301,9,Special,,,108,0,0,,,
,,chara_jig_00301_Special_00010,chara_jig_00301,10,Special,,,108,0,0,,,
e,202509010,chara_sur_00001_Normal_00000,chara_sur_00001,0,Normal,,,59,15,75,,表示場所なし,
e,202509010,chara_sur_00001_Special_00001,chara_sur_00001,1,Special,,,140,100,0,,自身と同じコマにいる緑属性の味方と自身の攻撃を3秒間、20%UP,
e,202509010,chara_sur_00001_Special_00002,chara_sur_00001,2,Special,,,140,100,0,,自身と同じコマにいる緑属性の味方と自身の攻撃を3.5秒間、22%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_sur_00001_Special_00003,chara_sur_00001,3,Special,,,140,100,0,,自身と同じコマにいる緑属性の味方と自身の攻撃を3.7秒間、23%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_sur_00001_Special_00004,chara_sur_00001,4,Special,,,140,100,0,,自身と同じコマにいる緑属性の味方と自身の攻撃を3.9秒間、23%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_sur_00001_Special_00005,chara_sur_00001,5,Special,,,140,100,0,,自身と同じコマにいる緑属性の味方と自身の攻撃を3.9秒間、24%UP,ステータスUP + 必殺ワザ性能UP
,,chara_sur_00001_Special_00006,chara_sur_00001,6,Special,,,140,100,0,,,
,,chara_sur_00001_Special_00007,chara_sur_00001,7,Special,,,140,100,0,,,
,,chara_sur_00001_Special_00008,chara_sur_00001,8,Special,,,140,100,0,,,
,,chara_sur_00001_Special_00009,chara_sur_00001,9,Special,,,140,100,0,,,
,,chara_sur_00001_Special_00010,chara_sur_00001,10,Special,,,140,100,0,,,
e,202509010,chara_kai_00101_Normal_00000,chara_kai_00101,0,Normal,,,70,46,130,,表示場所なし,
e,202509010,chara_kai_00101_Special_00001,chara_kai_00101,1,Special,,,159,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大140%ダメージ) + 1回目の攻撃がヒットした場合、敵を1秒間、氷結状態にする,
e,202509010,chara_kai_00101_Special_00002,chara_kai_00101,2,Special,,,159,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大156%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.1秒間、氷結状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00101_Special_00003,chara_kai_00101,3,Special,,,159,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大167%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.1秒間、氷結状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00101_Special_00004,chara_kai_00101,4,Special,,,159,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大175%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.2秒間、氷結状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00101_Special_00005,chara_kai_00101,5,Special,,,159,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大180%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.3秒間、氷結状態にする,ステータスUP + 必殺ワザ性能UP
,,chara_kai_00101_Special_00006,chara_kai_00101,6,Special,,,159,0,0,,,
,,chara_kai_00101_Special_00007,chara_kai_00101,7,Special,,,159,0,0,,,
,,chara_kai_00101_Special_00008,chara_kai_00101,8,Special,,,159,0,0,,,
,,chara_kai_00101_Special_00009,chara_kai_00101,9,Special,,,159,0,0,,,
,,chara_kai_00101_Special_00010,chara_kai_00101,10,Special,,,159,0,0,,,
e,202509010,chara_kai_00301_Normal_00000,chara_kai_00301,0,Normal,,,102,35,95,,表示場所なし,
e,202509010,chara_kai_00301_Special_00001,chara_kai_00301,1,Special,,,167,54,0,,敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする,
e,202509010,chara_kai_00301_Special_00002,chara_kai_00301,2,Special,,,167,54,0,,敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする,ステータスUP
e,202509010,chara_kai_00301_Special_00003,chara_kai_00301,3,Special,,,167,54,0,,敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする,ステータスUP
e,202509010,chara_kai_00301_Special_00004,chara_kai_00301,4,Special,,,167,54,0,,敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1.1秒間、スタン状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00301_Special_00005,chara_kai_00301,5,Special,,,167,54,0,,敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1.2秒間、スタン状態にする,ステータスUP + 必殺ワザ性能UP
,,chara_kai_00301_Special_00006,chara_kai_00301,6,Special,,,167,54,0,,,
,,chara_kai_00301_Special_00007,chara_kai_00301,7,Special,,,167,54,0,,,
,,chara_kai_00301_Special_00008,chara_kai_00301,8,Special,,,167,54,0,,,
,,chara_kai_00301_Special_00009,chara_kai_00301,9,Special,,,167,54,0,,,
,,chara_kai_00301_Special_00010,chara_kai_00301,10,Special,,,167,54,0,,,
e,202509010,chara_kai_00001_Normal_00000,chara_kai_00001,0,Normal,,,92,50,50,,表示場所なし,
e,202509010,chara_kai_00001_Special_00001,chara_kai_00001,1,Special,,,117,67,0,,自身の攻撃を3秒間、20%UP,
e,202509010,chara_kai_00001_Special_00002,chara_kai_00001,2,Special,,,117,67,0,,自身の攻撃を3.5秒間、22%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00001_Special_00003,chara_kai_00001,3,Special,,,117,67,0,,自身の攻撃を3.7秒間、23%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00001_Special_00004,chara_kai_00001,4,Special,,,117,67,0,,自身の攻撃を3.9秒間、23%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00001_Special_00005,chara_kai_00001,5,Special,,,117,67,0,,自身の攻撃を3.9秒間、24%UP,ステータスUP + 必殺ワザ性能UP
,,chara_kai_00001_Special_00006,chara_kai_00001,6,Special,,,117,67,0,,,
,,chara_kai_00001_Special_00007,chara_kai_00001,7,Special,,,117,67,0,,,
,,chara_kai_00001_Special_00008,chara_kai_00001,8,Special,,,117,67,0,,,
,,chara_kai_00001_Special_00009,chara_kai_00001,9,Special,,,117,67,0,,,
,,chara_kai_00001_Special_00010,chara_kai_00001,10,Special,,,117,67,0,,,
e,202509010,chara_kai_00002_Normal_00000,chara_kai_00002,0,Normal,,,75,27,55,,表示場所なし,
e,202509010,chara_kai_00002_Special_00001,chara_kai_00002,1,Special,,,120,0,0,,敵複数体に最大6回の連続攻撃(自身の攻撃ステータスの最大128%ダメージ) + 6回目の攻撃がヒットした場合、敵を小ノックバック,
e,202509010,chara_kai_00002_Special_00002,chara_kai_00002,2,Special,,,120,0,0,,敵複数体に最大6回の連続攻撃(自身の攻撃ステータスの最大144%ダメージ) + 6回目の攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00002_Special_00003,chara_kai_00002,3,Special,,,120,0,0,,敵複数体に最大6回の連続攻撃(自身の攻撃ステータスの最大155%ダメージ) + 6回目の攻撃がヒットした場合、敵を中ノックバック,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00002_Special_00004,chara_kai_00002,4,Special,,,120,0,0,,敵複数体に最大6回の連続攻撃(自身の攻撃ステータスの最大163%ダメージ) + 6回目の攻撃がヒットした場合、敵を中ノックバック,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_kai_00002_Special_00005,chara_kai_00002,5,Special,,,120,0,0,,敵複数体に最大6回の連続攻撃(自身の攻撃ステータスの最大169%ダメージ) + 6回目の攻撃がヒットした場合、敵を中ノックバック,ステータスUP + 必殺ワザ性能UP
,,chara_kai_00002_Special_00006,chara_kai_00002,6,Special,,,120,0,0,,,
,,chara_kai_00002_Special_00007,chara_kai_00002,7,Special,,,120,0,0,,,
,,chara_kai_00002_Special_00008,chara_kai_00002,8,Special,,,120,0,0,,,
,,chara_kai_00002_Special_00009,chara_kai_00002,9,Special,,,120,0,0,,,
,,chara_kai_00002_Special_00010,chara_kai_00002,10,Special,,,120,0,0,,,
e,202509010,chara_dos_00001_Normal_00000,chara_dos_00001,0,Normal,,,59,30,140,,表示場所なし,
e,202509010,chara_dos_00001_Special_00001,chara_dos_00001,1,Special,,,130,70,0,,自身と同じコマと一つ先までのコマにいる青属性の味方と自身の攻撃を9秒間、5%UP,
e,202509010,chara_dos_00001_Special_00002,chara_dos_00001,2,Special,,,130,70,0,,自身と同じコマと一つ先までのコマにいる青属性の味方と自身の攻撃を9.9秒間、7%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dos_00001_Special_00003,chara_dos_00001,3,Special,,,130,70,0,,自身と同じコマと一つ先までのコマにいる青属性の味方と自身の攻撃を10.4秒間、8%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dos_00001_Special_00004,chara_dos_00001,4,Special,,,130,70,0,,自身と同じコマと一つ先までのコマにいる青属性の味方と自身の攻撃を10.8秒間、9%UP,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dos_00001_Special_00005,chara_dos_00001,5,Special,,,130,70,0,,自身と同じコマと一つ先までのコマにいる青属性の味方と自身の攻撃を11秒間、10%UP,ステータスUP + 必殺ワザ性能UP
,,chara_dos_00001_Special_00006,chara_dos_00001,6,Special,,,130,70,0,,,
,,chara_dos_00001_Special_00007,chara_dos_00001,7,Special,,,130,70,0,,,
,,chara_dos_00001_Special_00008,chara_dos_00001,8,Special,,,130,70,0,,,
,,chara_dos_00001_Special_00009,chara_dos_00001,9,Special,,,130,70,0,,,
,,chara_dos_00001_Special_00010,chara_dos_00001,10,Special,,,130,70,0,,,
e,202509010,chara_chi_00001_Normal_00000,chara_chi_00001,0,Normal,,,70,27,50,,表示場所なし,
e,202509010,chara_chi_00001_Special_00001,chara_chi_00001,1,Special,Yellow,105,169,79,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が黄属性の場合は105%のダメージ),
e,202509010,chara_chi_00001_Special_00002,chara_chi_00001,2,Special,Yellow,116,169,79,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が黄属性の場合は116%のダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_chi_00001_Special_00003,chara_chi_00001,3,Special,Yellow,124,169,79,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が黄属性の場合は124%のダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_chi_00001_Special_00004,chara_chi_00001,4,Special,Yellow,130,169,79,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が黄属性の場合は130%のダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_chi_00001_Special_00005,chara_chi_00001,5,Special,Yellow,135,169,79,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が黄属性の場合は135%のダメージ),ステータスUP + 必殺ワザ性能UP
,,chara_chi_00001_Special_00006,chara_chi_00001,6,Special,Yellow,170,169,79,0,,,
,,chara_chi_00001_Special_00007,chara_chi_00001,7,Special,Yellow,170,169,79,0,,,
,,chara_chi_00001_Special_00008,chara_chi_00001,8,Special,Yellow,170,169,79,0,,,
,,chara_chi_00001_Special_00009,chara_chi_00001,9,Special,Yellow,170,169,79,0,,,
,,chara_chi_00001_Special_00010,chara_chi_00001,10,Special,Yellow,170,169,79,0,,,
