Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,作成者,確認者,承認状況,Unnamed: 8
chara_sur_00201,#REF!,SR,32760,0.035,,,,
chara_sur_00301,#REF!,SR,32760,0.035,,,,
chara_aha_00001,#REF!,SR,32760,0.035,,,,
chara_jig_00301,#REF!,SR,32760,0.035,,,,
chara_mag_00101,#REF!,SR,32760,0.035,,,,
chara_sum_00201,#REF!,SR,32760,0.035,,,,
chara_aka_00001,#REF!,R,54080,0.05777,0.52,,,
chara_aka_00101,#REF!,R,54080,0.05777,,,,
chara_rik_00001,#REF!,R,54080,0.05777,,,,
chara_ron_00101,#REF!,R,54080,0.05777,,,,
chara_dan_00001,#REF!,R,54080,0.05777,,,,
chara_chi_00001,#REF!,R,54080,0.05777,,,,
chara_kai_00001,#REF!,R,54080,0.05777,,,,
chara_sur_00001,#REF!,R,54080,0.05777,,,,
chara_sum_00001,#REF!,R,54080,0.05777,,,,
,,,,0.99983,1,,,
,,,,,,,,
SR確定枠確率ラインナップ,,,,,,,,
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
ピックアップUR,0.0075,1,175500,175500,,,,
UR,0.0225,12,526500,43875,,,,
ピックアップSSR,0.015,1,351000,351000,,,,
SSR,0.085,9,1989000,221000,,,,
SR,0.87,10,20358000,2035800,,,,
,,,,,,,,
合計,1,33,23400000,,,,,
,,33,,,,,,
,,,,,,,,
キャラID,キャラ名,"レアリティ/
ピックアップ",waight,確率（項目単体単位）,確率（レアリティ単位）,,,
chara_sur_00101,#REF!,ピックアップUR,175500,0.0075,0.0075,,,
chara_spy_00101,#REF!,UR,43875,0.00187,0.0225,,,
chara_spy_00201,#REF!,UR,43875,0.00187,,,,
chara_spy_00001,#REF!,UR,43875,0.00187,,,,
chara_dan_00002,#REF!,UR,43875,0.00187,,,,
chara_gom_00001,#REF!,UR,43875,0.00187,,,,
chara_chi_00002,#REF!,UR,43875,0.00187,,,,
chara_kai_00002,#REF!,UR,43875,0.00187,,,,
chara_yuw_00001,#REF!,UR,43875,0.00187,,,,
chara_yuw_00101,#REF!,UR,43875,0.00187,,,,
chara_jig_00001,#REF!,UR,43875,0.00187,,,,
chara_mag_00001,#REF!,UR,43875,0.00187,,,,
chara_sum_00101,#REF!,UR,43875,0.00187,,,,
chara_sur_00601,#REF!,ピックアップSSR,351000,0.015,0.015,,,
chara_dan_00101,#REF!,SSR,221000,0.00944,0.085,,,
chara_chi_00201,#REF!,SSR,221000,0.00944,,,,
chara_chi_00301,#REF!,SSR,221000,0.00944,,,,
chara_kai_00301,#REF!,SSR,221000,0.00944,,,,
chara_ron_00001,#REF!,SSR,221000,0.00944,,,,
chara_aha_00101,#REF!,SSR,221000,0.00944,,,,
chara_jig_00101,#REF!,SSR,221000,0.00944,,,,
chara_dos_00001,#REF!,SSR,221000,0.00944,,,,
chara_dos_00101,#REF!,SSR,221000,0.00944,,,,
chara_gom_00101,#REF!,SR,2035800,0.087,0.87,,,
chara_bat_00001,#REF!,SR,2035800,0.087,,,,
chara_bat_00101,#REF!,SR,2035800,0.087,,,,
chara_kai_00101,#REF!,SR,2035800,0.087,,,,
chara_sur_00201,#REF!,SR,2035800,0.087,,,,
chara_sur_00301,#REF!,SR,2035800,0.087,,,,
chara_aha_00001,#REF!,SR,2035800,0.087,,,,
chara_jig_00301,#REF!,SR,2035800,0.087,,,,
chara_mag_00101,#REF!,SR,2035800,0.087,,,,
chara_sum_00201,#REF!,SR,2035800,0.087,,,,
,,,,0.9999,1,,,
