Unnamed: 0,04_交換所,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,主要,花園 羽香里の大好きな気持ち,1,1,打ち消しの薬,10000,2026-02-16 15:00:00,2026-02-16 15:00:00,350,350,1260,-2.6,10000,1,,,,,,,,
,主要,院田 唐音の大好きな気持ち,1,1,打ち消しの薬,10000,2026-02-16 15:00:00,2026-03-16 10:59:00,350,350,1260,-2.6,10000,1,,,,,,,,
,主要,好本 静の大好きな気持ち,1,1,打ち消しの薬,10000,2026-02-16 15:00:00,2026-03-16 10:59:00,350,350,1260,-2.6,10000,1,,,,,,,,
,準主要,スペシャルガシャチケット,1,3,打ち消しの薬,7500,2026-02-16 15:00:00,2026-03-16 10:59:00,300,900,945,-2.15,22500,3,,,,,,,,
,準主要,ピックアップガシャチケット,1,3,打ち消しの薬,7500,2026-02-16 15:00:00,2026-03-16 10:59:00,300,900,945,-2.15,22500,3,,,,,,,,
,周回,メモリーフラグメント・初級,1,100,打ち消しの薬,1000,2026-02-16 15:00:00,2026-03-16 10:59:00,10,1000,126,-11.6,100000,100,,,,,,,,
,周回,メモリーフラグメント・中級,1,50,打ち消しの薬,2500,2026-02-16 15:00:00,2026-03-16 10:59:00,15,750,315,-20,125000,50,,,,,,,,
,周回,メモリーフラグメント・上級,1,10,打ち消しの薬,5000,2026-02-16 15:00:00,2026-03-16 10:59:00,30,300,630,-20,50000,10,,,,,,,,
,周回,カラーメモリー・グレー,50,10,打ち消しの薬,500,2026-02-16 15:00:00,2026-03-16 10:59:00,13.5,135,63,-3.6667,5000,500,,,,,,,,
,周回,カラーメモリー・レッド,50,10,打ち消しの薬,500,2026-02-16 15:00:00,2026-03-16 10:59:00,13.5,135,63,-3.6667,5000,500,,,,,,,,
,周回,カラーメモリー・ブルー,50,10,打ち消しの薬,500,2026-02-16 15:00:00,2026-03-16 10:59:00,13.5,135,63,-3.6667,5000,500,,,,,,,,
,周回,カラーメモリー・イエロー,50,10,打ち消しの薬,500,2026-02-16 15:00:00,2026-03-16 10:59:00,13.5,135,63,-3.6667,5000,500,,,,,,,,
,周回,カラーメモリー・グリーン,50,10,打ち消しの薬,500,2026-02-16 15:00:00,2026-03-16 10:59:00,13.5,135,63,-3.6667,5000,500,,,,,,,,
,周回,コイン,100,1000,打ち消しの薬,300,2026-02-16 15:00:00,2026-03-16 10:59:00,1,-,37.8,-36.8,300000,100000,,,,,,,,
,制限なし,,,,,,,,,-,0,,0,0,,,,,,,,
,制限なし,以上。　ここより上に行を挿入すると表示や数式を崩さずに編集できます,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"◼︎スタミナ所持上限値が200のユーザーが毎日広告視聴10回フル回復でどこまで取り切れるか
現状、全て取り切るのに2-3日でいける（10回広告視聴か300プリズムで10回スタミナ全回復して）
1スタミナ回復に6分かかる

ステージクリアで確定で60個、ランダムドロップの期待値で140個で200個が獲得できるぐらい

↑どのステージを回るかはユーザーのスタミナ上限次第ですが、多くのユーザーが回るであろう箇所で仮定し、平均試算",,,,,,,,,,,,,,,,,,
,,,,,報酬取り切り日数,,,,,,,,,,,,,,,,,
,,,,1日の消費スタミナ,主要,準主要,周回（報酬全て取り切り）,,,,,,,,,,,,,,,
,,,,200,2.35日,7.65日,24.69日,,,,,,,,,,,,,,,
,,,,400,1.18日,3.82日,12.34日,,,,,,,,,,,,,,,
,,,,600,0.78日,2.55日,8.23日,,,,,,,,,,,,,,,
,,,,800,0.59日,1.91日,6.17日,,,,,,,,,,,,,,,
,,,,1000,0.47日,1.53日,4.94日,,,,,,,,,,,,,,,
,,,,1200,0.39日,1.27日,4.11日,,,,,,,,,,,,,,,
,,,,1400,0.34日,1.09日,3.53日,,,,,,,,,,,,,,,
,,,,1600,0.29日,0.96日,3.09日,,,,,,,,,,,,,,,
,,,,1800,0.26日,0.85日,2.74日,,,,,,,,,,,,,,,
,,,,2000,0.24日,0.76日,2.47日,,,,,,,,,,,,,,,
,,,200 +（200回復×10回）→,2200,0.21日,0.70日,2.24日,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,◆メダル交換所設計の簡易確認表,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▼ステージ設計,,,,,,,,▼交換所設計,,▼報酬取り切りに必要な周回数,,,,,,,,,,,
,項目,ステージ1,ステージ2,ステージ3,,,,,報酬区分,取り切り必要メダル数,ステージ1,ステージ2,ステージ3,,,,,,,,,
,消費スタミナ,5,7,10,,,,,主要,81000,389.4,222.5,135,,,,,,,,,
,メダル期待値,208,364,600,,,,,準主要,194000,932.7,533,323.3,,,,,,,,,
,,,,,,,,,周回,450000,2163.5,1236.3,750,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▼メダル獲得量早見表,,,,,,,,,,,,,,,,,,,,,
,ユーザーレベル,最大スタミナ,最大スタミナ状態でクリアできる回数（少数切り捨て）,,,最大スタミナ消費時のメダル獲得数（期待値）,,,「主要」報酬の取り切りまでにスタミナを使い切る回数,,,「主要＋準主要」報酬の取り切りまでにスタミナを使い切る回数,,,「全ての交換所報酬」の取り切りまでにスタミナを使い切る回数,,,,,,,
,,,ステージ1,ステージ2,ステージ3,ステージ1,ステージ2,ステージ3,ステージ1,ステージ2,ステージ3,ステージ1,ステージ2,ステージ3,ステージ1,ステージ2,ステージ3,,,,,
,10,63,12,9,6,2496,3276,3600,32.45,24.73,22.5,110.18,83.94,76.39,290.46,221.31,201.39,,,,,
,20,78,15,11,7,3120,4004,4200,25.96,20.23,19.29,88.14,68.68,65.48,232.37,181.07,172.62,,,,,
,30,94,18,13,9,3744,4732,5400,21.63,17.12,15,73.45,58.11,50.93,193.64,153.21,134.26,,,,,
,40,111,22,15,11,4576,5460,6600,17.7,14.84,12.27,60.1,50.37,41.67,158.44,132.78,109.85,,,,,
,50,127,25,18,12,5200,6552,7200,15.58,12.36,11.25,52.88,41.97,38.19,139.42,110.65,100.69,,,,,
,60,144,28,20,14,5824,7280,8400,13.91,11.13,9.64,47.22,37.77,32.74,124.48,99.59,86.31,,,,,
,70,161,32,23,16,6656,8372,9600,12.17,9.68,8.44,41.32,32.85,28.65,108.92,86.6,75.52,,,,,
,80,178,35,25,17,7280,9100,10200,11.13,8.9,7.94,37.77,30.22,26.96,99.59,79.67,71.08,,,,,
,90,195,39,27,19,8112,9828,11400,9.99,8.24,7.11,33.9,27.98,24.12,89.37,73.77,63.6,,,,,
,100,212,42,30,21,8736,10920,12600,9.27,7.42,6.43,31.48,25.18,21.83,82.99,66.39,57.54,,,,,
,110,230,46,32,23,9568,11648,13800,8.47,6.95,5.87,28.74,23.61,19.93,75.77,62.24,52.54,,,,,
,120,247,49,35,24,10192,12740,14400,7.95,6.36,5.63,26.98,21.59,19.1,71.13,56.91,50.35,,,,,
,130,264,52,37,26,10816,13468,15600,7.49,6.01,5.19,25.43,20.42,17.63,67.03,53.83,46.47,,,,,
