asset_key,series,name_ja,role_pattern,stage_param_count,ingame_count
chara_osh_00301,osh,MEMちょ,Normal + Boss,7,6
chara_osh_00401,osh,有馬 かな,Normal + Boss,7,7
chara_osh_00601,osh,ぴえヨン,Normal + Boss,2,3
chara_rik_00001,rik,リコピン,Normal + Boss,9,10
chara_rik_00101,rik,甘戸 めめ,Normal + Boss,4,5
chara_spy_00101,spy,<黄昏> ロイド,Normal + Boss,12,21
chara_spy_00201,spy,<いばら姫> ヨル,Normal + Boss,10,18
chara_spy_00401,spy,フランキー・フランクリン,Normal + Boss,10,18
enemy_spy_00001,spy,密輸組織の残党,Normal + Boss,10,32
enemy_spy_00101,spy,グエン,Normal + Boss,13,26
chara_sum_00101,sum,影のウシオ 小舟 潮,Normal + Boss,5,7
chara_sum_00201,sum,小舟 澪,Normal + Boss,11,9
enemy_sum_00001,sum,影,Normal + Boss,11,7
enemy_sum_00101,sum,小舟 澪の影 (拳銃),Normal + Boss,4,5
enemy_sum_00201,sum,小舟 澪の影 (包丁),Normal + Boss,4,5
chara_sur_00101,sur,誇り高き魔都の剣姫 羽前 京香,Normal + Boss,12,16
chara_sur_00201,sur,東 日万凛,Normal + Boss,9,11
chara_sur_00301,sur,駿河 朱々,Normal + Boss,8,9
chara_sur_00501,sur,空間を操る六番組組長 出雲 天花,Normal + Boss,10,10
chara_sur_00601,sur,東 八千穂,Normal + Boss,3,2
chara_sur_00801,sur,無窮の鎖 和倉 優希,Normal + Boss,5,11
chara_sur_00901,sur,万物を統べる総組長 山城 恋,Normal + Boss,5,5
enemy_sur_00001,sur,和倉 青羽,Normal + Boss,9,8
enemy_sur_00101,sur,醜鬼,Normal + Boss,20,41
chara_tak_00001,tak,ハッピー星からの使者 タコピー,Normal + Boss,4,12
chara_you_00001,you,元殺し屋の新人教諭 リタ,Normal + Boss,7,11
chara_you_00201,you,ダグ,Normal + Boss,7,12
chara_you_00301,you,ハナ,Normal + Boss,8,9
enemy_you_00001,you,不良系金髪イケメン,Normal + Boss,7,14
enemy_you_00101,you,イケメンじゃない殺し屋,Normal + Boss,6,15
chara_yuw_00001,yuw,リリエルに捧ぐ愛 天乃 リリサ,Normal + Boss,10,11
chara_yuw_00101,yuw,コスプレに託す乙女心 橘 美花莉,Normal + Boss,7,6
chara_yuw_00201,yuw,羽生 まゆり,Normal + Boss,4,7
chara_yuw_00301,yuw,勇気を纏うコスプレ 乃愛,Normal + Boss,5,7
chara_yuw_00401,yuw,伝えたいウチの想い 喜咲 アリア,Normal + Boss,5,6
chara_yuw_00601,yuw,奥村 正宗,Normal + Boss,7,7
enemy_kai_00001,kai,怪獣 本獣,Normal + Boss + AdventBattleBoss,16,12
enemy_kai_00301,kai,蜘蛛の怪獣,Normal + Boss + AdventBattleBoss,15,7
enemy_kai_00401,kai,怪獣１０号,Normal + Boss + AdventBattleBoss,6,5
chara_chi_00301,chi,パワー,Normal のみ,4,5
enemy_chi_00101,chi,ゾンビ,Normal のみ,8,8
enemy_gom_00402,gom,たこ焼き,Normal のみ,6,11
enemy_gom_00501,gom,バタートースト,Normal のみ,5,7
enemy_gom_00502,gom,割きトースト,Normal のみ,4,6
enemy_gom_00801,gom,ライス,Normal のみ,6,11
enemy_gom_00901,gom,ライス (海苔),Normal のみ,5,10
enemy_jig_00401,jig,極楽蝶,Normal のみ,9,26
enemy_jig_00402,jig,極楽蝶,Normal のみ,4,18
chara_kai_00101,kai,市川 レノ,Normal のみ,5,5
enemy_mag_00101,mag,つらら,Normal のみ,18,12
enemy_mag_00301,mag,建造物寄生型の怪異,Normal のみ,11,27
chara_sum_00001,sum,網代 慎平,Normal のみ,5,6
chara_sur_00001,sur,和倉 優希,Normal のみ,4,7
chara_bat_00001,bat,清峰 葉流火,未使用,0,0
chara_bat_00101,bat,要 圭,未使用,0,0
enemy_spy_00201,spy,鎖窯使いのバーナビー,未使用,0,0
enemy_spy_00301,spy,毒霧使い,未使用,0,0
chara_sur_00701,sur,和倉 青羽,未使用,0,0
