mst_enemy_character_id,stage_param_id,character_unit_kind,role_type,hp,attack_power,content_type,sequence_set_id
chara_chi_00301,c_chi_00301_general_as_Normal_Blue,Normal,Attack,200000,500,mainquest,normal_glo3_00002
chara_chi_00301,c_chi_00301_general_chi_vh_Normal_Green,Normal,Attack,420000,200,mainquest,veryhard_chi_00004
chara_chi_00301,c_chi_00301_general_ori3_vh_Normal_Yellow,Normal,Attack,500000,1000,mainquest,veryhard_glo3_00001
chara_dan_00001,c_dan_00001_1d1c_Normal_Colorless,Normal,Defense,30000,100,dan1,event_dan1_1day_00001
chara_dan_00001,c_dan_00001_airaget_Normal_Red,Normal,Defense,20000,100,dan1,event_dan1_challenge01_00004
chara_dan_00001,c_dan_00001_airaget_Normal_Red,Normal,Defense,20000,100,dan1,event_dan1_challenge01_00004
chara_dan_00001,c_dan_00001_bbaget_Boss_Colorless,Boss,Defense,20000,100,dan1,event_dan1_charaget01_00001
chara_dan_00001,c_dan_00001_bbaget_Boss_Blue,Boss,Defense,20000,100,dan1,event_dan1_charaget01_00003
chara_dan_00001,c_dan_00001_bbaget_Boss_Colorless,Boss,Defense,20000,100,dan1,event_dan1_charaget01_00004
chara_dan_00001,c_dan_00001_bbaget_Normal_Blue,Normal,Defense,20000,100,dan1,event_dan1_charaget01_00004
chara_dan_00001,c_dan_00001_bbaget_Normal_Blue,Normal,Defense,20000,100,dan1,event_dan1_charaget01_00007
chara_dan_00001,c_dan_00001_bbaget_Normal_Blue,Normal,Defense,20000,100,dan1,event_dan1_charaget01_00007
chara_dan_00001,c_dan_00001_airaget_Normal_Red,Normal,Defense,20000,100,dan1,event_dan1_charaget02_00003
chara_dan_00001,c_dan_00001_savage_Normal_Yellow,Normal,Defense,20000,100,dan1,event_dan1_savage_00002
chara_dan_00001,c_dan_00001_general_h_Boss_Colorless,Boss,Defense,10000,100,mainquest,hard_dan_00001
chara_dan_00001,c_dan_00001_general_h_Boss_Colorless,Boss,Defense,10000,100,mainquest,hard_dan_00004
chara_dan_00001,c_dan_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,hard_dan_00005
chara_dan_00001,c_dan_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,hard_dan_00005
chara_dan_00001,c_dan_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,hard_dan_00006
chara_dan_00001,c_dan_00001_mainquest_glo2_Normal_Red,Normal,Defense,10000,100,mainquest,hard_glo2_00002
chara_dan_00001,c_dan_00001_general_n_Normal_Red,Normal,Defense,10000,50,mainquest,normal_dan_00006
chara_dan_00001,c_dan_00001_mainquest_glo2_Normal_Red,Normal,Defense,10000,100,mainquest,normal_glo2_00002
chara_dan_00001,c_dan_00001_general_vh_Boss_Green,Boss,Defense,10000,100,mainquest,veryhard_dan_00003
chara_dan_00001,c_dan_00001_general_vh_Normal_Green,Normal,Defense,10000,100,mainquest,veryhard_dan_00003
chara_dan_00001,c_dan_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,veryhard_dan_00004
chara_dan_00001,c_dan_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,veryhard_dan_00004
chara_dan_00001,c_dan_00001_general_vh_Boss_Red,Boss,Defense,10000,100,mainquest,veryhard_dan_00005
chara_dan_00001,c_dan_00001_general_vh_Boss_Red,Boss,Defense,10000,100,mainquest,veryhard_dan_00006
chara_dan_00001,c_dan_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,veryhard_dan_00006
chara_dan_00001,c_dan_00001_mainquest_glo2_Normal_Red,Normal,Defense,10000,100,mainquest,veryhard_glo2_00002
chara_dan_00002,c_dan_00002_dan1challenge_Boss_Yellow,Boss,Attack,50000,300,dan1,event_dan1_challenge01_00003
chara_dan_00002,c_dan_00002_dan1challenge_Boss_Yellow,Boss,Attack,50000,300,dan1,event_dan1_challenge01_00003
chara_dan_00002,c_dan_00002_bbaget_Boss_Blue,Boss,Attack,50000,300,dan1,event_dan1_charaget01_00008
chara_dan_00002,c_dan_00002_dan1challenge_Boss_Yellow,Boss,Attack,50000,300,dan1,event_dan1_savage_00002
chara_dan_00002,c_dan_00002_dan1challenge_Boss_Yellow,Boss,Attack,50000,300,dan1,event_dan1_savage_00002
chara_dan_00002,c_dan_00002_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,hard_dan_00004
chara_dan_00002,c_dan_00002_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,hard_dan_00006
chara_dan_00002,c_dan_00002_mainquest_glo2_Boss_Red,Boss,Attack,30000,300,mainquest,hard_glo2_00002
chara_dan_00002,c_dan_00002_general_n_Boss_Red,Boss,Attack,10000,50,mainquest,normal_dan_00004
chara_dan_00002,c_dan_00002_general_n_Boss_Red,Boss,Attack,10000,50,mainquest,normal_dan_00006
chara_dan_00002,c_dan_00002_mainquest_glo2_Boss_Red,Boss,Attack,30000,300,mainquest,normal_glo2_00002
chara_dan_00002,c_dan_00002_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,veryhard_dan_00005
chara_dan_00002,c_dan_00002_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,veryhard_dan_00006
chara_dan_00002,c_dan_00002_mainquest_glo2_Boss_Red,Boss,Attack,30000,300,mainquest,veryhard_glo2_00002
chara_dan_00101,c_dan_00101_dan1challenge_Boss_Green,Boss,Attack,20000,200,dan1,event_dan1_challenge01_00002
chara_dan_00101,c_dan_00101_bbaget_Boss_Blue,Boss,Attack,20000,200,dan1,event_dan1_charaget01_00002
chara_dan_00101,c_dan_00101_bbaget_Normal_Blue,Normal,Attack,20000,200,dan1,event_dan1_charaget01_00003
chara_dan_00101,c_dan_00101_bbaget_Boss_Blue,Boss,Attack,20000,200,dan1,event_dan1_charaget01_00004
chara_dan_00101,c_dan_00101_bbaget_Normal_Blue,Normal,Attack,20000,200,dan1,event_dan1_charaget01_00007
chara_dan_00101,c_dan_00101_bbaget_Normal_Blue,Normal,Attack,20000,200,dan1,event_dan1_charaget01_00007
chara_dan_00101,c_dan_00101_airaget_Boss_Red,Boss,Attack,20000,200,dan1,event_dan1_charaget02_00003
chara_dan_00101,c_dan_00101_airaget_Normal_Red,Normal,Attack,20000,200,dan1,event_dan1_charaget02_00004
chara_dan_00101,c_dan_00101_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,hard_dan_00002
chara_dan_00101,c_dan_00101_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,hard_dan_00006
chara_dan_00101,c_dan_00101_mainquest_glo2_Normal_Red,Normal,Attack,5000,150,mainquest,hard_glo2_00002
chara_dan_00101,c_dan_00101_general_n_Boss_Red,Boss,Attack,10000,50,mainquest,normal_dan_00006
chara_dan_00101,c_dan_00101_mainquest_glo2_Normal_Red,Normal,Attack,5000,150,mainquest,normal_glo2_00002
chara_dan_00101,c_dan_00101_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,veryhard_dan_00003
chara_dan_00101,c_dan_00101_general_h_Boss_Red,Boss,Attack,10000,100,mainquest,veryhard_dan_00006
chara_dan_00101,c_dan_00101_mainquest_glo2_Normal_Red,Normal,Attack,5000,150,mainquest,veryhard_glo2_00002
chara_dan_00201,c_dan_00201_airaget_Boss_Colorless,Boss,Attack,20000,200,dan1,event_dan1_charaget02_00001
chara_dan_00201,c_dan_00201_airaget_Boss_Red,Boss,Attack,20000,200,dan1,event_dan1_charaget02_00002
chara_dan_00201,c_dan_00201_airaget_Boss_Red,Boss,Attack,20000,200,dan1,event_dan1_charaget02_00004
chara_dan_00201,c_dan_00201_savage_Normal_Red,Normal,Attack,20000,200,dan1,event_dan1_savage_00001
chara_dan_00202,c_dan_00202_dan1challenge_Boss_Red,Boss,Attack,50000,500,dan1,event_dan1_challenge01_00004
chara_dan_00202,c_dan_00202_dan1challenge_Boss_Red,Boss,Attack,50000,500,dan1,event_dan1_challenge01_00004
chara_dan_00202,c_dan_00202_dan1challenge_Boss_Red,Boss,Attack,50000,500,dan1,event_dan1_savage_00001
chara_dan_00301,c_dan_00301_dan1challenge_Normal_Yellow,Normal,Defense,50000,300,dan1,event_dan1_challenge01_00003
chara_dan_00301,c_dan_00301_dan1challenge_Normal_Yellow,Normal,Defense,50000,300,dan1,event_dan1_challenge01_00003
chara_dan_00301,c_dan_00301_bbaget_atk_Boss_Blue,Boss,Attack,50000,300,dan1,event_dan1_charaget01_00005
chara_dan_00301,c_dan_00301_bbaget_atk_Boss_Blue,Boss,Attack,50000,300,dan1,event_dan1_charaget01_00005
chara_dan_00301,c_dan_00301_bbaget_tec_Boss_Blue,Boss,Technical,50000,300,dan1,event_dan1_charaget01_00006
chara_dan_00301,c_dan_00301_bbaget_tec_Boss_Blue,Boss,Technical,50000,300,dan1,event_dan1_charaget01_00007
chara_dan_00301,c_dan_00301_bbaget_tec_Boss_Blue,Boss,Technical,50000,300,dan1,event_dan1_charaget01_00008
chara_gam_00001,c_gam_00001_glo2_1d1c_Normal_Colorless,Normal,Attack,10000,300,f05,event_f05anniv_1day_00001
chara_gam_00001,c_gam_00001_glo2_challenge_Boss_Blue,Boss,Attack,10000,100,f05,event_f05anniv_challenge_00001
chara_gam_00001,c_gam_00001_glo2_challenge_Boss_Yellow,Boss,Attack,10000,100,f05,event_f05anniv_challenge_00002
chara_gam_00001,c_gam_00001_glo2_challenge_Boss_Blue,Boss,Attack,10000,100,f05,event_f05anniv_challenge_00003
chara_gam_00001,c_gam_00001_glo2_challenge_Boss_Red,Boss,Attack,10000,100,f05,event_f05anniv_challenge_00004
chara_gam_00001,c_gam_00001_glo2_challenge_Boss_Red,Boss,Attack,10000,100,f05,event_f05anniv_challenge_00004
chara_gam_00001,c_gam_00001_glo2_advent_Normal_Colorless,Boss,Attack,10000,100,raid,raid_glo2_00001
chara_gom_00001,c_gom_00001_general_h_Boss_Yellow,Boss,Defense,10000,100,mainquest,hard_glo1_00002
chara_gom_00001,c_gom_00001_general_h_Boss_Yellow,Boss,Defense,10000,100,mainquest,hard_gom_00006
chara_gom_00001,c_gom_00001_general_n_Boss_Yellow,Boss,Defense,10000,50,mainquest,normal_glo1_00002
chara_gom_00001,c_gom_00001_general_n_Boss_Yellow,Boss,Defense,10000,50,mainquest,normal_gom_00006
chara_gom_00001,c_gom_00001_general_h_Boss_Yellow,Boss,Defense,10000,100,mainquest,veryhard_glo1_00002
chara_gom_00001,c_gom_00001_general_h_Boss_Yellow,Boss,Defense,10000,100,mainquest,veryhard_gom_00006
chara_gom_00001,c_gom_00001_l05anniv_advent_Boss_Blue,Boss,Defense,10000,100,raid,raid_l05anniv_00001
chara_gom_00001,c_gom_00001_l05anniv_advent_Boss_Blue,Boss,Defense,10000,100,raid,raid_l05anniv_00001
chara_gom_00101,c_gom_00101_general_h_Boss_Red,Boss,Technical,10000,100,mainquest,hard_glo1_00001
chara_gom_00101,c_gom_00101_general_h_Boss_Yellow,Boss,Technical,10000,100,mainquest,hard_gom_00006
chara_gom_00101,c_gom_00101_general_n_Boss_Red,Boss,Technical,10000,50,mainquest,normal_glo1_00001
chara_gom_00101,c_gom_00101_general_n_Boss_Yellow,Boss,Technical,10000,50,mainquest,normal_gom_00006
chara_gom_00101,c_gom_00101_general_vh_Boss_Red,Boss,Technical,10000,100,mainquest,veryhard_glo1_00001
chara_gom_00101,c_gom_00101_l05anniv_advent_Boss_Colorless,Boss,Technical,10000,100,raid,raid_l05anniv_00001
chara_gom_00101,c_gom_00101_l05anniv_advent_Boss_Colorless,Boss,Technical,10000,100,raid,raid_l05anniv_00001
chara_gom_00201,c_gom_00201_general_h_Boss_Yellow,Boss,Attack,10000,100,mainquest,hard_glo1_00002
chara_gom_00201,c_gom_00201_general_h_Boss_Yellow,Boss,Attack,10000,100,mainquest,hard_gom_00006
chara_gom_00201,c_gom_00201_general_n_Boss_Yellow,Boss,Attack,10000,50,mainquest,normal_glo1_00002
chara_gom_00201,c_gom_00201_general_n_Boss_Yellow,Boss,Attack,10000,50,mainquest,normal_gom_00006
chara_gom_00201,c_gom_00201_general_vh_Boss_Yellow,Boss,Attack,10000,100,mainquest,veryhard_glo1_00002
chara_gom_00201,c_gom_00201_general_h_Boss_Yellow,Boss,Attack,10000,100,mainquest,veryhard_gom_00006
chara_gom_00201,c_gom_00201_l05anniv_advent_Normal_Blue,Normal,Attack,1000,50,raid,raid_l05anniv_00001
chara_gom_00701,c_gom_00701_glo2_1d1c_Normal_Colorless,Normal,Technical,10000,300,l05,event_l05anniv_1day_00001
chara_gom_00701,c_gom_00701_l05anniv_advent_Boss_Blue,Boss,Technical,10000,100,raid,raid_l05anniv_00001
chara_gom_00701,c_gom_00701_l05anniv_advent_Normal_Blue,Normal,Technical,10000,100,raid,raid_l05anniv_00001
chara_hut_00001,c_hut_00001_hut1_1d1c_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_1day_00001
chara_hut_00001,c_hut_00001_hut1_challenge1_Boss_Green,Boss,Defense,10000,100,hut1,event_hut1_challenge_00001
chara_hut_00001,c_hut_00001_hut1_challenge2_Boss_Blue,Boss,Defense,10000,100,hut1,event_hut1_challenge_00002
chara_hut_00001,c_hut_00001_hut1_challeng3_Boss_Red,Boss,Defense,10000,100,hut1,event_hut1_challenge_00003
chara_hut_00001,c_hut_00001_hut1_challenge4_Boss_Yellow,Boss,Defense,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00001,c_hut_00001_hut1_challenge4_Boss_Yellow,Boss,Defense,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00001,c_hut_00001_hut1_charaget01_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_charaget01_00001
chara_hut_00001,c_hut_00001_hut1_charaget01_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_charaget01_00002
chara_hut_00001,c_hut_00001_hut1_charaget01_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_charaget01_00003
chara_hut_00001,c_hut_00001_hut1_charaget01_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_charaget01_00003
chara_hut_00001,c_hut_00001_hut1_charaget01_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_charaget01_00004
chara_hut_00001,c_hut_00001_hut1_charaget01_Normal_Colorless,Normal,Defense,10000,100,hut1,event_hut1_charaget01_00004
chara_hut_00001,c_hut_00001_hut1_charaget02_Boss_Yellow,Boss,Defense,10000,100,hut1,event_hut1_charaget02_00002
chara_hut_00001,c_hut_00001_hut1_charaget02_Boss_Yellow,Boss,Defense,10000,100,hut1,event_hut1_charaget02_00004
chara_hut_00001,c_hut_00001_hut1_charaget02_Boss_Yellow,Boss,Defense,10000,100,hut1,event_hut1_charaget02_00006
chara_hut_00001,c_hut_00001_hut1_savage01_Boss_Colorless,Boss,Defense,100000,500,hut1,event_hut1_savage_00001
chara_hut_00001,c_hut_00001_hut1_savage02_Boss_Red,Boss,Defense,100000,500,hut1,event_hut1_savage_00002
chara_hut_00001,c_hut_00001_hut1_savage03_Boss_Yellow,Boss,Defense,100000,500,hut1,event_hut1_savage_00003
chara_hut_00001,c_hut_00001_hut1_advent_Boss_Colorless,Boss,Defense,10000,100,raid,raid_hut1_00001
chara_hut_00001,c_hut_00001_hut1_advent_Normal_Colorless,Normal,Defense,1000,100,raid,raid_hut1_00001
chara_hut_00001,c_hut_00001_hut1_advent_Normal_Colorless,Normal,Defense,1000,100,raid,raid_hut1_00001
chara_hut_00001,c_hut_00001_hut1_advent_Normal_Colorless,Normal,Defense,1000,100,raid,raid_hut1_00001
chara_hut_00001,c_hut_00001_hut1_advent_Boss_Colorless,Boss,Defense,10000,100,raid,raid_hut1_00001
chara_hut_00001,c_hut_00001_hut1_advent_Normal_Colorless,Normal,Defense,1000,100,raid,raid_hut1_00001
chara_hut_00101,c_hut_00101_hut1_challenge2_Normal_Blue,Normal,Support,10000,100,hut1,event_hut1_challenge_00002
chara_hut_00101,c_hut_00101_hut1_challeng3_Normal_Red,Normal,Support,10000,100,hut1,event_hut1_challenge_00003
chara_hut_00101,c_hut_00101_hut1_challenge4_Normal_Yellow,Normal,Support,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00101,c_hut_00101_hut1_challenge4_Normal_Yellow,Normal,Support,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00101,c_hut_00101_hut1_charaget01_Boss_Colorless,Boss,Support,10000,100,hut1,event_hut1_charaget01_00002
chara_hut_00101,c_hut_00101_hut1_charaget01_Boss_Colorless,Boss,Support,10000,100,hut1,event_hut1_charaget01_00004
chara_hut_00101,c_hut_00101_hut1_charaget02_Normal_Yellow,Normal,Support,1000,100,hut1,event_hut1_charaget02_00001
chara_hut_00101,c_hut_00101_hut1_charaget02_Normal_Yellow,Normal,Support,1000,100,hut1,event_hut1_charaget02_00001
chara_hut_00101,c_hut_00101_hut1_charaget02_Normal_Yellow,Normal,Support,1000,100,hut1,event_hut1_charaget02_00002
chara_hut_00101,c_hut_00101_hut1_charaget02_Normal_Yellow,Normal,Support,1000,100,hut1,event_hut1_charaget02_00002
chara_hut_00101,c_hut_00101_hut1_savage01_Boss_Colorless,Boss,Attack,100000,500,hut1,event_hut1_savage_00001
chara_hut_00101,c_hut_00101_hut1_savage02_Boss_Red,Boss,Support,100000,500,hut1,event_hut1_savage_00002
chara_hut_00101,c_hut_00101_hut1_savage03_Boss_Yellow,Boss,Support,50000,500,hut1,event_hut1_savage_00003
chara_hut_00101,c_hut_00101_hut1_advent_Normal_Colorless,Normal,Support,1000,100,raid,raid_hut1_00001
chara_hut_00101,c_hut_00101_hut1_advent_Normal_Colorless,Normal,Support,1000,100,raid,raid_hut1_00001
chara_hut_00101,c_hut_00101_hut1_advent_Boss_Yellow,Boss,Attack,10000,100,raid,raid_hut1_00001
chara_hut_00201,c_hut_00201_hut1_challeng3_Normal_Red,Normal,Technical,10000,100,hut1,event_hut1_challenge_00003
chara_hut_00201,c_hut_00201_hut1_challenge4_Normal_Yellow,Normal,Technical,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00201,c_hut_00201_hut1_challenge4_Normal_Yellow,Normal,Technical,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00201,c_hut_00201_hut1_charaget01_Boss_Colorless,Boss,Technical,10000,100,hut1,event_hut1_charaget01_00003
chara_hut_00201,c_hut_00201_hut1_charaget01_Boss_Colorless,Boss,Technical,10000,100,hut1,event_hut1_charaget01_00004
chara_hut_00201,c_hut_00201_hut1_charaget02_Normal_Yellow,Normal,Technical,1000,100,hut1,event_hut1_charaget02_00003
chara_hut_00201,c_hut_00201_hut1_charaget02_Normal_Yellow,Normal,Technical,1000,100,hut1,event_hut1_charaget02_00003
chara_hut_00201,c_hut_00201_hut1_charaget02_Normal_Yellow,Normal,Technical,1000,100,hut1,event_hut1_charaget02_00003
chara_hut_00201,c_hut_00201_hut1_charaget02_Normal_Yellow,Normal,Technical,1000,100,hut1,event_hut1_charaget02_00004
chara_hut_00201,c_hut_00201_hut1_charaget02_Normal_Yellow,Normal,Technical,1000,100,hut1,event_hut1_charaget02_00004
chara_hut_00201,c_hut_00201_hut1_savage02_Boss_Red,Boss,Technical,100000,500,hut1,event_hut1_savage_00002
chara_hut_00201,c_hut_00201_hut1_savage03_Boss_Yellow,Boss,Technical,50000,500,hut1,event_hut1_savage_00003
chara_hut_00201,c_hut_00201_hut1_advent_Normal_Colorless,Normal,Technical,1000,100,raid,raid_hut1_00001
chara_hut_00201,c_hut_00201_hut1_advent_Boss_Colorless,Boss,Technical,10000,100,raid,raid_hut1_00001
chara_hut_00301,c_hut_00301_hut1_challenge4_Normal_Yellow,Normal,Technical,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00301,c_hut_00301_hut1_challenge4_Normal_Yellow,Normal,Technical,10000,100,hut1,event_hut1_challenge_00004
chara_hut_00301,c_hut_00301_hut1_charaget01_Boss_Colorless,Boss,Attack,10000,100,hut1,event_hut1_charaget01_00003
chara_hut_00301,c_hut_00301_hut1_charaget02_Normal_Yellow,Normal,Attack,1000,100,hut1,event_hut1_charaget02_00005
chara_hut_00301,c_hut_00301_hut1_charaget02_Normal_Yellow,Normal,Attack,1000,100,hut1,event_hut1_charaget02_00005
chara_hut_00301,c_hut_00301_hut1_charaget02_Normal_Yellow,Normal,Attack,1000,100,hut1,event_hut1_charaget02_00005
chara_hut_00301,c_hut_00301_hut1_charaget02_Normal_Yellow,Normal,Attack,1000,100,hut1,event_hut1_charaget02_00006
chara_hut_00301,c_hut_00301_hut1_charaget02_Normal_Yellow,Normal,Attack,1000,100,hut1,event_hut1_charaget02_00006
chara_hut_00301,c_hut_00301_hut1_savage03_Boss_Yellow,Boss,Attack,50000,500,hut1,event_hut1_savage_00003
chara_hut_00301,c_hut_00301_hut1_advent_Normal_Yellow,Normal,Attack,1000,100,raid,raid_hut1_00001
chara_hut_00301,c_hut_00301_hut1_advent_Boss_Yellow,Boss,Attack,10000,100,raid,raid_hut1_00001
