"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
2.5次元の誘惑,コスプレに託す乙女心 橘 美花莉,chara_yuw_00101,PremiumUR,緑,テクニカル,近距離,dageki_1,-,202509010_リリース,リリース時,※,740,600,中コスト,100,10.0,30.0,16.0,570,11.4,0.0,0.0,0.0,295,5.9,0.0,0.00,0.0,1750,35.0,0.0,22.5,0.0,15.0,20.0,1,1550,"12,668",10.3,5.2,2220,-0.30,0.00,0.00,0.00,0.00,0.00,,1630,"13,322",1630,"13,322",-,#VALUE!,#VALUE!,1630,1480,0.00,0.10,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,3,35,0.26,0,普通,ノックバック無効化,-,0,攻撃DOWNコマ無効化,-,4,近距離,単体,1,0.27,中距離,範囲(中),0.65,0.47,敵,All,All,35.0,-,-,-,超持続型,攻撃力Down,超持続型,敵,All,All,12,15.0,-,33,165,-,-,-,-,-,-,-,-
株式会社マジルミエ,越谷 仁美,chara_mag_00101,PremiumSR,黄,アタック,中距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,725,600,中コスト,100,10.0,15.0,15.6,560,11.2,0.0,0.0,0.0,295,5.9,0.0,0.00,0.0,775,15.5,0.0,3.1,0.0,8,-,1,1530,"11,163",10.2,5.1,2180,-0.20,0.00,-0.10,0.00,0.00,0.00,,2840,"20,721",1890,"13,814",-,#VALUE!,#VALUE!,1890,1450,0.00,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,2,50,0.39,0,速い-普通,氷結攻撃無効化,25,2,-,-,-,中距離,単体,1,0.4,中距離,範囲(小),0.75,0.5,敵,All,All,15.5,-,-,-,-,攻撃(必殺),-,敵,All,All,120,-,"24,866","1,708","8,539",-,-,-,-,-,-,-,-
トマトイプーのリコピン,リコピン,chara_rik_00001,PremiumR,赤,アタック,近距離,dageki_2,dageki_2,202509010_リリース,リリース時,※,705,600,中コスト,100,5.0,0.0,15.1,625,12.5,0.0,0.0,0.0,300,6.0,0.0,-0.57,0.0,655,13.1,0.0,0.0,0.0,7,-,1,1700,"12,124",11.3,5.7,2120,-0.20,0.00,0.00,0.00,0.00,0.00,,1970,"14,050",1970,"14,050",-,#VALUE!,#VALUE!,1970,1410,0.00,0.30,0.10,0.00,0.00,0.00,50,50,0.0,1.0,※,2,45,0.24,0,速い,-,-,-,-,-,-,近距離,単体,1,0.25,近距離,単体,1,0.25,敵,All,All,13.1,-,-,-,-,連続攻撃,-,敵,All,All,178,-,"25,010","2,020",0,-,-,-,-,-,-,-,-
地獄楽,杠,chara_jig_00201,DropSSR,緑,テクニカル,中距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,685,600,中コスト,50,20.0,15.0,14.6,455,9.1,0.0,0.0,0.0,240,4.8,0.0,0.00,0.0,1235,24.7,0.0,13.5,0.0,-,-,1,1240,"8,708",8.3,4.1,2060,-0.30,0.00,-0.10,0.00,0.00,0.00,,2270,"15,941",1510,"10,627",-,#VALUE!,#VALUE!,1510,1370,0.00,0.10,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,3,40,0.41,0,普通,毒ダメージ軽減,10,0,-,-,-,中距離,単体,1,0.42,中距離,範囲(小),0.75,0.52,敵,All,All,24.7,-,-,-,-,毒,-,敵,All,All,2,9,-,0,0,-,-,-,-,-,-,-,-
姫様“拷問”の時間です,囚われの王女 姫様,chara_gom_00001,PremiumUR,緑,ディフェンス,近距離,dageki_1,-,202509010_リリース,リリース時,※,650,600,中コスト,150,10.0,30.0,17.3,1750,35.0,0.0,0.0,0.0,750,15.0,0.0,0.00,0.0,1505,30.1,0.0,9.0,-2.3,6.0,24.1,1,5450,"44,544",36.3,18.2,2370,0.90,0.00,0.00,0.30,0.10,0.00,,640,"5,230",320,"2,615",-,320,"5,616",320,1580,-0.30,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,20,0.16,0,とても遅い,根性,1,0,ダメージコマ無効化,-,4,近距離,単体,1,0.17,自身,自身,該当なし,自身,自身,All,All,30.1,-,-,-,瞬間型,ダメージカット(自身),瞬間型,自身,All,All,35,6.0,-,0,0,-,-,-,-,-,-,-,-
SPY×FAMILY,<いばら姫> ヨル,chara_spy_00201,PremiumUR,赤,アタック,中距離,zangeki_1,dageki_1,202509010_リリース,リリース時,※,650,600,中コスト,0,20.0,30.0,13.8,570,11.4,0.0,0.0,0.0,275,5.5,0.0,-0.52,0.0,1470,29.4,0.0,16.9,0.0,8,19.4,1,1560,"12,749",10.4,5.2,2600,-0.20,0.00,-0.10,-0.10,0.00,0.00,,3170,"25,908",2440,"19,930","24,912",#VALUE!,#VALUE!,2440,1625,0.10,0.30,0.10,0.00,0.00,0.00,65,75,-10.0,1.3,※,2,45,0.34,0,速い-普通,根性,1,0,攻撃UPコマ効果UP,25,4,中距離,単体,1,0.35,中距離,範囲(中),0.65,0.55,敵,All,All,29.4,-,-,-,ハイブリッド型,攻撃(必殺),ハイブリッド型,敵,All,All,130,-,"33,681","1,246","6,231",攻撃力UP(自身),25.00,10.0,-,-,-,-,-
忘却バッテリー,要 圭,chara_bat_00101,PremiumSR,赤,ディフェンス,中距離,dageki_1,-,202509010_リリース,リリース時,※,625,600,中コスト,0,10.0,15.0,13.1,1240,24.8,0.0,0.0,0.0,650,13.0,0.0,0.00,0.0,1450,29.0,0.0,10.5,0.0,7.0,22.0,1,3380,"24,662",22.5,11.3,1880,0.90,0.00,-0.10,0.00,0.00,0.00,,1260,"9,193",630,"4,597",-,#VALUE!,#VALUE!,630,1250,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,45,0.34,0,速い-普通,火傷ダメージ軽減,10,2,-,-,-,中距離,単体,1,0.35,自身,自身,該当なし,自身,自身,All,All,29.0,-,-,-,安定型,ダメージカット(自身),安定型,自身,All,All,14,7.0,-,0,0,-,-,-,-,-,-,-,-
地獄楽,山田浅ェ門 佐切,chara_jig_00101,PremiumSSR,赤,アタック,近距離,zangeki_1,zangeki_1,202509010_リリース,リリース時,※,620,600,中コスト,0,10.0,10.0,13.0,545,10.9,0.0,0.0,0.0,260,5.2,0.0,-0.50,0.0,615,12.3,0.0,0.0,0.0,8,-,1,1490,"11,360",9.9,5.0,1860,-0.20,0.00,0.00,0.00,0.00,0.00,,1740,"13,267",1740,"13,267",-,#VALUE!,#VALUE!,1740,1240,0.00,0.30,0.10,0.00,0.00,0.00,50,50,0.0,1.0,※,2,40,0.29,0,速,攻撃UPコマ効果UP,20,0,-,-,-,近距離,単体,1,0.4,中距離,単体,1,0.3,敵,緑,All,12.3,-,-,-,-,キラー攻撃(緑),-,敵,緑,All,150,-,"29,851","2,584",0,-,-,-,-,-,-,-,-
阿波連さんははかれない,阿波連 れいな,chara_aha_00101,PremiumSSR,黄,サポート,近距離,dageki_1,-,202509010_リリース,リリース時,※,620,600,中コスト,0,10.0,10.0,13.0,410,8.2,0.0,0.0,0.0,215,4.3,0.0,0.00,0.0,1130,22.6,0.0,12.0,0.0,8.0,14.6,1,1120,"8,540",7.5,3.7,1860,-0.40,0.00,0.00,0.00,0.00,0.00,,1310,"9,988",870,"6,659","7,658",#VALUE!,#VALUE!,870,1240,0.00,-0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,2,35,0.27,0,普通,ダメージコマ無効化,-,0,-,-,-,近距離,単体,1,0.28,自身と同じコマにいる味方,範囲(コマ)0,-,(コマ)0,味方,黄,All,22.6,-,-,-,安定型,攻撃力UP(黄),安定型,味方,黄,All,15,8.0,-,0,0,-,-,-,-,-,-,-,-
サマータイムレンダ,影のウシオ 小舟 潮,chara_sum_00101,PremiumUR,青,サポート,中距離,zangeki_1,-,202509010_リリース,リリース時,※,620,600,中コスト,-10,10.0,20.0,13.0,310,6.2,0.0,-0.6,0.0,165,3.3,0.0,-0.31,0.0,1610,32.2,0.0,22.5,0.0,15.0,17.2,1,930,"7,600",6.2,3.1,1860,-0.40,0.00,-0.10,0.00,0.00,0.00,,1570,"12,831",870,"7,128",-,#VALUE!,#VALUE!,870,1240,0.00,-0.30,0.00,0.00,0.00,0.00,90,90,0.0,1.8,※,2,60,0.42,0,速,ダメージコマ無効化,-,0,突風コマ無効化,-,4,中距離,単体,1,0.43,自身と同じコマにいる味方,範囲(コマ)0,-,(コマ)0,味方,青,All,32.2,-,-,-,超持続型,ダメージカット(青),超持続型,味方,青,All,12,15.0,-,0,0,-,-,-,-,-,-,-,-
トマトイプーのリコピン,甘戸 めめ,chara_rik_00101,DropR,赤,サポート,中距離,dageki_2,-,202509010_リリース,リリース時,※,610,600,中コスト,0,10.0,0.0,12.8,335,6.7,0.0,0.0,0.0,175,3.5,0.0,0.00,0.0,1000,20.0,0.0,10.4,0.0,6.9,13.1,1,920,"6,259",6.1,3.1,1830,-0.40,0.00,-0.10,0.00,0.00,0.00,,1530,"10,409",850,"5,783","6,593",#VALUE!,#VALUE!,850,1220,0.00,-0.30,0.00,0.00,0.00,0.00,90,90,0.0,1.8,※,2,35,0.42,0,普通,-,-,-,-,-,-,中距離,単体,1,0.43,自身と同じコマにいる味方,範囲(コマ)0,-,(コマ)0,味方,赤,All,20.0,-,-,-,安定型,攻撃力UP(赤),安定型,味方,赤,All,14,6.9,-,0,0,-,-,-,-,-,-,-,-
ラーメン赤猫,佐々木,chara_aka_00001,PremiumR,赤,ディフェンス,近距離,dageki_1,zangeki_1,202509010_リリース,リリース時,※,560,600,中コスト,-50,10.0,0.0,11.5,1170,23.4,0.0,0.0,0.0,610,12.2,0.0,0.00,0.0,1345,26.9,0.0,9.0,0.0,-,-,1,3190,"22,752",21.3,10.6,1680,0.90,0.00,0.00,0.00,0.00,0.00,,1120,"7,988",560,"3,994",-,#VALUE!,#VALUE!,560,1120,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,※,1,30,0.16,0,普通,-,-,-,-,-,-,近距離,単体,1,0.17,近距離,範囲(小),0.75,0.27,敵,All,All,26.9,-,-,-,-,攻撃(必殺),-,敵,All,All,119,-,"9,505",374,"1,868",-,-,-,-,-,-,-,-
姫様“拷問”の時間です,クロル,chara_gom_00201,DropR,黄,アタック,遠距離,dageki_1,dageki_1,202509010_リリース,リリース時,※,555,600,中コスト,-50,5.0,0.0,11.4,365,7.3,0.0,0.0,0.0,190,3.8,0.0,0.00,0.0,955,19.1,0.0,9.0,0.0,12,-,1,1000,"6,802",6.7,3.3,1670,-0.20,0.00,-0.30,0.10,0.00,0.00,,3720,"25,309",1330,"9,039",-,#VALUE!,#VALUE!,1330,1110,-0.10,0.30,0.00,0.00,0.00,0.00,140,150,-10.0,2.8,※,2,30,0.52,0,普通,-,-,-,-,-,-,遠距離,単体,1,0.53,遠距離,範囲(小：威力減),0.5,0.63,敵,All,All,19.1,-,-,-,-,連続攻撃,-,敵,All,All,85,-,"21,512","1,225","6,127",-,-,-,-,-,-,-,-
怪獣８号,四ノ宮 キコル,chara_kai_00301,PremiumSSR,黄,ディフェンス,近距離,zangeki_1,zangeki_1,202509010_リリース,リリース時,※,535,600,中コスト,-100,20.0,15.0,10.9,1005,20.1,0.0,0.0,0.0,525,10.5,0.0,0.00,0.0,920,18.4,0.0,1.8,0.0,1.2,17.2,1,2740,"20,892",18.3,9.1,1610,0.90,0.00,0.00,-0.20,0.00,0.00,,1430,"10,903",750,"5,739",-,#VALUE!,#VALUE!,750,1070,0.20,-0.50,0.00,0.00,0.00,0.00,95,100,-5.0,1.9,※,1,40,0.21,0,普通-速,スタン攻撃無効化,60,0,-,-,-,近距離,単体,1,0.22,近距離,範囲(小),0.75,0.32,敵,All,All,18.4,-,-,-,-,スタン,-,敵,All,All,-,1.2,-,61,304,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,誇り高き魔都の剣姫 羽前 京香,chara_sur_00101,PremiumUR,緑,アタック,中距離,zangeki_1,zangeki_1,202509010_リリース,リリース時,※,530,600,中コスト,-100,5.0,25.0,10.8,405,8.1,0.0,0.0,0.0,215,4.3,0.0,0.00,0.0,660,13.2,0.0,2.6,0.0,11,-,1,1110,"9,071",7.4,3.7,1590,-0.20,0.00,-0.10,0.00,0.00,0.00,,2070,"16,918",1380,"11,279",-,#VALUE!,#VALUE!,1380,1060,0.00,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,2,40,0.34,0,普通-速,氷結攻撃無効化,50,0,攻撃DOWNコマ無効化,-,4,中距離,単体,1,0.35,中距離,範囲(小),0.75,0.45,敵,All,All,13.2,-,-,-,-,連続攻撃,-,敵,All,All,169,-,"28,592","2,319","11,597",-,-,-,-,-,-,-,-
サマータイムレンダ,網代 慎平,chara_sum_00001,PremiumR,青,テクニカル,遠距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,515,600,中コスト,-100,15.0,0.0,10.4,225,4.5,0.0,0.0,0.0,120,2.4,0.0,0.00,0.0,1190,23.8,0.0,15.9,0.0,6.9,16.9,1,620,"4,421",4.1,2.1,1550,-0.30,0.00,-0.30,0.00,0.00,0.00,,2710,"19,328",1130,"8,053",-,#VALUE!,#VALUE!,1130,1030,0.00,0.10,0.00,0.00,0.00,0.00,120,150,-30.0,2.4,※,3,30,0.61,0,普通-速,-,-,-,-,-,-,遠距離,単体,1,0.62,遠距離,単体,1,0.62,敵,All,All,23.8,-,-,-,安定型,連続攻撃,安定型,敵,All,All,178,-,"34,404","1,589",0,攻撃力Down,14.00,6.9,-,-,-,-,-
