,,,,,,作成者,確認者,承認状況
新人魔法少女 桜木 カナ,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・ブルー,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
,,,,,合計,,"¥1,753",¥150.00
,,,,,割引後価格,,"¥1,980",▼おまけの割合
,,,,,割引,,-12.98%,7.58%
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「小舟 潮」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_20,,,,,,,
■store_product_id,60,,,,,,,
■Biling ID（ios）,BNEI0434_0058,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0058,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
影のウシオ 小舟 潮,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・ブルー,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
,,,,,合計,,"¥1,753",¥150.00
,,,,,割引後価格,,"¥1,980",▼おまけの割合
キャラパックここまで,,,,,割引,,-12.98%,7.58%
,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】いいジャン!スタミナドリンクパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_21,,,,,,,
■store_product_id,61,,,,,,,
■Biling ID（ios）,BNEI0434_0059,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0059,,,,,,,
■基準価格(税込),¥756,,,,,,,
■税別価格,¥687,,,,,,,
■割引価格(税込),¥480,■割引率,36.51%,,,,,
■税別割引価格,¥436,,,,,,,
■購入可能回数,1,⇦毎月月初に再販売予定,,,,,,
■販売期間,2026/02/02 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
スタミナドリンク,有償販売,(無期限),10,10,0,¥75.60,¥756,¥0.00
,有償販売,(無期限),,,0,,¥0,¥0.00
,有償販売,(無期限),,,0,,¥0,¥0.00
,有償販売,(無期限),,,0,,¥0,¥0.00
とりあえず売ってみる,,,,,合計,,¥756,¥0.00
,,,,,割引後価格,,¥480,▼無償報酬の割合
,,,,,割引,,36.51%,0.00%
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】スタミナブースト応援パック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_22,,,,,,,
■store_product_id,62,,,,,,,
■Biling ID（ios）,BNEI0434_0060,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0060,,,,,,,
■基準価格(税込),"¥2,552",,,,,,,
■税別価格,"¥2,320",,,,,,,
■割引価格(税込),"¥1,480",■割引率,42.01%,,,,,
■税別割引価格,"¥1,345",,,,,,,
■購入可能回数,1,⇦毎月月初に再販売予定?,,,,,,
■販売期間,2026/02/02 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
スタミナドリンク,有償販売,(無期限),20,20,0,¥75.60,"¥1,512",¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,¥30.00,¥90,¥0.00
コイン,無償販売,(無期限),"¥20,000",0,20000,¥0.01,¥0,¥200.00
"SSRを60まで強化するのに必要コインが29,861。30000コインにするとおまけが20%超えるので調整",,,,,合計,,"¥2,552",¥200.00
カラーメモリーはスタミナドリンクでメインクエスト進めて探索報酬で取ってね想定,,,,,割引後価格,,"¥1,480",▼おまけの割合
中身はお得強化パック(980)+スタミナドリンクパック(480)とほぼ同じ,,,,,割引,,42.01%,13.51%
↑を買うよりややお得。ドリンク本数とコインが付いてる。全部販売個数制限があるので各アイテムに需要があるなら売れそう,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】即戦力!キャラ強化パック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_23,,,,,,,
■store_product_id,63,,,,,,,
■Biling ID（ios）,BNEI0434_0061,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0061,,,,,,,
■基準価格(税込),"¥3,065",,,,,,,
■税別価格,"¥2,786",,,,,,,
■割引価格(税込),"¥1,980",■割引率,35.40%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,⇦降臨、ランクマ、高難易度などに合わせて再販売予定,,,,,,
■販売期間,2026/02/09 15:00:00,〜,2026/2/16 10:59,"施策の中間日と2週目から販売するお得な攻略パック
今回は降臨バトル合わせ",,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
カラーメモリー・グレー,無償販売,(無期限),1500,1500,0,¥0.27,¥405,¥0.00
カラーメモリー・レッド,無償販売,(無期限),1500,1500,0,¥0.27,¥405,¥0.00
カラーメモリー・グリーン,無償販売,(無期限),1500,1500,0,¥0.27,¥405,¥0.00
カラーメモリー・ブルー,無償販売,(無期限),1500,1500,0,¥0.27,¥405,¥0.00
カラーメモリー・イエロー,無償販売,(無期限),1500,1500,0,¥0.27,¥405,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,¥30.00,¥90,¥0.00
コイン,無償販売,(無期限),30000,0,30000,¥0.01,¥0,¥300.00
70lvまで行ける素材(コインは足りない,,,,,合計,,"¥3,065",¥300.00
スペシャルガシャチケや選べるかけらBOX系も考えましたが、定常的に販売する想定として,,,,,割引後価格,,"¥1,980",▼おまけの割合
コンテンツ対抗のキャラが恒常キャラに居ない場合パックコンセプトと外れるのでやめました,,,,,割引,,35.40%,15.15%
入れるならコンテンツ対抗になっている可能性の高いピックアップガシャチケになると思われます,,,,,,,,
