,カテゴリ１,カテゴリ２,"格納先
項目", 画像,規格,データ名サンプル,制作頻度,担当班,備考,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します"
,"インゲーム
アウトゲーム",画像,"unit_cutin_koma
カットイン演出使用コマ",,"可変
（ 650×850以下に）",unit_cutin_koma_chara_chi_00002,都度,モーション班,"キャラの投入時にunit_cutin_komaに入れる必要がある
→をエンジニアに相談する
→5/16デザイン側で対応する方針に
　カットイン原画の投入を
　キャラ投入時にデザイン側でunit_cutin_komaに格納し、addresablesGroupsも更新する（キャラのカットインフォルダCutIn/Textures に原画コマ入れはNG）

一応自動化ツールがあるみたい
https://wonderplanet-glow.slack.com/archives/C069V3H3AJ1/p1747619180182809?thread_ts=1743488896.166959&cid=C069V3H3AJ1
",
,アウトゲーム,画像,"item_icon
カラーメモリー",,150×150,item_icon_memory_chara_kai_00501,都度,UI/バナー班,"イベキャラはイベキャラ専用のカラーメモリー
イベキャラ以外は属性毎のカラーメモリー",
,アウトゲーム,画像,"item_icon_piece
キャラのかけら",,150×150,item_icon_piece_chi_00002,都度,イラスト班,,
,アウトゲーム,複合,"Characters
キャラデーター一式",-,-,"chara_chi_00002
└ chara_chi_00002_AtEf
└ chara_chi_00002_SpEf
└ chara_chi_00002_SpOf
└ CutIn
└ Spine",都度,モーション班,,
,インゲーム,アセット,"unit_attack_view_info_set
キャラ Eff表示用アセット",なし,,unit_attack_view_info_set_chara_chi_00002,都度,エンジニア,"←これがもれてよくふぐあいにつながっている
　どっちで対応したほうがいいかエンジニア側と相談",
,,,,,,,,,,
,エネミー関連,,,,,,,,,
,アウトゲーム,画像,"unit_enemy_icon
ステージ詳細画面で使用？",,148×99,unit_enemy_icon_enemy_chi_00001,都度,イラスト班,,
,アウトゲーム,画像,"unit_enemy_icon_s
ステージ詳細画面で使用？",,118×108,unit_enemy_icon_enemy_chi_00001_s,都度,イラスト班,,
,アウトゲーム,複合,"Characters
エネミーデーター一式",-,-,"enemy_chi_00001
└ enemy_chi_00001_AtEf
└ enemy_chi_00001_SpEf
└ enemy_chi_00001_SpOf
└ Spine",都度,モーション班,,
,インゲーム,アセット,"unit_attack_view_info_set
アセット",なし,,unit_attack_view_info_set_enemy_chi_00001,都度,エンジニア,←これが漏れてよく不具合につながっているやつ,
,,,,,,,,,,
,ゲート関連,,,,,,,,,
,アウトゲーム,画像,"outpost_icon
使用箇所：EncyclopediaArtworkDetailView",,39×60,PlayerGateIco,単発,UI/バナー班,,
,アウトゲーム,画像,"outpost_enhance_icon
ゲート強化画面のアイコン",, 179×200,gate_strengthening_icon_gatehp,単発,UI/バナー班,,
,インゲーム,プレハブ,"outpost_prefab_tutorial
インゲーム用ゲート_基本",なし,,"outpost_player_default
outpost_enemy_default",単発,モーション班,,
,インゲーム,プレハブ,"outpost_prefab
インゲーム用ゲート_キャラ",なし,,"outpost_glo_enemy_0001
outpost_gom_ally_0001
outpost_gom_enemy_0001",都度,モーション班,,
,アウトゲーム,複合,"Outpost
ゲートデーター一式",-,-,"outpost_gom_enemy_0001
└ Spine",都度,モーション班,,
,インゲーム,アセット,"outpost_view_info
ViewInfoアセット",なし,,"outpost_view_info_player_default
outpost_view_info_gom_ally_0001",都度,エンジニア,←これが漏れてよく不具合につながっているやつ,
,,,,,,,,,,
,背景関連,,,,,,,,,
,インゲーム,画像,"koma_background
インゲーム背景（室外）",,1500×800,koma_background_aka_00001,都度,イラスト班,,
,インゲーム,画像,"koma_background
インゲーム背景（室内）",,1500×500,koma_background_dan_00007,都度,イラスト班,,
,,,,,,,,,,
,アウトゲーム,画像,"032-02-StrengthenGate
ゲート強化画面用BG
(OutpostEnhanceViewで使用)",,"712×374
750×400",StrengthenGateEventAreaIsure,単発,イラスト班,,-
,アウトゲーム,画像,"031-01-PartyTop
パーティ編成画面用BG
(PartyFormationViewで使用）",,"698×373
750×400",PartyMenberBg,単発,イラスト班,,-
,,,,,,,,,,
,アイテム関連,,,,,,,,,
,アウトゲーム,画像,"item_icon
選択かけらBOXなどのアイテム類",,150×150,item_icon_box_glo_00001,単発,UI/バナー班,,
,アウトゲーム,画像,"item_icon
カラーメモリー",,150×150,item_icon_memory_glo_00001,単発,UI/バナー班,,
,アウトゲーム,画像,"item_icon
メモリーフラグメント",,150×150,item_icon_memoryfragment_glo_00001,単発,UI/バナー班,,
,アウトゲーム,画像,"item_icon
ガシャチケット",,150×150,item_icon_ticket_glo_00001,単発,UI/バナー班,,
,アウトゲーム,画像,"ガシャチケット_s
ガシャ一覧やガシャトップのボタン上に配置",,42×42,↑のアイコンで表示するので実装しない,単発,UI/バナー班,,
,アウトゲーム,画像,"player_resource_icon
ユーザーリソースアイコン（複数）",,150×150,player_resource_icon_diamond,単発,UI/バナー班,,
,,,,,,,,,,
,クエスト関連,,,,,,,,,
,アウトゲーム,画像,"quest_isure
クエスト選択",,416×416,quest_isure_aha_1,都度,UI/バナー班,,
,アウトゲーム,画像,"quest_isure
クエスト選択_オールスター",,416×416,quest_isure_allstar_1,都度,UI/バナー班,,
,インゲーム,プレハブ,"manga_animation
クエスト原画アニメーション",-,,manga_animation_genga_aka_main_003_01_start,都度,プランナー,,
,インゲーム,プレハブ,"manga_animation
クエスト原画アニメーション",-,,manga_animation_genga_kai_event_story_00001_01_start,都度,プランナー,,
,アウトゲーム,画像,"manga_koma
ガシャ導入演出用コマ?",,可変,manga_koma_chi_00002,都度,プランナー,"ガシャ導入演出用コマのようだが
レギュレーションと全キャラ作るのか作成の基準がわからない",
,アウトゲーム,画像,"stage_icon
ステージアイコン_ハナン",,126×102,stage_icon_chi_normal_01,都度,UI/バナー班,,
,アウトゲーム,画像,"stage_icon
ステージアイコン",,126×102,stage_icon_event_kai1_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"stage_icon
ステージアイコン",,126×102,stage_icon_general_box_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"stage_icon
ステージアイコン",,126×102,stage_icon_general_fragment_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"stage_icon
ステージアイコン",,126×102,stage_icon_general_memory_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"community_banner
コミュニティーバナー（オミット）",,526×106,community_banner_glow,単発,UI/バナー班,廃止,
,アウトゲーム,画像,"artwork_a
原画のかけらa（クエスト用）",,524×524,artwork_aka_0001a,都度,UI/バナー班,,artwork_[:asset_key]a
,アウトゲーム,画像,"artwork_b
原画のかけらb（クエスト用）",,154×154,artwork_aka_0001b,都度,UI/バナー班,,artwork_[:asset_key]b
,アウトゲーム,画像,"artwork_fragment
原画かけらアイテム",,150×150,artwork_fragment_icon_01,単発,UI/バナー班,,
,アウトゲーム,画像,"emblem_icon
降臨バトルエンブレム（イベント）",,120×120,emblem_icon_adventbattle_kai_season01_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"emblem_icon_advent_batlle
降臨バトルエンブレム",,120×120,emblem_spy_adventbattle_season1_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"emblem_icon
配布用エンブレム",,120×120,emblem_icon_event_kai_00001,都度,UI/バナー班,,
,アウトゲーム,画像,"help_isure
タイプアイコン",,46×46,help_isure_RoleIcon_Attack,単発,UI/バナー班,,
,アウトゲーム,画像,"event
イベント関連バナー",-,-,種類多いのでバナー一覧（クリエイティブ一覧）でまとめる,都度,UI/バナー班,,
,,,,,,,,,,
,特性、スキル,,,,,,,,,
,アウトゲーム,画像,"unit_ability_icon
Lv.上限解放一覧で表示",,100×75,unit_ability_icon_attack_power_down_koma_block,単発,UI/バナー班,,
,アウトゲーム,画像,"unit_ability_icon_shadow
特性タブで表示",,108×82,unit_ability_icon_shadow_attack_power_down_koma_block,単発,UI/バナー班,,
,インゲーム,画像,"StateEffectIcon
インゲームのキャラ頭上に表示",,100×75,Icon-Attack-Power-Down-Koma-Block,単発,UI/バナー班,,
,インゲーム,画像,"StateEffectIcon
インゲームのキャラ頭上に表示",,53×53,characteristic_guts,単発,UI/バナー班,,
,,,,,,,,,,
,チュートリアル,,,,,,,,,
,アウトゲーム,画像,"tutorial_tip_isures
チュートリアル画像",,,tutorial_tip_isure_advent_battle_1,単発/都度,UI/バナー班,,
,,,,,,,,,,
,図鑑,,,,,,,,,
,アウトゲーム,画像,"series_banner
図鑑",, 300×300,series_banner_aha,都度,UI/バナー班,,
,アウトゲーム,画像,"series_logo
図鑑ロゴ、キャラ詳細、ガシャ",, 350×245,series_logo_aha,都度,UI/バナー班,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,アイコンはVQのテンプレートで、GLOWロゴで作る
