メモ,,,,,,,,,,,,
幼稚園WARSのクリエイティブ監修資料が返ってきていない,,,,,,,,,,,,
明日の終日まで待って返答がもらえなければ間に合わないので今日から対応始める,,,,項目,内容,,,,,,,
※返答が来なかった場合、単純に幼稚園WARSの期間穴が開きます,,,,施策名称,幼稚園WARS開始が2/9になった場合のログボ,,,,SSRキャラ用の強化素材もスペシャルガシャチケもいらぬ,,,
キャラ,元殺し屋の新人教諭 リタ,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
キャラ,ルーク,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
キャラ,ダグ,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
キャラ,ハナ,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
キャラセリフ（speachballoon）,元殺し屋の新人教諭 リタ,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
キャラセリフ（speachballoon）,ルーク,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
キャラセリフ（speachballoon）,ダグ,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
キャラセリフ（speachballoon）,ハナ,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
アイテム,元殺し屋の新人教諭 リタのかけら,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
アイテム,ルークのかけら,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
アイテム,ダグのかけら,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
アイテム,ハナのかけら,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
アイテム,ダグのメモリー,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
アイテム,ハナのメモリー,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
enemy,不良系金髪イケメン,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
enemy,イケメンじゃない殺し屋,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
enemy,元殺し屋の新人教諭 リタ,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
enemy,ルーク,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
enemy,ダグ,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
enemy,ハナ,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
イベント,幼稚園WARSいいジャン祭,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
クエスト,【デイリー】お遊戯の時間です設定,"リリースキーを「202602015」に変更

※自分が作ったエネミーデータの変更も確認すること！",和田,TRUE,TRUE,FALSE,,,,,,
クエスト,【ストーリー】先輩は敬いたまえ設定,"リリースキーを「202602015」に変更

※自分が作ったエネミーデータの変更も確認すること！",和田,TRUE,TRUE,FALSE,,,,,,
クエスト,【ストーリー】兄を助けてくれないか？設定,"リリースキーを「202602015」に変更

※自分が作ったエネミーデータの変更も確認すること！",古澤,TRUE,TRUE,FALSE,,,,,,
クエスト,【チャレンジ】世界一安全な幼稚園設定,"リリースキーを「202602015」に変更

※自分が作ったエネミーデータの変更も確認すること！",古澤,TRUE,TRUE,FALSE,,,,,,
クエスト,【高難易度】正義だけじゃ何も守れない設定,"リリースキーを「202602015」に変更

※自分が作ったエネミーデータの変更も確認すること！",平野,TRUE,TRUE,FALSE,,,,,,
クエスト,【降臨バトル】誰の依頼だ？	設定,"リリースキーを「202602015」に変更

※自分が作ったエネミーデータの変更も確認すること！",前田,TRUE,TRUE,FALSE,,,,,,
図鑑,幼稚園WARS作品,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
敵図鑑表示設定,不良系金髪イケメン,エネミーがdeployされるタイミングで同時表示,前田,TRUE,TRUE,FALSE,,,,,,
敵図鑑表示設定,イケメンじゃない殺し屋,エネミーがdeployされるタイミングで同時表示,前田,TRUE,TRUE,FALSE,,,,,,
敵図鑑表示設定,元殺し屋の新人教諭 リタ,エネミーがdeployされるタイミングで同時表示,前田,TRUE,TRUE,FALSE,,,,,,
敵図鑑表示設定,ルーク,エネミーがdeployされるタイミングで同時表示,前田,TRUE,TRUE,FALSE,,,,,,
敵図鑑表示設定,ダグ,エネミーがdeployされるタイミングで同時表示,前田,TRUE,TRUE,FALSE,,,,,,
敵図鑑表示設定,ハナ,エネミーがdeployされるタイミングで同時表示,前田,TRUE,TRUE,FALSE,,,,,,
ログボ,いいジャン祭ログボ,"リリースキーを「202602015」に変更
終了日をイベント終了日時に変更",平野,TRUE,TRUE,FALSE,,,,,,
ミッション,イベントミッション報酬設定,リリースキーを「202602015」に変更,平野,TRUE,TRUE,FALSE,,,,,,
ミッション,降臨バトルミッション設定,リリースキーを「202602015」に変更,平野,TRUE,TRUE,FALSE,,,,,,
ランクマッチ,ランクマッチ2/2週,"汎用背景に変更
you_00001→glo_00001(default_pvpと同じ)",平野,TRUE,TRUE,FALSE,,,,,,
ランクマッチ,ランクマッチ2/9週,"汎用背景に変更
you_00001→glo_00001(default_pvpと同じ)",平野,TRUE,TRUE,FALSE,,,,,,
強化クエスト,コインクエストボーナスキャラ,リリースキーを「202602015」に変更,橋本,TRUE,TRUE,FALSE,,,,,,
パック,いいジャン祭パック,"販売日の変更をD確認
リリースキーを「202602015」に変更",平野,TRUE,TRUE,FALSE,,,,,,
パック,即戦力キャラパック,"販売日の変更をD確認
→変更不要",,FALSE,FALSE,FALSE,,,,,,
原画のかけら,ストーリー1,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
原画のかけら,ストーリー2,リリースキーを「202602015」に変更,古澤,TRUE,TRUE,FALSE,,,,,,
エンブレム,高難度（1種）,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
エンブレム,降臨エンブレム（6種）,リリースキーを「202602015」に変更,安藤,TRUE,TRUE,FALSE,,,,,,
原画演出（マスタ）,【デイリー】お遊戯の時間です設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（マスタ）,【ストーリー】先輩は敬いたまえ設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（マスタ）,【ストーリー】兄を助けてくれないか？設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（マスタ）,【チャレンジ】世界一安全な幼稚園設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（マスタ）,【高難易度】正義だけじゃ何も守れない設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（プレハブ）,【デイリー】お遊戯の時間です設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（プレハブ）,【ストーリー】先輩は敬いたまえ設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（プレハブ）,【ストーリー】兄を助けてくれないか？設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（プレハブ）,【チャレンジ】世界一安全な幼稚園設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
原画演出（プレハブ）,【高難易度】正義だけじゃ何も守れない設定,リリースキーを「202602015」に変更,森永,TRUE,TRUE,FALSE,,,,,,
昇格タグ,バレンタイン昇格タグ作成,event_valentine_00001_01,古澤,TRUE,FALSE,FALSE,,,,,,
昇格タグ,バレンタインガシャ詳細情報の昇格タグ変更,event_valentine_00001_01に変更,古澤,TRUE,FALSE,FALSE,,,,,,
昇格タグ,S3バレンタインガシャバナーの昇格タグ変更,event_valentine_00001_01に変更,古澤,TRUE,FALSE,FALSE,,,,,,
昇格タグ,S3バレンタインガシャホームバナーの昇格タグ変更,event_valentine_00001_01に変更,古澤,TRUE,FALSE,FALSE,,,,,,
ホームバナー,幼稚園WARSいいジャン祭バナー	,リリースキーを「202602015」に変更,平野,TRUE,FALSE,FALSE,,,,,,
ホームバナー,幼稚園WARSピックアップガシャ,リリースキーを「202602015」に変更,平野,TRUE,FALSE,FALSE,,,,,,
,,,,FALSE,FALSE,FALSE,,,,,,
,,,,FALSE,FALSE,FALSE,,,,,,
,,,,FALSE,FALSE,FALSE,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
アート作業,,,,,,,,,,,,
区分,変更箇所,変更内容,,,,,,,,,,
キャラアセット,リタ,リリースキーを「202602015」に変更,,,,,,,,,,
キャラアセット,ルーク,リリースキーを「202602015」に変更,,,,,,,,,,
キャラアセット,ダグ,リリースキーを「202602015」に変更,,,,,,,,,,
キャラアセット,ハナ,リリースキーを「202602015」に変更,,,,,,,,,,
キャラアセット,不良系金髪イケメン,リリースキーを「202602015」に変更,,,,,,,,,,
キャラアセット,イケメンじゃない殺し屋,リリースキーを「202602015」に変更,,,,,,,,,,
背景アセット,you_00001,リリースキーを「202602015」に変更,,,,,,,,,,
背景アセット,you_00002,リリースキーを「202602015」に変更,,,,,,,,,,
背景アセット,you_00003,リリースキーを「202602015」に変更,,,,,,,,,,
背景アセット,you_00004,リリースキーを「202602015」に変更,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"以下バナー関連（画像を確認したい場合、以下タブのD、E列を参照してください）
https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=1655259206#gid=1655259206",,,,,,,,,,,,
【カラーメモリー】,"・ダグのメモリー
　グリーンカラーメモリー
　item_icon_memory_chara_you_00201",リリースキーを「202602015」に変更,,,,,,,,,,
,"・ハナのメモリー
　ブルーカラーメモリー
　item_icon_memory_chara_you_00301",リリースキーを「202602015」に変更,,,,,,,,,,
【降臨バトルエンブレム】,"元・伝説の殺し屋
emblem_icon_adventbattle_you_season01_00001",リリースキーを「202602015」に変更,,,,,,,,,,
,emblem_icon_adventbattle_you_season01_00002,リリースキーを「202602015」に変更,,,,,,,,,,
,emblem_icon_adventbattle_you_season01_00003,リリースキーを「202602015」に変更,,,,,,,,,,
,emblem_icon_adventbattle_you_season01_00004,リリースキーを「202602015」に変更,,,,,,,,,,
,emblem_icon_adventbattle_you_season01_00005,リリースキーを「202602015」に変更,,,,,,,,,,
,emblem_icon_adventbattle_you_season01_00006,リリースキーを「202602015」に変更,,,,,,,,,,
【イベントエンブレム】,"ブラック幼稚園園章
emblem_icon_event_you_00001

カバー裏にあります",リリースキーを「202602015」に変更,,,,,,,,,,
【原画のかけら】,"【原画のかけら】a+b
①※参照先：1巻115P
artwork_event_you_0001",リリースキーを「202602015」に変更,,,,,,,,,,
,"②※参照先：2巻072P
版元FBがあったので2巻32P
artwork_event_you_0002",リリースキーを「202602015」に変更,,,,,,,,,,
【コンテンツTOP】プレハブ,"【コンテンツTOP】 プレハブ
・リタ
・ダグ
・ハナ
・ルーク
・雑魚も入れられればお願いします(コメディぽく)
※赤字は必須、残りは入れられたらでOK",リリースキーを「202602015」に変更,,,,,,,,,,
【クエストバナー】デイリー,"プリズム
quest_event_you1_1day",リリースキーを「202602015」に変更,,,,,,,,,,
【クエストバナー】ストーリー1,"【コンテンツTOP】 Sバナーストリー1
【ストーリー】ダグ 編
quest_event_you1_charaget01
ダグが獲得できる",リリースキーを「202602015」に変更,,,,,,,,,,
【クエストバナー】ストーリー2,"【コンテンツTOP】 Sバナーストリー2
【ストーリー】ハナ 編
quest_event_you1_charaget02
ハナが獲得できる",リリースキーを「202602015」に変更,,,,,,,,,,
【クエストバナー】チャレンジ,"【コンテンツTOP】 Sバナーチャレンジ
・元殺し屋の新人教諭 リタのかけら
・ルークのかけら

quest_event_you1_challenge01",リリースキーを「202602015」に変更,,,,,,,,,,
【クエストバナー】高難度,"【コンテンツTOP】 Sバナー高難度
・プリズム
・園章エンブレム
quest_event_you1_savage",リリースキーを「202602015」に変更,,,,,,,,,,
【ステージサムネール】,"キャラ_ダグ
stage_icon_event_you1_00001
ダグのかけら        
stage_icon_event_you1_00002
ダグのメモリー        
stage_icon_event_you1_00003

キャラ_ハナ       
stage_icon_event_you1_00004
ハナのかけら        
stage_icon_event_you1_00005
ハナのメモリー        
stage_icon_event_you1_00006

元殺し屋の新人教諭 リタのかけら       
stage_icon_event_you1_00007
ルークのかけら     
stage_icon_event_you1_00008

エンブレム：ブラック幼稚園園章 
stage_icon_event_you1_00009",リリースキーを「202602015」に変更,,,,,,,,,,
【イベントミッションバナー】ログインボーナス,"【お知らせ】ログインボーナス_Mバナー
幼稚園WARS いいジャン祭 特別ログインボーナス
・元殺し屋の新人教諭 リタ
・ダグ
・ピックアップガシャチケット
event_you_00001_loginbonus",リリースキーを「202602015」に変更,,,,,,,,,,
"【イベントミッションバナー】ミッション
","幼稚園WARS いいジャン祭特別ミッション
「特別ミッション」で名称は今後固定
【お知らせ】ミッション_Mバナー
・ルーク
・ハナ
event_you_00001_mission",リリースキーを「202602015」に変更,,,,,,,,,,
【イベントTOPバナー】いいジャン祭,"報酬：変更なし

「【コンテンツTOP】 プレハブ」の要素を流用して作成",リリースキーを「202602015」に変更,,,,,,,,,,
"【ガシャTOP_Lバナー】
幼稚園WARS いいジャン祭ピックアップガシャ
・元殺し屋の新人教諭 リタ
・ルーク",プレハブ,リリースキーを「202602015」に変更,,,,,,,,,,
