テーブル,列,パターン,説明
MstArtwork,id,artwork_event_sur_[連番],"カテゴリ別連番（カテゴリ: event_sur, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_osh_[連番],"カテゴリ別連番（カテゴリ: event_osh, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_jig_[連番],"カテゴリ別連番（カテゴリ: event_jig, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_you_[連番],"カテゴリ別連番（カテゴリ: event_you, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_kim_[連番],"カテゴリ別連番（カテゴリ: event_kim, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_hut_[連番],"カテゴリ別連番（カテゴリ: event_hut, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_ara_[連番],"カテゴリ別連番（カテゴリ: event_ara, 範囲: 1～1, 件数: 1）"
MstArtwork,id,artwork_event_hyp_[連番],"カテゴリ別連番（カテゴリ: event_hyp, 範囲: 1～1, 件数: 1）"
MstArtwork,id,artwork_event_gam_[連番],"カテゴリ別連番（カテゴリ: event_gam, 範囲: 1～1, 件数: 1）"
MstArtworkFragment,id,artwork_fragment_aka_[連番],"カテゴリ別連番（カテゴリ: fragment_aka, 範囲: 101～316, 件数: 48）"
MstArtworkFragment,id,artwork_fragment_chi_[連番],"カテゴリ別連番（カテゴリ: fragment_chi, 範囲: 101～316, 件数: 48）"
MstArtworkFragment,id,artwork_fragment_dan_[連番],"カテゴリ別連番（カテゴリ: fragment_dan, 範囲: 101～104, 件数: 4）"
MstArtworkFragmentPosition,id,artwork_fragment_dan_[連番],"カテゴリ別連番（カテゴリ: fragment_dan, 範囲: 101～316, 件数: 48）"
MstArtworkFragmentPosition,id,artwork_fragment_gom_[連番],"カテゴリ別連番（カテゴリ: fragment_gom, 範囲: 101～316, 件数: 48）"
MstArtworkFragmentPosition,id,artwork_fragment_jig_[連番],"カテゴリ別連番（カテゴリ: fragment_jig, 範囲: 101～104, 件数: 4）"
MstComebackBonus,id,comeback_1_[連番],"プレフィックス_comeback_1 + 通算連番（範囲: 1～7, 件数: 7）"
MstDailyBonusReward,id,comeback_reward_1_[連番],"プレフィックス_comeback_reward_1 + 通算連番（範囲: 1～7, 件数: 7）"
MstDummyOutpost,id,[連番],"数字のみの通算連番（範囲: 1～90, 件数: 90）"
MstDummyUserI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstDummyUserUnit,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstEmblem,id,emblem_normal_spy_[連番],"カテゴリ別連番（カテゴリ: normal_spy, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_aka_[連番],"カテゴリ別連番（カテゴリ: normal_aka, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_rik_[連番],"カテゴリ別連番（カテゴリ: normal_rik, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_dan_[連番],"カテゴリ別連番（カテゴリ: normal_dan, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_gom_[連番],"カテゴリ別連番（カテゴリ: normal_gom, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_chi_[連番],"カテゴリ別連番（カテゴリ: normal_chi, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_kai_[連番],"カテゴリ別連番（カテゴリ: normal_kai, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_sur_[連番],"カテゴリ別連番（カテゴリ: normal_sur, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_tak_[連番],"カテゴリ別連番（カテゴリ: normal_tak, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_jig_[連番],"カテゴリ別連番（カテゴリ: normal_jig, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_mag_[連番],"カテゴリ別連番（カテゴリ: normal_mag, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_sum_[連番],"カテゴリ別連番（カテゴリ: normal_sum, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_normal_osh_[連番],"カテゴリ別連番（カテゴリ: normal_osh, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_event_kai_[連番],"カテゴリ別連番（カテゴリ: event_kai, 範囲: 1～4, 件数: 4）"
MstEmblem,id,emblem_event_spy_[連番],"カテゴリ別連番（カテゴリ: event_spy, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_event_dan_[連番],"カテゴリ別連番（カテゴリ: event_dan, 範囲: 1～3, 件数: 3）"
MstEmblem,id,emblem_event_mag_[連番],"カテゴリ別連番（カテゴリ: event_mag, 範囲: 1～3, 件数: 3）"
MstEmblem,id,emblem_event_yuw_[連番],"カテゴリ別連番（カテゴリ: event_yuw, 範囲: 1～2, 件数: 2）"
MstEmblem,id,emblem_event_sur_[連番],"カテゴリ別連番（カテゴリ: event_sur, 範囲: 1～3, 件数: 3）"
MstEmblem,id,emblem_event_osh_[連番],"カテゴリ別連番（カテゴリ: event_osh, 範囲: 1～10, 件数: 10）"
MstEmblem,id,emblem_event_jig_[連番],"カテゴリ別連番（カテゴリ: event_jig, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_event_glo_[連番],"カテゴリ別連番（カテゴリ: event_glo, 範囲: 1～2, 件数: 2）"
MstEmblem,id,emblem_event_you_[連番],"カテゴリ別連番（カテゴリ: event_you, 範囲: 1～1, 件数: 1）"
MstEmblem,id,emblem_event_kim_[連番],"カテゴリ別連番（カテゴリ: event_kim, 範囲: 1～3, 件数: 3）"
MstEvent,id,event_kai_[連番],"カテゴリ別連番（カテゴリ: kai, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_spy_[連番],"カテゴリ別連番（カテゴリ: spy, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_dan_[連番],"カテゴリ別連番（カテゴリ: dan, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_mag_[連番],"カテゴリ別連番（カテゴリ: mag, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_yuw_[連番],"カテゴリ別連番（カテゴリ: yuw, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_sur_[連番],"カテゴリ別連番（カテゴリ: sur, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_osh_[連番],"カテゴリ別連番（カテゴリ: osh, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_glo_[連番],"カテゴリ別連番（カテゴリ: glo, 範囲: 1～2, 件数: 2）"
MstEvent,id,event_jig_[連番],"カテゴリ別連番（カテゴリ: jig, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_you_[連番],"カテゴリ別連番（カテゴリ: you, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_kim_[連番],"カテゴリ別連番（カテゴリ: kim, 範囲: 1～1, 件数: 1）"
MstEvent,id,event_hut_[連番],"カテゴリ別連番（カテゴリ: hut, 範囲: 1～1, 件数: 1）"
MstEventBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～72, 件数: 71）"
MstExchangeI18n,id,[連番],"数字のみの通算連番（範囲: 1～4, 件数: 4）"
MstFragmentBox,id,fragment_box_[連番],"プレフィックス_fragment_box + 通算連番（範囲: 1～8, 件数: 8）"
MstIdleIncentiveItem,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstIdleIncentiveReward,id,mst_idle_incentive_reward_[連番],"プレフィックス_mst_idle_incentive_reward + 通算連番（範囲: 1～81, 件数: 81）"
MstInGameSpecialRuleUnitStatus,id,[連番],"数字のみの通算連番（範囲: 1～25, 件数: 25）"
MstItem,id,memory_glo_[連番],"カテゴリ別連番（カテゴリ: glo, 範囲: 1～5, 件数: 5）"
MstItem,id,memory_chara_kai_[連番],"カテゴリ別連番（カテゴリ: chara_kai, 範囲: 501～601, 件数: 2）"
MstItem,id,memory_chara_spy_[連番],"カテゴリ別連番（カテゴリ: chara_spy, 範囲: 301～401, 件数: 2）"
MstItem,id,memory_chara_dan_[連番],"カテゴリ別連番（カテゴリ: chara_dan, 範囲: 201～301, 件数: 2）"
MstItem,id,memory_chara_mag_[連番],"カテゴリ別連番（カテゴリ: chara_mag, 範囲: 401～501, 件数: 2）"
MstItem,id,memory_chara_yuw_[連番],"カテゴリ別連番（カテゴリ: chara_yuw, 範囲: 501～601, 件数: 2）"
MstItem,id,memory_chara_sur_[連番],"カテゴリ別連番（カテゴリ: chara_sur, 範囲: 701～801, 件数: 2）"
MstItem,id,memory_chara_osh_[連番],"カテゴリ別連番（カテゴリ: chara_osh, 範囲: 601～601, 件数: 1）"
MstItem,id,memory_chara_jig_[連番],"カテゴリ別連番（カテゴリ: chara_jig, 範囲: 601～701, 件数: 2）"
MstItem,id,memory_chara_you_[連番],"カテゴリ別連番（カテゴリ: chara_you, 範囲: 201～301, 件数: 2）"
MstItem,id,memory_chara_hut_[連番],"カテゴリ別連番（カテゴリ: chara_hut, 範囲: 201～301, 件数: 2）"
MstItem,id,memory_chara_hyp_[連番],"カテゴリ別連番（カテゴリ: chara_hyp, 範囲: 1～1, 件数: 1）"
MstItem,id,memory_chara_ara_[連番],"カテゴリ別連番（カテゴリ: chara_ara, 範囲: 1～1, 件数: 1）"
MstItemRarityTrade,id,rarity_trade_[連番],"プレフィックス_rarity_trade + 通算連番（範囲: 1～4, 件数: 4）"
MstItemTransition,id,[連番],"数字のみの通算連番（範囲: 1～10041, 件数: 85）"
MstMissionAchievement,id,achievement_2_[連番],"プレフィックス_achievement_2 + 通算連番（範囲: 1～100, 件数: 100）"
MstMissionAchievementDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstMissionDailyBonus,id,daily_bonus_[連番],"プレフィックス_daily_bonus + 通算連番（範囲: 1～7, 件数: 7）"
MstMissionEventDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstMissionLimitedTerm,id,limited_term_[連番],"プレフィックス_limited_term + 通算連番（範囲: 1～48, 件数: 48）"
MstMissionReward,id,mission_reward_[連番],"プレフィックス_mission_reward + 通算連番（範囲: 1～100, 件数: 100）"
MstNgWord,id,ng_[連番],"プレフィックス_ng + 通算連番（範囲: 1～100, 件数: 100）"
MstOutpostEnhancement,id,enhance_1_[連番],"プレフィックス_enhance_1 + 通算連番（範囲: 3～8, 件数: 6）"
MstPack,id,start_chara_pack_[連番],"カテゴリ別連番（カテゴリ: chara_pack, 範囲: 1～1, 件数: 1）"
MstPack,id,start_item_pack_[連番],"カテゴリ別連番（カテゴリ: item_pack, 範囲: 1～2, 件数: 2）"
MstPackContent,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstPvpDummy,id,pvp_dummy_[連番],"プレフィックス_pvp_dummy + 通算連番（範囲: 13～112, 件数: 100）"
MstPvpRewardGroup,id,default_reward_ranking_[連番],"カテゴリ別連番（カテゴリ: reward_ranking, 範囲: 1～8, 件数: 8）"
MstPvpRewardGroup,id,default_reward_rank_[連番],"カテゴリ別連番（カテゴリ: reward_rank, 範囲: 1～16, 件数: 16）"
MstPvpRewardGroup,id,default_reward_totalscore_[連番],"カテゴリ別連番（カテゴリ: reward_totalscore, 範囲: 1～15, 件数: 15）"
MstQuestBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～77, 件数: 77）"
MstQuestEventBonusSchedule,id,[連番],"数字のみの通算連番（範囲: 1～12, 件数: 12）"
MstResultTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～18, 件数: 18）"
MstShopPass,id,premium_pass_[連番],"プレフィックス_premium_pass + 通算連番（範囲: 1～3, 件数: 3）"
MstShopPassEffect,id,premium_pass_01_effect_[連番],"プレフィックス_premium_pass_01_effect + 通算連番（範囲: 1～2, 件数: 2）"
MstSpecialAttackI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstSpeechBalloonI18n,id,[連番],"数字のみの通算連番（範囲: 1～154, 件数: 100）"
MstStageEnhanceRewardParam,id,[連番],"数字のみの通算連番（範囲: 1～14, 件数: 14）"
MstStageEventReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstStageEventSetting,id,[連番],"数字のみの通算連番（範囲: 1～101, 件数: 100）"
MstStageReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstStoreProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstTutorialTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～28, 件数: 24）"
MstUnit,id,chara_dan_[連番],"カテゴリ別連番（カテゴリ: dan, 範囲: 1～301, 件数: 6）"
MstUnit,id,chara_gom_[連番],"カテゴリ別連番（カテゴリ: gom, 範囲: 1～201, 件数: 3）"
MstUnit,id,chara_sur_[連番],"カテゴリ別連番（カテゴリ: sur, 範囲: 1～901, 件数: 10）"
MstUnit,id,chara_jig_[連番],"カテゴリ別連番（カテゴリ: jig, 範囲: 1～701, 件数: 8）"
MstUnit,id,chara_kai_[連番],"カテゴリ別連番（カテゴリ: kai, 範囲: 1～701, 件数: 10）"
MstUnit,id,chara_dos_[連番],"カテゴリ別連番（カテゴリ: dos, 範囲: 1～101, 件数: 2）"
MstUnit,id,chara_chi_[連番],"カテゴリ別連番（カテゴリ: chi, 範囲: 1～301, 件数: 4）"
MstUnit,id,chara_sum_[連番],"カテゴリ別連番（カテゴリ: sum, 範囲: 1～201, 件数: 3）"
MstUnit,id,chara_tak_[連番],"カテゴリ別連番（カテゴリ: tak, 範囲: 1～1, 件数: 1）"
MstUnit,id,chara_rik_[連番],"カテゴリ別連番（カテゴリ: rik, 範囲: 1～101, 件数: 2）"
MstUnit,id,chara_aka_[連番],"カテゴリ別連番（カテゴリ: aka, 範囲: 1～101, 件数: 2）"
MstUnit,id,chara_spy_[連番],"カテゴリ別連番（カテゴリ: spy, 範囲: 1～501, 件数: 6）"
MstUnit,id,chara_bat_[連番],"カテゴリ別連番（カテゴリ: bat, 範囲: 1～101, 件数: 2）"
MstUnit,id,chara_mag_[連番],"カテゴリ別連番（カテゴリ: mag, 範囲: 1～501, 件数: 6）"
MstUnit,id,chara_yuw_[連番],"カテゴリ別連番（カテゴリ: yuw, 範囲: 1～601, 件数: 8）"
MstUnit,id,chara_aha_[連番],"カテゴリ別連番（カテゴリ: aha, 範囲: 1～101, 件数: 2）"
MstUnit,id,chara_ron_[連番],"カテゴリ別連番（カテゴリ: ron, 範囲: 1～101, 件数: 2）"
MstUnit,id,chara_osh_[連番],"カテゴリ別連番（カテゴリ: osh, 範囲: 1～801, 件数: 8）"
MstUnit,id,chara_you_[連番],"カテゴリ別連番（カテゴリ: you, 範囲: 1～301, 件数: 4）"
MstUnit,id,chara_kim_[連番],"カテゴリ別連番（カテゴリ: kim, 範囲: 1～301, 件数: 4）"
MstUnit,id,chara_hut_[連番],"カテゴリ別連番（カテゴリ: hut, 範囲: 1～301, 件数: 4）"
MstUnit,id,chara_gam_[連番],"カテゴリ別連番（カテゴリ: gam, 範囲: 1～1, 件数: 1）"
MstUnit,id,chara_hyp_[連番],"カテゴリ別連番（カテゴリ: hyp, 範囲: 1～1, 件数: 1）"
MstUnit,id,chara_ara_[連番],"カテゴリ別連番（カテゴリ: ara, 範囲: 1～1, 件数: 1）"
MstUnitEncyclopediaEffect,id,unit_encyclopedia_effect_[連番],"プレフィックス_unit_encyclopedia_effect + 通算連番（範囲: 5～1300, 件数: 44）"
MstUnitEncyclopediaReward,id,unit_encyclopedia_reward_rank_[連番],"プレフィックス_unit_encyclopedia_reward_rank + 通算連番（範囲: 5～1300, 件数: 44）"
MstUnitFragmentConvert,id,[連番],"数字のみの通算連番（範囲: 1～8, 件数: 8）"
MstUnitGradeCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～75, 件数: 40）"
MstUnitGradeUp,id,[連番],"数字のみの通算連番（範囲: 1～67, 件数: 32）"
MstUnitLevelUp,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstUnitRankCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）"
MstUnitRankUp,id,[連番],"数字のみの通算連番（範囲: 1～69, 件数: 48）"
MstUnitRoleBonus,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）"
MstUserLevel,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstUserLevelBonus,id,[連番],"数字のみの通算連番（範囲: 1～21, 件数: 21）"
MstUserLevelBonusGroup,id,[連番],"数字のみの通算連番（範囲: 1～31, 件数: 31）"
MstWhiteWord,id,wh_[連番],"プレフィックス_wh + 通算連番（範囲: 1～100, 件数: 100）"
OprGachaDisplayUnitI18n,id,[連番],"数字のみの通算連番（範囲: 1～107, 件数: 84）"
OprGachaUpper,id,[連番],"数字のみの通算連番（範囲: 1～26, 件数: 23）"
OprGachaUseResource,id,[連番],"数字のみの通算連番（範囲: 1～93, 件数: 81）"
OprProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
