,探索詳細設計,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,,,,,,,,,,,,,
,,9-3,14.042,33.88,ミドル②,36,39,14.00,33.00,84.00,203.00,168.00,406.00,674.00,1626.00,1348.00,3252.00,2022.00,4878.00,2190.00,5284.00,16.71
,,9-4,14.521,34.84,ミドル②,37,40,14.00,34.00,87.00,209.00,174.00,418.00,697.00,1672.00,1394.00,3344.00,2091.00,5016.00,2265.00,5434.00,17.17
,,9-5,15.005,35.79,ミドル②,37,41,15.00,35.00,90.00,214.00,180.00,429.00,720.00,1717.00,1440.00,3435.00,2160.00,5153.00,2340.00,5582.00,17.64
,,9-6,15.496,36.75,ミドル②,38,42,15.00,36.00,92.00,220.00,185.00,441.00,743.00,1764.00,1487.00,3528.00,2231.00,5292.00,2416.00,5733.00,18.11
,魔都精兵のスレイブ,10-1,15.993,37.71,ミドル②,38,43,15.00,37.00,95.00,226.00,191.00,452.00,767.00,1810.00,1535.00,3620.00,2302.00,5430.00,2493.00,5882.00,18.58
,,10-2,16.496,38.67,ミドル②,39,44,16.00,38.00,98.00,232.00,197.00,464.00,791.00,1856.00,1583.00,3712.00,2375.00,5568.00,2572.00,6032.00,19.06
,,10-3,17.004,39.64,ミドル②,39,45,17.00,39.00,102.00,237.00,204.00,475.00,816.00,1902.00,1632.00,3805.00,2448.00,5708.00,2652.00,6183.00,19.54
,,10-4,17.519,40.61,ミドル②,40,46,17.00,40.00,105.00,243.00,210.00,487.00,840.00,1949.00,1681.00,3898.00,2522.00,5847.00,2732.00,6334.00,20.02
,,10-5,18.039,41.57,ミドル②,40,47,18.00,41.00,108.00,249.00,216.00,498.00,865.00,1995.00,1731.00,3990.00,2597.00,5986.00,2813.00,6484.00,20.50
,,10-6,18.565,42.55,ミドル②,41,48,18.00,42.00,111.00,255.00,222.00,510.00,891.00,2042.00,1782.00,4084.00,2673.00,6127.00,2895.00,6637.00,20.98
,トマトイプーのリコピン,11-1,19.096,43.52,ミドル②,41,49,19.00,43.00,114.00,261.00,229.00,522.00,916.00,2088.00,1833.00,4177.00,2749.00,6266.00,2978.00,6788.00,21.47
,,11-2,19.633,44.49,ミドル②,41,50,19.00,44.00,117.00,266.00,235.00,533.00,942.00,2135.00,1884.00,4271.00,2827.00,6406.00,3062.00,6939.00,21.95
,,11-3,20.176,45.47,ミドル②,41,51,20.00,45.00,121.00,272.00,242.00,545.00,968.00,2182.00,1936.00,4365.00,2905.00,6547.00,3147.00,7092.00,22.44
,"GLOW
オリジナルクエスト3",12-1,20.724,46.45,ミドル②,42,52,20.00,46.00,124.00,278.00,248.00,557.00,994.00,2229.00,1989.00,4459.00,2984.00,6688.00,3232.00,7245.00,22.94
,,12-2,21.277,47.43,ミドル②,42,53,21.00,47.00,127.00,284.00,255.00,569.00,1021.00,2276.00,2042.00,4553.00,3063.00,6829.00,3318.00,7398.00,23.43
,,12-3,21.836,48.42,ミドル②,42,54,21.00,48.00,131.00,290.00,262.00,581.00,1048.00,2324.00,2096.00,4648.00,3144.00,6972.00,3406.00,7553.00,23.92
,株式会社マジルミエ,13-1,22.400,49.40,ミドル②,43,55,22.00,49.00,134.00,296.00,268.00,592.00,1075.00,2371.00,2150.00,4742.00,3225.00,7113.00,3493.00,7705.00,24.42
,,13-2,22.969,50.39,ミドル②,43,56,22.00,50.00,137.00,302.00,275.00,604.00,1102.00,2418.00,2205.00,4837.00,3307.00,7256.00,3582.00,7860.00,24.92
,,13-3,23.543,51.38,ミドル②,43,57,23.00,51.00,141.00,308.00,282.00,616.00,1130.00,2466.00,2260.00,4932.00,3390.00,7398.00,3672.00,8014.00,25.42
,,13-4,24.123,52.37,ミドル②,44,58,24.00,52.00,144.00,314.00,289.00,628.00,1157.00,2513.00,2315.00,5027.00,3473.00,7541.00,3762.00,8169.00,25.92
,,13-5,24.708,53.36,ミドル②,44,59,24.00,53.00,148.00,320.00,296.00,640.00,1185.00,2561.00,2371.00,5122.00,3557.00,7683.00,3853.00,8323.00,26.43
,,13-5,25.298,54.35,ミドル②,44,60,25.00,54.00,151.00,326.00,303.00,652.00,1214.00,2608.00,2428.00,5217.00,3642.00,7826.00,3945.00,8478.00,26.94
,サマータイムレンダ,14-1,25.892,55.35,ミドル②,45,61,25.00,55.00,155.00,332.00,310.00,664.00,1242.00,2656.00,2485.00,5313.00,3728.00,7970.00,4038.00,8634.00,27.44
,,14-2,26.492,56.35,ミドル②,47,62,26.00,56.00,158.00,338.00,317.00,676.00,1271.00,2704.00,2543.00,5409.00,3814.00,8114.00,4131.00,8790.00,27.95
,,14-3,27.097,57.34,コア,49,63,27.00,57.00,162.00,344.00,325.00,688.00,1300.00,2752.00,2601.00,5504.00,3901.00,8256.00,4226.00,8944.00,28.46
,,14-4,27.706,58.34,コア,51,64,27.00,58.00,166.00,350.00,332.00,700.00,1329.00,2800.00,2659.00,5600.00,3989.00,8400.00,4321.00,9100.00,28.98
,,14-5,28.321,59.35,コア,51,65,28.00,59.00,169.00,356.00,339.00,712.00,1359.00,2848.00,2718.00,5697.00,4078.00,8546.00,4417.00,9258.00,29.49
,,14-6,28.940,60.35,コア,53,66,28.00,60.00,173.00,362.00,347.00,724.00,1389.00,2896.00,2778.00,5793.00,4167.00,8690.00,4514.00,9414.00,30.01
,怪獣８号,15-1,29.564,61.36,コア,54,67,29.00,61.00,177.00,368.00,354.00,736.00,1419.00,2945.00,2838.00,5890.00,4257.00,8835.00,4611.00,9571.00,30.53
,,15-2,30.193,62.36,コア,55,68,30.00,62.00,181.00,374.00,362.00,748.00,1449.00,2993.00,2898.00,5986.00,4347.00,8979.00,4709.00,9727.00,31.05
,,15-3,30.827,63.37,コア,56,69,30.00,63.00,184.00,380.00,369.00,760.00,1479.00,3041.00,2959.00,6083.00,4439.00,9125.00,4808.00,9885.00,31.57
,,15-4,31.465,64.38,コア,57,70,31.00,64.00,188.00,386.00,377.00,772.00,1510.00,3090.00,3020.00,6180.00,4530.00,9270.00,4907.00,10042.00,32.09
,,15-5,32.108,65.39,コア,58,71,32.00,65.00,192.00,392.00,385.00,784.00,1541.00,3138.00,3082.00,6277.00,4623.00,9416.00,5008.00,10200.00,32.61
,,15-6,32.755,66.40,コア,59,72,32.00,66.00,196.00,398.00,393.00,796.00,1572.00,3187.00,3144.00,6374.00,4716.00,9561.00,5109.00,10357.00,33.14
,"GLOW
オリジナルクエスト4",16-1,33.407,67.42,コア,59,73,33.00,67.00,200.00,404.00,400.00,809.00,1603.00,3236.00,3207.00,6472.00,4810.00,9708.00,5210.00,10517.00,33.67
,,16-2,34.064,68.43,コア,59,74,34.00,68.00,204.00,410.00,408.00,821.00,1635.00,3284.00,3270.00,6569.00,4905.00,9853.00,5313.00,10674.00,34.20
,,16-3,34.725,69.45,コア,59,75,34.00,69.00,208.00,416.00,416.00,833.00,1666.00,3333.00,3333.00,6667.00,5000.00,10000.00,5416.00,10833.00,34.73
,,,,,,,,,,,,,,,,,,,4000,,,
