,探索詳細設計,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,※獲得時、少数以下は切り捨てます。　,,,,,,,,,,,,,,探索画面表示,※少数第3位まで表示されます
,,4-2,5.290,4.289,ライト,29,17,5.00,4.00,31.00,25.00,63.00,51.00,253.00,205.00,507.00,411.00,761.00,617.00,824.00,668.00,7.21,,31.740,25.734
,,4-3,5.603,4.548,ライト,29,18,5.00,4.00,33.00,27.00,67.00,54.00,268.00,218.00,537.00,436.00,806.00,654.00,873.00,708.00,7.60,,33.618,27.288
,ダンダダン,5-1,5.926,4.811,ライト,30,19,5.00,4.00,35.00,28.00,71.00,57.00,284.00,230.00,568.00,461.00,853.00,692.00,924.00,749.00,8.00,,35.556,28.866
,,5-2,6.258,5.078,ライト,30,20,6.00,5.00,37.00,30.00,75.00,60.00,300.00,243.00,600.00,487.00,901.00,731.00,976.00,791.00,8.40,,37.548,30.468
,,5-3,6.598,5.348,ミドル①,30,21,6.00,5.00,39.00,32.00,79.00,64.00,316.00,256.00,633.00,513.00,950.00,770.00,1029.00,834.00,8.81,,39.588,32.088
,,5-4,6.947,5.621,ミドル①,31,22,6.00,5.00,41.00,33.00,83.00,67.00,333.00,269.00,666.00,539.00,1000.00,809.00,1083.00,876.00,9.22,,41.682,33.726
,,5-5,7.305,5.898,ミドル①,31,23,7.00,5.00,43.00,35.00,87.00,70.00,350.00,283.00,701.00,566.00,1051.00,849.00,1138.00,919.00,9.63,,43.830,35.388
,,5-6,7.671,6.177,ミドル①,31,24,7.00,6.00,46.00,37.00,92.00,74.00,368.00,296.00,736.00,592.00,1104.00,889.00,1196.00,963.00,10.05,,46.026,37.062
,地獄楽,6-1,8.044,6.460,ミドル①,31,25,8.00,6.00,48.00,38.00,96.00,77.00,386.00,310.00,772.00,620.00,1158.00,930.00,1254.00,1007.00,10.47,,48.264,38.760
,,6-2,8.426,6.746,ミドル①,31,26,8.00,6.00,50.00,40.00,101.00,80.00,404.00,323.00,808.00,647.00,1213.00,971.00,1314.00,1051.00,10.90,,50.556,40.476
,,6-3,8.815,7.035,ミドル①,32,27,8.00,7.00,52.00,42.00,105.00,84.00,423.00,337.00,846.00,675.00,1269.00,1013.00,1374.00,1097.00,11.33,,52.890,42.210
,,6-4,9.212,7.327,ミドル①,32,28,9.00,7.00,55.00,43.00,110.00,87.00,442.00,351.00,884.00,703.00,1326.00,1055.00,1436.00,1142.00,11.76,,55.272,43.962
,,6-5,9.617,7.621,ミドル①,32,29,9.00,7.00,57.00,45.00,115.00,91.00,461.00,365.00,923.00,731.00,1384.00,1097.00,1499.00,1188.00,12.20,,57.702,45.726
,,6-6,10.028,7.918,ミドル①,33,30,10.00,7.00,60.00,47.00,120.00,95.00,481.00,380.00,962.00,760.00,1444.00,1140.00,1564.00,1235.00,12.63,,60.168,47.508
,タコピーの原罪,7-1,10.447,8.217,ミドル①,33,31,10.00,8.00,62.00,49.00,125.00,98.00,501.00,394.00,1002.00,788.00,1504.00,1183.00,1629.00,1281.00,13.08,,62.682,49.302
,,7-2,10.873,8.519,ミドル①,33,32,10.00,8.00,65.00,51.00,130.00,102.00,521.00,408.00,1043.00,817.00,1565.00,1226.00,1695.00,1328.00,13.52,,65.238,51.114
,,7-3,11.306,8.823,ミドル①,34,33,11.00,8.00,67.00,52.00,135.00,105.00,542.00,423.00,1085.00,847.00,1628.00,1270.00,1763.00,1375.00,13.97,,67.836,52.938
,"GLOW
オリジナルクエスト2",8-1,11.745,9.130,ミドル①,35,34,11.00,9.00,70.00,54.00,140.00,109.00,563.00,438.00,1127.00,876.00,1691.00,1314.00,1831.00,1423.00,14.42,,70.470,54.780
,,8-2,12.192,9.439,ミドル①,35,35,12.00,9.00,73.00,56.00,146.00,113.00,585.00,453.00,1170.00,906.00,1755.00,1359.00,1901.00,1472.00,14.87,,73.152,56.634
,,8-3,12.645,9.751,ミドル①,35,36,12.00,9.00,75.00,58.00,151.00,117.00,606.00,468.00,1213.00,936.00,1820.00,1404.00,1971.00,1521.00,15.33,,75.870,58.506
,チェンソーマン 一部,9-1,13.104,10.064,ミドル①,35,37,13.00,10.00,78.00,60.00,157.00,120.00,628.00,483.00,1257.00,966.00,1886.00,1449.00,2043.00,1569.00,15.78,,78.624,60.384
,,9-2,13.570,10.380,ミドル②,36,38,13.00,10.00,81.00,62.00,162.00,124.00,651.00,498.00,1302.00,996.00,1954.00,1494.00,2116.00,1618.00,16.24,,81.420,62.280
,,9-3,14.042,10.698,ミドル②,36,39,14.00,10.00,84.00,64.00,168.00,128.00,674.00,513.00,1348.00,1027.00,2022.00,1540.00,2190.00,1668.00,16.71,,84.252,64.188
,,9-4,14.521,11.018,ミドル②,37,40,14.00,11.00,87.00,66.00,174.00,132.00,697.00,528.00,1394.00,1057.00,2091.00,1586.00,2265.00,1718.00,17.17,,87.126,66.108
,,9-5,15.005,11.340,ミドル②,37,41,15.00,11.00,90.00,68.00,180.00,136.00,720.00,544.00,1440.00,1088.00,2160.00,1632.00,2340.00,1768.00,17.64,,90.030,68.040
,,9-6,15.496,11.664,ミドル②,38,42,15.00,11.00,92.00,69.00,185.00,139.00,743.00,559.00,1487.00,1119.00,2231.00,1679.00,2416.00,1818.00,18.11,,92.976,69.984
,魔都精兵のスレイブ,10-1,15.993,11.991,ミドル②,38,43,15.00,11.00,95.00,71.00,191.00,143.00,767.00,575.00,1535.00,1151.00,2302.00,1726.00,2493.00,1869.00,18.58,,95.958,71.946
,,10-2,16.496,12.319,ミドル②,39,44,16.00,12.00,98.00,73.00,197.00,147.00,791.00,591.00,1583.00,1182.00,2375.00,1773.00,2572.00,1920.00,19.06,,98.976,73.914
,,10-3,17.004,12.649,ミドル②,39,45,17.00,12.00,102.00,75.00,204.00,151.00,816.00,607.00,1632.00,1214.00,2448.00,1821.00,2652.00,1972.00,19.54,,102.024,75.894
,,10-4,17.519,12.981,ミドル②,40,46,17.00,12.00,105.00,77.00,210.00,155.00,840.00,623.00,1681.00,1246.00,2522.00,1869.00,2732.00,2024.00,20.02,,105.114,77.886
,,10-5,18.039,13.314,ミドル②,40,47,18.00,13.00,108.00,79.00,216.00,159.00,865.00,639.00,1731.00,1278.00,2597.00,1917.00,2813.00,2076.00,20.50,,108.234,79.884
,,10-6,18.565,13.650,ミドル②,41,48,18.00,13.00,111.00,81.00,222.00,163.00,891.00,655.00,1782.00,1310.00,2673.00,1965.00,2895.00,2128.00,20.98,,111.390,81.900
,トマトイプーのリコピン,11-1,19.096,13.987,ミドル②,41,49,19.00,13.00,114.00,83.00,229.00,167.00,916.00,671.00,1833.00,1342.00,2749.00,2014.00,2978.00,2181.00,21.47,,114.576,83.922
,,11-2,19.633,14.326,ミドル②,41,50,19.00,14.00,117.00,85.00,235.00,171.00,942.00,687.00,1884.00,1375.00,2827.00,2062.00,3062.00,2233.00,21.95,,117.798,85.956
,,11-3,20.176,14.667,ミドル②,41,51,20.00,14.00,121.00,88.00,242.00,176.00,968.00,704.00,1936.00,1408.00,2905.00,2112.00,3147.00,2288.00,22.44,,121.056,88.002
,"GLOW
オリジナルクエスト3",12-1,20.724,15.010,ミドル②,42,52,20.00,15.00,124.00,90.00,248.00,180.00,994.00,720.00,1989.00,1440.00,2984.00,2161.00,3232.00,2341.00,22.94,,124.344,90.060
,,12-2,21.277,15.354,ミドル②,42,53,21.00,15.00,127.00,92.00,255.00,184.00,1021.00,736.00,2042.00,1473.00,3063.00,2210.00,3318.00,2394.00,23.43,,127.662,92.124
,,12-3,21.836,15.700,ミドル②,42,54,21.00,15.00,131.00,94.00,262.00,188.00,1048.00,753.00,2096.00,1507.00,3144.00,2260.00,3406.00,2448.00,23.92,,131.016,94.200
,株式会社マジルミエ,13-1,22.400,16.047,ミドル②,43,55,22.00,16.00,134.00,96.00,268.00,192.00,1075.00,770.00,2150.00,1540.00,3225.00,2310.00,3493.00,2502.00,24.42,,134.400,96.282
,,13-2,22.969,16.396,ミドル②,43,56,22.00,16.00,137.00,98.00,275.00,196.00,1102.00,787.00,2205.00,1574.00,3307.00,2361.00,3582.00,2557.00,24.92,,137.814,98.376
,,13-3,23.543,16.747,ミドル②,43,57,23.00,16.00,141.00,100.00,282.00,200.00,1130.00,803.00,2260.00,1607.00,3390.00,2411.00,3672.00,2611.00,25.42,,141.258,100.482
,,13-4,24.123,17.099,ミドル②,44,58,24.00,17.00,144.00,102.00,289.00,205.00,1157.00,820.00,2315.00,1641.00,3473.00,2462.00,3762.00,2667.00,25.92,,144.738,102.594
,,13-5,24.708,17.453,ミドル②,44,59,24.00,17.00,148.00,104.00,296.00,209.00,1185.00,837.00,2371.00,1675.00,3557.00,2513.00,3853.00,2722.00,26.43,,148.248,104.718
,,13-5,25.298,17.808,ミドル②,44,60,25.00,17.00,151.00,106.00,303.00,213.00,1214.00,854.00,2428.00,1709.00,3642.00,2564.00,3945.00,2777.00,26.94,,151.788,106.848
,サマータイムレンダ,14-1,25.892,18.165,ミドル②,45,61,25.00,18.00,155.00,108.00,310.00,217.00,1242.00,871.00,2485.00,1743.00,3728.00,2615.00,4038.00,2832.00,27.44,,155.352,108.990
,,14-2,26.492,18.524,ミドル②,47,62,26.00,18.00,158.00,111.00,317.00,222.00,1271.00,889.00,2543.00,1778.00,3814.00,2667.00,4131.00,2889.00,27.95,,158.952,111.144
,,14-3,27.097,18.883,コア,49,63,27.00,18.00,162.00,113.00,325.00,226.00,1300.00,906.00,2601.00,1812.00,3901.00,2719.00,4226.00,2945.00,28.46,,162.582,113.298
,,14-4,27.706,19.245,コア,51,64,27.00,19.00,166.00,115.00,332.00,230.00,1329.00,923.00,2659.00,1847.00,3989.00,2771.00,4321.00,3001.00,28.98,,166.236,115.470
,,14-5,28.321,19.607,コア,51,65,28.00,19.00,169.00,117.00,339.00,235.00,1359.00,941.00,2718.00,1882.00,4078.00,2823.00,4417.00,3058.00,29.49,,169.926,117.642
,,14-6,28.940,19.971,コア,53,66,28.00,19.00,173.00,119.00,347.00,239.00,1389.00,958.00,2778.00,1917.00,4167.00,2875.00,4514.00,3114.00,30.01,,173.640,119.826
,怪獣８号,15-1,29.564,20.337,コア,54,67,29.00,20.00,177.00,122.00,354.00,244.00,1419.00,976.00,2838.00,1952.00,4257.00,2928.00,4611.00,3172.00,30.53,,177.384,122.022
,,15-2,30.193,20.704,コア,55,68,30.00,20.00,181.00,124.00,362.00,248.00,1449.00,993.00,2898.00,1987.00,4347.00,2981.00,4709.00,3229.00,31.05,,181.158,124.224
,,15-3,30.827,21.072,コア,56,69,30.00,21.00,184.00,126.00,369.00,252.00,1479.00,1011.00,2959.00,2022.00,4439.00,3034.00,4808.00,3286.00,31.57,,184.962,126.432
,,15-4,31.465,21.442,コア,57,70,31.00,21.00,188.00,128.00,377.00,257.00,1510.00,1029.00,3020.00,2058.00,4530.00,3087.00,4907.00,3344.00,32.09,,188.790,128.652
,,15-5,32.108,21.813,コア,58,71,32.00,21.00,192.00,130.00,385.00,261.00,1541.00,1047.00,3082.00,2094.00,4623.00,3141.00,5008.00,3402.00,32.61,,192.648,130.878
,,15-6,32.755,22.185,コア,59,72,32.00,22.00,196.00,133.00,393.00,266.00,1572.00,1064.00,3144.00,2129.00,4716.00,3194.00,5109.00,3460.00,33.14,,196.530,133.110
,"GLOW
オリジナルクエスト4",16-1,33.407,22.559,コア,59,73,33.00,22.00,200.00,135.00,400.00,270.00,1603.00,1082.00,3207.00,2165.00,4810.00,3248.00,5210.00,3518.00,33.67,,200.442,135.354
,,16-2,34.064,22.934,コア,59,74,34.00,22.00,204.00,137.00,408.00,275.00,1635.00,1100.00,3270.00,2201.00,4905.00,3302.00,5313.00,3577.00,34.20,,204.384,137.604
,,16-3,34.725,24.310,コア,59,75,34.00,24.00,208.00,145.00,416.00,291.00,1666.00,1166.00,3333.00,2333.00,5000.00,3500.00,5416.00,3791.00,34.73,,208.350,145.860
,【推しの子】,17-1,35.391,25.063,コア,59,76,35.00,25.00,212.00,150.00,424.00,300.00,1698.00,1203.00,3397.00,2406.00,5096.00,3609.00,5520.00,3909.00,35.26,,212.346,150.378
,,17-2,36.061,25.442,コア,59,77,36.00,25.00,216.00,152.00,432.00,305.00,1730.00,1221.00,3461.00,2442.00,5192.00,3663.00,5624.00,3968.00,35.79,,216.366,152.652
,,17-3,36.735,25.822,コア,59,78,36.00,25.00,220.00,154.00,440.00,309.00,1763.00,1239.00,3526.00,2478.00,5289.00,3718.00,5729.00,4027.00,36.32,,220.410,154.932
,,,,,,,,,,,,,,,,,,,1400,,,,,,
