作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ,ラベル,属性,キャラ立ち位置,ロール,通常攻撃モーション,攻撃射程,必殺ワザモーション,必殺ワザ発動有無,通常攻撃モーション,通常攻撃発生,必殺攻撃モーション,必殺攻撃発生,valid_start_date,valid_end_date,catch_copy_image_filename,ノーマル敵専用アイコン_ID,BOSS専用アイコン_ID,通常攻撃Asset,必殺ワザAsset
aka,ラーメン赤猫,00301,chara_aka_00301,サブ,サブ,プロゲーマーとか無理っすよ,SR,DropSR,緑,chara,アタック,dageki_1,,shageki_1,,1.33,stop有:1回目 0.55,2.53,"stop無:1回目 0.76
stop無:2回目 0.91
stop有:3回目 1.4",2026年5月中旬のアニマル祭りで実装予定,2970-01-01 11:59:59,catchcopy_character_chara_aka_00301.png,enemy_icon_chara_aka_00301,boss_icon_chara_aka_00301,chara_aka_00101_normal,chara_aka_00101_special
rik,トマトイプーのリコピン,00001,chara_rik_00001,リコピン,リコピン,トマト果汁は健康の証,R,PremiumR,赤,chara,アタック,dageki_2,Short,dageki_2,00001,1.64,0.93,4.01,"1回目：0.83
2回目：1.84
3回目：2.67",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_rik_00001.png,enemy_icon_chara_rik_00001,boss_icon_chara_rik_00001,chara_rik_00001_normal,chara_rik_00001_special
rik,トマトイプーのリコピン,00101,chara_rik_00101,甘戸 めめ,甘戸 めめ,モンブランケーキ,R,DropR,赤,chara,サポート,dageki_2,Middle,-,00101,1.57,0.87,2.67,stop無:1.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_rik_00101.png,enemy_icon_chara_rik_00101,boss_icon_chara_rik_00101,chara_rik_00101_normal,chara_rik_00101_special
dan,ダンダダン,00001,chara_dan_00001,オカルン,オカルン,友達ができたからだ！,R,PremiumR,赤,chara,ディフェンス,dageki_1,Short,-,00001,1.43,0.53,4.00,1.66,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dan_00001.png,enemy_icon_chara_dan_00001,boss_icon_chara_dan_00001,chara_dan_00001_normal,chara_dan_00001_special
dan,ダンダダン,00002,chara_dan_00002,ターボババアの霊力 オカルン,ターボババアの霊力 オカルン,萎えるぜ,UR,PremiumUR,青,chara,アタック,dageki_1,Middle,dageki_1,00002,1.84,"stop有:1回目 0.66
stop有:2回目 1.27",5.21,"stop有:1回目：1.78
stop有:2回目：3.34
stop無:3回目 3.76
stop無:4回目 3.92
stop無:5回目 4.09
stop無:6回目 4.26
stop無:7回目 4.42",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dan_00002.png,enemy_icon_chara_dan_00002,boss_icon_chara_dan_00002,,chara_dan_00002_special
dan,ダンダダン,00101,chara_dan_00101,モモ,モモ,おっしゃあ いけえ!!,SSR,PremiumSSR,赤,chara,アタック,dageki_1,Middle,dageki_1,00101,1.00,0.50,2.00,1.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dan_00101.png,enemy_icon_chara_dan_00101,boss_icon_chara_dan_00101,chara_dan_00101_normal,chara_dan_00101_special
dan,ダンダダン,00201,chara_dan_00201,アイラ,アイラ,私って美女すぎる,SR,DropSR,青,chara,サポート,dageki_2,Short,-,00201,1.5,stop有:1回目 0.43,2.50,stop無:1回目：1.33,2025/10/22 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dan_00201.png,enemy_icon_chara_dan_00201,boss_icon_chara_dan_00201,chara_dan_00201_normal,chara_dan_00201_special
dan,ダンダダン,00202,chara_dan_00202,アクさらの愛 アイラ,アクさらの愛 アイラ,お放しなさい!!,UR,PremiumUR,緑,chara,アタック,dageki_1,Middle,dageki_1,00202,1.37,0.45,2.44,"stop無:1回目:0.30
stop無:2回目:0.65
stop有:3回目:1.05",2025/10/22 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dan_00202.png,enemy_icon_chara_dan_00202,boss_icon_chara_dan_00202,chara_dan_00202_normal,chara_dan_00202_special
dan,ダンダダン,00301,chara_dan_00301,招き猫 ターボババア,招き猫 ターボババア,クソだらあ!!,SR,DropSR,黄,chara,ディフェンス,dageki_1,Short,-,00301,1.60,"stop無:1回目 0.38
stop無:2回目 0.83
stop無:3回目 1.16",1.83,stop無:1回目：0.30,2025/10/22 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_dan_00301.png,enemy_icon_chara_dan_00301,boss_icon_chara_dan_00301,chara_dan_00301_normal,chara_dan_00301_special
dan,ダンダダン,00501,chara_dan_00501,坂田 金太,選定中,,SSR,DropSSR,青,chara,ディフェンス,dageki_2,Short,dageki_1,,1.6,0.92,2.67,stop有:1.05,実装未定,2970-01-01 11:59:59,catchcopy_character_chara_dan_00501.png,enemy_icon_chara_dan_00501,boss_icon_chara_dan_00501,,
dan,ダンダダン,00601,chara_dan_00601,星子,選定中,,UR,PremiumUR,黄,chara,サポート,dageki_1,Short,-,,1.37,stop有:0.50,2.5,stop無:1.57,ハーフアニバ想定,2970-01-01 11:59:59,catchcopy_character_chara_dan_00601.png,enemy_icon_chara_dan_00601,boss_icon_chara_dan_00601,,
dan,ダンダダン,00701,chara_dan_00701,オカルン＆ターボババア,選定中,,UR,FestivalUR,黄,chara,テクニカル,,,,,,,,,,,,,,,
gom,姫様“拷問”の時間です,00001,chara_gom_00001,囚われの王女 姫様,囚われの王女 姫様,決して屈しない！,UR,PremiumUR,緑,chara,ディフェンス,dageki_1,Short,-,00001,1.30,stop有:1回目 0.50,4.00,stop無:1回目 2.3,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_gom_00001.png,enemy_icon_chara_gom_00001,boss_icon_chara_gom_00001,chara_gom_00001_normal,chara_gom_00001_special
gom,姫様“拷問”の時間です,00101,chara_gom_00101,トーチャー・トルチュール,トーチャー・トルチュール,“拷問”の時間です,SR,PremiumSR,黄,chara,テクニカル,dageki_2,Short,dageki_1,00101,1.34,stop無:1回目 0.43,4.84,stop無:1回目 3.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_gom_00101.png,enemy_icon_chara_gom_00101,boss_icon_chara_gom_00101,chara_gom_00101_normal,chara_gom_00101_special
gom,姫様“拷問”の時間です,00201,chara_gom_00201,クロル,クロル,ワンちゃん大量作戦だ☆,R,DropR,黄,chara,アタック,dageki_1,Long,dageki_1,00201,1.43,"stop無:1回目 0.40
stop無:2回目 0.60
stop無:3回目 0.80",5.00,"stop無:1回目 2.10
stop無:2回目 2.30
stop無:3回目 2.50
stop無:4回目 2.70
stop無:5回目 2.90
stop無:6回目 3.20
stop無:7回目 3.40
stop無:8回目 3.60
stop無:9回目 3.80",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_gom_00201.png,enemy_icon_chara_gom_00201,boss_icon_chara_gom_00201,chara_gom_00201_normal,chara_gom_00201_special
gom,姫様“拷問”の時間です,00301,chara_gom_00301,魔王 ゴッドサンダー,悪のカリスマ 魔王ゴッドサンダー,全欲望は我が物！,UR,PremiumUR,赤,chara,アタック,,,,,1.37,stop有: 0.55,2.67,stop有: 1.5,(仮)2026/03/01 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_gom_00301,boss_icon_chara_gom_00301,,
gom,姫様“拷問”の時間です,00401,chara_gom_00401,マオマオちゃん,マオマオちゃん,ごーもんの時間だよ！,SSR,PremiumSSR,無,chara,スペシャル,-,,,,-,-,2.5,stop無: 1,(仮)2026/03/01 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_gom_00401,boss_icon_chara_gom_00401,,
gom,姫様“拷問”の時間です,00501,chara_gom_00501,陽鬼,陽鬼,私からやらせてもらうよ,SR,DropSR,緑,chara,アタック,shageki_1,Long,shageki_1,Long,1.37,stop有: 0.51,2.67,"stop無:1回目 0.5
stop無:2回目 1.3
stop有:3回目 2.08",(仮)2026/03/01 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_gom_00501,boss_icon_chara_gom_00501,,
gom,姫様“拷問”の時間です,00601,chara_gom_00601,陰鬼,陰鬼,仕事は仕事だよ,SR,DropSR,赤,chara,テクニカル,dageki_2,Short,dageki_2,Short,1.37,stop有: 0.33,2.33,"stop無:1回目 0.46
stop無:2回目 0.61
stop無:3回目 0.81
stop有:4回目 1.01",(仮)2026/03/01 15:00:00,2970-01-01 11:59:59,,enemy_icon_chara_gom_00601,boss_icon_chara_gom_00601,,
gom,姫様“拷問”の時間です,00701,chara_gom_00701,カナッジ,カナッジ,魔王様!!,SR,DropSR,赤,chara,テクニカル,,,,,1.57,stop有: 0.42,2.27,stop無: 0.92,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_gom_00701,boss_icon_chara_gom_00701,,
chi,チェンソーマン,00001,chara_chi_00001,デンジ,デンジ,股間！しか！狙わねえ！,R,PremiumR,緑,chara,アタック,zangeki_1,Short,dageki_1,00001,1.40,0.53,3.37,1.57,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_chi_00001.png,enemy_icon_chara_chi_00001,boss_icon_chara_chi_00001,chara_chi_00001_normal,chara_chi_00001_special
chi,チェンソーマン,00002,chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,悪魔が恐れる悪魔 チェンソーマン,ぶっ殺さねえとなあ！,UR,PremiumUR,黄,chara,テクニカル,zangeki_1,Short,zangeki_1,00002,1.07,stop無:1回目 0.66,3.74,"stop無:1回目 0.53
stop無:2回目 0.70
stop無:3回目 0.90
stop無:4回目 1.03
stop無:5回目 1.23
stop有:6回目 2.62",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_chi_00002.png,enemy_icon_chara_chi_00002,boss_icon_chara_chi_00002,chara_chi_00002_normal,chara_chi_00002_special
chi,チェンソーマン,00201,chara_chi_00201,早川 アキ,早川 アキ,狐の悪魔,SSR,PremiumSSR,緑,chara,アタック,dageki_1,Short,dageki_2,00201,1.60,0.84,2.44,1.64,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_chi_00201.png,enemy_icon_chara_chi_00201,boss_icon_chara_chi_00201,chara_chi_00201_normal,chara_chi_00201_special
chi,チェンソーマン,00301,chara_chi_00301,パワー,パワー,血の匂いじゃ！,SSR,PremiumSSR,青,chara,アタック,dageki_1,Middle,dageki_1,00201,1.50,0.58,2.67,1.00,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_chi_00201.png,enemy_icon_chara_chi_00301,boss_icon_chara_chi_00301,chara_chi_00301_normal,chara_chi_00301_special
chi,チェンソーマン,00401,chara_chi_00401,マキマ,選定中,,UR,PremiumUR,調整中,chara,調整中,,,,,-,-,2.5,0,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_chi_00401,boss_icon_chara_chi_00401,,
chi,チェンソーマン,00501,chara_chi_00501,姫野,選定中,,SSR,PremiumSSR,調整中,chara,調整中,,,,,1.17,.5,1.87,stop有:1,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_chi_00501,boss_icon_chara_chi_00501,,
chi,チェンソーマン,00601,chara_chi_00601,小紅,選定中,,SR,DropSR,調整中,chara,調整中,,,,,1.30,stop有:1回目 0.36,2.07,stop有:1回目 1.20,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_chi_00601,boss_icon_chara_chi_00601,,
chi,チェンソーマン,00701,chara_chi_00701,沢渡 アカネ,選定中,,SR,DropSR,調整中,chara,調整中,,,,,1.2,0.27,2.27,stop有:0.86,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_chi_00701,boss_icon_chara_chi_00701,,
chi,チェンソーマン,00801,chara_chi_00801,サムライソード,選定中,,SR,DropSR,調整中,chara,調整中,,,,,1.37,stop有:1回目0.58,2.07,stop有:1回目0.91,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_chi_00801,boss_icon_chara_chi_00801,,
chi,チェンソーマン,00901,chara_chi_00901,レゼ,選定中,,UR,,,chara,,,,,,,,,,,,,,,,
bat,忘却バッテリー,00001,chara_bat_00001,清峰 葉流火,清峰 葉流火,負ける気なんて毛頭ない,SR,PremiumSR,赤,chara,アタック,dageki_1,Long,dageki_2,00001,1.97,0.70,2.07,0.96,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_bat_00001.png,enemy_icon_chara_bat_00001,boss_icon_chara_bat_00001,chara_bat_00001_normal,chara_bat_00001_special
bat,忘却バッテリー,00101,chara_bat_00101,要 圭,要 圭,天才捕手 要圭,SR,PremiumSR,赤,chara,ディフェンス,dageki_1,Middle,-,00101,,0.75,3.00,1.20,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_bat_00101.png,enemy_icon_chara_bat_00101,boss_icon_chara_bat_00101,chara_bat_00101_normal,chara_bat_00101_special
bat,忘却バッテリー,00102,chara_bat_00102,智将 要 圭,選定中,,UR,PremiumUR,無,chara,スペシャル,,,,,-,-,2.5,stop無:1回目 1,,,,,,,
bat,忘却バッテリー,00201,chara_bat_00201,千早 瞬平,選定中,,SR,DropSR,緑,chara,,,,,,1.55,stop有:1回目 1.08,2.65,stop有:1回目 1.08,,,,,,,
bat,忘却バッテリー,00301,chara_bat_00301,藤堂 葵,選定中,,SR,DropSR,青,chara,,,,,,1.77,stop有:1回目 0.7,2.67,stop有:1回目 1.15,,,,,,,
kai,怪獣８号,00001,chara_kai_00001,日比野 カフカ,日比野 カフカ,部分変身!!,R,PremiumR,黄,chara,アタック,dageki_1,Short,-,00001,1.83,1.00,2.33,1.33,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_kai_00001.png,enemy_icon_chara_kai_00001,boss_icon_chara_kai_00001,,chara_kai_00001_special
kai,怪獣８号,00002,chara_kai_00002,隠された英雄の姿 怪獣８号,隠された英雄の姿 怪獣８号,あとは俺に任せろ,UR,PremiumUR,緑,chara,アタック,dageki_1,Short,dageki_2,00002,1.50,stop無:1回目 0.54,2.40,"stop有:1回目 1.00
stop無:2回目 1.37
stop無:3回目 1.54
stop無:4回目 1.70
stop無:5回目 1.87
stop無:6回目 2.04",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_kai_00002.png,enemy_icon_chara_kai_00002,boss_icon_chara_kai_00002,chara_kai_00002_normal,chara_kai_00002_special
kai,怪獣８号,00003,chara_kai_00003,ドレスアップ怪獣８号,選定中,,UR,PremiumUR,,chara,,,,,,,,,,,,,,,,
kai,怪獣８号,00101,chara_kai_00101,市川 レノ,市川 レノ,仲間のために体張れる男だ!!,SR,PremiumSR,青,chara,テクニカル,shageki_1,Long,shageki_1,00101,1.40,stop無:1回目 0.91,3.17,"stop無:1回目 1.05
stop無:2回目 1.33
stop無:3回目 1.76",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_kai_00101.png,enemy_icon_chara_kai_00101,boss_icon_chara_kai_00101,chara_kai_00101_normal,chara_kai_00101_special
kai,怪獣８号,00102,chara_kai_00102,識別怪獣兵器6 市川 レノ,識別怪獣兵器6 市川 レノ,俺が 切り開く,UR,PremiumUR,黄,chara,テクニカル,shageki_1,,,,1.77,"stop無:1回目 0.5
stop無:2回目 0.58
stop有:3回目 0.63",3.17,stop有:1回目 1.53,2026/07/上旬,2970-01-01 11:59:59,catchcopy_character_chara_kai_00102.png,enemy_icon_chara_kai_00102,boss_icon_chara_kai_00102,,
kai,怪獣８号,00201,chara_kai_00201,第三部隊隊長 亜白 ミナ,第三部隊隊長 亜白 ミナ,解放戦力 96%,UR,PremiumUR,青,chara,アタック,shageki_1,Long,shageki_1,00201,1.50,0.75,4.41,"stop無:1回目 1.42
stop無:2回目 1.85
stop無:3回目 2.29
stop無:4回目 2.73
stop有:5回目 3.17",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_kai_00201.png,enemy_icon_chara_kai_00201,boss_icon_chara_kai_00201,chara_kai_00201_normal,chara_kai_00201_special
kai,怪獣８号,00202,chara_kai_00202,超大型キラー 亜白 ミナ,選定中,,UR,FestivalUR,無,chara,スペシャル,,,,,,,,,,,,,,,
kai,怪獣８号,00301,chara_kai_00301,四ノ宮 キコル,四ノ宮 キコル,隊式斧術1式　落雷,SSR,PremiumSSR,黄,chara,ディフェンス,zangeki_1,Short,zangeki_1,00301,2.04,0.70,3.34,1.07,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_kai_00301.png,enemy_icon_chara_kai_00301,boss_icon_chara_kai_00301,chara_kai_00301_normal,chara_kai_00301_special
kai,怪獣８号,00302,chara_kai_00302,識別怪獣兵器4 四ノ宮 キコル,選定中,,UR,PremiumUR,赤,chara,アタック,,,,,,,,,,,,,,,
kai,怪獣８号,00401,chara_kai_00401,保科 宗四郎,保科 宗四郎,6式 八重討ち,SSR,PremiumSSR,青,chara,アタック,zangeki_1,Short,zangeki_1,,1.27,stop有:1回目 0.43,2.67,"stop無:1回目 0.25
stop無:2回目 0.91
stop無:3回目 1.05
stop無:4回目 1.15
stop有:5回目 1.66",2025-09-22 11:00:00,2970-01-01 11:59:59,,enemy_icon_chara_kai_00401,boss_icon_chara_kai_00401,chara_kai_00401_normal,chara_kai_00401_special
kai,怪獣８号,00501,chara_kai_00501,四ノ宮 功,四ノ宮 功,隊式格闘術2式 発破,SR,DropSR,黄,chara,アタック,dageki_1,Short,dageki_1,,1.97,1.10,2.67,1.62,2025-09-22 11:00:00,2970-01-01 11:59:59,,enemy_icon_chara_kai_00501,boss_icon_chara_kai_00501,chara_kai_00501_normal,chara_kai_00501_special
kai,怪獣８号,00601,chara_kai_00601,古橋 伊春,古橋 伊春,俺がお前を守るんだ バカヤロー,SR,DropSR,緑,chara,ディフェンス,shageki_1,Middle,-,,1.37,stop有:1回目 0.71,1.83,stop無:1回目 0.93,2025-09-22 11:00:00,2970-01-01 11:59:59,,enemy_icon_chara_kai_00601,boss_icon_chara_kai_00601,chara_kai_00601_normal,chara_kai_00601_special
kai,怪獣８号,00701,chara_kai_00701,識別怪獣兵器1 鳴海 弦,識別怪獣兵器1 鳴海 弦,隊式銃剣術6式 七枝刀,UR,FestivalUR,黄,chara,ディフェンス,,,,,1.3,stop有:1回目 0.13,2.88,stop有:1回目 1.2,2026/07/上旬,2970-01-01 11:59:59,catchcopy_character_chara_kai_00701.png,enemy_icon_chara_kai_00701,boss_icon_chara_kai_00701,,
kai,怪獣８号,00801,chara_kai_00801,東雲 りん,選定中,,SR,DropSR,黄,chara,ディフェンス,,,,,1.6,"stop無:1回目 0.6
stop無:2回目 0.58
stop無:3回目 0.63",2.5,"stop無:1回目 0.77
stop無:2回目 0.98
stop無:3回目 1.18
stop無:4回目 1.39
stop有:5回目 1.6",2026/07/上旬,2970-01-01 11:59:59,catchcopy_character_chara_kai_00801.png,enemy_icon_chara_kai_00801,boss_icon_chara_kai_00801,,
kai,怪獣８号,00901,chara_kai_00901,四ノ宮ヒカリ,選定中,,SSR,PremiumSSR,無,chara,スペシャル,,,,,-,-,3.65,stop無:1回目 0.51,2026/07/上旬,2970-01-01 11:59:59,catchcopy_character_chara_kai_00901.png,enemy_icon_chara_kai_00901,boss_icon_chara_kai_00901,,
kai,怪獣８号,01001,chara_kai_01001,怪獣15号,選定中,,SR,DropSR,青,chara,,,,,,,,,,,,,,,,
yuw,2.5次元の誘惑,00001,chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,リリエルに捧ぐ愛 天乃 リリサ,リリエル爆破!!,UR,PremiumUR,黄,chara,アタック,dageki_2,Middle,-,00001,1.54,0.50,3.67,2.44,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00001.png,enemy_icon_chara_yuw_00001,boss_icon_chara_yuw_00001,chara_yuw_00001_normal,chara_yuw_00001_special
yuw,2.5次元の誘惑,00002,chara_yuw_00002,天乃 リリサ(クリスマス),選定中,,UR,PremiumUR,緑,chara,サポート,,,,,,,,,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_yuw_00002,boss_icon_chara_yuw_00002,,
yuw,2.5次元の誘惑,00101,chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,コスプレに託す乙女心 橘 美花莉,私を見てよ！,UR,PremiumUR,緑,chara,テクニカル,dageki_1,Short,-,00101,1.50,"stop無:1回目 0.45
stop無:2回目 0.55
stop無:3回目 0.67
stop無:4回目 0.77
stop無:5回目 0.90
stop無:6回目 0.95",3.50,stop無: 1回目 3.20,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00101.png,enemy_icon_chara_yuw_00101,boss_icon_chara_yuw_00101,chara_yuw_00101_normal,chara_yuw_00101_special
yuw,2.5次元の誘惑,00102,chara_yuw_00102,クリスマス 橘 美花莉,愛届ける聖夜のサンタ 橘 美花莉,プレゼントは私だよ〜♡,UR,FestivalUR,緑,chara,サポート,dageki_1,Short,-,,1.67,stop有:1回目 0.50,3.5,stop無: 1回目 2.00,2025-12-22 12:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00102.png,enemy_icon_chara_yuw_00102,boss_icon_chara_yuw_00102,chara_yuw_00101_normal,chara_yuw_00101_special
yuw,2.5次元の誘惑,00201,chara_yuw_00201,羽生 まゆり,羽生 まゆり,先生がもう一肌脱ぐしかないわね,SSR,PremiumSSR,青,chara,テクニカル,dageki_2,Short,dageki_1,00201,1.06,0.34,4.67,3.50,2025/11/25 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00201.png,enemy_icon_chara_yuw_00201,boss_icon_chara_yuw_00201,,
yuw,2.5次元の誘惑,00301,chara_yuw_00301,勇気を纏うコスプレ 乃愛,勇気を纏うコスプレ 乃愛,命に換えてもお守りします,UR,PremiumUR,青,chara,サポート,dageki_2,Short,-,00301,1.57,"stop無:1回目 0.50
stop無:2回目 1.00",3.50,stop無: 1回目 3.20,2025/11/25 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00301.png,enemy_icon_chara_yuw_00301,boss_icon_chara_yuw_00301,chara_yuw_00301_normal,chara_yuw_00301_special
yuw,2.5次元の誘惑,00401,chara_yuw_00401,伝えたいウチの想い　喜咲 アリア,伝えたいウチの想い 喜咲 アリア,アタシに任せてよ!!,UR,PremiumUR,赤,chara,ディフェンス,dageki_2,Short,zangeki_1,00401,1.17,0.34,2.67,1.64,2025/11/25 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00401.png,enemy_icon_chara_yuw_00401,boss_icon_chara_yuw_00401,,
yuw,2.5次元の誘惑,00501,chara_yuw_00501,753♡,753♡,どっちがコスプレを愛してる？,SR,DropSR,赤,chara,サポート,dageki_2,Short,-,00501,1.24,stop有:1回目 0.43,2.17,stop無: 1回目 1.50,2025/11/25 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_yuw_00501.png,enemy_icon_chara_yuw_00501,boss_icon_chara_yuw_00501,chara_yuw_00501_normal,chara_yuw_00501_special
yuw,2.5次元の誘惑,00502,chara_yuw_00502,753♡(魔女コスプレ),選定中,,UR,PremiumUR,黄,chara,テクニカル,,,,,,,,,実装未定,2970-01-01 11:59:59,,enemy_icon_chara_yuw_00502,boss_icon_chara_yuw_00502,,
