,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,event_jig1_savage_00003,,,event_jig_0001,,,200000,,,202601010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,,,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,emblem,,emblem_event_jig_00001,,,エンブレム,,,,,,,,1,,100,,エンブレム「神仙郷」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FirstClear,,,Item,,Coin,,,コイン,,,,,,,,5000,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Item,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,240秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,300秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,タイムスコア報酬,,,FreeDiamond,,prism_glo_00001,,,プリズム,,,,,,,,20,,400秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,1,,1コマ,,0.55,,1,,none,,none,,none,,jig_00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,6,,2コマ,,0.55,,0.5,,0.5,,none,,none,,jig_00002,,,,,,,,,,,,Burn,,,,,600,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,12,,4コマ,,0.55,,0.25,,0.25,,0.25,,0.25,,jig_00002,,,Burn,,,,,600,,1500,,Gust,,,,,500,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃感覚値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value
,,,1,,,,c_jig_00001_jig1_savage_Boss_Colorless,,,,がらんの画眉丸,,,,Boss,,Colorless,,Technical,,Default,,Normal,,,,1500000,,150,,1200,,12,,58.5,,80,,433.21,,,,,,6秒間2000の火傷にする,,,,,5,,115,,,,41,,0.24,,0,,0.25,,1,,2,,300,,500,,,,,,,,ElapsedTime,,,,1000,,0,,1,,,,Fall0,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,TRUE,,None,,,,,,,,,,,,,,,1,,ElapsedTime,1000,SummonEnemy,c_jig_00001_jig1_savage_Boss_Colorless,,1,0,Fall0,1.8,None,,None,,None,,,TRUE,,Default,Normal,150,12,1,500,0,,None,
,,,2,,,,c_jig_00001_jig1_savage_Boss_Colorless,,,,がらんの画眉丸,,,,Boss,,Colorless,,Technical,,Default,,Normal,,,,2200000,,220,,1500,,15,,58.5,,80,,541.52,,,,,,6秒間2000の火傷にする,,,,,5,,115,,,,41,,0.24,,0,,0.25,,1,,2,,300,,100,,,,,,,,FriendUnitDead,,,,1,,0,,1,,2000,,Fall0,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,TRUE,,None,,,,,,,,,,,,,,,2,,FriendUnitDead,1,SummonEnemy,c_jig_00001_jig1_savage_Boss_Colorless,,1,0,Fall0,1.8,None,,None,,None,,,TRUE,,Default,Normal,220,15,1,100,0,2000,None,
,,,3,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,65000,,65,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,75,,,,,,,,ElapsedTime,,,,250,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,3,,ElapsedTime,250,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,65,20,1,75,0,,None,
,,,4,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,85000,,85,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,75,,,,,,,,FriendUnitDead,,,,3,,0,,1,,100,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,4,,FriendUnitDead,3,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,85,20,1,75,0,100,None,
,,,5,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,100000,,100,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,75,,,,,,,,FriendUnitDead,,,,4,,0,,1,,300,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,5,,FriendUnitDead,4,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,100,20,1,75,0,300,None,
,,,10,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,120000,,120,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,75,,,,,,,,FriendUnitDead,,,,5,,0,,1,,500,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,10,,FriendUnitDead,5,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,120,20,1,75,0,500,None,
,,,11,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,150000,,150,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,75,,,,,,,,FriendUnitDead,,,,10,,0,,1,,500,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,11,,FriendUnitDead,10,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,150,20,1,75,0,500,None,
,,,12,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,180000,,180,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,75,,,,,,,,FriendUnitDead,,,,11,,0,,1,,500,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,12,,FriendUnitDead,11,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,180,20,1,75,0,500,None,
,,,13,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,200000,,200,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,50,,,,,,,,FriendUnitDead,,,,12,,0,,1,,1000,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,13,,FriendUnitDead,12,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,200,20,1,50,0,1000,None,
,,,14,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,220000,,220,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,50,,,,,,,,FriendUnitDead,,,,13,,0,,1,,1000,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,14,,FriendUnitDead,13,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,220,20,1,50,0,1000,None,
,,,15,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,250000,,250,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,50,,,,,,,,FriendUnitDead,,,,14,,0,,1,,1000,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,15,,FriendUnitDead,14,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,250,20,1,50,0,1000,None,
,,,10,,,,c_jig_00401_jig1_savage_Normal_Colorless,,,,賊王 亜左 弔兵衛,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,300000,,300,,2000,,20,,83.5,,50,,749.06,,,,,,範囲内10秒間20%の弱体化,,,,,3,,133.5,,ノックバック無効,,30,,0.31,,0,,0.32,,1,,0,,100,,50,,,,,,,,FriendUnitDead,,,,15,,0,,1,,1000,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,10,,FriendUnitDead,15,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,300,20,1,50,0,1000,None,
,,,6,,,,e_jig_00601_jig1_savage_Normal_Yellow,,,,朱槿,,,,Normal,,Yellow,,Attack,,Default,,Normal,,,,80000,,80,,2600,,26,,75,,60,,962.96,,,,,,,,,,,-,,none,,,,37,,0.31,,,,,,,,1,,100,,75,,,,,,,,ElapsedTime,,,,500,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,6,,ElapsedTime,500,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,80,26,1,75,0,,None,
,,,7,,,,e_jig_00601_jig1_savage_Normal_Yellow,,,,朱槿,,,,Normal,,Yellow,,Attack,,Default,,Normal,,,,100000,,100,,2600,,26,,75,,60,,962.96,,,,,,,,,,,-,,none,,,,37,,0.31,,,,,,,,1,,100,,75,,,,,,,,FriendUnitDead,,,,6,,0,,1,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,7,,FriendUnitDead,6,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,100,26,1,75,0,50,None,
,,,8,,,,e_jig_00601_jig1_savage_Normal_Yellow,,,,朱槿,,,,Normal,,Yellow,,Attack,,Default,,Normal,,,,120000,,120,,2600,,26,,75,,60,,962.96,,,,,,,,,,,-,,none,,,,37,,0.31,,,,,,,,1,,100,,75,,,,,,,,FriendUnitDead,,,,7,,0,,1,,250,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,8,,FriendUnitDead,7,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,120,26,1,75,0,250,None,
,,,9,,,,e_jig_00601_jig1_savage_Normal_Yellow,,,,朱槿,,,,Normal,,Yellow,,Attack,,Default,,Normal,,,,150000,,150,,2600,,26,,75,,60,,962.96,,,,,,,,,,,-,,none,,,,37,,0.31,,,,,,,,1,,100,,75,,,,,,,,FriendUnitDead,,,,8,,0,,1,,500,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,9,,FriendUnitDead,8,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,150,26,1,75,0,500,None,
