ENABLE,id,mst_unit_id,rank,require_level,amount,unit_memory_amount,sr_memory_fragment_amount,ssr_memory_fragment_amount,ur_memory_fragment_amount,release_key
e,chara_mag_00401_rank6,chara_mag_00401,6,70,0,450,25,20,5,202511010
e,chara_mag_00501_rank1,chara_mag_00501,1,20,0,200,0,0,0,202511010
e,chara_mag_00501_rank2,chara_mag_00501,2,30,0,250,5,0,0,202511010
e,chara_mag_00501_rank3,chara_mag_00501,3,40,0,300,10,5,0,202511010
e,chara_mag_00501_rank4,chara_mag_00501,4,50,0,350,15,10,0,202511010
e,chara_mag_00501_rank5,chara_mag_00501,5,60,0,400,20,15,3,202511010
e,chara_mag_00501_rank6,chara_mag_00501,6,70,0,450,25,20,5,202511010
e,chara_yuw_00501_rank1,chara_yuw_00501,1,20,0,200,0,0,0,202511020
e,chara_yuw_00501_rank2,chara_yuw_00501,2,30,0,250,5,0,0,202511020
e,chara_yuw_00501_rank3,chara_yuw_00501,3,40,0,300,10,5,0,202511020
e,chara_yuw_00501_rank4,chara_yuw_00501,4,50,0,350,15,10,0,202511020
e,chara_yuw_00501_rank5,chara_yuw_00501,5,60,0,400,20,15,3,202511020
e,chara_yuw_00501_rank6,chara_yuw_00501,6,70,0,450,25,20,5,202511020
e,chara_yuw_00601_rank1,chara_yuw_00601,1,20,0,200,0,0,0,202511020
e,chara_yuw_00601_rank2,chara_yuw_00601,2,30,0,250,5,0,0,202511020
e,chara_yuw_00601_rank3,chara_yuw_00601,3,40,0,300,10,5,0,202511020
e,chara_yuw_00601_rank4,chara_yuw_00601,4,50,0,350,15,10,0,202511020
e,chara_yuw_00601_rank5,chara_yuw_00601,5,60,0,400,20,15,3,202511020
e,chara_yuw_00601_rank6,chara_yuw_00601,6,70,0,450,25,20,5,202511020
e,chara_sur_00801_rank1,chara_sur_00801,1,20,0,200,0,0,0,202512010
e,chara_sur_00801_rank2,chara_sur_00801,2,30,0,250,5,0,0,202512010
e,chara_sur_00801_rank3,chara_sur_00801,3,40,0,300,10,5,0,202512010
e,chara_sur_00801_rank4,chara_sur_00801,4,50,0,350,15,10,0,202512010
e,chara_sur_00801_rank5,chara_sur_00801,5,60,0,400,20,15,3,202512010
e,chara_sur_00801_rank6,chara_sur_00801,6,70,0,450,25,20,5,202512010
e,chara_sur_00701_rank1,chara_sur_00701,1,20,0,200,0,0,0,202512010
e,chara_sur_00701_rank2,chara_sur_00701,2,30,0,250,5,0,0,202512010
e,chara_sur_00701_rank3,chara_sur_00701,3,40,0,300,10,5,0,202512010
e,chara_sur_00701_rank4,chara_sur_00701,4,50,0,350,15,10,0,202512010
e,chara_sur_00701_rank5,chara_sur_00701,5,60,0,400,20,15,3,202512010
e,chara_sur_00701_rank6,chara_sur_00701,6,70,0,450,25,20,5,202512010
e,chara_osh_00601_rank1,chara_osh_00601,1,20,0,200,0,0,0,202512020
e,chara_osh_00601_rank2,chara_osh_00601,2,30,0,250,5,0,0,202512020
e,chara_osh_00601_rank3,chara_osh_00601,3,40,0,300,10,5,0,202512020
e,chara_osh_00601_rank4,chara_osh_00601,4,50,0,350,15,10,0,202512020
e,chara_osh_00601_rank5,chara_osh_00601,5,60,0,400,20,15,3,202512020
e,chara_osh_00601_rank6,chara_osh_00601,6,70,0,450,25,20,5,202512020
