ENABLE,id,release_key,mst_unit_id,mst_emblem_id,grade_unit_level_total_count
e,Silver_1_user6,202509010,chara_spy_00201,"",1
e,Silver_2_user1,202509010,chara_chi_00001,"",1
e,Silver_2_user2,202509010,chara_jig_00101,"",1
e,Silver_2_user3,202509010,chara_jig_00001,"",1
e,Silver_2_user4,202509010,chara_dan_00001,"",1
e,Silver_2_user5,202509010,chara_gom_00001,"",1
e,Silver_2_user6,202509010,chara_dan_00002,"",1
e,Silver_3_user1,202509010,chara_gom_00001,"",1
e,Silver_3_user2,202509010,chara_chi_00301,"",1
e,Silver_3_user3,202509010,chara_chi_00201,"",1
e,Silver_3_user4,202509010,chara_kai_00002,"",1
e,Silver_3_user5,202509010,chara_sum_00001,"",1
e,Silver_3_user6,202509010,chara_kai_00001,"",1
e,Silver_4_user1,202509010,chara_sum_00101,"",1
e,Silver_4_user2,202509010,chara_dan_00002,"",1
e,Silver_4_user3,202509010,chara_gom_00101,"",1
e,Silver_4_user4,202509010,chara_sur_00101,"",1
e,Silver_4_user5,202509010,chara_ron_00101,"",1
e,Silver_4_user6,202509010,chara_dan_00101,"",1
e,Gold_1_user1,202509010,chara_spy_00201,"",1
e,Gold_1_user2,202509010,chara_mag_00001,"",1
e,Gold_1_user3,202509010,chara_sur_00101,"",1
e,Gold_1_user4,202509010,chara_spy_00101,"",1
e,Gold_1_user5,202509010,chara_ron_00001,"",1
e,Gold_1_user6,202509010,chara_spy_00001,"",1
e,Gold_2_user1,202509010,chara_bat_00001,"",1
e,Gold_2_user2,202509010,chara_sum_00001,"",1
e,Gold_2_user3,202509010,chara_sum_00101,"",1
e,Gold_2_user4,202509010,chara_aka_00101,"",1
e,Gold_2_user5,202509010,chara_tak_00001,"",1
e,Gold_2_user6,202509010,chara_dan_00002,"",1
e,Gold_3_user1,202509010,chara_kai_00101,"",1
e,Gold_3_user2,202509010,chara_chi_00301,"",1
e,Gold_3_user3,202509010,chara_sur_00201,"",1
e,Gold_3_user4,202509010,chara_kai_00301,"",1
e,Gold_3_user5,202509010,chara_dan_00101,"",1
e,Gold_3_user6,202509010,chara_chi_00201,"",1
e,Gold_4_user1,202509010,chara_chi_00002,"",1
e,Gold_4_user2,202509010,chara_dan_00001,"",1
e,Gold_4_user3,202509010,chara_gom_00101,"",1
e,Gold_4_user4,202509010,chara_spy_00201,"",1
e,Gold_4_user5,202509010,chara_kai_00002,"",1
e,Gold_4_user6,202509010,chara_spy_00001,"",1
e,Platinum_1_user1,202509010,chara_dan_00002,"",1
e,Platinum_1_user2,202509010,chara_tak_00001,"",1
e,Platinum_1_user3,202509010,chara_tak_00001,"",1
e,Platinum_1_user4,202509010,chara_jig_00101,"",1
e,Platinum_1_user5,202509010,chara_kai_00001,"",1
e,Platinum_1_user6,202509010,chara_mag_00001,"",1
e,Platinum_2_user1,202509010,chara_spy_00001,"",1
e,Platinum_2_user2,202509010,chara_sur_00001,"",1
e,Platinum_2_user3,202509010,chara_bat_00001,"",1
e,Platinum_2_user4,202509010,chara_sum_00001,"",1
e,Platinum_2_user5,202509010,chara_rik_00001,"",1
e,Platinum_2_user6,202509010,chara_aka_00101,"",1
e,Platinum_3_user1,202509010,chara_gom_00001,"",1
e,Platinum_3_user2,202509010,chara_gom_00201,"",1
e,Platinum_3_user3,202509010,chara_gom_00001,"",1
e,Platinum_3_user4,202509010,chara_bat_00101,"",1
e,Platinum_3_user5,202509010,chara_sur_00401,"",1
e,Platinum_3_user6,202509010,chara_chi_00002,"",1
e,Platinum_4_user1,202509010,chara_aka_00101,"",1
e,Platinum_4_user2,202509010,chara_aha_00001,"",1
e,Platinum_4_user3,202509010,chara_sur_00301,"",1
e,Platinum_4_user4,202509010,chara_sur_00201,"",1
e,Platinum_4_user5,202509010,chara_kai_00301,"",1
e,Platinum_4_user6,202509010,chara_rik_00101,"",1
