ENABLE,id,mst_quest_id,mst_unit_id,coin_bonus_rate,start_at,end_at,release_key
e,38,quest_enhance_00001,chara_yuw_00201,0.1,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
e,39,quest_enhance_00001,chara_yuw_00501,0.1,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
e,40,quest_enhance_00001,chara_yuw_00601,0.1,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
e,41,quest_enhance_00001,chara_yuw_00102,0.3,2025-12-22 15:00:00,2026-01-16 10:59:59,202512015
e,42,quest_enhance_00001,chara_sur_00501,0.2,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,43,quest_enhance_00001,chara_sur_00101,0.15,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,44,quest_enhance_00001,chara_sur_00401,0.1,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,45,quest_enhance_00001,chara_sur_00601,0.1,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,46,quest_enhance_00001,chara_sur_00701,0.1,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,47,quest_enhance_00001,chara_sur_00801,0.1,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,48,quest_enhance_00001,chara_sur_00201,0.05,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,49,quest_enhance_00001,chara_sur_00301,0.05,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
e,50,quest_enhance_00001,chara_sur_00001,0.03,2025-12-08 15:00:00,2026-01-16 10:59:59,202512010
