enemy_character_id,name_ja,series,is_phantomized,variant_count,hp_avg,hp_min,hp_max,hp_rank_in_series,hp_pct_global,atk_avg,atk_min,atk_max,atk_rank_in_series,atk_pct_global,spd_avg,spd_min,spd_max,spd_rank_in_series,spd_pct_global,wd_avg,wd_min,wd_max,wd_rank_in_series,wd_pct_global,bp_avg,bp_min,bp_max,bp_rank_in_series,bp_pct_global,series_chars_total,global_chars_total
chara_chi_00001,デンジ,chi,1,4,383750.0,150000,500000,5,91.6,450.0,200,800,6,75.5,45.0,45,45,3,81.8,0.113,0.11,0.12,2,97.9,3.0,0,10,8,0.0,8,144
chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,chi,1,5,780000.0,100000,1500000,1,100.0,810.0,300,1500,3,88.8,54.0,35,65,1,96.5,0.126,0.11,0.15,3,95.1,12.0,0,50,6,8.4,8,144
chara_chi_00201,早川 アキ,chi,1,8,453750.0,100000,700000,2,95.8,385.0,240,500,7,69.9,45.0,45,45,3,81.8,0.149,0.11,0.2,4,91.6,20.0,0,50,2,11.2,8,144
chara_chi_00301,パワー,chi,1,4,342500.0,200000,500000,6,88.1,525.0,200,1000,5,82.5,45.0,45,45,3,81.8,0.158,0.11,0.2,5,89.5,15.0,0,50,3,10.5,8,144
e_chi_00002_tutorial,悪魔が恐れる悪魔 チェンソーマン,chi,1,1,5000.0,5000,5000,8,7.0,100.0,100,100,8,14.0,34.0,34,34,8,42.7,0.2,0.2,0.2,7,61.5,50.0,50,50,1,11.9,8,144
enemy_dan_00001,セルポ星人,dan,0,22,10773.0,1000,30000,10,35.0,106.8,50,200,9,27.3,32.0,25,40,8,29.4,0.237,0.2,0.25,3,48.3,105.0,100,200,10,31.5,11,144
enemy_dan_00101,セルポ星人 (変身),dan,0,13,19231.0,5000,50000,7,42.0,157.7,50,300,8,32.9,41.0,28,47,3,74.8,0.242,0.23,0.25,6,42.7,120.0,100,200,9,35.0,11,144
enemy_dan_00201,ターボババア,dan,0,6,43333.0,10000,100000,4,65.0,358.3,50,1000,2,67.1,62.5,50,75,1,99.3,0.242,0.24,0.25,6,42.7,367.0,100,500,1,87.4,11,144
enemy_dan_00301,アクロバティックさらさら,dan,0,4,55000.0,40000,100000,1,70.6,300.0,300,300,3,58.7,37.5,35,45,4,62.9,0.24,0.24,0.24,5,44.1,200.0,200,200,7,53.1,11,144
chara_dan_00001,オカルン,dan,1,13,15385.0,10000,30000,9,39.2,96.2,50,100,11,12.6,30.5,20,40,9,21.7,0.193,0.15,0.2,1,69.9,273.0,100,1000,4,72.7,11,144
chara_dan_00002,ターボババアの霊力 オカルン,dan,1,5,30000.0,10000,50000,5,50.3,210.0,50,300,5,49.7,61.0,55,65,2,98.6,0.28,0.22,0.32,10,25.9,320.0,200,500,2,81.8,11,144
chara_dan_00101,モモ,dan,1,8,15625.0,5000,20000,8,39.9,162.5,50,200,7,35.0,35.6,34,40,5,56.6,0.334,0.3,0.39,11,15.4,269.0,200,500,5,72.0,11,144
chara_dan_00201,アイラ,dan,1,3,20000.0,20000,20000,6,42.7,200.0,200,200,6,43.4,25.0,25,25,11,3.5,0.27,0.27,0.27,9,27.3,250.0,250,250,6,65.0,11,144
chara_dan_00202,アクさらの愛 アイラ,dan,1,1,50000.0,50000,50000,2,67.1,500.0,500,500,1,79.0,33.0,33,33,7,34.3,0.25,0.25,0.25,8,36.4,300.0,300,300,3,75.5,11,144
chara_dan_00301,招き猫 ターボババア,dan,1,3,50000.0,50000,50000,2,67.1,300.0,300,300,3,58.7,30.0,30,30,10,14.7,0.237,0.21,0.25,3,48.3,200.0,200,200,7,53.1,11,144
e_dan_00002_tutorial,ターボババアの霊力 オカルン,dan,1,1,5000.0,5000,5000,11,7.0,100.0,100,100,10,14.0,34.0,34,34,6,42.7,0.2,0.2,0.2,2,61.5,50.0,50,50,11,11.9,11,144
chara_gam_00001,祥龍院 隆子,gam,1,5,10000.0,10000,10000,1,21.7,140.0,100,300,1,29.4,26.0,25,30,1,7.0,0.27,0.27,0.27,1,27.3,300.0,100,500,1,75.5,1,144
e_glo_00001_tutorial_Boss_Blue,ファントム,glo,0,1,5000.0,5000,5000,4,7.0,100.0,100,100,4,14.0,34.0,34,34,4,42.7,0.2,0.2,0.2,3,61.5,50.0,50,50,4,11.9,5,144
e_glo_00001_tutorial_Normal_Blue,ファントム,glo,0,1,5000.0,5000,5000,4,7.0,100.0,100,100,4,14.0,34.0,34,34,4,42.7,0.2,0.2,0.2,3,61.5,50.0,50,50,4,11.9,5,144
enemy_glo_00001,ファントム,glo,0,153,52756.0,1000,500000,2,69.2,458.4,50,2500,2,76.9,42.9,25,65,1,79.0,0.184,0.11,0.3,1,76.2,57.0,0,500,3,18.2,5,144
enemy_glo_00002,推し活ファントム,glo,0,21,9524.0,1000,50000,3,20.3,195.2,100,500,3,42.7,36.6,20,47,3,60.1,0.188,0.12,0.22,2,74.1,82.0,5,300,2,21.0,5,144
enemy_glo_00101,ボスファントム,glo,0,16,597500.0,10000,5000000,1,99.3,993.8,50,2000,1,96.5,38.3,5,55,2,66.4,0.253,0.2,0.3,5,35.7,379.0,1,2000,1,90.2,5,144
enemy_gom_00301,キュイ,gom,0,1,10000.0,10000,10000,1,21.7,50.0,50,50,13,0.0,20.0,20,20,13,0.0,0.18,0.18,0.18,8,76.9,500.0,500,500,1,94.4,14,144
enemy_gom_00401,たこ焼きくん,gom,0,5,8200.0,1000,10000,6,18.2,50.0,50,50,13,0.0,20.0,20,20,13,0.0,0.26,0.26,0.26,12,30.8,180.0,100,500,8,47.6,14,144
enemy_gom_00402,たこ焼き,gom,0,7,2286.0,1000,10000,12,0.7,71.4,50,100,8,4.9,33.4,30,34,6,39.2,0.123,0.11,0.2,2,96.5,114.0,100,200,11,32.9,14,144
enemy_gom_00501,バタートースト,gom,0,6,2500.0,1000,10000,10,2.1,83.3,50,100,6,7.0,40.0,34,70,3,71.3,0.15,0.14,0.2,5,90.9,183.0,100,200,7,50.3,14,144
enemy_gom_00502,割きトースト,gom,0,5,2800.0,1000,10000,9,4.2,60.0,50,100,10,3.5,41.2,34,70,2,77.6,0.192,0.19,0.2,10,71.3,200.0,200,200,6,53.1,14,144
enemy_gom_00701,ラーメン,gom,0,7,8714.0,1000,10000,5,19.6,64.3,50,100,9,4.2,28.1,20,34,11,10.5,0.123,0.11,0.2,2,96.5,114.0,100,200,11,32.9,14,144
enemy_gom_00801,ライス,gom,0,6,1000.0,1000,1000,14,0.0,58.3,50,100,11,2.1,33.5,31,34,5,39.9,0.11,0.11,0.11,1,98.6,100.0,100,100,13,27.3,14,144
enemy_gom_00901,ライス (海苔),gom,0,6,2500.0,1000,10000,10,2.1,58.3,50,100,11,2.1,33.3,30,34,7,38.5,0.125,0.11,0.2,4,95.8,117.0,100,200,10,34.3,14,144
enemy_gom_01001,あんぱん,gom,0,8,3250.0,1000,10000,8,5.6,87.5,50,100,2,9.1,31.3,25,75,9,27.3,0.213,0.2,0.3,11,57.3,163.0,50,200,9,41.3,14,144
enemy_gom_01002,トーストあんぱん,gom,0,7,2286.0,1000,10000,12,0.7,85.7,50,100,5,8.4,31.4,25,70,8,28.0,0.171,0.15,0.3,7,80.4,71.0,50,200,14,20.3,14,144
chara_gom_00001,囚われの王女 姫様,gom,1,4,10000.0,10000,10000,1,21.7,87.5,50,100,2,9.1,37.5,25,75,4,62.9,0.165,0.16,0.18,6,84.6,425.0,200,500,2,93.7,14,144
chara_gom_00101,トーチャー・トルチュール,gom,1,8,10000.0,10000,10000,1,21.7,87.5,50,100,2,9.1,26.9,25,40,12,8.4,0.373,0.25,0.39,13,11.2,338.0,200,500,5,83.9,14,144
chara_gom_00201,クロル,gom,1,5,8200.0,1000,10000,6,18.2,80.0,50,100,7,5.6,51.0,50,55,1,93.7,0.56,0.4,0.6,14,0.7,360.0,200,500,4,86.7,14,144
chara_gom_00701,カナッジ,gom,1,3,10000.0,10000,10000,1,21.7,166.7,100,300,1,36.4,28.3,25,30,10,11.9,0.19,0.19,0.19,9,72.7,400.0,200,500,3,90.9,14,144
enemy_hut_00001,鷹見 項希,hut,0,4,5500.0,1000,10000,5,12.6,100.0,100,100,5,14.0,34.5,34,35,1,51.0,0.3,0.3,0.3,2,19.6,95.0,30,200,5,25.9,5,144
chara_hut_00001,ひたむきギタリスト 鳩野 ちひろ,hut,1,12,31750.0,1000,100000,1,55.9,200.0,100,500,2,43.4,34.2,30,35,2,48.3,0.185,0.15,0.21,1,75.5,142.0,50,200,1,40.6,5,144
chara_hut_00101,幸山 厘,hut,1,10,30200.0,1000,100000,2,53.8,220.0,100,500,1,50.3,32.9,28,35,4,33.6,0.38,0.3,0.42,3,10.5,130.0,50,200,4,35.7,5,144
chara_hut_00201,内田 桃,hut,1,8,24000.0,1000,100000,3,48.3,200.0,100,500,2,43.4,32.3,24,35,5,30.8,0.5,0.5,0.5,5,2.1,131.0,50,200,3,36.4,5,144
chara_hut_00301,藤井 彩目,hut,1,6,13667.0,1000,50000,4,36.4,166.7,100,500,4,36.4,34.2,30,35,2,48.3,0.413,0.38,0.5,4,6.3,133.0,50,200,2,37.1,5,144
chara_hyp_00001,ルーク,hyp,1,4,10000.0,10000,10000,1,21.7,150.0,100,300,1,30.1,33.8,30,35,1,42.0,0.21,0.21,0.21,1,58.0,250.0,100,500,1,65.0,1,144
enemy_jig_00001,門神,jig,0,12,55542.0,1000,300000,1,73.4,208.3,50,500,1,49.0,28.8,27,31,12,12.6,0.208,0.19,0.22,4,60.1,96.0,50,150,13,26.6,14,144
enemy_jig_00201,門神 (大),jig,0,3,10000.0,10000,10000,10,21.7,50.0,50,50,14,0.0,20.0,20,20,14,0.0,0.3,0.3,0.3,12,19.6,300.0,300,300,2,75.5,14,144
enemy_jig_00301,竈神 魚,jig,0,11,9727.0,1000,30000,12,21.0,163.6,100,400,6,35.7,36.5,30,50,4,59.4,0.196,0.17,0.22,3,68.5,250.0,50,500,6,65.0,14,144
enemy_jig_00401,極楽蝶,jig,0,9,5444.0,1000,10000,13,11.9,166.7,100,400,3,36.4,40.2,25,70,2,73.4,0.218,0.15,0.24,6,56.6,56.0,0,150,14,17.5,14,144
enemy_jig_00402,極楽蝶,jig,0,4,2500.0,1000,5000,14,2.1,150.0,100,300,7,30.1,33.0,25,37,9,34.3,0.258,0.2,0.34,10,34.3,163.0,50,250,11,41.3,14,144
enemy_jig_00501,山田浅ェ門 源嗣,jig,0,2,30000.0,10000,50000,3,50.3,200.0,100,300,2,43.4,33.0,32,34,9,34.3,0.17,0.17,0.17,1,81.1,200.0,100,300,8,53.1,14,144
enemy_jig_00601,朱槿,jig,0,3,37000.0,1000,100000,2,58.0,166.7,100,300,3,36.4,38.0,37,40,3,65.0,0.29,0.25,0.31,11,23.1,133.0,100,200,12,37.1,14,144
chara_jig_00001,がらんの画眉丸,jig,1,8,12625.0,1000,50000,9,35.7,125.0,100,300,9,28.0,41.0,41,41,1,74.8,0.24,0.24,0.24,9,44.1,250.0,100,400,6,65.0,14,144
chara_jig_00101,山田浅ェ門 佐切,jig,1,6,14167.0,5000,50000,8,37.1,166.7,100,300,3,36.4,35.8,34,45,5,57.3,0.22,0.22,0.22,7,52.4,283.0,100,500,5,74.8,14,144
chara_jig_00201,杠,jig,1,2,30000.0,10000,50000,3,50.3,100.0,100,100,10,14.0,34.0,34,34,8,42.7,0.325,0.24,0.41,14,16.8,200.0,100,300,8,53.1,14,144
chara_jig_00301,山田浅ェ門 仙汰,jig,1,3,21667.0,5000,50000,6,45.5,133.3,100,200,8,28.7,21.0,21,21,13,2.1,0.18,0.18,0.18,2,76.9,167.0,100,300,10,42.7,14,144
chara_jig_00401,賊王 亜左 弔兵衛,jig,1,3,20333.0,1000,50000,7,43.4,100.0,100,100,10,14.0,30.0,30,30,11,14.7,0.31,0.31,0.31,13,18.2,300.0,100,500,2,75.5,14,144
chara_jig_00501,山田浅ェ門 桐馬,jig,1,3,23333.0,10000,50000,5,47.6,100.0,100,100,10,14.0,35.0,35,35,6,51.7,0.21,0.21,0.21,5,58.0,300.0,300,300,2,75.5,14,144
chara_jig_00601,民谷 巌鉄斎,jig,1,1,10000.0,10000,10000,10,21.7,100.0,100,100,10,14.0,35.0,35,35,6,51.7,0.22,0.22,0.22,7,52.4,500.0,500,500,1,94.4,14,144
enemy_kai_00001,怪獣 本獣,kai,0,16,202250.0,1000,1500000,5,83.9,578.1,100,1200,6,85.3,31.9,8,65,11,28.7,0.207,0.11,0.35,6,60.8,133.0,1,300,13,37.1,16,144
enemy_kai_00101,怪獣 余獣,kai,0,17,37824.0,1000,220000,11,59.4,491.2,100,1000,10,78.3,36.9,20,65,8,61.5,0.172,0.11,0.25,4,79.7,93.0,1,200,15,24.5,16,144
enemy_kai_00201,怪獣９号,kai,0,9,445556.0,10000,1500000,1,94.4,844.4,100,1200,4,91.6,45.8,31,65,3,86.7,0.258,0.11,0.4,11,34.3,140.0,1,250,12,39.9,16,144
enemy_kai_00301,蜘蛛の怪獣,kai,0,15,118600.0,1000,500000,7,81.1,660.0,100,1500,5,87.4,40.6,30,50,6,74.1,0.219,0.17,0.34,8,55.9,103.0,1,300,14,30.8,16,144
enemy_kai_00401,怪獣１０号,kai,0,6,100000.0,100000,100000,8,76.9,1500.0,500,2000,1,99.3,55.0,40,70,1,97.2,0.27,0.2,0.3,12,27.3,500.0,500,500,1,94.4,16,144
chara_kai_00001,日比野 カフカ,kai,1,7,175714.0,10000,600000,6,82.5,500.0,100,900,8,79.0,30.0,10,45,13,14.7,0.14,0.11,0.2,1,92.3,275.0,1,1000,8,73.4,16,144
chara_kai_00002,隠された英雄の姿 怪獣８号,kai,1,7,430000.0,10000,1000000,2,93.7,885.7,100,1700,3,93.0,45.0,35,55,4,81.8,0.164,0.11,0.21,3,85.3,217.0,1,500,9,62.2,16,144
chara_kai_00101,市川 レノ,kai,1,5,216000.0,10000,800000,4,84.6,380.0,100,900,11,69.2,36.4,30,45,9,58.7,0.36,0.3,0.4,14,12.6,182.0,1,400,10,49.7,16,144
chara_kai_00102,識別怪獣兵器６ 市川 レノ,kai,1,2,10000.0,10000,10000,12,21.7,300.0,300,300,12,58.7,30.0,30,30,13,14.7,0.61,0.61,0.61,16,0.0,300.0,100,500,7,75.5,16,144
chara_kai_00201,第三部隊隊長 亜白 ミナ,kai,1,2,10000.0,10000,10000,12,21.7,300.0,100,500,12,58.7,31.0,31,31,12,24.5,0.4,0.4,0.4,15,8.4,500.0,500,500,1,94.4,16,144
chara_kai_00301,四ノ宮 キコル,kai,1,7,325714.0,10000,1000000,3,87.4,571.4,100,1000,7,84.6,41.0,34,55,5,74.8,0.161,0.11,0.2,2,87.4,175.0,1,400,11,44.1,16,144
chara_kai_00401,保科 宗四郎,kai,1,4,7750.0,1000,10000,15,17.5,200.0,100,500,14,43.4,38.0,35,41,7,65.0,0.24,0.24,0.24,9,44.1,375.0,300,500,6,88.8,16,144
chara_kai_00501,四ノ宮 功,kai,1,2,100000.0,100000,100000,8,76.9,1000.0,1000,1000,2,97.2,25.0,25,25,15,3.5,0.25,0.25,0.25,10,36.4,400.0,400,400,5,90.9,16,144
chara_kai_00601,古橋 伊春,kai,1,2,55000.0,10000,100000,10,70.6,500.0,500,500,8,79.0,25.0,25,25,15,3.5,0.3,0.3,0.3,13,19.6,500.0,500,500,1,94.4,16,144
chara_kai_00701,識別怪獣兵器１ 鳴海 弦,kai,1,2,10000.0,10000,10000,12,21.7,200.0,100,300,14,43.4,50.0,50,50,2,89.5,0.21,0.21,0.21,7,58.0,500.0,500,500,1,94.4,16,144
e_kai_00002_tutorial,隠された英雄の姿 怪獣８号,kai,1,1,5000.0,5000,5000,16,7.0,100.0,100,100,16,14.0,34.0,34,34,10,42.7,0.2,0.2,0.2,5,61.5,50.0,50,50,16,11.9,16,144
chara_kim_00001,溢れる母性 花園 羽々里,kim,1,4,30000.0,10000,50000,4,50.3,150.0,100,300,4,30.1,38.8,35,40,1,67.8,0.188,0.18,0.21,1,74.1,200.0,100,300,1,53.1,4,144
chara_kim_00101,花園 羽香里,kim,1,11,37364.0,1000,100000,3,58.7,245.5,100,500,2,53.1,32.3,30,35,4,30.8,0.228,0.17,0.27,2,50.3,186.0,50,300,3,51.0,4,144
chara_kim_00201,院田 唐音,kim,1,10,41000.0,10000,100000,1,62.9,260.0,100,500,1,55.2,34.3,32,35,2,49.7,0.267,0.25,0.3,3,30.1,200.0,100,300,1,53.1,4,144
chara_kim_00301,好本 静,kim,1,7,40143.0,1000,100000,2,61.5,185.7,100,300,3,41.3,33.1,32,40,3,37.1,0.283,0.18,0.3,4,24.5,179.0,50,300,4,46.2,4,144
enemy_mag_00001,冷却系怪異,mag,0,7,362857.0,70000,1000000,3,89.5,1550.0,300,3800,1,100.0,30.0,20,35,10,14.7,0.243,0.2,0.3,6,42.0,62.0,1,200,8,18.9,10,144
enemy_mag_00101,つらら,mag,0,18,108444.0,1000,700000,5,80.4,877.8,400,2000,3,92.3,88.3,75,100,1,100.0,0.131,0.11,0.3,1,93.7,5.0,0,10,10,0.7,10,144
enemy_mag_00201,建造物寄生型の怪異 (大),mag,0,13,257077.0,30000,600000,4,85.3,642.3,100,2000,5,86.7,32.3,25,45,8,30.8,0.161,0.11,0.3,3,87.4,88.0,1,300,6,22.4,10,144
enemy_mag_00301,建造物寄生型の怪異,mag,0,11,28000.0,8000,100000,10,49.7,445.5,300,900,9,74.8,36.8,30,45,7,60.8,0.159,0.11,0.2,2,88.8,139.0,1,1000,4,39.2,10,144
enemy_mag_00401,工事現場の怪異,mag,0,4,55000.0,30000,100000,8,70.6,550.0,400,1000,6,83.9,32.0,30,38,9,29.4,0.17,0.17,0.17,4,81.1,325.0,100,400,1,82.5,10,144
chara_mag_00001,新人魔法少女 桜木 カナ,mag,1,5,594000.0,100000,1300000,1,98.6,840.0,500,1200,4,90.2,45.0,35,55,3,81.8,0.348,0.24,0.4,10,14.7,64.0,1,300,7,19.6,10,144
chara_mag_00101,越谷 仁美,mag,1,4,545000.0,80000,1200000,2,97.9,900.0,700,1000,2,93.7,52.5,45,55,2,95.1,0.228,0.11,0.3,5,50.3,6.0,1,10,9,4.9,10,144
chara_mag_00201,絶対効率の体現者 土刃 メイ,mag,1,1,100000.0,100000,100000,6,76.9,500.0,500,500,7,79.0,40.0,40,40,5,71.3,0.25,0.25,0.25,8,36.4,100.0,100,100,5,27.3,10,144
chara_mag_00301,葵 リリー,mag,1,2,50000.0,50000,50000,9,67.1,400.0,400,400,10,70.6,37.5,35,40,6,62.9,0.26,0.22,0.3,9,30.8,300.0,300,300,2,75.5,10,144
chara_mag_00401,槇野 あかね,mag,1,2,75000.0,50000,100000,7,74.8,450.0,400,500,8,75.5,41.0,37,45,4,74.8,0.245,0.24,0.25,7,39.9,250.0,200,300,3,65.0,10,144
chara_osh_00001,B小町不動のセンター アイ,osh,1,13,21385.0,1000,100000,5,44.8,161.5,100,300,6,34.3,28.1,20,32,6,10.5,0.284,0.2,0.35,6,23.8,181.0,50,500,6,48.3,6,144
chara_osh_00201,星野 ルビー,osh,1,8,22750.0,1000,50000,4,46.9,200.0,100,300,5,43.4,33.5,30,37,3,39.9,0.22,0.22,0.22,1,52.4,244.0,50,500,5,64.3,6,144
chara_osh_00301,MEMちょ,osh,1,7,31571.0,1000,50000,2,54.5,242.9,100,300,3,51.0,31.1,30,37,4,26.6,0.27,0.27,0.27,5,27.3,250.0,50,500,3,65.0,6,144
chara_osh_00401,有馬 かな,osh,1,7,31571.0,1000,50000,2,54.5,242.9,100,300,3,51.0,34.3,31,37,2,49.7,0.24,0.24,0.24,3,44.1,250.0,50,500,3,65.0,6,144
chara_osh_00501,黒川あかね,osh,1,2,55000.0,10000,100000,1,70.6,300.0,300,300,1,58.7,30.0,30,30,5,14.7,0.26,0.26,0.26,4,30.8,350.0,200,500,2,85.3,6,144
chara_osh_00601,ぴえヨン,osh,1,2,10000.0,10000,10000,6,21.7,300.0,300,300,1,58.7,35.0,25,45,1,51.7,0.22,0.22,0.22,1,52.4,500.0,500,500,1,94.4,6,144
chara_rik_00001,リコピン,rik,1,9,268000.0,12000,750000,2,86.0,542.2,300,900,2,83.2,52.2,45,65,1,94.4,0.17,0.11,0.2,1,81.1,5.0,0,10,1,0.7,2,144
chara_rik_00101,甘戸 めめ,rik,1,4,455000.0,200000,720000,1,96.5,970.0,400,2500,1,95.1,35.0,35,35,2,51.7,0.463,0.4,0.5,2,3.5,5.0,0,10,1,0.7,2,144
enemy_spy_00001,密輸組織の残党,spy,0,10,4300.0,1000,10000,7,6.3,200.0,50,300,1,43.4,33.1,25,70,3,37.1,0.352,0.32,0.4,6,13.3,280.0,250,400,7,74.1,8,144
enemy_spy_00101,グエン,spy,0,13,5615.0,1000,10000,5,14.7,157.7,50,500,4,32.9,30.7,30,32,5,22.4,0.192,0.18,0.2,3,71.3,304.0,100,500,6,80.4,8,144
c_spy_00101_general_Boss_Colorless,<黄昏> ロイド,spy,1,1,3000.0,3000,3000,8,4.9,100.0,100,100,5,14.0,31.0,31,31,4,24.5,0.5,0.5,0.5,8,2.1,500.0,500,500,1,94.4,8,144
chara_spy_00101,<黄昏> ロイド,spy,1,12,15833.0,10000,25000,4,40.6,183.3,50,400,3,40.6,30.2,25,31,6,20.3,0.437,0.35,0.5,7,4.9,350.0,100,1000,3,85.3,8,144
chara_spy_00201,<いばら姫> ヨル,spy,1,10,25000.0,10000,100000,2,49.0,195.0,50,500,2,42.0,43.5,40,45,1,79.7,0.24,0.21,0.25,5,44.1,318.0,120,500,5,81.1,8,144
chara_spy_00401,フランキー・フランクリン,spy,1,10,22000.0,10000,40000,3,46.2,80.0,50,100,8,5.6,30.2,28,31,6,20.3,0.19,0.17,0.2,2,72.7,348.0,120,500,4,84.6,8,144
chara_spy_00501,姉を想う盲愛 ユーリ・ブライア,spy,1,2,100000.0,100000,100000,1,76.9,100.0,100,100,5,14.0,25.0,25,25,8,3.5,0.17,0.17,0.17,1,81.1,500.0,500,500,1,94.4,8,144
e_spy_00101_tutorial,<黄昏> ロイド,spy,1,1,5000.0,5000,5000,6,7.0,100.0,100,100,5,14.0,34.0,34,34,2,42.7,0.2,0.2,0.2,4,61.5,50.0,50,50,8,11.9,8,144
enemy_sum_00001,影,sum,0,11,88455.0,15000,350000,6,76.2,518.2,200,800,6,81.8,43.6,40,50,6,80.4,0.176,0.11,0.3,3,78.3,5.0,1,10,4,0.7,6,144
chara_sum_00001,網代 慎平,sum,1,5,379000.0,150000,700000,3,90.9,840.0,500,1300,4,90.2,46.0,40,50,5,87.4,0.244,0.11,0.4,4,40.6,5.0,1,10,4,0.7,6,144
chara_sum_00101,影のウシオ 小舟 潮,sum,1,5,478000.0,190000,700000,1,97.2,660.0,400,1000,5,87.4,48.0,40,55,4,88.1,0.31,0.3,0.35,5,18.2,5.0,1,10,4,0.7,6,144
chara_sum_00201,小舟 澪,sum,1,11,386364.0,70000,1000000,2,92.3,1121.8,490,2500,1,98.6,57.4,45,66,1,97.9,0.127,0.11,0.3,2,94.4,6.0,1,10,1,4.9,6,144
enemy_sum_00101,小舟 澪の影 (拳銃),sum,1,4,350000.0,200000,800000,5,88.8,900.0,500,1700,3,93.7,50.0,45,55,2,89.5,0.413,0.3,0.45,6,6.3,6.0,1,10,1,4.9,6,144
enemy_sum_00201,小舟 澪の影 (包丁),sum,1,4,375000.0,200000,500000,4,90.2,1000.0,800,1200,2,97.2,50.0,45,55,2,89.5,0.11,0.11,0.11,1,98.6,6.0,1,10,1,4.9,6,144
enemy_sur_00101,醜鬼,sur,0,20,35200.0,1000,400000,8,57.3,462.5,100,2000,1,77.6,39.3,30,65,4,69.9,0.195,0.17,0.22,3,69.2,110.0,1,1000,8,32.2,11,144
chara_sur_00001,和倉 優希,sur,1,4,77500.0,50000,160000,5,75.5,375.0,300,500,5,68.5,39.8,32,50,3,70.6,0.22,0.2,0.24,6,52.4,53.0,1,100,10,16.8,11,144
chara_sur_00101,誇り高き魔都の剣姫 羽前 京香,sur,1,12,194250.0,1000,700000,2,83.2,416.7,100,800,3,73.4,45.4,40,55,2,86.0,0.221,0.2,0.25,7,51.7,181.0,1,500,7,48.3,11,144
chara_sur_00201,東 日万凛,sur,1,9,106778.0,1000,400000,4,79.7,433.3,100,900,2,74.1,38.6,25,65,7,67.1,0.157,0.11,0.3,1,90.2,191.0,1,500,6,52.4,11,144
chara_sur_00301,駿河 朱々,sur,1,8,168750.0,10000,500000,3,81.8,362.5,100,1200,6,67.8,39.1,31,55,5,69.2,0.164,0.11,0.2,2,85.3,203.0,1,500,4,60.8,11,144
chara_sur_00501,空間を操る六番組組長 出雲 天花,sur,1,10,48100.0,1000,100000,7,66.4,320.0,100,500,7,65.0,30.7,25,35,11,22.4,0.45,0.45,0.45,11,4.2,200.0,100,500,5,53.1,11,144
chara_sur_00601,東 八千穂,sur,1,3,20333.0,1000,50000,9,43.4,166.7,100,300,10,36.4,35.0,35,35,8,51.7,0.2,0.2,0.2,4,61.5,367.0,100,500,1,87.4,11,144
