運営仕様書名,フォルダパス,対応テーブル
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstQuest
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstQuestI18n
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstStage
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstStageI18n
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstStageEventReward
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstStageEventSetting
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstStageClearTimeReward
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstStageEndCondition
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstInGame
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstInGameI18n
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstPage
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstKomaLine
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstEnemyCharacter
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstEnemyCharacterI18n
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstEnemyStageParameter
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstEnemyOutpost
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstAutoPlayerSequence
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstMangaAnimation
【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと,MstQuestBonusUnit
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstQuest
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstQuestI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstStage
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstStageI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstStageEventReward
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstStageEventSetting
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstStageClearTimeReward
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstStageEndCondition
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstInGame
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstInGameI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstPage
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstKomaLine
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstEnemyCharacter
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstEnemyCharacterI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstEnemyStageParameter
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstEnemyOutpost
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstAutoPlayerSequence
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstArtwork
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstArtworkI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstArtworkFragment
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstArtworkFragmentI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstArtworkFragmentPosition
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstMangaAnimation
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstItem
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstItemI18n
【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る,MstQuestBonusUnit
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstQuest
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstQuestI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstStage
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstStageI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstStageEventReward
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstStageEventSetting
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstStageClearTimeReward
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstStageEndCondition
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstInGame
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstInGameI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstPage
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstKomaLine
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstEnemyCharacter
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstEnemyCharacterI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstEnemyStageParameter
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstEnemyOutpost
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstAutoPlayerSequence
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstArtwork
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstArtworkI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstArtworkFragment
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstArtworkFragmentI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstArtworkFragmentPosition
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstMangaAnimation
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstItem
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstItemI18n
【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち,MstQuestBonusUnit
【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計,MstQuest
【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計,MstQuestI18n
【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計,MstStage
【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計,MstStageI18n
【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計,MstStageEventReward
【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計,MstStageEventSetting
