対応テーブル,運営仕様書名,フォルダパス
MstEventDisplayUnit,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstEventDisplayUnit,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstEventDisplayUnit,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstEventDisplayUnit,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstEventDisplayUnitI18n,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstEventDisplayUnitI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstEventDisplayUnitI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstEventDisplayUnitI18n,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstEventDisplayUnitI18n,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstEventDisplayUnitI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstEventDisplayUnitI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstEventDisplayUnitI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstEventDisplayUnitI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstEventDisplayUnitI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstUnit,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstUnit,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstUnit,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstUnit,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstUnit,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstUnitI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstUnitI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstUnitI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstUnitI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstUnitI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstUnitAbility,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstUnitAbility,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstUnitAbility,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstUnitAbility,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstUnitSpecificRankUp,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstUnitSpecificRankUp,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstAbility,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstAbility,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstAbility,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstAbility,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstAbilityI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstAbilityI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstAbilityI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstAbilityI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstAbilityI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstAttack,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstAttack,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstAttack,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstAttack,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstAttackElement,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstAttackElement,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstAttackElement,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstAttackElement,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstAttackI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstAttackI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstAttackI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstAttackI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstAttackI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstSpecialAttackI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstSpecialAttackI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstSpecialAttackI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstSpecialAttackI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstSpecialAttackI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstSpecialRoleLevelUpAttackElement,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstSpeechBalloonI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstSpeechBalloonI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstSpeechBalloonI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstSpeechBalloonI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstSpeechBalloonI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstQuest,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstQuest,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstQuest,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstQuest,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstQuest,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstQuest,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstQuest,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstQuestI18n,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstQuestI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstQuestI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstQuestI18n,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstQuestI18n,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstQuestI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstQuestI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstQuestBonusUnit,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstQuestBonusUnit,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstQuestBonusUnit,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstQuestBonusUnit,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstQuestBonusUnit,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstQuestEventBonusSchedule,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstStage,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstStage,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstStage,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstStage,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstStage,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstStageI18n,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstStageI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstStageI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstStageI18n,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstStageI18n,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstStageI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstStageEventReward,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstStageEventReward,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
