Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,作成者,確認者,承認状況
■販売期間,2026-02-10 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
影のウシオ 小舟 潮,有償販売,(無期限),1,1,0,300,300,0
ピックアップガシャチケット,有償販売,(無期限),1,1,0,300,300,0
カラーメモリー・ブルー,有償販売,(無期限),750,750,0,0.27,202.5,0
メモリーフラグメント・初級,有償販売,(無期限),15,15,0,10,150,0
メモリーフラグメント・中級,有償販売,(無期限),5,5,0,15,75,0
コイン,無償販売,(無期限),15000,0,15000,0.01,0,150
,,,,,合計,,1027.5,150
,,,,,割引後価格,,980,▼おまけの割合
キャラパックここまで,,,,,割引,,0.04622871046,0.1530612245
,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】いいジャン!スタミナドリンクパック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),756,,,,,,,
■税別価格,687.2727273,,,,,,,
■割引価格(税込),480,■割引率,0.3650793651,,,,,
■税別割引価格,436.3636364,,,,,,,
■購入可能回数,1,⇦毎月月初に再販売予定,,,,,,
■販売期間,2026-02-02 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
スタミナドリンク,有償販売,(無期限),10,10,0,75.6,756,0
,有償販売,(無期限),,,0,,0,0
,有償販売,(無期限),,,0,,0,0
,有償販売,(無期限),,,0,,0,0
とりあえず売ってみる,,,,,合計,,756,0
,,,,,割引後価格,,480,▼無償報酬の割合
,,,,,割引,,0.3650793651,0
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】スタミナブースト応援パック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),2552,,,,,,,
■税別価格,2320,,,,,,,
■割引価格(税込),1480,■割引率,0.4200626959,,,,,
■税別割引価格,1345.454545,,,,,,,
■購入可能回数,1,⇦毎月月初に再販売予定?,,,,,,
■販売期間,2026-02-02 15:00:00,〜,2026-03-02 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
スタミナドリンク,有償販売,(無期限),20,20,0,75.6,1512,0
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,10,500,0
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,15,450,0
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,30,90,0
コイン,無償販売,(無期限),20000,0,20000,0.01,0,200
"SSRを60まで強化するのに必要コインが29,861。30000コインにするとおまけが20%超えるので調整",,,,,合計,,2552,200
カラーメモリーはスタミナドリンクでメインクエスト進めて探索報酬で取ってね想定,,,,,割引後価格,,1480,▼おまけの割合
中身はお得強化パック(980)+スタミナドリンクパック(480)とほぼ同じ,,,,,割引,,0.4200626959,0.1351351351
↑を買うよりややお得。ドリンク本数とコインが付いてる。全部販売個数制限があるので各アイテムに需要があるなら売れそう,,,,,,,,
キャンペーンを絡める。期間内に遊んでねを推す,,,,,,,,
◆【お一人様1回まで購入可】即戦力!キャラ強化パック,,,,,,,,
新規,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),3065,,,,,,,
■税別価格,2786.363636,,,,,,,
■割引価格(税込),1980,■割引率,0.3539967374,,,,,
■税別割引価格,1800,,,,,,,
■購入可能回数,1,⇦降臨、ランクマ、高難易度などに合わせて再販売予定,,,,,,
■販売期間,2026-02-09 15:00:00,〜,2026-02-16 10:59:59,"施策の中間日と2週目から販売するお得な攻略パック
今回は降臨バトル合わせ",,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
カラーメモリー・グレー,無償販売,(無期限),1500,1500,0,0.27,405,0
カラーメモリー・レッド,無償販売,(無期限),1500,1500,0,0.27,405,0
カラーメモリー・グリーン,無償販売,(無期限),1500,1500,0,0.27,405,0
カラーメモリー・ブルー,無償販売,(無期限),1500,1500,0,0.27,405,0
カラーメモリー・イエロー,無償販売,(無期限),1500,1500,0,0.27,405,0
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,10,500,0
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,15,450,0
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,30,90,0
コイン,無償販売,(無期限),30000,0,30000,0.01,0,300
70lvまで行ける素材(コインは足りない,,,,,合計,,3065,300
スペシャルガシャチケや選べるかけらBOX系も考えましたが、定常的に販売する想定として,,,,,割引後価格,,1980,▼おまけの割合
コンテンツ対抗のキャラが恒常キャラに居ない場合パックコンセプトと外れるのでやめました,,,,,割引,,0.3539967374,0.1515151515
入れるならコンテンツ対抗になっている可能性の高いピックアップガシャチケになると思われます,,,,,,,,
