Unnamed: 0,"クリエイティブ一覧
https://docs.google.com/spreadsheets/d/1s-5R4ijjb7AXckYDBmqBgHFsZzbOPVe_SvX3hlK5Fdw/edit?gid=576303298#gid=5763032981",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,emblem_icon_adventbattle_you_season01_00005,,,,120×120,AB,emblem_icon_adventbattle_you_season01_00005,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,,emblem_icon_adventbattle_you_season01_00006,,,,120×120,AB,emblem_icon_adventbattle_you_season01_00006,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,【イベントエンブレム】,"ブラック幼稚園園章
emblem_icon_event_you_00001

カバー裏にあります",1,1,,120×120,AB,emblem_icon_event_you_00001,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,原画のかけら,,,,,,,,,,,,,,,
,【原画のかけら】,"【原画のかけら】a+b
①※参照先：1巻115P
artwork_event_you_0001",2×2,0.2,,"524×524
154×154",AB,artwork_event_you_0001,,提出不要,江村,,"artwork_[:asset_key]a
artwork_[:asset_key]b",,,
,,"②※参照先：2巻072P
artwork_event_you_0002",,,,"524×524
154×154",AB,artwork_event_you_0002,,提出不要,江村,,,,,
,プレハブ関連,,,,,,,,,,,,,,,
,【コンテンツTOP】プレハブ,"【コンテンツTOP】 プレハブ
・リタ
・ダグ
・ハナ
・ルーク
・雑魚も入れられればお願いします(コメディぽく)
※赤字は必須、残りは入れられたらでOK",1,1,,"プレハブ
（画像は1000 × 520）",AB,event_you_00001_quest_select,,"PNG/PSD提出必要
※監修提出前にBNE側にPSDを提出",江村,,[:asset_key]_quest_select ※プレハブ名,,,
,【クエストバナー】デイリー,"プリズム
quest_event_you1_1day",1,0.3,,334×115,AB,you1_1day_quest_select_cell,,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】ストーリー1,"【コンテンツTOP】 Sバナーストリー1
【ストーリー】ダグ 編
quest_event_you1_charaget01
ダグが獲得できる",1,,,334×115,AB,you1_charaget01_quest_select_cell,,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】ストーリー2,"【コンテンツTOP】 Sバナーストリー2
【ストーリー】ハナ 編
quest_event_you1_charaget02
ハナが獲得できる",1,,,334×115,AB,you1_charaget02_quest_select_cell,,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】チャレンジ,"【コンテンツTOP】 Sバナーチャレンジ
・元殺し屋の新人教諭 リタのかけら
・ルークのかけら

quest_event_you1_challenge01",1,,,334×115,AB,you1_challenge01_quest_select_cell,,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】高難度,"【コンテンツTOP】 Sバナー高難度
・プリズム
・園章エンブレム
quest_event_you1_savage",1,,,334×115,AB,you1_savage_quest_select_cell,,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【ステージサムネール】,"キャラ_ダグ
stage_icon_event_you1_00001
ダグのかけら        
stage_icon_event_you1_00002
ダグのメモリー        
stage_icon_event_you1_00003

キャラ_ハナ       
stage_icon_event_you1_00004
ハナのかけら        
stage_icon_event_you1_00005
ハナのメモリー        
stage_icon_event_you1_00006

元殺し屋の新人教諭 リタのかけら       
stage_icon_event_you1_00007
ルークのかけら     
stage_icon_event_you1_00008

エンブレム：ブラック幼稚園園章 
stage_icon_event_you1_00009",10,0.2,,126×102,AB,,,提出不要,江村,,stage_icon_[:asset_key],,,
,バナー類,,,,,,,,,,,,,,,
,【イベントミッションバナー】ログインボーナス,"【お知らせ】ログインボーナス_Mバナー
幼稚園WARS いいジャン祭 特別ログインボーナス
・元殺し屋の新人教諭 リタ
・ダグ
・ピックアップガシャチケット
event_you_00001_loginbonus",1,0.3,,668×220,AB,event_you_00001_loginbonus,,PNG提出必要,江村,,[:asset_key]_loginbonus,,,
,"【イベントミッションバナー】ミッション
","幼稚園WARS いいジャン祭特別ミッション
「特別ミッション」で名称は今後固定
【お知らせ】ミッション_Mバナー
・ルーク
・ハナ
event_you_00001_mission",1,0.3,,668×220,AB,event_you_00001_mission,,PNG提出必要,江村,,[:asset_key]_mission,,,
,【イベントTOPバナー】いいジャン祭,"報酬：変更なし

「【コンテンツTOP】 プレハブ」の要素を流用して作成",1,0.1,,698×200,AB,event_you_00001_banner,,PNG提出必要,江村,,[:asset_key]_banner,,,
,【お知らせ_Mバナー】いいジャン祭,"キャラ
・元殺し屋の新人教諭 リタ
・ダグ
notice_event_you_00001",1,0.3,,668×220,不要,notice_event_you_00001,,PNG/PSD提出必要,江村,,notice_[:png_name],,,
,【ホームバナー】いいジャン祭,「【お知らせ】いいジャン祭開催お知らせ_Mバナー」を流用して作成,1,,,306×100,S3,hometop_event_you_00001,,PNG提出必要,江村,,hometop_[:png_name],,,
,【降臨バトル開催のお知らせ】,"誰の依頼だ？
キャラあり",1,0.1,,668×220,不要,,,,江村,,,,,
,ガシャバナー,,,,,,,,,,,,,,,
,"【ガシャTOP_Lバナー】
幼稚園WARS いいジャン祭ピックアップガシャ
・元殺し屋の新人教諭 リタ
・ルーク","・元殺し屋の新人教諭 リタ:UR
・ルーク:SSR

gacha_banner_you_00001
ガシャ画面改修の影響でプレハブが必要になる",1,0.5,,668×370,S3,gacha_banner_you_00001,,PNG提出必要,江村,,gacha_banner_[:banner_url],,,
,"【お知らせ_Mバナー】
幼稚園WARS いいジャン祭ピックアップガシャ
・元殺し屋の新人教諭 リタ
・ルーク","・元殺し屋の新人教諭 リタ:UR
・ルーク:SSR

notice_gacha_you_00001",1,,,668×220,不要,notice_gacha_you_00001,,PNG提出必要,江村,,gacha_gacha_[:banner_url],,,
,"【ホームバナー】
幼稚園WARS いいジャン祭ピックアップガシャ
・元殺し屋の新人教諭 リタ
・ルーク","・元殺し屋の新人教諭 リタ:UR
・ルーク:SSR

hometop_gacha_you_00001",1,,,"  
 	
306×100
",S3,hometop_gacha_you_00001,,PNG提出必要,江村,アップ済み,hometop_[:png_name],,,
,"【ガシャTOP_Lバナー】
バレンタインピックアップガシャ
・恒常の女の子キャラのみ
既存キャラのみ登場","バナーキャラ
・影のウシオ 小舟 潮UR
・囚われの王女 姫様UR
・パワーSSR
・冬木 美波SSR
新登場キャラや特別にピックアップしている対象はいません。
並び方としてはスペシャルガシャのようなイメージです。
キャラが多すぎるのであれば減らしていただいて大丈夫です。

gacha_banner_glo_00006
ガシャ画面改修の影響でプレハブが必要になる",1,,,668×370,S3,gacha_banner_glo_00006,,,,,gacha_banner_[:banner_url],,,
,"【お知らせ_Mバナー】
バレンタインピックアップガシャ
・恒常の女の子キャラのみ","バナーキャラ
・影のウシオ 小舟 潮UR
・囚われの王女 姫様UR
・パワーSSR
・冬木 美波SSR

notice_gacha_glo_00006",1,,,668×220,不要,notice_gacha_glo_00006,,,,,gacha_gacha_[:banner_url],,,
,"【ホームバナー】
バレンタインピックアップガシャ
・恒常の女の子キャラのみ","バナーキャラ
・影のウシオ 小舟 潮UR
・囚われの王女 姫様UR
・パワーSSR
・冬木 美波SSR

hometop_gacha_glo_00006",1,,,"  
 	
306×100
",S3,hometop_gacha_glo_00006,,,,アップ済み,hometop_[:png_name],,,
,"【ガシャTOP_Lバナー】
幼稚園WARS いいジャン祭ピックアップガシャB
・
・ルーク","・:UR
・ルーク:SSR

gacha_banner_you_00002",1,,,668×370,S3,gacha_banner_you_00002,,PNG提出必要,不要,,gacha_banner_[:banner_url],,,
,"【お知らせ_Mバナー】
幼稚園WARS  いいジャン祭ピックアップガシャB
・
・ルーク","・:UR
・ルーク:SSR

notice_gacha_you_00002",1,,,668×220,不要,notice_gacha_you_00002,,PNG提出必要,不要,,gacha_gacha_[:banner_url],,,
,"【ホームバナー】
幼稚園WARS  いいジャン祭ピックアップガシャB
・
・ルーク","・:UR
・ルーク:SSR

hometop_gacha_you_00002",1,,,"  
 	
306×100
",S3,hometop_gacha_you_00002,,PNG提出必要,不要,アップ済み,hometop_[:png_name],,,
,（不要）【図鑑_シリーズバナー】,,1,,,300×300,AB,,,,,,series_banner_[:asset_key],その他,都度,
,（不要）【図鑑_シリーズロゴ),,1,,,350×245,AB,,,,,,series_logo_[:asset_key],その他,都度,
,"（不要）クエストバナー降臨バトル
","
データ設定で済むか要確認",,,,,,,,,,,,,,
,（不要）いいジャン祭パック,"既存バナーを流用
",,,不要かも,,,,,,,,,,,
,施策ロゴ_作成とチームメンバーへの共有(一番初めにやる),,,0.2,,,,,,PNG/PSD提出必要,江村,,,,,
,商材バナー類：商材(パック、パス、プリズム),,,,,,,,,,,,,,,
,【お知らせ_Mバナー】バレンタイン お得なパック登場お知らせ,"いいジャン祭も走っており、お知らせ数を絞りたいので、まとめる意図です。
過去のお得なパックの時と同じ運用のイメージです。

文言
「お得なバレンタインパックが登場！」",,,,668×220,不要,notice_shop_pack_00020,監修不要,PNG提出必要,,,,,,
,【ホームバナー】バレンタイン お得なパック登場お知らせ,"【お知らせ_Mバナー】バレンタイン お得なパック登場お知らせを
流用して作成",,,,306×100,S3,hometop_shop_pack_00021,監修不要,PNG提出必要,,,,,,
,【パックバナー】「ヨル」バレンタインキャラパック,"値段：¥980
パック内容物
・<いばら姫> ヨル：1
・フェスガシャチケット：1
・カラーメモリー・レッド：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります。
キャラパックシリーズは全て同じ背景や構成で問題ありません。
キャラとカラーメモリーの差し替え作成していただくイメージです。
F列の画像はイメージです。削除していただいて大丈夫です",,,,668×220,AB,shop_pack_banner_pack_00022,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「ヨル」バレンタインキャラパック,"値段：¥980
パック内容物
・<いばら姫> ヨル：1
・フェスガシャチケット：1
・カラーメモリー・レッド：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00021,監修不要,PNG提出必要,,,,,,
,【パックバナー】「姫様」バレンタインキャラパック,"値段：¥980
パック内容物
・囚われの王女 姫様：1
・フェスガシャチケット：1
・カラーメモリー・グリーン：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります",,,,668×220,AB,shop_pack_banner_pack_00023,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「姫様」バレンタインキャラパック,"値段：¥980
パック内容物
・囚われの王女 姫様：1
・フェスガシャチケット：1
・カラーメモリー・グリーン：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00022,監修不要,PNG提出必要,,,,,,
,【パックバナー】「天乃 リリサ」バレンタインキャラパック,"値段：¥980
パック内容物
・リリエルに捧ぐ愛 天乃 リリサ：1
・フェスガシャチケット：1
・カラーメモリー・イエロー：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります",,,,668×220,AB,shop_pack_banner_pack_00024,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「天乃 リリサ」バレンタインキャラパック,"値段：¥980
パック内容物
・リリエルに捧ぐ愛 天乃 リリサ：1
・フェスガシャチケット：1
・カラーメモリー・イエロー：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00023,監修不要,PNG提出必要,,,,,,
,【パックバナー】「橘 美花莉」バレンタインキャラパック,"値段：¥980
パック内容物
・コスプレに託す乙女心 橘 美花莉：1
・フェスガシャチケット：1
・カラーメモリー・グリーン：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります",,,,668×220,AB,shop_pack_banner_pack_00025,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「橘 美花莉」バレンタインキャラパック,"値段：¥980
パック内容物
・コスプレに託す乙女心 橘 美花莉：1
・フェスガシャチケット：1
・カラーメモリー・グリーン：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00024,監修不要,PNG提出必要,,,,,,
,【パックバナー】「羽前 京香」バレンタインキャラパック,"値段：¥980
パック内容物
・誇り高き魔都の剣姫 羽前 京香：1
・フェスガシャチケット：1
・カラーメモリー・グリーン：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります",,,,668×220,AB,shop_pack_banner_pack_00026,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「羽前 京香」バレンタインキャラパック,"値段：¥980
パック内容物
・誇り高き魔都の剣姫 羽前 京香：1
・フェスガシャチケット：1
・カラーメモリー・グリーン：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00025,監修不要,PNG提出必要,,,,,,
,【パックバナー】「桜木 カナ」バレンタインキャラパック,"値段：¥980
パック内容物
・新人魔法少女 桜木 カナ：1
・フェスガシャチケット：1
・カラーメモリー・ブルー：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります",,,,668×220,AB,shop_pack_banner_pack_00027,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「桜木 カナ」バレンタインキャラパック,"値段：¥980
パック内容物
・新人魔法少女 桜木 カナ：1
・フェスガシャチケット：1
・カラーメモリー・ブルー：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00026,監修不要,PNG提出必要,,,,,,
,【パックバナー】「小舟 潮」バレンタインキャラパック,"値段：¥980
パック内容物
・影のウシオ 小舟 潮：1
・フェスガシャチケット：1
・カラーメモリー・ブルー：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

赤字の部分がパック毎に変わる内容物になります",,,,668×220,AB,shop_pack_banner_pack_00028,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】「小舟 潮」バレンタインキャラパック,"値段：¥980
パック内容物
・影のウシオ 小舟 潮：1
・フェスガシャチケット：1
・カラーメモリー・ブルー：750
・メモリーフラグメント・初級：15
・メモリーフラグメント・中級：5
・コイン：15000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00027,監修不要,PNG提出必要,,,,,,
,【パックバナー】いいジャン!スタミナドリンクパック,"値段：¥480
パック内容物
・スタミナドリンク：10

お得強化パックのような形で単発販売だけでなく継続的に再販する予定です。

ここから下は恒常で再販予定。
「お得なパック登場」は下記の既存バナーを使用
notice_shop_pack_00002",,,,668×220,AB,shop_pack_banner_pack_00029,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】いいジャン!スタミナドリンクパック,"値段：¥480
パック内容物
・スタミナドリンク：10

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00028,監修不要,PNG提出必要,,,,,,
,【パックバナー】スタミナブースト応援パック,"値段：¥1480
パック内容物
・スタミナドリンク：20
・メモリーフラグメント初級：50
・メモリーフラグメント中級：30
・メモリーフラグメント上級：3
・コイン：20000【おまけ】

お得強化パックのような形で単発販売だけでなく継続的に再販する予定です。",,,,668×220,AB,shop_pack_banner_pack_00030,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】スタミナブースト応援パック,"値段：¥1480
パック内容物
・スタミナドリンク：20
・メモリーフラグメント初級：50
・メモリーフラグメント中級：30
・メモリーフラグメント上級：3
・コイン：20000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00029,監修不要,PNG提出必要,,,,,,
,【パックバナー】即戦力!キャラ強化パック,"値段：¥1980
パック内容物
カラーメモリー・グレー：1500
カラーメモリー・レッド：1500
カラーメモリー・グリーン：1500
カラーメモリー・ブルー：1500
カラーメモリー・イエロー：1500
メモリーフラグメント・初級：50
メモリーフラグメント・中級：30
メモリーフラグメント・上級：3
コイン：30000【おまけ】

お得強化パックのような形で単発販売だけでなく継続的に再販する予定です。",,,,668×220,AB,shop_pack_banner_pack_00031,監修不要,PNG提出必要,,,,,,
,【お知らせ_Mバナー】即戦力!キャラ強化パック,"値段：¥1980
パック内容物
カラーメモリー・グレー：1500
カラーメモリー・レッド：1500
カラーメモリー・グリーン：1500
カラーメモリー・ブルー：1500
カラーメモリー・イエロー：1500
メモリーフラグメント・初級：50
メモリーフラグメント・中級：30
メモリーフラグメント・上級：3
コイン：30000【おまけ】

お得なパック登場お知らせの中に使う想定",,,,668×220,不要,notice_shop_pack_00030,監修不要,PNG提出必要,,,,,,
,,,,工数の合計値↓,,,,,,,,,,,,
,,,,4.7,,,,,,,,,,,,
,,,江村さん工数,4.7,,,,,,,,,,,,
,,,望月さん工数,0,,,,,,,,,,,,
