memo
TABLE,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward
e,quest_you_00001_ranking_10001_plus_reward_2,quest_you_00001_ranking_10001_plus,Coin,__NULL__,2000,202602010
e,quest_you_00001_ranking_10001_plus_reward_3,quest_you_00001_ranking_10001_plus,Item,item_gacha_ticket_special,1,202602010
e,quest_you_00001_maxscore_5000_reward,quest_you_00001_maxscore_5000,FreeDiamond,__NULL__,20,202602010
e,quest_you_00001_maxscore_10000_reward,quest_you_00001_maxscore_10000,Coin,__NULL__,1500,202602010
e,quest_you_00001_maxscore_15000_reward,quest_you_00001_maxscore_15000,FreeDiamond,__NULL__,30,202602010
e,quest_you_00001_maxscore_20000_reward,quest_you_00001_maxscore_20000,Coin,__NULL__,3000,202602010
e,quest_you_00001_maxscore_30000_reward,quest_you_00001_maxscore_30000,FreeDiamond,__NULL__,50,202602010
e,quest_you_00001_maxscore_40000_reward,quest_you_00001_maxscore_40000,Coin,__NULL__,4500,202602010
e,quest_you_00001_maxscore_50000_reward,quest_you_00001_maxscore_50000,FreeDiamond,__NULL__,50,202602010
e,quest_you_00001_maxscore_75000_reward,quest_you_00001_maxscore_75000,Coin,__NULL__,6000,202602010
e,quest_you_00001_maxscore_100000_reward,quest_you_00001_maxscore_100000,FreeDiamond,__NULL__,100,202602010
e,quest_you_00001_maxscore_150000_reward,quest_you_00001_maxscore_150000,Item,item_memory_fragment_high,1,202602010
e,quest_you_00001_maxscore_200000_reward,quest_you_00001_maxscore_200000,Item,item_gacha_ticket_special,1,202602010
e,quest_you_00001_rank_bronze_1_reward_1,quest_you_00001_rank_bronze_1_reward,FreeDiamond,__NULL__,10,202602010
e,quest_you_00001_rank_bronze_1_reward_2,quest_you_00001_rank_bronze_1_reward,Coin,__NULL__,1000,202602010
e,quest_you_00001_rank_bronze_1_reward_3,quest_you_00001_rank_bronze_1_reward,Item,item_memory_fragment_low,1,202602010
e,quest_you_00001_rank_bronze_2_reward_1,quest_you_00001_rank_bronze_2_reward,FreeDiamond,__NULL__,10,202602010
e,quest_you_00001_rank_bronze_2_reward_2,quest_you_00001_rank_bronze_2_reward,Coin,__NULL__,1000,202602010
e,quest_you_00001_rank_bronze_2_reward_3,quest_you_00001_rank_bronze_2_reward,Item,item_memory_fragment_low,1,202602010
e,quest_you_00001_rank_bronze_3_reward_1,quest_you_00001_rank_bronze_3_reward,FreeDiamond,__NULL__,10,202602010
e,quest_you_00001_rank_bronze_3_reward_2,quest_you_00001_rank_bronze_3_reward,Coin,__NULL__,1000,202602010
e,quest_you_00001_rank_bronze_3_reward_3,quest_you_00001_rank_bronze_3_reward,Item,item_memory_fragment_low,1,202602010
e,quest_you_00001_rank_bronze_4_reward_1,quest_you_00001_rank_bronze_4_reward,FreeDiamond,__NULL__,10,202602010
e,quest_you_00001_rank_bronze_4_reward_2,quest_you_00001_rank_bronze_4_reward,Coin,__NULL__,1000,202602010
e,quest_you_00001_rank_bronze_4_reward_3,quest_you_00001_rank_bronze_4_reward,Item,item_memory_fragment_low,1,202602010
e,quest_you_00001_rank_silver_1_reward_1,quest_you_00001_rank_silver_1_reward,FreeDiamond,__NULL__,20,202602010
e,quest_you_00001_rank_silver_1_reward_2,quest_you_00001_rank_silver_1_reward,Coin,__NULL__,2000,202602010
e,quest_you_00001_rank_silver_1_reward_3,quest_you_00001_rank_silver_1_reward,Item,item_memory_fragment_low,1,202602010
e,quest_you_00001_rank_silver_2_reward_1,quest_you_00001_rank_silver_2_reward,FreeDiamond,__NULL__,20,202602010
e,quest_you_00001_rank_silver_2_reward_2,quest_you_00001_rank_silver_2_reward,Coin,__NULL__,2000,202602010
e,quest_you_00001_rank_silver_2_reward_3,quest_you_00001_rank_silver_2_reward,Item,item_memory_fragment_low,1,202602010
e,quest_you_00001_rank_silver_3_reward_1,quest_you_00001_rank_silver_3_reward,FreeDiamond,__NULL__,20,202602010
e,quest_you_00001_rank_silver_3_reward_2,quest_you_00001_rank_silver_3_reward,Coin,__NULL__,2000,202602010
e,quest_you_00001_rank_silver_3_reward_3,quest_you_00001_rank_silver_3_reward,Item,item_memory_fragment_low,2,202602010
e,quest_you_00001_rank_silver_4_reward_1,quest_you_00001_rank_silver_4_reward,FreeDiamond,__NULL__,20,202602010
e,quest_you_00001_rank_silver_4_reward_2,quest_you_00001_rank_silver_4_reward,Coin,__NULL__,2000,202602010
e,quest_you_00001_rank_silver_4_reward_3,quest_you_00001_rank_silver_4_reward,Item,item_memory_fragment_low,2,202602010
e,quest_you_00001_rank_gold_1_reward_1,quest_you_00001_rank_gold_1_reward,FreeDiamond,__NULL__,30,202602010
e,quest_you_00001_rank_gold_1_reward_2,quest_you_00001_rank_gold_1_reward,Coin,__NULL__,3000,202602010
e,quest_you_00001_rank_gold_1_reward_3,quest_you_00001_rank_gold_1_reward,Item,item_memory_fragment_low,2,202602010
e,quest_you_00001_rank_gold_1_reward_4,quest_you_00001_rank_gold_1_reward,Item,item_memory_fragment_mid,1,202602010
e,quest_you_00001_rank_gold_2_reward_1,quest_you_00001_rank_gold_2_reward,FreeDiamond,__NULL__,30,202602010
e,quest_you_00001_rank_gold_2_reward_2,quest_you_00001_rank_gold_2_reward,Coin,__NULL__,3000,202602010
e,quest_you_00001_rank_gold_2_reward_3,quest_you_00001_rank_gold_2_reward,Item,item_memory_fragment_low,2,202602010
e,quest_you_00001_rank_gold_2_reward_4,quest_you_00001_rank_gold_2_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_gold_3_reward_1,quest_you_00001_rank_gold_3_reward,FreeDiamond,__NULL__,30,202602010
e,quest_you_00001_rank_gold_3_reward_2,quest_you_00001_rank_gold_3_reward,Coin,__NULL__,3000,202602010
e,quest_you_00001_rank_gold_3_reward_3,quest_you_00001_rank_gold_3_reward,Item,item_memory_fragment_low,2,202602010
e,quest_you_00001_rank_gold_3_reward_4,quest_you_00001_rank_gold_3_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_gold_4_reward_1,quest_you_00001_rank_gold_4_reward,FreeDiamond,__NULL__,30,202602010
e,quest_you_00001_rank_gold_4_reward_2,quest_you_00001_rank_gold_4_reward,Coin,__NULL__,3000,202602010
e,quest_you_00001_rank_gold_4_reward_3,quest_you_00001_rank_gold_4_reward,Item,item_memory_fragment_low,2,202602010
e,quest_you_00001_rank_gold_4_reward_4,quest_you_00001_rank_gold_4_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_master_1_reward_1,quest_you_00001_rank_master_1_reward,FreeDiamond,__NULL__,40,202602010
e,quest_you_00001_rank_master_1_reward_2,quest_you_00001_rank_master_1_reward,Coin,__NULL__,4000,202602010
e,quest_you_00001_rank_master_1_reward_3,quest_you_00001_rank_master_1_reward,Item,item_memory_fragment_low,3,202602010
e,quest_you_00001_rank_master_1_reward_4,quest_you_00001_rank_master_1_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_master_2_reward_1,quest_you_00001_rank_master_2_reward,FreeDiamond,__NULL__,40,202602010
e,quest_you_00001_rank_master_2_reward_2,quest_you_00001_rank_master_2_reward,Coin,__NULL__,4000,202602010
e,quest_you_00001_rank_master_2_reward_3,quest_you_00001_rank_master_2_reward,Item,item_memory_fragment_low,3,202602010
e,quest_you_00001_rank_master_2_reward_4,quest_you_00001_rank_master_2_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_master_3_reward_1,quest_you_00001_rank_master_3_reward,FreeDiamond,__NULL__,40,202602010
e,quest_you_00001_rank_master_3_reward_2,quest_you_00001_rank_master_3_reward,Coin,__NULL__,4000,202602010
e,quest_you_00001_rank_master_3_reward_3,quest_you_00001_rank_master_3_reward,Item,item_memory_fragment_low,3,202602010
e,quest_you_00001_rank_master_3_reward_4,quest_you_00001_rank_master_3_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_master_4_reward_1,quest_you_00001_rank_master_4_reward,FreeDiamond,__NULL__,40,202602010
e,quest_you_00001_rank_master_4_reward_2,quest_you_00001_rank_master_4_reward,Coin,__NULL__,4000,202602010
e,quest_you_00001_rank_master_4_reward_3,quest_you_00001_rank_master_4_reward,Item,item_memory_fragment_low,3,202602010
e,quest_you_00001_rank_master_4_reward_4,quest_you_00001_rank_master_4_reward,Item,item_memory_fragment_mid,2,202602010
e,quest_you_00001_rank_master_4_reward_5,quest_you_00001_rank_master_4_reward,Item,item_memory_fragment_high,1,202602010
