,,,,,,作成者,確認者,承認状況,,
フェスガシャチケット,有償販売,(無期限),10,10,0,¥300.00,"¥3,000",¥0.00,,
ピックアップガシャチケット,有償販売,(無期限),10,10,0,¥300.00,"¥3,000",¥0.00,,
メモリーフラグメント・初級,有償販売,(無期限),120,120,0,¥10.00,"¥1,200",¥0.00,,
メモリーフラグメント・中級,有償販売,(無期限),75,75,0,¥15.00,"¥1,125",¥0.00,,
メモリーフラグメント・上級,有償販売,(無期限),10,10,0,¥30.00,¥300,¥0.00,,
カラーメモリー・グレー,有償販売,(無期限),1950,1950,0,¥0.27,¥527,¥0.00,,
カラーメモリー・レッド,有償販売,(無期限),1950,1950,0,¥0.27,¥527,¥0.00,,
カラーメモリー・グリーン,有償販売,(無期限),1950,1950,0,¥0.27,¥527,¥0.00,,
カラーメモリー・ブルー,有償販売,(無期限),1950,1950,0,¥0.27,¥527,¥0.00,,
カラーメモリー・イエロー,有償販売,(無期限),1950,1950,0,¥0.27,¥527,¥0.00,,
コイン,無償販売,(無期限),150000,0,150000,¥0.01,¥0,"¥1,500.00",,
,,,,,合計,,"¥20,258","¥1,500.00",,
,,,,,割引後価格,,"¥10,000",▼おまけの割合,,
,,,,,割引,,50.64%,15.00%,,
,,,,,,,↑80%以内になるように個数を調整する,,,
,,,,,,,,,,
,,,,,,,,,,
謹賀新年特別パス,,,,,,,,,,
ラインナップ新規,,,,,,,,,,
■ID,premium_pass_02,,,,,,,,,
■store_product_id,48,,,,,,,,,
■Biling ID（ios）,BNEI0434_0047,,,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0047,,,,,,,,,
■商品種別,パス,,,,,,,,,
■合計価格(税込),"¥3,600",,,,,,,,,
■税別価格,"¥3,240",,,,,,,,,
■割引価格(税込)=販売価格,"¥1,980",■割引率,45.00%,,,,,,,
■税別割引価格,"¥1,782",,,,,,,,,
■購入可能回数,1,,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/1/15 3:59,,,,,,,
■販売有効期限表示有無,無,,,,,,,,,
■1日のプリズム獲得数,80,"⇦ログイン時に獲得できるのはOKだが、期間中にログインしていなかった分もその日数に応じてまとめて獲得できる仕様はNG。
広告スキップなどの効果はそもそもログインしないと使用できないので、BNEレギュには抵触しない認識。",,,,,,,,
■1日のコイン獲得数,8000,,,,,,,,,
■パスの有効日数(最大日数),15,⇦パスの有効期間は60日以内にする必要がある。,,,,,,,,
■販売期間(有効期間),購入後15日まで,⇦BNEレギュだと購入後の効果の期限が終了してからでないと再購入不可となっています。,,,,,,,,
■配分NG確認（プリズム）,6.67%,30.0%,,,,,,,,
■配分NG確認（コイン）,6.67%,30.0%,,,,,,,,
■リリースキー,202512020,,,,,,,,,
,,,,,,,,,,
名称,有効期限・オマケ,受け取り期限,合計個数,有償区分,無償分(オマケ),単価,価格,おまけ,,
プリズム,無償扱い,(無期限),1200,0,1200,¥2.00,¥0,"¥2,400.00",,
コイン,無償扱い,(無期限),120000,0,120000,¥0.01,¥0,"¥1,200.00",,
,,,,,合計,,¥0,"¥3,600.00",,
,,,,,割引後価格,,"¥1,980",▼おまけの割合,,
,,,,,割引,,45.00%,181.82%,,
