施策区分,必要/不要,カテゴリ１,カテゴリ２,用途,項目, 画像,規格,"アップ先
通常,不要,,,,図鑑用バナー(series_banner),,300×300,AB,都度,,,series_banner_kai.png,
通常,不要,,,,ロゴ(series_logo),,350×245,AB,都度,,,series_logo_kai.png,
通常,不要,,,,通常ログインボーナス,,602 × 98,,,,,general_glo_00001_loginbonus,
,不要,,,,"tutorial_tip_images
チュートリアル用ダイアログ",,606× 850,,,,tutorial_tip_image_advent_battle_1,,
,,,,,以下対応なし,,,,,,,,
いいジャン祭,,お知らせ,バナー,,先行情報の形で汎用Mバナー,未定,,,,,,,
いいジャン祭,,お知らせ,バナー,,メンテナンスお知らせ,未定,,,,,,,
通常,,パック,バナー,,"プリズム
・バナー不要",,,AB,単発,,,,
通常,,パック,バナー,,ジャンブルパック,,,AB,単発,,,,
通常,,パック,バナー,,強化パック：A（販売するかどうかは要検討）,,,AB,単発,,,,
通常,,パック,バナー,,強化パック：A（販売するかどうかは要検討）,,,AB,単発,,,,
通常,,,,,バックバナー,,,,,,,https://wonderplanet-glow.slack.com/archives/C069N3UL80H/p1744702621983249?thread_ts=1744702246.829559&cid=C069N3UL80H,
,,,,,オールスタークエスト,,,,単発（今は）,,,追加,
降臨バトル,,,,,降臨バトル関連,,,,単発（変わる可能性ある）,,,,
