,02_施策,,推定レベデザ工数,6話：23人日,3話：17人日,探索：3人日,,,,,,
,,,,,,,,,,,,
,◆メインクエスト【ハード］,,レベデザ（6話として、設計：2人日、設定：1人日、担当者確認：2人日、リード承認：2人日、合計：7人日、3話の場合-2人日）,,,,,,,,,
,,,,,,,,,,,,
,項目,内容,,,,,,,,,,
,クエスト名,ランダム,,,,,,,,,,
,開催期間,12/30 0:00,〜,1/1 0:00,,,,,,,,
,基礎設計URL,,,,,,,,,,,
,"原画演出URL
ステージ 3監修中",なし,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件
,1話,,,,,,,がっこう,,※原画演出資料参照,※原画演出資料参照,
,,,,,,,,,,,,
,ステージ報酬,,,,,ステージ背景ID,,ステージ背景名称,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,原画のかけら,,,,,,,
,1話,初回クリア,30,250,0,,,,,,,
,,クリア,0,75,0,,,,,,,
,,ランダム,0,0,2,,,,,,,
,,"ランダム報酬
ドロップ率（%）",-,-,100,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件
,2話,,,,,,,がっこう,,※原画演出資料参照,※原画演出資料参照,ステージ1クリア
,,,,,,,,,,,,
,ステージ報酬,,,,,ステージ背景ID,,ステージ背景名称,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,原画のかけら,,,,,,,
,2話,初回クリア,30,250,0,,,,,,,
,,クリア,0,75,0,,,,,,,
,,ランダム,0,0,2,,,,,,,
,,"ランダム報酬
ドロップ率（%）",-,-,100,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件
,3話,,,,,,,家ってあるんか,,※原画演出資料参照,※原画演出資料参照,ステージ2クリア
,,,,,,,,,,,,
,ステージ報酬,,,,,ステージ背景ID,,ステージ背景名称,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,原画のかけら,,,,,,,
,3話,初回クリア,30,250,0,,,,,,,
,,クリア,0,75,0,,,,,,,
,,ランダム,0,0,2,,,,,,,
,,"ランダム報酬
ドロップ率（%）",-,-,100,,,,,,,
,,,,,,,,,,,,
,◆メインクエスト【エクストラ］,,レベデザ（6話として、設計：2人日、設定：2人日、担当者確認：2人日、リード承認：2人日、合計：8人日、3話の場合-2人日）,,,,,,,,,
,,,,,,,,,,,,
,項目,内容,,,,,,,,,,
,クエスト名,ランダム,,,,,,,,,,
,開催期間,12/30 0:00,〜,1/1 0:00,,,,,,,,
,基礎設計URL,,,,,,,,,,,
,"原画演出URL
ステージ 3監修中",なし,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件
,1話,,,,,,,がっこう,,※原画演出資料参照,※原画演出資料参照,
,,,,,,,,,,,,
,ステージ報酬,,,,,ステージ背景ID,,ステージ背景名称,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,原画のかけら,,,,,,,
,1話,初回クリア,30,250,0,,,,,,,
,,クリア,0,75,0,,,,,,,
,,ランダム,0,0,2,,,,,,,
,,"ランダム報酬
ドロップ率（%）",-,-,100,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件
,2話,,,,,,,がっこう,,※原画演出資料参照,※原画演出資料参照,ステージ1クリア
,,,,,,,,,,,,
,ステージ報酬,,,,,ステージ背景ID,,ステージ背景名称,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,原画のかけら,,,,,,,
,2話,初回クリア,30,250,0,,,,,,,
,,クリア,0,75,0,,,,,,,
,,ランダム,0,0,2,,,,,,,
,,"ランダム報酬
ドロップ率（%）",-,-,100,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件
,3話,,,,,,,家ってあるんか,,※原画演出資料参照,※原画演出資料参照,ステージ2クリア
,,,,,,,,,,,,
,ステージ報酬,,,,,ステージ背景ID,,ステージ背景名称,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,原画のかけら,,,,,,,
,3話,初回クリア,30,250,0,,,,,,,
,,クリア,0,75,0,,,,,,,
,,ランダム,0,0,2,,,,,,,
,,"ランダム報酬
ドロップ率（%）",-,-,100,,,,,,,
,,,,,,,,,,,,
,◆メインクエスト追加の恒常ミッション,,,,,,,,,,,
,▼以下に記載しました,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=B93:E102,,,,,,,,,,,
