memo
TABLE,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward
e,reward_sur_christmas_pack_20251222_03_04,stage_sur_christmas_pack_20251222_03,Random,Item,piece_sur_XXXXX,20,1,3,100,1
e,reward_sur_christmas_pack_20251222_03_05,stage_sur_christmas_pack_20251222_03,Random,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_04_01,stage_sur_christmas_pack_20251222_04,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_04_02,stage_sur_christmas_pack_20251222_04,FirstClear,Coin,,100,2,350,100,1
e,reward_sur_christmas_pack_20251222_04_03,stage_sur_christmas_pack_20251222_04,Always,Coin,,100,1,105,100,1
e,reward_sur_christmas_pack_20251222_04_04,stage_sur_christmas_pack_20251222_04,Always,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_04_05,stage_sur_christmas_pack_20251222_04,Random,Item,piece_sur_XXXXX,25,1,5,100,1
e,reward_sur_christmas_pack_20251222_05_01,stage_sur_christmas_pack_20251222_05,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_05_02,stage_sur_christmas_pack_20251222_05,FirstClear,Item,memory_sur_XXXXX,100,2,200,100,1
e,reward_sur_christmas_pack_20251222_05_03,stage_sur_christmas_pack_20251222_05,FirstClear,Coin,,100,3,350,100,1
e,reward_sur_christmas_pack_20251222_05_04,stage_sur_christmas_pack_20251222_05,Always,Coin,,100,1,105,100,1
e,reward_sur_christmas_pack_20251222_05_05,stage_sur_christmas_pack_20251222_05,Random,Item,piece_sur_XXXXX,30,1,5,100,1
e,reward_sur_christmas_pack_20251222_05_06,stage_sur_christmas_pack_20251222_05,Random,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_06_01,stage_sur_christmas_pack_20251222_06,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_06_02,stage_sur_christmas_pack_20251222_06,FirstClear,Item,item_memoryfragment_beginner,100,2,15,100,1
e,reward_sur_christmas_pack_20251222_06_03,stage_sur_christmas_pack_20251222_06,FirstClear,Item,memory_sur_XXXXX,100,3,250,100,1
e,reward_sur_christmas_pack_20251222_06_04,stage_sur_christmas_pack_20251222_06,FirstClear,Coin,,100,4,350,100,1
e,reward_sur_christmas_pack_20251222_06_05,stage_sur_christmas_pack_20251222_06,Always,Coin,,100,1,105,100,1
e,reward_sur_christmas_pack_20251222_06_06,stage_sur_christmas_pack_20251222_06,Random,Item,piece_sur_XXXXX,40,1,5,100,1
e,reward_sur_christmas_pack_20251222_06_07,stage_sur_christmas_pack_20251222_06,Random,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_07_01,stage_sur_christmas_pack_20251222_07,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_07_02,stage_sur_christmas_pack_20251222_07,FirstClear,Item,item_memoryfragment_intermediate,100,2,10,100,1
e,reward_sur_christmas_pack_20251222_07_03,stage_sur_christmas_pack_20251222_07,FirstClear,Item,memory_sur_XXXXX,100,3,300,100,1
e,reward_sur_christmas_pack_20251222_07_04,stage_sur_christmas_pack_20251222_07,FirstClear,Coin,,100,4,500,100,1
e,reward_sur_christmas_pack_20251222_07_05,stage_sur_christmas_pack_20251222_07,Always,Coin,,100,1,150,100,1
e,reward_sur_christmas_pack_20251222_07_06,stage_sur_christmas_pack_20251222_07,Random,Item,piece_sur_XXXXX,45,1,10,100,1
e,reward_sur_christmas_pack_20251222_07_07,stage_sur_christmas_pack_20251222_07,Random,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_08_01,stage_sur_christmas_pack_20251222_08,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_08_02,stage_sur_christmas_pack_20251222_08,FirstClear,Item,item_memoryfragment_advanced,100,2,1,100,1
e,reward_sur_christmas_pack_20251222_08_03,stage_sur_christmas_pack_20251222_08,FirstClear,Item,memory_sur_XXXXX,100,3,350,100,1
e,reward_sur_christmas_pack_20251222_08_04,stage_sur_christmas_pack_20251222_08,FirstClear,Coin,,100,4,500,100,1
e,reward_sur_christmas_pack_20251222_08_05,stage_sur_christmas_pack_20251222_08,Always,Coin,,100,1,150,100,1
e,reward_sur_christmas_pack_20251222_08_06,stage_sur_christmas_pack_20251222_08,Random,Item,piece_sur_XXXXX,60,1,10,100,1
e,reward_sur_christmas_pack_20251222_08_07,stage_sur_christmas_pack_20251222_08,Random,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_01_01,stage_sur_christmas_battle_20251222_01,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_01_02,stage_sur_christmas_battle_20251222_01,FirstClear,Unit,chara_sur_YYYYY,100,2,1,100,1
e,reward_sur_christmas_battle_20251222_01_03,stage_sur_christmas_battle_20251222_01,FirstClear,Coin,,100,3,250,100,1
e,reward_sur_christmas_battle_20251222_01_04,stage_sur_christmas_battle_20251222_01,Always,Coin,,100,1,75,100,1
e,reward_sur_christmas_battle_20251222_01_05,stage_sur_christmas_battle_20251222_01,Random,Item,piece_sur_YYYYY,10,1,3,100,1
e,reward_sur_christmas_battle_20251222_01_06,stage_sur_christmas_battle_20251222_01,Random,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_02_01,stage_sur_christmas_battle_20251222_02,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_02_02,stage_sur_christmas_battle_20251222_02,FirstClear,Coin,,100,2,250,100,1
e,reward_sur_christmas_battle_20251222_02_03,stage_sur_christmas_battle_20251222_02,Always,Coin,,100,1,75,100,1
e,reward_sur_christmas_battle_20251222_02_04,stage_sur_christmas_battle_20251222_02,Always,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_02_05,stage_sur_christmas_battle_20251222_02,Random,Item,piece_sur_YYYYY,15,1,3,100,1
e,reward_sur_christmas_battle_20251222_03_01,stage_sur_christmas_battle_20251222_03,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_03_02,stage_sur_christmas_battle_20251222_03,FirstClear,Coin,,100,2,250,100,1
e,reward_sur_christmas_battle_20251222_03_03,stage_sur_christmas_battle_20251222_03,Always,Coin,,100,1,75,100,1
e,reward_sur_christmas_battle_20251222_03_04,stage_sur_christmas_battle_20251222_03,Random,Item,piece_sur_YYYYY,20,1,3,100,1
e,reward_sur_christmas_battle_20251222_03_05,stage_sur_christmas_battle_20251222_03,Random,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_04_01,stage_sur_christmas_battle_20251222_04,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_04_02,stage_sur_christmas_battle_20251222_04,FirstClear,Coin,,100,2,350,100,1
e,reward_sur_christmas_battle_20251222_04_03,stage_sur_christmas_battle_20251222_04,Always,Coin,,100,1,105,100,1
e,reward_sur_christmas_battle_20251222_04_04,stage_sur_christmas_battle_20251222_04,Always,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_04_05,stage_sur_christmas_battle_20251222_04,Random,Item,piece_sur_YYYYY,25,1,5,100,1
e,reward_sur_christmas_battle_20251222_05_01,stage_sur_christmas_battle_20251222_05,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_05_02,stage_sur_christmas_battle_20251222_05,FirstClear,Item,colormemory_sur_YYYYY,100,2,200,100,1
e,reward_sur_christmas_battle_20251222_05_03,stage_sur_christmas_battle_20251222_05,FirstClear,Coin,,100,3,350,100,1
e,reward_sur_christmas_battle_20251222_05_04,stage_sur_christmas_battle_20251222_05,Always,Coin,,100,1,105,100,1
e,reward_sur_christmas_battle_20251222_05_05,stage_sur_christmas_battle_20251222_05,Random,Item,piece_sur_YYYYY,30,1,5,100,1
e,reward_sur_christmas_battle_20251222_05_06,stage_sur_christmas_battle_20251222_05,Random,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_06_01,stage_sur_christmas_battle_20251222_06,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_06_02,stage_sur_christmas_battle_20251222_06,FirstClear,Item,item_memoryfragment_beginner,100,2,15,100,1
e,reward_sur_christmas_battle_20251222_06_03,stage_sur_christmas_battle_20251222_06,FirstClear,Item,colormemory_sur_YYYYY,100,3,250,100,1
e,reward_sur_christmas_battle_20251222_06_04,stage_sur_christmas_battle_20251222_06,FirstClear,Coin,,100,4,350,100,1
e,reward_sur_christmas_battle_20251222_06_05,stage_sur_christmas_battle_20251222_06,Always,Coin,,100,1,105,100,1
e,reward_sur_christmas_battle_20251222_06_06,stage_sur_christmas_battle_20251222_06,Random,Item,piece_sur_YYYYY,40,1,5,100,1
e,reward_sur_christmas_battle_20251222_06_07,stage_sur_christmas_battle_20251222_06,Random,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_07_01,stage_sur_christmas_battle_20251222_07,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_07_02,stage_sur_christmas_battle_20251222_07,FirstClear,Item,item_memoryfragment_intermediate,100,2,10,100,1
e,reward_sur_christmas_battle_20251222_07_03,stage_sur_christmas_battle_20251222_07,FirstClear,Item,colormemory_sur_YYYYY,100,3,300,100,1
e,reward_sur_christmas_battle_20251222_07_04,stage_sur_christmas_battle_20251222_07,FirstClear,Coin,,100,4,500,100,1
e,reward_sur_christmas_battle_20251222_07_05,stage_sur_christmas_battle_20251222_07,Always,Coin,,100,1,150,100,1
e,reward_sur_christmas_battle_20251222_07_06,stage_sur_christmas_battle_20251222_07,Random,Item,piece_sur_YYYYY,45,1,10,100,1
e,reward_sur_christmas_battle_20251222_07_07,stage_sur_christmas_battle_20251222_07,Random,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_battle_20251222_08_01,stage_sur_christmas_battle_20251222_08,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_battle_20251222_08_02,stage_sur_christmas_battle_20251222_08,FirstClear,Item,item_memoryfragment_advanced,100,2,1,100,1
e,reward_sur_christmas_battle_20251222_08_03,stage_sur_christmas_battle_20251222_08,FirstClear,Item,colormemory_sur_YYYYY,100,3,350,100,1
e,reward_sur_christmas_battle_20251222_08_04,stage_sur_christmas_battle_20251222_08,FirstClear,Coin,,100,4,500,100,1
e,reward_sur_christmas_battle_20251222_08_05,stage_sur_christmas_battle_20251222_08,Always,Coin,,100,1,150,100,1
e,reward_sur_christmas_battle_20251222_08_06,stage_sur_christmas_battle_20251222_08,Random,Item,piece_sur_YYYYY,60,1,10,100,1
e,reward_sur_christmas_battle_20251222_08_07,stage_sur_christmas_battle_20251222_08,Random,Item,artwork_fragment_YYYYY,100,2,2,100,1
e,reward_sur_christmas_challenge_20251222_01_01,stage_sur_christmas_challenge_20251222_01,FirstClear,Item,ticket_pickup_gacha,100,1,1,100,1
e,reward_sur_christmas_challenge_20251222_01_02,stage_sur_christmas_challenge_20251222_01,Always,Coin,,100,1,150,100,1
e,reward_sur_christmas_challenge_20251222_02_01,stage_sur_christmas_challenge_20251222_02,FirstClear,Item,piece_sur_ZZZZZ,100,1,50,100,1
e,reward_sur_christmas_challenge_20251222_02_02,stage_sur_christmas_challenge_20251222_02,FirstClear,Item,ticket_pickup_gacha,100,2,1,100,1
e,reward_sur_christmas_challenge_20251222_02_03,stage_sur_christmas_challenge_20251222_02,Always,Coin,,100,1,225,100,1
e,reward_sur_christmas_challenge_20251222_03_01,stage_sur_christmas_challenge_20251222_03,FirstClear,Unit,chara_sur_ZZZZZ,100,1,50,100,1
e,reward_sur_christmas_challenge_20251222_03_02,stage_sur_christmas_challenge_20251222_03,FirstClear,Item,ticket_pickup_gacha,100,2,1,100,1
e,reward_sur_christmas_challenge_20251222_03_03,stage_sur_christmas_challenge_20251222_03,Always,Coin,,100,1,225,100,1
e,reward_sur_christmas_challenge_20251222_04_01,stage_sur_christmas_challenge_20251222_04,FirstClear,Unit,chara_sur_ZZZZY,100,1,50,100,1
e,reward_sur_christmas_challenge_20251222_04_02,stage_sur_christmas_challenge_20251222_04,FirstClear,Item,ticket_pickup_gacha,100,2,1,100,1
e,reward_sur_christmas_challenge_20251222_04_03,stage_sur_christmas_challenge_20251222_04,Always,Coin,,100,1,300,100,1
e,reward_sur_christmas_high_20251222_01_01,stage_sur_christmas_high_20251222_01,FirstClear,Item,emblem_sur_AAAAA,100,1,1,100,1
e,reward_sur_christmas_high_20251222_01_02,stage_sur_christmas_high_20251222_01,FirstClear,Prism,,100,2,100,100,1
e,reward_sur_christmas_high_20251222_01_03,stage_sur_christmas_high_20251222_01,Always,Coin,,100,1,375,100,1
e,reward_sur_christmas_high_20251222_02_01,stage_sur_christmas_high_20251222_02,FirstClear,Item,emblem_sur_AAAAB,100,1,1,100,1
e,reward_sur_christmas_high_20251222_02_02,stage_sur_christmas_high_20251222_02,FirstClear,Prism,,100,2,100,100,1
e,reward_sur_christmas_high_20251222_02_03,stage_sur_christmas_high_20251222_02,Always,Coin,,100,1,375,100,1
e,reward_sur_christmas_high_20251222_03_01,stage_sur_christmas_high_20251222_03,FirstClear,Prism,,100,1,100,100,1
e,reward_sur_christmas_high_20251222_03_02,stage_sur_christmas_high_20251222_03,FirstClear,Coin,,100,2,5000,100,1
e,reward_sur_christmas_high_20251222_03_03,stage_sur_christmas_high_20251222_03,Always,Coin,,100,1,400,100,1
e,reward_sur_christmas_high_20251222_04_01,stage_sur_christmas_high_20251222_04,FirstClear,Prism,,100,1,100,100,1
e,reward_sur_christmas_high_20251222_04_02,stage_sur_christmas_high_20251222_04,FirstClear,Coin,,100,2,5000,100,1
e,reward_sur_christmas_high_20251222_04_03,stage_sur_christmas_high_20251222_04,FirstClear,Item,ticket_special_gacha,100,3,5,100,1
e,reward_sur_christmas_high_20251222_04_04,stage_sur_christmas_high_20251222_04,Always,Coin,,100,1,2000,100,1
e,reward_sur_christmas_high_20251222_05_01,stage_sur_christmas_high_20251222_05,FirstClear,Prism,,100,1,150,100,1
e,reward_sur_christmas_high_20251222_05_02,stage_sur_christmas_high_20251222_05,FirstClear,Coin,,100,2,10000,100,1
e,reward_sur_christmas_high_20251222_05_03,stage_sur_christmas_high_20251222_05,FirstClear,Item,item_memoryfragment_beginner,100,3,20,100,1
e,reward_sur_christmas_high_20251222_05_04,stage_sur_christmas_high_20251222_05,FirstClear,Item,item_memoryfragment_intermediate,100,4,10,100,1
e,reward_sur_christmas_high_20251222_05_05,stage_sur_christmas_high_20251222_05,FirstClear,Item,item_memoryfragment_advanced,100,5,1,100,1
e,reward_sur_christmas_high_20251222_05_06,stage_sur_christmas_high_20251222_05,Always,Coin,,100,1,5000,100,1
