memo
TABLE,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward
e,advent_you_002_reward_0048,advent_you_002_reward_group_rank_014,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0049,advent_you_002_reward_group_rank_015,FreeDiamond,__NULL__,40,202602010
e,advent_you_002_reward_0050,advent_you_002_reward_group_rank_015,Coin,__NULL__,4000,202602010
e,advent_you_002_reward_0051,advent_you_002_reward_group_rank_015,Item,memoryfragment_glo_00001,3,202602010
e,advent_you_002_reward_0052,advent_you_002_reward_group_rank_015,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0053,advent_you_002_reward_group_rank_016,FreeDiamond,__NULL__,40,202602010
e,advent_you_002_reward_0054,advent_you_002_reward_group_rank_016,Coin,__NULL__,4000,202602010
e,advent_you_002_reward_0055,advent_you_002_reward_group_rank_016,Item,memoryfragment_glo_00001,3,202602010
e,advent_you_002_reward_0056,advent_you_002_reward_group_rank_016,Item,memoryfragment_glo_00002,2,202602010
e,advent_you_002_reward_0057,advent_you_002_reward_group_rank_016,Item,memoryfragment_glo_00003,1,202602010
e,advent_you_002_reward_0058,advent_you_002_reward_group_max_score_001,FreeDiamond,__NULL__,20,202602010
e,advent_you_002_reward_0059,advent_you_002_reward_group_max_score_002,Coin,__NULL__,1500,202602010
e,advent_you_002_reward_0060,advent_you_002_reward_group_max_score_003,FreeDiamond,__NULL__,30,202602010
e,advent_you_002_reward_0061,advent_you_002_reward_group_max_score_004,Coin,__NULL__,3000,202602010
e,advent_you_002_reward_0062,advent_you_002_reward_group_max_score_005,FreeDiamond,__NULL__,50,202602010
e,advent_you_002_reward_0063,advent_you_002_reward_group_max_score_006,Coin,__NULL__,4500,202602010
e,advent_you_002_reward_0064,advent_you_002_reward_group_max_score_007,FreeDiamond,__NULL__,50,202602010
e,advent_you_002_reward_0065,advent_you_002_reward_group_max_score_008,Coin,__NULL__,6000,202602010
e,advent_you_002_reward_0066,advent_you_002_reward_group_max_score_009,FreeDiamond,__NULL__,100,202602010
e,advent_you_002_reward_0067,advent_you_002_reward_group_max_score_010,Item,memoryfragment_glo_00003,1,202602010
e,advent_you_002_reward_0068,advent_you_002_reward_group_max_score_011,Item,ticket_glo_00002,1,202602010
e,advent_you_002_reward_0069,advent_you_002_reward_group_ranking_001,Emblem,emblem_event_you_00001,1,202602010
e,advent_you_002_reward_0070,advent_you_002_reward_group_ranking_001,FreeDiamond,__NULL__,1000,202602010
e,advent_you_002_reward_0071,advent_you_002_reward_group_ranking_001,Coin,__NULL__,100000,202602010
e,advent_you_002_reward_0072,advent_you_002_reward_group_ranking_001,Item,ticket_glo_00002,5,202602010
e,advent_you_002_reward_0073,advent_you_002_reward_group_ranking_002,Emblem,emblem_event_you_00001,1,202602010
e,advent_you_002_reward_0074,advent_you_002_reward_group_ranking_002,FreeDiamond,__NULL__,750,202602010
e,advent_you_002_reward_0075,advent_you_002_reward_group_ranking_002,Coin,__NULL__,75000,202602010
e,advent_you_002_reward_0076,advent_you_002_reward_group_ranking_002,Item,ticket_glo_00002,5,202602010
e,advent_you_002_reward_0077,advent_you_002_reward_group_ranking_003,Emblem,emblem_event_you_00001,1,202602010
e,advent_you_002_reward_0078,advent_you_002_reward_group_ranking_003,FreeDiamond,__NULL__,500,202602010
e,advent_you_002_reward_0079,advent_you_002_reward_group_ranking_003,Coin,__NULL__,50000,202602010
e,advent_you_002_reward_0080,advent_you_002_reward_group_ranking_003,Item,ticket_glo_00002,5,202602010
e,advent_you_002_reward_0081,advent_you_002_reward_group_ranking_004,Emblem,emblem_event_you_00001,1,202602010
e,advent_you_002_reward_0082,advent_you_002_reward_group_ranking_004,FreeDiamond,__NULL__,300,202602010
e,advent_you_002_reward_0083,advent_you_002_reward_group_ranking_004,Coin,__NULL__,30000,202602010
e,advent_you_002_reward_0084,advent_you_002_reward_group_ranking_004,Item,ticket_glo_00002,4,202602010
e,advent_you_002_reward_0085,advent_you_002_reward_group_ranking_005,Emblem,emblem_event_you_00001,1,202602010
e,advent_you_002_reward_0086,advent_you_002_reward_group_ranking_005,FreeDiamond,__NULL__,200,202602010
e,advent_you_002_reward_0087,advent_you_002_reward_group_ranking_005,Coin,__NULL__,20000,202602010
e,advent_you_002_reward_0088,advent_you_002_reward_group_ranking_005,Item,ticket_glo_00002,3,202602010
e,advent_you_002_reward_0089,advent_you_002_reward_group_ranking_006,Emblem,emblem_event_you_00001,1,202602010
e,advent_you_002_reward_0090,advent_you_002_reward_group_ranking_006,FreeDiamond,__NULL__,150,202602010
e,advent_you_002_reward_0091,advent_you_002_reward_group_ranking_006,Coin,__NULL__,15000,202602010
e,advent_you_002_reward_0092,advent_you_002_reward_group_ranking_006,Item,ticket_glo_00002,3,202602010
e,advent_you_002_reward_0093,advent_you_002_reward_group_ranking_007,FreeDiamond,__NULL__,100,202602010
e,advent_you_002_reward_0094,advent_you_002_reward_group_ranking_007,Coin,__NULL__,10000,202602010
e,advent_you_002_reward_0095,advent_you_002_reward_group_ranking_007,Item,ticket_glo_00002,2,202602010
e,advent_you_002_reward_0096,advent_you_002_reward_group_ranking_008,FreeDiamond,__NULL__,50,202602010
e,advent_you_002_reward_0097,advent_you_002_reward_group_ranking_008,Coin,__NULL__,5000,202602010
e,advent_you_002_reward_0098,advent_you_002_reward_group_ranking_008,Item,ticket_glo_00002,2,202602010
e,advent_you_002_reward_0099,advent_you_002_reward_group_ranking_009,FreeDiamond,__NULL__,20,202602010
e,advent_you_002_reward_0100,advent_you_002_reward_group_ranking_009,Coin,__NULL__,2000,202602010
e,advent_you_002_reward_0101,advent_you_002_reward_group_ranking_009,Item,ticket_glo_00002,1,202602010
