作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ
kai,怪獣８号,00101,chara_kai_00101,市川 レノ,市川 レノ,仲間のために体張れる男だ!!,SR
kai,怪獣８号,00102,chara_kai_00102,識別怪獣兵器6 市川 レノ,識別怪獣兵器6 市川 レノ,俺が 切り開く,UR
kai,怪獣８号,00201,chara_kai_00201,第三部隊隊長 亜白 ミナ,第三部隊隊長 亜白 ミナ,解放戦力 96%,UR
kai,怪獣８号,00202,chara_kai_00202,超大型キラー 亜白 ミナ,選定中,,UR
kai,怪獣８号,00301,chara_kai_00301,四ノ宮 キコル,四ノ宮 キコル,隊式斧術1式　落雷,SSR
kai,怪獣８号,00302,chara_kai_00302,識別怪獣兵器4 四ノ宮 キコル,選定中,,UR
kai,怪獣８号,00401,chara_kai_00401,保科 宗四郎,保科 宗四郎,6式 八重討ち,SSR
kai,怪獣８号,00501,chara_kai_00501,四ノ宮 功,四ノ宮 功,隊式格闘術2式 発破,SR
kai,怪獣８号,00601,chara_kai_00601,古橋 伊春,古橋 伊春,俺がお前を守るんだ バカヤロー,SR
kai,怪獣８号,00701,chara_kai_00701,識別怪獣兵器1 鳴海 弦,識別怪獣兵器1 鳴海 弦,隊式銃剣術6式 七枝刀,UR
kai,怪獣８号,00801,chara_kai_00801,東雲 りん,選定中,,SR
kai,怪獣８号,00901,chara_kai_00901,四ノ宮ヒカリ,選定中,,SSR
kai,怪獣８号,01001,chara_kai_01001,怪獣15号,選定中,,SR
yuw,2.5次元の誘惑,00001,chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,リリエルに捧ぐ愛 天乃 リリサ,リリエル爆破!!,UR
yuw,2.5次元の誘惑,00002,chara_yuw_00002,天乃 リリサ(クリスマス),選定中,,UR
yuw,2.5次元の誘惑,00101,chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,コスプレに託す乙女心 橘 美花莉,私を見てよ！,UR
yuw,2.5次元の誘惑,00102,chara_yuw_00102,クリスマス 橘 美花莉,愛届ける聖夜のサンタ 橘 美花莉,プレゼントは私だよ〜♡,UR
yuw,2.5次元の誘惑,00201,chara_yuw_00201,羽生 まゆり,羽生 まゆり,先生がもう一肌脱ぐしかないわね,SSR
yuw,2.5次元の誘惑,00301,chara_yuw_00301,勇気を纏うコスプレ 乃愛,勇気を纏うコスプレ 乃愛,命に換えてもお守りします,UR
yuw,2.5次元の誘惑,00401,chara_yuw_00401,伝えたいウチの想い　喜咲 アリア,伝えたいウチの想い 喜咲 アリア,アタシに任せてよ!!,UR
yuw,2.5次元の誘惑,00501,chara_yuw_00501,753♡,753♡,どっちがコスプレを愛してる？,SR
yuw,2.5次元の誘惑,00502,chara_yuw_00502,753♡(魔女コスプレ),選定中,,UR
yuw,2.5次元の誘惑,00601,chara_yuw_00601,奥村 正宗,奥村 正宗,事実だけ言ってやる!!,SR
sur,魔都精兵のスレイブ,00001,chara_sur_00001,和倉 優希,和倉 優希,張り切っちゃうぜ！,R
sur,魔都精兵のスレイブ,00101,chara_sur_00101,誇り高き魔都の剣姫 羽前京香,誇り高き魔都の剣姫 羽前 京香,乱れ山桜,UR
sur,魔都精兵のスレイブ,00201,chara_sur_00201,東 日万凛,東 日万凛,武装小町,SR
sur,魔都精兵のスレイブ,00301,chara_sur_00301,駿河 朱々,駿河 朱々,玉体革命,SR
sur,魔都精兵のスレイブ,00401,chara_sur_00401,大川村 寧,大川村 寧,きっと見つける,SR
sur,魔都精兵のスレイブ,00501,chara_sur_00501,出雲 天花,空間を操る六番組組長 出雲 天花,天御鳥命,UR
sur,魔都精兵のスレイブ,00601,chara_sur_00601,東 八千穂,東 八千穂,東の辰刻,SSR
sur,魔都精兵のスレイブ,00701,chara_sur_00701,和倉 青羽,和倉 青羽,弟について喋ってるでしょ,SR
sur,魔都精兵のスレイブ,00801,chara_sur_00801,和倉優希（変身）,無窮の鎖 和倉 優希,隷架拳,SR
sur,魔都精兵のスレイブ,00901,chara_sur_00901,山城 恋,万物を統べる総組長 山城 恋,万物を総該した無限宇宙の全一,UR
ron,鴨乃橋ロンの禁断推理,00001,chara_ron_00001,鴨乃橋 ロン,鴨乃橋 ロン,今からそれを証明してみせる,SSR
ron,鴨乃橋ロンの禁断推理,00101,chara_ron_00101,一色 都々丸,一色 都々丸,ピュアでマヌケな名探偵,R
aha,阿波連さんははかれない,00001,chara_aha_00001,ライドウ,ライドウ,公園は皆のものだから,SR
aha,阿波連さんははかれない,00101,chara_aha_00101,阿波連 れいな,阿波連 れいな,さっきはありがとう,SSR
tak,タコピーの原罪,00001,chara_tak_00001,ハッピー星からの使者 タコピー,ハッピー星からの使者 タコピー,笑ってもらえるように,UR
tak,タコピーの原罪,00101,chara_tak_00101,久世 しずか＆タコピー,選定中,,UR
tak,タコピーの原罪,00201,chara_tak_00201,雲母坂 まりな,選定中,,SR
jig,地獄楽,00001,chara_jig_00001,がらんの画眉丸,がらんの画眉丸,忍法 火法師,UR
jig,地獄楽,00101,chara_jig_00101,山田浅ェ門 佐切,山田浅ェ門 佐切,試一刀流 具足割,SSR
jig,地獄楽,00201,chara_jig_00201,杠,杠,忍法 線斬行 ,SSR
jig,地獄楽,00301,chara_jig_00301,山田浅ェ門 仙汰,山田浅ェ門 仙汰,僕を通して貰わないと,SR
jig,地獄楽,00401,chara_jig_00401,賊王 亜左 弔兵衛,賊王 亜左 弔兵衛,オレの神もオレだ!!,UR
jig,地獄楽,00501,chara_jig_00501,山田浅ェ門 桐馬,山田浅ェ門 桐馬,兄さんは強いんだ,SSR
jig,地獄楽,00601,chara_jig_00601,民谷 巌鉄斎,民谷 巌鉄斎,真の不老不死だ!!,SR
jig,地獄楽,00701,chara_jig_00701,メイ,メイ,強イモ弱イモ ゼンブダイジ,SR
mag,株式会社マジルミエ,00001,chara_mag_00001,新人魔法少女 桜木 カナ,新人魔法少女 桜木 カナ,私は役に立てる,UR
mag,株式会社マジルミエ,00101,chara_mag_00101,越谷 仁美,越谷 仁美,まずァ一発！,SR
mag,株式会社マジルミエ,00201,chara_mag_00201,土刃 メイ,絶対効率の体現者 土刃 メイ,これが仕事です,UR
mag,株式会社マジルミエ,00301,chara_mag_00301,葵 リリー,葵 リリー,笑って,SSR
mag,株式会社マジルミエ,00401,chara_mag_00401,槇野 あかね,槇野 あかね,花散一閃,SR
mag,株式会社マジルミエ,00501,chara_mag_00501,重本 浩司,重本 浩司,心配いらんぞ,SR
dos,道産子ギャルはなまらめんこい,00001,chara_dos_00001,冬木 美波,冬木 美波,明日家来る？,SSR
dos,道産子ギャルはなまらめんこい,00101,chara_dos_00101,秋野 沙友理,秋野 沙友理,誰にも負けない,SSR
sum,サマータイムレンダ,00001,chara_sum_00001,網代 慎平,網代 慎平,フカンしろ!!,R
sum,サマータイムレンダ,00101,chara_sum_00101,影のウシオ 小舟 潮,影のウシオ 小舟 潮,守っちゃってね,UR
sum,サマータイムレンダ,00201,chara_sum_00201,小舟 澪,小舟 澪,おかえり慎ちゃん!!,SR
sum,サマータイムレンダ,00301,chara_sum_00301,南方 ひづる,選定中,,SSR
sum,サマータイムレンダ,00401,chara_sum_00401,小舟 澪の影,選定中,,SR
sum,サマータイムレンダ,00501,chara_sum_00501,ハイネ＆シデ,選定中,,UR
sum,サマータイムレンダ,00502,chara_sum_00502,ハイネ＆シデ(シデのみ),,,
osh,【推しの子】,00001,chara_osh_00001,星野 アイ,B小町不動のセンター アイ,究極のアイドル,UR
osh,【推しの子】,00101,chara_osh_00101,星野 アクア,復讐を誓う片星 星野 アクア,同じ轍を踏ませない,UR
osh,【推しの子】,00102,chara_osh_00102,星野 アクア (東京ブレイド編ver.),選定中,,SR
osh,【推しの子】,00201,chara_osh_00201,星野 ルビー,星野 ルビー,憧れのアイドルへ!!,SSR
osh,【推しの子】,00202,chara_osh_00202,星野 ルビー（闇堕ち演技ver）,選定中,,SR
osh,【推しの子】,00301,chara_osh_00301,MEMちょ,MEMちょ,バズらせのプロ,SSR
osh,【推しの子】,00401,chara_osh_00401,有馬 かな,有馬 かな,光はあるから,SSR
osh,【推しの子】,00402,chara_osh_00402,有馬 かな (東京ブレイド編ver.),選定中,,UR
osh,【推しの子】,00501,chara_osh_00501,黒川 あかね,黒川 あかね,あっ　もうカメラ回ってる？,SSR
osh,【推しの子】,00502,chara_osh_00502,黒川 あかね (東京ブレイド編ver.),選定中,,UR
osh,【推しの子】,00601,chara_osh_00601,ぴえヨン,ぴえヨン,ぴえヨンブートダンス,SR
osh,【推しの子】,00701,chara_osh_00701,雨宮 吾郎,雨宮 吾郎,君の奴隷(ファン)だ,SR
osh,【推しの子】,00801,chara_osh_00801,斉藤 ミヤコ,斉藤 ミヤコ,推さない 駆けない 喋らない！,SSR
you,幼稚園WARS,00001,chara_you_00001,リタ,元殺し屋の新人教諭 リタ,お遊戯の時間です ,UR
you,幼稚園WARS,00002,chara_you_00002,リタ（ドレスアップ）,選定中,選定中,SR
you,幼稚園WARS,00101,chara_you_00101,ルーク,ルーク,さよならのお時間だ,SSR
you,幼稚園WARS,00201,chara_you_00201,ダグ,ダグ,これで貸しはチャラだ ,SR
you,幼稚園WARS,00301,chara_you_00301,ハナ,ハナ,大丈夫だ,SR
kim,君のことが大大大大大好きな100人の彼女,00001,chara_kim_00001,花園羽々里,溢れる母性 花園 羽々里,私と付き合ってちょうだい!!,UR
kim,君のことが大大大大大好きな100人の彼女,00101,chara_kim_00101,花園羽香里,花園 羽香里,付き合ってください……！,SSR
kim,君のことが大大大大大好きな100人の彼女,00201,chara_kim_00201,院田唐音,院田 唐音,付き合ってください……！,SSR
kim,君のことが大大大大大好きな100人の彼女,00301,chara_kim_00301,好本 静,好本 静,「好きです」,SSR
hut,ふつうの軽音部,00001,chara_hut_00001,鳩野 ちひろ,ひたむきギタリスト 鳩野 ちひろ,いつか私たちの演奏で,UR
hut,ふつうの軽音部,00101,chara_hut_00101,幸山 厘,幸山 厘,はとちゃん あなたは神,SSR
hut,ふつうの軽音部,00201,chara_hut_00201,内田 桃,内田 桃,どれだけ未熟でも,SR
hut,ふつうの軽音部,00301,chara_hut_00301,藤井 彩目,藤井 彩目,かましたらなあかんやろ！,SR
rur,ルリドラゴン,00001,chara_rur_00001,青木 瑠璃,監修NG,,UR
hyp,ハイパーインフレーション,00001,chara_hyp_00001,ルーク,ルーク,カネが欲しいッ!!,SSR
gam,ゲーミングお嬢様,00001,chara_gam_00001,祥龍院隆子,祥龍院 隆子,お嬢様は”完璧”であるべき,SSR
ara,アラガネの子,00001,chara_ara_00001,灰（アラガネの子）,灰,金剛石 煌反閃転,SR
aya,あやかしトライアングル,00001,chara_aya_00001,風巻 祭里,一子相伝の風使い 風巻 祭里,風巻流・祓忍法 螺旋突,UR
aya,あやかしトライアングル,00101,chara_aya_00101,花奏 すず,花奏 すず,妖巫女の覚悟,SSR
aya,あやかしトライアングル,00201,chara_aya_00201,香炉木 恋緒,香炉木 恋緒,サポートする責任があるんです,SR
aya,あやかしトライアングル,00301,chara_aya_00301,ニノ曲 宗牙,二ノ曲 宗牙,ニノ曲流・祓忍法 迅雷跳断,SR
mar,マリッジトキシン,00001,chara_mar_00001,下呂 ヒカル,不器用な毒使い 下呂 ヒカル,毒薬二連【舛】×【戈】,UR
mar,マリッジトキシン,00002,chara_mar_00002,下呂 ヒカル（ドレスアップ）,選定中,,SR
mar,マリッジトキシン,00101,chara_mar_00101,城崎 メイ,城崎 メイ,そんな提案初めて,SSR
mar,マリッジトキシン,00201,chara_mar_00201,姫川 杏子,姫川 杏子,サメフレのサメ重,SR
mar,マリッジトキシン,00301,chara_mar_00301,嬉野 シオリ,選定中,,SR
mar,マリッジトキシン,00401,chara_mar_00401,鳴子,音使い 鳴子,変性血統＋＋【谺】,SR
sib,シバつき物件,00001,chara_sib_00001,百瀬 氷,監修中,,UR
nek,猫田びより,00001,chara_nek_00001,猫田さん,猫田さん,何も生み出せない事を教えてやるぜ,SSR
mad,MAD,00001,chara_mad_00001,ジョン（エイリアン形態）,選定中,,UR
mad,MAD,00101,chara_mad_00101,パノ,選定中,,UR
mad,MAD,00201,chara_mad_00201,アルダ,選定中,,SR
mad,MAD,00301,chara_mad_00301,ボブ,選定中,,SR
syu,終末のハーレム,00001,chara_syu_00001,周防 美来,選定中,,UR
aft,終末のハーレム After World,00001,chara_aft_00001,溝下 乃薔薇,選定中,,UR
kut,口が裂けても君には,00001,chara_kut_00001,みろく,選定中,,UR
san,サンキューピッチ,00001,chara_san_00001,桐山 不折,選定中,,UR
san,サンキューピッチ,00101,chara_san_00101,三馬 正磨,選定中,,SR
sei,正反対な君と僕,00001,chara_sei_00001,鈴木 みゆ,選定中,,UR
kus,クソ女に幸あれ,00001,chara_kus_00001,"西川 檸檬",選定中,,UR
han,半人前の恋人,00001,chara_han_00001,"杉崎 響子",選定中,,SSR
kub,久保さんは僕を許さない,00001,chara_kub_00001,"久保 渚咲",選定中,,SR
c8m,ちえりの恋は8メートル,00001,chara_c8m_00001,"大峰 ちえり",選定中,,SR
fan,終末のハーレム ファンタジア,00001,chara_fan_00001,ラティ,選定中,,UR
kaw,カワイスギクライシス,00001,chara_kaw_00001,リザ・ルーナ,選定中,,SR
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,00001,chara_vig_00001,灰廻 航一,選定中,,UR
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,00101,chara_vig_00101,オールマイト,選定中,,UR
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,00201,chara_vig_00201,イレイザーヘッド,選定中,,UR
chi2,チェンソーマン 第二部,00001,chara_chi2_00001,三鷹 アサ&ヨル,選定中,,UR
ssm,すすめ！ジャンプへっぽこ探検隊！,00001,chara_ssm_00001,サクライ タケシ 先生,選定中,,SSR
eiu,英雄機関,00001,chara_eiu_00001,レオニダス・タイラー,選定中,,SR
exo,エクソシストを堕とせない,00001,chara_exo_00001,少年神父,選定中,,SR
oto,大人大戦,00001,chara_oto_00001,浦島 優太郎,,,SR
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
以下エネミーを記載,,,,,以下エネミーを記載,,
,,,,,,,
spy,SPY×FAMILY,00001,enemy_spy_00001,密輸組織の残党,密輸組織の残党,,
spy,SPY×FAMILY,00101,enemy_spy_00101,グエン,グエン,,
spy,SPY×FAMILY,00201,enemy_spy_00201,鎖窯使いのバーナビー,,,
spy,SPY×FAMILY,00301,enemy_spy_00301,毒霧使い,,,
dan,ダンダダン,00001,enemy_dan_00001,セルポ星人,セルポ星人,ー,
dan,ダンダダン,00101,enemy_dan_00101,セルポ星人（変身）,セルポ星人(変身),ー,
dan,ダンダダン,00201,enemy_dan_00201,ターボババア,ターボババア,ー,
dan,ダンダダン,00301,enemy_dan_00301,アクロバティックさらさら,アクロバティックさらさら,ー,
gom,姫様“拷問”の時間です,00101,enemy_gom_00101,トーチャー・トルチュール,トーチャー・トルチュール,"""拷問""の時間です",
gom,姫様“拷問”の時間です,00001,enemy_gom_00001,カナッジ,カナッジ,ー,
gom,姫様“拷問”の時間です,00201,enemy_gom_00201,クロル,クロル,ー,
gom,姫様“拷問”の時間です,00301,enemy_gom_00301,キュイ,キュイ,ー,
gom,姫様“拷問”の時間です,00401,enemy_gom_00401,たこ焼きくん,たこ焼きくん,ー,
gom,姫様“拷問”の時間です,00402,enemy_gom_00402,たこ焼き,たこ焼き,ー,
gom,姫様“拷問”の時間です,00501,enemy_gom_00501,バタートースト,バタートースト,ー,
gom,姫様“拷問”の時間です,00502,enemy_gom_00502,割きトースト,割きトースト,ー,
gom,姫様“拷問”の時間です,00601,enemy_gom_00601,ゴリラのマーチA,ゴリラのマーチ,ー,
gom,姫様“拷問”の時間です,00611,enemy_gom_00611,ゴリラのマーチB,ゴリラのマーチ,ー,
gom,姫様“拷問”の時間です,00621,enemy_gom_00621,ゴリラのマーチC,ゴリラのマーチ,ー,
gom,姫様“拷問”の時間です,00631,enemy_gom_00631,ゴリラのマーチD,ゴリラのマーチ,ー,
gom,姫様“拷問”の時間です,00701,enemy_gom_00701,ラーメン,ラーメン,ー,
gom,姫様“拷問”の時間です,00801,enemy_gom_00801,ライス,ライス,ー,
gom,姫様“拷問”の時間です,00901,enemy_gom_00901,ライス(海苔),ライス (海苔),ー,
gom,姫様“拷問”の時間です,01001,enemy_gom_01001,あんぱん,あんぱん,ー,
gom,姫様“拷問”の時間です,01002,enemy_gom_01002,トーストあんぱん,トーストあんぱん,ー,
gom,姫様“拷問”の時間です,01101,enemy_gom_01101,魔王ゴッドサンダー,魔王ゴッドサンダー,ー,
chi,チェンソーマン,00001,enemy_chi_00001,ゾンビの悪魔,ゾンビの悪魔,ー,
chi,チェンソーマン,00101,enemy_chi_00101,ゾンビ,ゾンビ,ー,
chi,チェンソーマン,00201,enemy_chi_00201,コウモリの悪魔,コウモリの悪魔,ー,
kai,怪獣８号,00001,enemy_kai_00001,怪獣 本獣,怪獣 本獣,ー,
kai,怪獣８号,00101,enemy_kai_00101,怪獣 余獣,怪獣 余獣,ー,
kai,怪獣８号,00201,enemy_kai_00201,怪獣９号,怪獣９号,ー,
kai,怪獣８号,00301,enemy_kai_00301,蜘蛛の怪獣,蜘蛛の怪獣,ー,
kai,怪獣８号,00401,enemy_kai_00401,怪獣１０号,怪獣１０号,ー,
sur,魔都精兵のスレイブ,00001,enemy_sur_00001,和倉 青羽,和倉 青羽,ー,
sur,魔都精兵のスレイブ,00101,enemy_sur_00101,醜鬼,醜鬼,ー,
jig,地獄楽,00001,enemy_jig_00001,門神,門神,ー,
jig,地獄楽,00101,enemy_jig_00101,門神 （小）,門神 (小),ー,
jig,地獄楽,00201,enemy_jig_00201,門神 （大）,門神 (大),ー,
jig,地獄楽,00301,enemy_jig_00301,竈神 魚,竈神 魚,ー,
jig,地獄楽,00401,enemy_jig_00401,極楽蝶,極楽蝶,ー,
jig,地獄楽,00402,enemy_jig_00402,極楽蝶,極楽蝶,ー,
jig,地獄楽,00501,enemy_jig_00501,山田浅ェ門 源嗣,山田浅ェ門 源嗣,ー,
jig,地獄楽,00601,enemy_jig_00601,朱槿,朱槿,ー,
mag,株式会社マジルミエ,00001,enemy_mag_00001,冷却系の怪異,冷却系怪異,ー,
mag,株式会社マジルミエ,00101,enemy_mag_00101,つらら,つらら,ー,
mag,株式会社マジルミエ,00201,enemy_mag_00201,建造物寄生型の怪異（大）,建造物寄生型の怪異 (大),ー,
mag,株式会社マジルミエ,00301,enemy_mag_00301,建造物寄生型の怪異（小）,建造物寄生型の怪異,ー,
mag,株式会社マジルミエ,00401,enemy_mag_00401,工事現場の怪異,工事現場の怪異,,
sum,サマータイムレンダ,00001,enemy_sum_00001,影,影,ー,
sum,サマータイムレンダ,00101,enemy_sum_00101,小舟 澪(影)_拳銃,小舟 澪の影 (拳銃),ー,
sum,サマータイムレンダ,00201,enemy_sum_00201,小舟 澪(影)_包丁,小舟 澪の影 (包丁),ー,
you,幼稚園WARS,00001,enemy_you_00001,暗殺者（近）,不良系金髪イケメン,ー,
you,幼稚園WARS,00101,enemy_you_00101,暗殺者（遠）,イケメンじゃない殺し屋,ー,
kim,君のことが大大大大大好きな100人の彼女,00001,enemy_kim_00001,愛城 恋太郎,愛城 恋太郎,ー,
kim,君のことが大大大大大好きな100人の彼女,00101,enemy_kim_00101,学生A（男）,,ー,
hut,ふつうの軽音部,00001,enemy_hut_00001,鷹見 項希,鷹見 項希,ー,
hut,ふつうの軽音部,00101,enemy_hut_00101,学生B,学生A,ー,
aya,あやかしトライアングル,00001,enemy_aya_00001,シロガネ,シロガネ,ー,
mar,マリッジトキシン,00001,enemy_mar_00001,水使い,水使い 潮,ー,
mad,MAD,00001,enemy_mad_00001,エイリアン,,,
syu,終末のハーレム,00001,enemy_syu_00001,水原 怜人,,,
aft,終末のハーレム After World,00001,enemy_aft_00001,金村 陸,,,
kut,口が裂けても君には,00001,enemy_kut_00001,茶乃 紅一,,,
kai,怪獣８号,00002,enemy_kai_00002,本獣(8巻ver.),,,
kai,怪獣８号,00501,enemy_kai_00501,怪獣9号(差分),,,
osh,【推しの子】,00001,enemy_osh_00001,姫川 大輝 (東京ブレイド編ver.),,,
osh,【推しの子】,00101,enemy_osh_00101,鳴嶋 メルト (東京ブレイド編ver.),,,
osh,【推しの子】,00201,enemy_osh_00201,鴨志田 朔夜 (東京ブレイド編ver.),,,
eiu,英雄機関,00001,enemy_eiu_00001,星獣,選定中,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
,error,,__,,,,
glo,GLOW,00001,enemy_glo_00001,ファントム,ファントム,ー,
glo,GLOW,00002,enemy_glo_00002,サイリウム持ちファントム,推し活ファントム,ー,
glo,GLOW,00003,enemy_glo_00003,バッターファントム,,,
glo,GLOW,00004,enemy_glo_00004,ピッチャーファントム,,,
glo,GLOW,00005,enemy_glo_00005,野球帽ファントム,,,
glo,GLOW,00006,enemy_glo_00006,ジューンブライドファントム,,,
glo,GLOW,00007,enemy_glo_00007,黒服ファントム,,,
glo,GLOW,00101,enemy_glo_00101,中ボスエネミー,ボスファントム,ー,
glo,GLOW,00901,enemy_glo_00901,宝箱,宝箱,ー,
