テーブル,列,現在のパターン,説明,提案パターン,提案理由,想定最大文字数
MstQuestBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～77, 件数: 77）",quest_bonus_unit_[quest_id]_[unit_id],クエストIDとユニットIDの組み合わせでIDを構成。クエストとユニットの組み合わせで一意に決まるため、連番は不要。既存のIDを使うことで、過去の最大値を確認する必要がない。,quest_bonus_unit_quest_main_normal_dan_00001_chara_dan_00301 → 60文字
MstQuestEventBonusSchedule,id,[連番],"数字のみの通算連番（範囲: 1～12, 件数: 12）",quest_event_bonus_schedule_[event_id]_[連番],イベントIDごとに連番を振る。イベント単位でスケジュールが追加されるため、イベント別の連番が適切。同じイベント内では連番が1から始まるため、過去の最大値を確認する必要がない。,quest_event_bonus_schedule_event_kai_1_999 → 45文字
MstResultTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～18, 件数: 18）",result_tip_[release_key]_[連番],現在は数字のみだが、接頭辞を追加してテーブル種別を明示。release_key単位でデータが追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,result_tip_202603011_999 → 25文字
MstShopPass,id,premium_pass_[連番],"プレフィックス_premium_pass + 通算連番（範囲: 1～3, 件数: 3）",premium_pass_[release_key]_[連番],現在の接頭辞（premium_pass）を維持しつつ、release_keyを追加してデプロイ単位を分離。release_key単位でパスが追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,premium_pass_202603011_999 → 27文字
MstShopPassEffect,id,premium_pass_01_effect_[連番],"プレフィックス_premium_pass_01_effect + 通算連番（範囲: 1～2, 件数: 2）",premium_pass_effect_[pass_id]_[連番],現在の接頭辞（premium_pass）を維持し、pass_idごとに連番を振る。各パス単位で効果が追加されるため、パス別の連番が適切。同じパス内では連番が1から始まるため、過去の最大値を確認する必要がない。,premium_pass_effect_premium_pass_202603011_999_999 → 54文字
MstSpecialAttackI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",special_attack_i18n_[attack_id],スペシャルアタックIDをベースにしたID。1つのアタックに1つのi18nレコードが対応するため、アタックIDを使うことで一意性を保証。,31文字（例: special_attack_i18n_[attack_id]）
MstSpeechBalloonI18n,id,[連番],"数字のみの通算連番（範囲: 1～154, 件数: 100）",speech_balloon_i18n_[balloon_id],スピーチバルーンIDをベースにしたID。1つのバルーンに1つのi18nレコードが対応するため、バルーンIDを使うことで一意性を保証。,32文字（例: speech_balloon_i18n_[balloon_id]）
MstStageEnhanceRewardParam,id,[連番],"数字のみの通算連番（範囲: 1～14, 件数: 14）",stage_enhance_reward_param_[enhance_level],強化レベルをIDとする。レベルごとに1つのパラメータが対応するため、レベルそのものをIDとして使用。連番は不要。,stage_enhance_reward_param_999 → 32文字
MstStageEventReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",stage_event_reward_[event_id]_[stage_id]_[連番],イベントIDとステージIDごとに連番を振る。イベントとステージの組み合わせ単位で報酬が追加されるため、過去の最大値を確認する必要がない。,stage_event_reward_event_kai_1_stage_01_999 → 48文字
MstStageEventSetting,id,[連番],"数字のみの通算連番（範囲: 1～101, 件数: 100）",stage_event_setting_[event_id]_[連番],イベントIDごとに連番を振る。イベント単位で設定が追加されるため、イベント別の連番が適切。同じイベント内では連番が1から始まるため、過去の最大値を確認する必要がない。,stage_event_setting_event_kai_1_999 → 38文字
MstStageReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",stage_reward_[stage_id]_[連番],ステージIDごとに連番を振る。ステージ単位で報酬が追加されるため、ステージ別の連番が適切。同じステージ内では連番が1から始まるため、過去の最大値を確認する必要がない。,stage_reward_quest_main_normal_dan_00001_999 → 46文字
MstStoreProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",store_product_[release_key]_[連番],現在は数字のみだが、接頭辞を追加してテーブル種別を明示。商品はrelease_key単位で追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,store_product_202603011_999 → 28文字
MstTutorialTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～28, 件数: 24）",tutorial_tip_[release_key]_[連番],現在は数字のみだが、接頭辞を追加してテーブル種別を明示。release_key単位でデータが追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,tutorial_tip_202603011_999 → 27文字
MstUnitEncyclopediaEffect,id,unit_encyclopedia_effect_[連番],"プレフィックス_unit_encyclopedia_effect + 通算連番（範囲: 5～1300, 件数: 44）",unit_encyclopedia_effect_[rank],図鑑ランクをIDとする。ランクごとに1つの効果が対応するため、ランクそのものをIDとして使用。連番は不要。,unit_encyclopedia_effect_999 → 29文字
MstUnitEncyclopediaReward,id,unit_encyclopedia_reward_rank_[連番],"プレフィックス_unit_encyclopedia_reward_rank + 通算連番（範囲: 5～1300, 件数: 44）",unit_encyclopedia_reward_[rank],図鑑ランクをIDとする。ランクごとに1つの報酬が対応するため、ランクそのものをIDとして使用。連番は不要。,unit_encyclopedia_reward_999 → 29文字
MstUnitFragmentConvert,id,[連番],"数字のみの通算連番（範囲: 1～8, 件数: 8）",unit_fragment_convert_[from_fragment_id]_to_[to_fragment_id],変換元と変換先のフラグメントIDをIDに含める。変換ルールごとに一意に決まるため、通算連番は不要。,62文字（例: unit_fragment_convert_fragment_glo_00001_to_fragment_glo_00002）
MstUnitGradeCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～75, 件数: 40）",unit_grade_coefficient_[grade],グレード（ランク）をIDとする。グレードごとに1つの係数が対応するため、グレードそのものをIDとして使用。,25文字（例: unit_grade_coefficient_99）
MstUnitGradeUp,id,[連番],"数字のみの通算連番（範囲: 1～67, 件数: 32）",unit_grade_up_[from_grade]_to_[to_grade],昇格元と昇格先のグレードをIDに含める。昇格ルールごとに一意に決まるため、通算連番は不要。,20文字（例: unit_grade_up_5_to_6）
MstUnitLevelUp,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",unit_level_up_[level],レベルをIDとする。レベルごとに1つのレベルアップ情報が対応するため、レベルそのものをIDとして使用。,17文字（例: unit_level_up_100）
MstUnitRankCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）",unit_rank_coefficient_[rank],ランクをIDとする。ランクごとに1つの係数が対応するため、ランクそのものをIDとして使用。,25文字（例: unit_rank_coefficient_999）
MstUnitRankUp,id,[連番],"数字のみの通算連番（範囲: 1～69, 件数: 48）",unit_rank_up_[from_rank]_to_[to_rank],ランクアップ元と先のランクをIDに含める。ランクアップルールごとに一意に決まるため、通算連番は不要。,19文字（例: unit_rank_up_5_to_6）
MstUnitRoleBonus,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）",unit_role_bonus_[role],ロール（役割）をIDとする。ロールごとに1つのボーナスが対応するため、ロールそのものをIDとして使用。,24文字（例: unit_role_bonus_attacker）
MstUserLevel,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",user_level_[level],レベルをIDとする。レベルごとに1つのレベル情報が対応するため、レベルそのものをIDとして使用。,14文字（例: user_level_100）
MstUserLevelBonus,id,[連番],"数字のみの通算連番（範囲: 1～21, 件数: 21）",user_level_bonus_[level],レベルをIDとする。レベルごとに1つのボーナスが対応するため、レベルそのものをIDとして使用。,20文字（例: user_level_bonus_100）
MstUserLevelBonusGroup,id,[連番],"数字のみの通算連番（範囲: 1～31, 件数: 31）",user_level_bonus_group_[group_id],グループIDをIDとする。グループごとに1つのボーナスグループが対応するため、グループIDそのものをIDとして使用。,48文字（例: user_level_bonus_group_kai_00001_event_reward_99）
MstWhiteWord,id,wh_[連番],"プレフィックス_wh + 通算連番（範囲: 1～100, 件数: 100）",wh_[連番],現状維持。MstNgWordと同様の理由。継続的に蓄積される固定マスタデータ。,wh_9999 → 7文字
OprGachaDisplayUnitI18n,id,[連番],"数字のみの通算連番（範囲: 1～107, 件数: 84）",gacha_display_unit_i18n_[gacha_id]_[unit_id],ガチャIDとユニットIDの組み合わせでIDを構成。ガチャとユニットの組み合わせで一意に決まるため、連番は不要。,gacha_display_unit_i18n_gacha_kai_00001_chara_kai_00701 → 58文字
OprGachaUpper,id,[連番],"数字のみの通算連番（範囲: 1～26, 件数: 23）",gacha_upper_[gacha_id]_[upper_type]_[連番],ガチャIDとアッパータイプごとに連番を振る。ガチャとタイプの組み合わせ単位で追加されるため、過去の最大値を確認する必要がない。,gacha_upper_gacha_kai_00001_upper_type_1_999 → 47文字
OprGachaUseResource,id,[連番],"数字のみの通算連番（範囲: 1～93, 件数: 81）",gacha_use_resource_[gacha_id]_[resource_type]_[連番],ガチャIDとリソースタイプごとに連番を振る。ガチャとリソースタイプの組み合わせ単位で追加されるため、過去の最大値を確認する必要がない。,gacha_use_resource_gacha_kai_00001_FreeDiamond_999 → 55文字
OprProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",opr_product_[release_key]_[連番],現在は数字のみだが、接頭辞を追加してテーブル種別を明示。運営商品はrelease_key単位で追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,opr_product_202603011_999 → 26文字
