テーブル,列,パターン,説明,提案パターン,提案理由
MstArtwork,id,artwork_event_sur_[連番],"カテゴリ別連番（カテゴリ: event_sur, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_osh_[連番],"カテゴリ別連番（カテゴリ: event_osh, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_jig_[連番],"カテゴリ別連番（カテゴリ: event_jig, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_you_[連番],"カテゴリ別連番（カテゴリ: event_you, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_kim_[連番],"カテゴリ別連番（カテゴリ: event_kim, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_hut_[連番],"カテゴリ別連番（カテゴリ: event_hut, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_ara_[連番],"カテゴリ別連番（カテゴリ: event_ara, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_hyp_[連番],"カテゴリ別連番（カテゴリ: event_hyp, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtwork,id,artwork_event_gam_[連番],"カテゴリ別連番（カテゴリ: event_gam, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtworkFragment,id,artwork_fragment_aka_[連番],"カテゴリ別連番（カテゴリ: fragment_aka, 範囲: 101～316, 件数: 48）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtworkFragment,id,artwork_fragment_chi_[連番],"カテゴリ別連番（カテゴリ: fragment_chi, 範囲: 101～316, 件数: 48）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtworkFragment,id,artwork_fragment_dan_[連番],"カテゴリ別連番（カテゴリ: fragment_dan, 範囲: 101～104, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtworkFragmentPosition,id,artwork_fragment_dan_[連番],"カテゴリ別連番（カテゴリ: fragment_dan, 範囲: 101～316, 件数: 48）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtworkFragmentPosition,id,artwork_fragment_gom_[連番],"カテゴリ別連番（カテゴリ: fragment_gom, 範囲: 101～316, 件数: 48）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstArtworkFragmentPosition,id,artwork_fragment_jig_[連番],"カテゴリ別連番（カテゴリ: fragment_jig, 範囲: 101～104, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstComebackBonus,id,comeback_1_[連番],"プレフィックス_comeback_1 + 通算連番（範囲: 1～7, 件数: 7）",comeback_bonus_[schedule_id]_[login_day_count],スケジュールIDとログイン日数の組み合わせでIDを構成。バージョン番号（comeback_1_）は削除し、より明確な構造にする。
MstDailyBonusReward,id,comeback_reward_1_[連番],"プレフィックス_comeback_reward_1 + 通算連番（範囲: 1～7, 件数: 7）",daily_bonus_reward_[group_id],既存のmst_daily_bonus_reward_group_idカラムの値をそのままIDとして使用。グループIDが既に一意の識別子なので通算連番は不要。
MstDummyOutpost,id,[連番],"数字のみの通算連番（範囲: 1～90, 件数: 90）",dummy_outpost_[連番],ダミーゲートは固定数のマスタデータなので、シンプルなプレフィックス + 連番で十分。プレフィックスを追加することで他のIDと区別しやすくする。
MstDummyUserI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",dummy_user_i18n_[user_id],ダミーユーザーIDをベースにしたID。1ユーザーに1つのi18nレコードが対応するため、ユーザーIDを使うことで一意性を保証。
MstDummyUserUnit,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",dummy_user_unit_[user_id]_[unit_id],ダミーユーザーIDとユニットIDの組み合わせでIDを構成。ユーザーとユニットの組み合わせで一意に決まる。
MstEmblem,id,emblem_normal_spy_[連番],"カテゴリ別連番（カテゴリ: normal_spy, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_aka_[連番],"カテゴリ別連番（カテゴリ: normal_aka, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_rik_[連番],"カテゴリ別連番（カテゴリ: normal_rik, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_dan_[連番],"カテゴリ別連番（カテゴリ: normal_dan, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_gom_[連番],"カテゴリ別連番（カテゴリ: normal_gom, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_chi_[連番],"カテゴリ別連番（カテゴリ: normal_chi, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_kai_[連番],"カテゴリ別連番（カテゴリ: normal_kai, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_sur_[連番],"カテゴリ別連番（カテゴリ: normal_sur, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_tak_[連番],"カテゴリ別連番（カテゴリ: normal_tak, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_jig_[連番],"カテゴリ別連番（カテゴリ: normal_jig, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_mag_[連番],"カテゴリ別連番（カテゴリ: normal_mag, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_sum_[連番],"カテゴリ別連番（カテゴリ: normal_sum, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_normal_osh_[連番],"カテゴリ別連番（カテゴリ: normal_osh, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_kai_[連番],"カテゴリ別連番（カテゴリ: event_kai, 範囲: 1～4, 件数: 4）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_spy_[連番],"カテゴリ別連番（カテゴリ: event_spy, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_dan_[連番],"カテゴリ別連番（カテゴリ: event_dan, 範囲: 1～3, 件数: 3）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_mag_[連番],"カテゴリ別連番（カテゴリ: event_mag, 範囲: 1～3, 件数: 3）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_yuw_[連番],"カテゴリ別連番（カテゴリ: event_yuw, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_sur_[連番],"カテゴリ別連番（カテゴリ: event_sur, 範囲: 1～3, 件数: 3）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_osh_[連番],"カテゴリ別連番（カテゴリ: event_osh, 範囲: 1～10, 件数: 10）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_jig_[連番],"カテゴリ別連番（カテゴリ: event_jig, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_glo_[連番],"カテゴリ別連番（カテゴリ: event_glo, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_you_[連番],"カテゴリ別連番（カテゴリ: event_you, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEmblem,id,emblem_event_kim_[連番],"カテゴリ別連番（カテゴリ: event_kim, 範囲: 1～3, 件数: 3）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_kai_[連番],"カテゴリ別連番（カテゴリ: kai, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_spy_[連番],"カテゴリ別連番（カテゴリ: spy, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_dan_[連番],"カテゴリ別連番（カテゴリ: dan, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_mag_[連番],"カテゴリ別連番（カテゴリ: mag, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_yuw_[連番],"カテゴリ別連番（カテゴリ: yuw, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_sur_[連番],"カテゴリ別連番（カテゴリ: sur, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_osh_[連番],"カテゴリ別連番（カテゴリ: osh, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_glo_[連番],"カテゴリ別連番（カテゴリ: glo, 範囲: 1～2, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_jig_[連番],"カテゴリ別連番（カテゴリ: jig, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_you_[連番],"カテゴリ別連番（カテゴリ: you, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_kim_[連番],"カテゴリ別連番（カテゴリ: kim, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEvent,id,event_hut_[連番],"カテゴリ別連番（カテゴリ: hut, 範囲: 1～1, 件数: 1）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstEventBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～72, 件数: 71）",event_bonus_unit_[event_id]_[unit_id],イベントIDとユニットIDの組み合わせでIDを構成。イベントごとにボーナスユニットが管理されるため、イベント別のIDが適切。
MstExchangeI18n,id,[連番],"数字のみの通算連番（範囲: 1～4, 件数: 4）",exchange_i18n_[exchange_id],交換マスタIDをベースにしたID。1つの交換に1つのi18nレコードが対応するため、交換IDを使うことで一意性を保証。
MstFragmentBox,id,fragment_box_[連番],"プレフィックス_fragment_box + 通算連番（範囲: 1～8, 件数: 8）",fragment_box_[mst_item_id],アイテムIDをベースにしたID。1つのアイテムに1つのフラグメントボックスが対応するため、アイテムIDを使うことで一意性を保証。
MstIdleIncentiveItem,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",idle_incentive_item_[tier]_[連番],ティア（tier）ごとに連番を振る。ティアごとに報酬が管理されるため、ティア別の連番が適切。
MstIdleIncentiveReward,id,mst_idle_incentive_reward_[連番],"プレフィックス_mst_idle_incentive_reward + 通算連番（範囲: 1～81, 件数: 81）",idle_incentive_reward_[tier]_[連番],ティア（tier）ごとに連番を振る。ティアごとに報酬が管理されるため、ティア別の連番が適切。
MstInGameSpecialRuleUnitStatus,id,[連番],"数字のみの通算連番（範囲: 1～25, 件数: 25）",ingame_special_rule_unit_status_[rule_id]_[unit_id],特殊ルールIDとユニットIDの組み合わせでIDを構成。ルールとユニットの組み合わせで一意に決まる。
MstItem,id,memory_glo_[連番],"カテゴリ別連番（カテゴリ: glo, 範囲: 1～5, 件数: 5）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_kai_[連番],"カテゴリ別連番（カテゴリ: chara_kai, 範囲: 501～601, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_spy_[連番],"カテゴリ別連番（カテゴリ: chara_spy, 範囲: 301～401, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_dan_[連番],"カテゴリ別連番（カテゴリ: chara_dan, 範囲: 201～301, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
MstItem,id,memory_chara_mag_[連番],"カテゴリ別連番（カテゴリ: chara_mag, 範囲: 401～501, 件数: 2）",要調査: テーブル構造を確認してカテゴリー別連番への変更を検討,このテーブルの詳細な構造を確認し、適切なカテゴリー（group_id、event_id等）を特定する必要があります。通算連番から意味のあるカテゴリー別連番への変更を推奨します。
