作品_ID,作品バナーID,作品ロゴID,作品名,連載曜日,サブタイトル,サブタイトルの位置,タイトル合成,display_order,設定ID,left1,left2,left3,メインサムネ1画像AssetKey,メインサムネ2画像AssetKey,メインサムネ3画像AssetKey,メインサムネ3画像AssetKey,BGMジャンル(通常),BGMジャンル(ボス),デプロイ,リリース監状況
ron,series_banner_ron,series_logo_ron,鴨乃橋ロンの禁断推理,日曜日,-,,鴨乃橋ロンの禁断推理,013,ron,r,ro,ron,quest_image_ron_01,,,,シリアス,強敵/ボス登場時2 （高難度）,,
aha,series_banner_aha,series_logo_aha,阿波連さんははかれない,-,-,,阿波連さんははかれない,014,aharen,a,ah,aha,quest_image_aha_01,,,,バトル系2,強敵/ボス登場時2 （高難度）,,
sum,series_banner_sum,series_logo_sum,サマータイムレンダ,-,-,,サマータイムレンダ,015,summer,s,su,sum,quest_image_sum_01,,,,シリアス,強敵/ボスバトル1,,
jig,series_banner_jig,series_logo_jig,地獄楽,-,-,,地獄楽,016,jigoku,j,ji,jig,quest_image_jig_01,,,,シリアス,強敵/ボスバトル1,,
tak,series_banner_tak,series_logo_tak,タコピーの原罪,-,-,,タコピーの原罪,017,takopi,t,ta,tak,quest_image_tak_01,,,,日常・ギャグ,強敵/ボス登場時2 （高難度）,,
osh,series_banner_osh,series_logo_tak,【推しの子】,-,-,,【推しの子】,018,oshinoko,o,os,osh,quest_image_osh_01,,,,ラブコメ2,強敵/ボス登場時2 （高難度）,,
you,series_banner_you,series_logo_tak,幼稚園WARS,木曜日,-,,幼稚園WARS,019,youchien,y,yo,you,quest_image_you_01,,,,バトル系2,強敵/ボスバトル1,,
kim,series_banner_kim,series_logo_tak,君のことが大大大大大好きな100人の彼女,木曜日,,,君のことが大大大大大好きな100人の彼女,020,kimino,k,ki,kim,quest_image_kim_01,,,,ラブコメ2,強敵/ボス登場時2 （高難度）,,
hut,series_banner_hut,series_logo_hut,ふつうの軽音部,日曜日,-,,ふつうの軽音部,021,hutuu,h,hu,hut,quest_image_hut_01,,,,日常・ギャグ,強敵/ボスバトル1,,
rur,series_banner_rur,series_logo_rur,ルリドラゴン,-,-,,ルリドラゴン,022,rurid,r,ru,rur,quest_image_rur_01,,,,日常・ギャグ,強敵/ボスバトル1,,
hyp,series_banner_hyp,series_logo_hyp,ハイパーインフレーション,-,-,,ハイパーインフレーション,023,hyper,h,hy,hyp,quest_image_hyp_01,,,,シリアス,強敵/ボスバトル1,,
gam,series_banner_gam,series_logo_gam,ゲーミングお嬢様,,,,ゲーミングお嬢様,024,gamin,g,ga,gam,quest_image_gam_01,,,,,,,
ara,series_banner_ara,series_logo_ara,アラガネの子,,,,アラガネの子,025,aragane,a,ar,ara,quest_image_ara_01,,,,,,,
aya,series_banner_aya,series_logo_aya,あやかしトライアングル,,,,あやかしトライアングル,026,ayakasi,a,ay,aya,quest_image_aya_01,,,,,,,
mar,series_banner_mar,series_logo_mar,マリッジトキシン,,,,マリッジトキシン,027,marriage,m,ma,mar,quest_image_mar_01,,,,,,,
sib,series_banner_sib,series_logo_sib,シバつき物件,,,,シバつき物件,028,siba,s,si,sib,quest_image_sib_01,,,,,,,
nek,series_banner_nek,series_logo_nek,猫田びより,,,,猫田びより,029,neko,n,ne,nek,quest_image_nek_01,,,,,,,
mad,series_banner_mad,series_logo_mad,MAD,,,,MAD,030,mad,m,ma,mad,quest_image_mad_01,,,,,,,
syu,series_banner_syu,series_logo_syu,終末のハーレム,,,,終末のハーレム,031,syuumatu,s,sy,syu,quest_image_syu_01,,,,,,,
aft,series_banner_aft,series_logo_aft,終末のハーレム After World,,,,終末のハーレム After World,032,after,a,af,aft,quest_image_aft_01,,,,,,,
fan,series_banner_fan,series_logo_fan,終末のハーレム ファンタジア,,,,終末のハーレム ファンタジア,033,fantasia,f,fa,fan,quest_image_fan_01,,,,,,,
kut,series_banner_kut,series_logo_kut,口が裂けても君には,,,,口が裂けても君には,034,kuti,k,ku,kut,quest_image_kut_01,,,,,,,
san,series_banner_san,series_logo_san,サンキューピッチ,,,,サンキューピッチ,035,sankyuu,s,sa,san,quest_image_san_01,,,,,,,
kus,series_banner_kus,series_logo_kus,クソ女に幸あれ,,,,クソ女に幸あれ,036,kuso,k,ku,kus,quest_image_kus_01,,,,,,,
han,series_banner_han,series_logo_han,半人前の恋人,,,,半人前の恋人,037,hanninmae,h,ha,han,quest_image_han_01,,,,,,,
kub,series_banner_kub,series_logo_kub,久保さんは僕を許さない,,,,久保さんは僕を許さない,038,kubo,k,ku,kub,quest_image_kub_01,,,,,,,
sei,series_banner_sei,series_logo_sei,正反対な君と僕,,,,正反対な君と僕,039,seihantai,s,se,sei,quest_image_sei_01,,,,,,,
kaw,series_banner_kaw,series_logo_kaw,カワイスギクライシス,,,,カワイスギクライシス,040,kawaisugi,k,ka,kaw,quest_image_kaw_01,,,,,,,
c8m,series_banner_c8m,series_logo_c8m,ちえりの恋は8メートル,,,,ちえりの恋は8メートル,041,chieri8m,,,,quest_image_c8m_01,,,,,,,
vig,series_banner_vig,series_logo_vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,,,,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,042,vigilante,,,,quest_image_vig_01,,,,,,,
ssm,series_banner_ssm,series_logo_ssm,すすめ！ジャンプへっぽこ探検隊！,,,,すすめ！ジャンプへっぽこ探検隊！,,,,,,,,,,,,,
eiu,series_banner_eiu,series_logo_eiu,英雄機関,,,,英雄機関,,,,,,,,,,,,,
exo,series_banner_exo,series_logo_exo,エクソシストを堕とせない,,,,エクソシストを堕とせない,,,,,,,,,,,,,
oto,series_banner_oto,series_logo_oto,大人大戦,,,,大人大戦,,,,,,,,,,,,,
,series_banner_,series_logo_,,,,,,,,,,,,,,,,,,
,series_banner_,series_logo_,,,,,,,,,,,,,,,,,,
,series_banner_,series_logo_,,,,,,,,,,,,,,,,,,
,series_banner_,series_logo_,,,,,,,,,,,,,,,,,,
glo,series_banner_glo,series_logo_glo,GLOW,-,-,,GLOW,999,glow,g,gl,glo,quest_image_glo_01,,,,（高難易度）バトル1,強敵/ボスバトル1,,
hav1,series_banner_hav1,series_logo_hav1,ハーフアニバーサリー 感謝祭！　前半,-,-,,ハーフアニバーサリー 感謝祭！　前半,1000,harfani1,,,,quest_image_hav1_01,,,,,,,
hav2,series_banner_hav2,series_logo_hav2,ハーフアニバーサリー 感謝祭！　後半,-,-,,ハーフアニバーサリー 感謝祭！　後半,1001,harfani2,,,,quest_image_hav2_01,,,,,,,
,,series_logo_,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,"※連載中のものは上記の曜日の区分を優先とし月曜〜順に表示され、中身の順としてはこちらの順にゲーム内では表示する。
※既に連鎖機終了しているものは日曜日連載作品の後ろに来るようになり、記載順は作品名のあいうえお順とする。",,,,,,,,,,,,,,,,,
,,,0.5周年刻みは→hav◯,,,,,,,,,,,,,,,,,
,,,1周年刻みは→ani◯,,,,,,,,,,,,,,,,,
