ENABLE,id,release_key,rank_class_type,rank_class_level,matching_type,mst_dummy_user_id
e,pvp_dummy_66,202509010,Silver,4,Upper,Silver_4_user6
e,pvp_dummy_67,202509010,Gold,1,Lower,Gold_1_user1
e,pvp_dummy_68,202509010,Gold,1,Lower,Gold_1_user2
e,pvp_dummy_69,202509010,Gold,1,Same,Gold_1_user3
e,pvp_dummy_70,202509010,Gold,1,Same,Gold_1_user4
e,pvp_dummy_71,202509010,Gold,1,Upper,Gold_1_user5
e,pvp_dummy_72,202509010,Gold,1,Upper,Gold_1_user6
e,pvp_dummy_73,202509010,Gold,2,Lower,Gold_2_user1
e,pvp_dummy_74,202509010,Gold,2,Lower,Gold_2_user2
e,pvp_dummy_75,202509010,Gold,2,Same,Gold_2_user3
e,pvp_dummy_76,202509010,Gold,2,Same,Gold_2_user4
e,pvp_dummy_77,202509010,Gold,2,Upper,Gold_2_user5
e,pvp_dummy_78,202509010,Gold,2,Upper,Gold_2_user6
e,pvp_dummy_79,202509010,Gold,3,Lower,Gold_3_user1
e,pvp_dummy_80,202509010,Gold,3,Lower,Gold_3_user2
e,pvp_dummy_81,202509010,Gold,3,Same,Gold_3_user3
e,pvp_dummy_82,202509010,Gold,3,Same,Gold_3_user4
e,pvp_dummy_83,202509010,Gold,3,Upper,Gold_3_user5
e,pvp_dummy_84,202509010,Gold,3,Upper,Gold_3_user6
e,pvp_dummy_85,202509010,Gold,4,Lower,Gold_4_user1
e,pvp_dummy_86,202509010,Gold,4,Lower,Gold_4_user2
e,pvp_dummy_87,202509010,Gold,4,Same,Gold_4_user3
e,pvp_dummy_88,202509010,Gold,4,Same,Gold_4_user4
e,pvp_dummy_89,202509010,Gold,4,Upper,Gold_4_user5
e,pvp_dummy_90,202509010,Gold,4,Upper,Gold_4_user6
e,pvp_dummy_91,202509010,Platinum,1,Lower,Platinum_1_user1
e,pvp_dummy_92,202509010,Platinum,1,Lower,Platinum_1_user2
e,pvp_dummy_93,202509010,Platinum,1,Same,Platinum_1_user3
e,pvp_dummy_94,202509010,Platinum,1,Same,Platinum_1_user4
e,pvp_dummy_95,202509010,Platinum,1,Upper,Platinum_1_user5
e,pvp_dummy_96,202509010,Platinum,1,Upper,Platinum_1_user6
e,pvp_dummy_97,202509010,Platinum,2,Lower,Platinum_2_user1
e,pvp_dummy_98,202509010,Platinum,2,Lower,Platinum_2_user2
e,pvp_dummy_99,202509010,Platinum,2,Same,Platinum_2_user3
e,pvp_dummy_100,202509010,Platinum,2,Same,Platinum_2_user4
e,pvp_dummy_101,202509010,Platinum,2,Upper,Platinum_2_user5
e,pvp_dummy_102,202509010,Platinum,2,Upper,Platinum_2_user6
e,pvp_dummy_103,202509010,Platinum,3,Lower,Platinum_3_user1
e,pvp_dummy_104,202509010,Platinum,3,Lower,Platinum_3_user2
e,pvp_dummy_105,202509010,Platinum,3,Same,Platinum_3_user3
e,pvp_dummy_106,202509010,Platinum,3,Same,Platinum_3_user4
e,pvp_dummy_107,202509010,Platinum,3,Upper,Platinum_3_user5
e,pvp_dummy_108,202509010,Platinum,3,Upper,Platinum_3_user6
e,pvp_dummy_109,202509010,Platinum,4,Lower,Platinum_4_user1
e,pvp_dummy_110,202509010,Platinum,4,Lower,Platinum_4_user2
e,pvp_dummy_111,202509010,Platinum,4,Same,Platinum_4_user3
e,pvp_dummy_112,202509010,Platinum,4,Same,Platinum_4_user4
e,pvp_dummy_113,202509010,Platinum,4,Upper,Platinum_4_user5
e,pvp_dummy_114,202509010,Platinum,4,Upper,Platinum_4_user6
