,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレード倍率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR
連続攻撃,単体,1,効果値,120,125,130,135,140,150,170,170,範囲(小),1,効果値,90,94,98,101,105,113,128,128,範囲(中),1,効果値,78,81,85,88,91,98,111,111,範囲(大),1,効果値,66,69,72,74,77,83,94,94,範囲(特大),1,効果値,60,63,65,68,70,75,85,85,範囲(小：威力減),1,効果値,60,63,65,68,70,75,85,85
連続攻撃,単体,2,効果値,140,144,148,152,156,170,192,194,範囲(小),2,効果値,105,108,111,114,117,127,144,145,範囲(中),2,効果値,91,94,96,99,101,110,125,126,範囲(大),2,効果値,77,79,81,84,86,93,106,107,範囲(特大),2,効果値,70,72,74,76,78,85,96,97,範囲(小：威力減),2,効果値,70,72,74,76,78,85,96,97
連続攻撃,単体,3,効果値,153,157,160,163,167,183,207,210,範囲(小),3,効果値,115,117,120,122,125,137,155,157,範囲(中),3,効果値,100,102,104,106,108,119,134,136,範囲(大),3,効果値,84,86,88,90,92,101,114,115,範囲(特大),3,効果値,77,78,80,82,83,92,103,105,範囲(小：威力減),3,効果値,77,78,80,82,83,92,103,105
連続攻撃,単体,4,効果値,163,166,169,172,175,193,218,222,範囲(小),4,効果値,122,125,127,129,131,145,163,166,範囲(中),4,効果値,106,108,110,112,114,126,141,144,範囲(大),4,効果値,90,91,93,94,96,106,120,122,範囲(特大),4,効果値,82,83,84,86,87,97,109,111,範囲(小：威力減),4,効果値,82,83,84,86,87,97,109,111
連続攻撃,単体,5,効果値,170,173,175,178,180,200,225,230,範囲(小),5,効果値,128,129,131,133,135,150,169,173,範囲(中),5,効果値,111,112,114,115,117,130,146,150,範囲(大),5,効果値,94,95,96,98,99,110,124,127,範囲(特大),5,効果値,85,86,88,89,90,100,113,115,範囲(小：威力減),5,効果値,85,86,88,89,90,100,113,115
HP吸収攻撃,単体,1,効果値,5,5,5,5,5,10,15,15,範囲(小),1,効果値,4,4,4,4,4,8,11,11,範囲(中),1,効果値,3,3,3,3,3,7,10,10,範囲(大),1,効果値,3,3,3,3,3,6,8,8,範囲(特大),1,効果値,3,3,3,3,3,5,8,8,範囲(小：威力減),1,効果値,3,3,3,3,3,5,8,8
HP吸収攻撃,単体,2,効果値,9,9,10,10,11,18,27,29,範囲(小),2,効果値,7,7,7,8,8,13,20,22,範囲(中),2,効果値,6,6,6,7,7,12,18,19,範囲(大),2,効果値,5,5,5,6,6,10,15,16,範囲(特大),2,効果値,4,5,5,5,5,9,13,14,範囲(小：威力減),2,効果値,4,5,5,5,5,9,13,14
HP吸収攻撃,単体,3,効果値,12,12,13,14,15,23,35,38,範囲(小),3,効果値,9,9,10,11,11,17,26,29,範囲(中),3,効果値,8,8,9,9,10,15,23,25,範囲(大),3,効果値,6,7,7,8,8,13,19,21,範囲(特大),3,効果値,6,6,7,7,7,12,17,19,範囲(小：威力減),3,効果値,6,6,7,7,7,12,17,19
HP吸収攻撃,単体,4,効果値,14,15,16,17,18,27,41,45,範囲(小),4,効果値,10,11,12,13,13,20,31,34,範囲(中),4,効果値,9,10,10,11,12,18,27,29,範囲(大),4,効果値,8,8,9,9,10,15,23,25,範囲(特大),4,効果値,7,7,8,8,9,14,20,23,範囲(小：威力減),4,効果値,7,7,8,8,9,14,20,23
HP吸収攻撃,単体,5,効果値,15,16,18,19,20,30,45,50,範囲(小),5,効果値,11,12,13,14,15,23,34,38,範囲(中),5,効果値,10,11,11,12,13,20,29,33,範囲(大),5,効果値,8,9,10,10,11,17,25,28,範囲(特大),5,効果値,8,8,9,9,10,15,23,25,範囲(小：威力減),5,効果値,8,8,9,9,10,15,23,25
ノックバック,単体,1,効果値,1,1,1,1,1,1,1,1,範囲(小),1,効果値,1,1,1,1,1,1,1,1,範囲(中),1,効果値,1,1,1,1,1,1,1,1,範囲(大),1,効果値,1,1,1,1,1,1,1,1,範囲(特大),1,効果値,1,1,1,1,1,1,1,1,範囲(小：威力減),1,効果値,1,1,1,1,1,1,1,1
ノックバック,単体,2,効果値,1,1,1,1,1,1,1,2,範囲(小),2,効果値,1,1,1,1,1,1,1,2,範囲(中),2,効果値,1,1,1,1,1,1,1,2,範囲(大),2,効果値,1,1,1,1,1,1,1,2,範囲(特大),2,効果値,1,1,1,1,1,1,1,2,範囲(小：威力減),2,効果値,1,1,1,1,1,1,1,2
ノックバック,単体,3,効果値,1,1,1,1,1,1,2,2,範囲(小),3,効果値,1,1,1,1,1,1,2,2,範囲(中),3,効果値,1,1,1,1,1,1,2,2,範囲(大),3,効果値,1,1,1,1,1,1,2,2,範囲(特大),3,効果値,1,1,1,1,1,1,2,2,範囲(小：威力減),3,効果値,1,1,1,1,1,1,2,2
ノックバック,単体,4,効果値,1,1,1,1,1,2,3,3,範囲(小),4,効果値,1,1,1,1,1,2,2,2,範囲(中),4,効果値,1,1,1,1,1,2,2,2,範囲(大),4,効果値,1,1,1,1,1,2,2,2,範囲(特大),4,効果値,1,1,1,1,1,2,2,2,範囲(小：威力減),4,効果値,1,1,1,1,1,2,2,2
ノックバック,単体,5,効果値,1,1,1,1,1,2,3,3,範囲(小),5,効果値,1,1,1,1,1,2,2,2,範囲(中),5,効果値,1,1,1,1,1,2,2,2,範囲(大),5,効果値,1,1,1,1,1,2,2,2,範囲(特大),5,効果値,1,1,1,1,1,2,2,2,範囲(小：威力減),5,効果値,1,1,1,1,1,2,2,2
スタン,単体,1,効果時間,50,50,50,50,60,75,100,125,範囲(小),1,効果時間,50,50,50,50,50,60,75,95,範囲(中),1,効果時間,50,50,50,50,50,50,65,85,範囲(大),1,効果時間,50,50,50,50,50,50,55,70,範囲(特大),1,効果時間,50,50,50,50,50,50,50,65,範囲(小：威力減),1,効果時間,50,50,50,50,50,50,50,65
スタン,単体,1,発動確率,100,100,100,100,100,100,100,100,範囲(小),1,発動確率,100,100,100,100,100,100,100,100,範囲(中),1,発動確率,100,100,100,100,100,100,100,100,範囲(大),1,発動確率,100,100,100,100,100,100,100,100,範囲(特大),1,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),1,発動確率,100,100,100,100,100,100,100,100
スタン,単体,2,効果時間,50,60,65,60,80,105,160,190,範囲(小),2,効果時間,50,50,50,50,60,80,120,145,範囲(中),2,効果時間,50,50,50,50,55,70,105,125,範囲(大),2,効果時間,50,50,50,50,50,60,90,105,範囲(特大),2,効果時間,50,50,50,50,50,55,80,95,範囲(小：威力減),2,効果時間,50,50,50,50,50,55,80,95
スタン,単体,2,発動確率,100,100,100,100,100,100,100,100,範囲(小),2,発動確率,100,100,100,100,100,100,100,100,範囲(中),2,発動確率,100,100,100,100,100,100,100,100,範囲(大),2,発動確率,100,100,100,100,100,100,100,100,範囲(特大),2,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),2,発動確率,100,100,100,100,100,100,100,100
スタン,単体,3,効果時間,55,65,70,65,90,125,195,230,範囲(小),3,効果時間,50,50,55,50,70,95,150,175,範囲(中),3,効果時間,50,50,50,50,60,85,130,150,範囲(大),3,効果時間,50,50,50,50,50,70,110,130,範囲(特大),3,効果時間,50,50,50,50,50,65,100,115,範囲(小：威力減),3,効果時間,50,50,50,50,50,65,100,115
スタン,単体,3,発動確率,100,100,100,100,100,100,100,100,範囲(小),3,発動確率,100,100,100,100,100,100,100,100,範囲(中),3,発動確率,100,100,100,100,100,100,100,100,範囲(大),3,発動確率,100,100,100,100,100,100,100,100,範囲(特大),3,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),3,発動確率,100,100,100,100,100,100,100,100
スタン,単体,4,効果時間,55,70,90,70,115,155,245,290,範囲(小),4,効果時間,50,55,70,55,90,120,185,220,範囲(中),4,効果時間,50,50,60,50,75,105,160,190,範囲(大),4,効果時間,50,50,50,50,65,90,135,160,範囲(特大),4,効果時間,50,50,50,50,60,80,125,145,範囲(小：威力減),4,効果時間,50,50,50,50,60,80,125,145
スタン,単体,4,発動確率,100,100,100,100,100,100,100,100,範囲(小),4,発動確率,100,100,100,100,100,100,100,100,範囲(中),4,発動確率,100,100,100,100,100,100,100,100,範囲(大),4,発動確率,100,100,100,100,100,100,100,100,範囲(特大),4,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),4,発動確率,100,100,100,100,100,100,100,100
スタン,単体,5,効果時間,60,75,100,75,125,175,275,325,範囲(小),5,効果時間,50,60,75,60,95,135,210,245,範囲(中),5,効果時間,50,50,65,50,85,115,180,215,範囲(大),5,効果時間,50,50,55,50,70,100,155,180,範囲(特大),5,効果時間,50,50,50,50,65,90,140,165,範囲(小：威力減),5,効果時間,50,50,50,50,65,90,140,165
スタン,単体,5,発動確率,100,100,100,100,100,100,100,100,範囲(小),5,発動確率,100,100,100,100,100,100,100,100,範囲(中),5,発動確率,100,100,100,100,100,100,100,100,範囲(大),5,発動確率,100,100,100,100,100,100,100,100,範囲(特大),5,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),5,発動確率,100,100,100,100,100,100,100,100
火傷,単体,1,効果値,1500,1700,1800,1900,2000,2500,3000,3200,範囲(小),1,効果値,1200,1300,1400,1500,1500,1900,2300,2400,範囲(中),1,効果値,1000,1200,1200,1300,1300,1700,2000,2100,範囲(大),1,効果値,900,1000,1000,1100,1100,1400,1700,1800,範囲(特大),1,効果値,800,900,900,1000,1000,1300,1500,1600,範囲(小：威力減),1,効果値,800,900,900,1000,1000,1300,1500,1600
火傷,単体,1,効果時間,150,150,150,150,150,150,150,150,範囲(小),1,効果時間,150,150,150,150,150,150,150,150,範囲(中),1,効果時間,150,150,150,150,150,150,150,150,範囲(大),1,効果時間,150,150,150,150,150,150,150,150,範囲(特大),1,効果時間,150,150,150,150,150,150,150,150,範囲(小：威力減),1,効果時間,150,150,150,150,150,150,150,150
火傷,単体,1,発動確率,100,100,100,100,100,100,100,100,範囲(小),1,発動確率,100,100,100,100,100,100,100,100,範囲(中),1,発動確率,100,100,100,100,100,100,100,100,範囲(大),1,発動確率,100,100,100,100,100,100,100,100,範囲(特大),1,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),1,発動確率,100,100,100,100,100,100,100,100
火傷,単体,2,効果値,2700,3000,3200,3500,3700,4700,6000,6500,範囲(小),2,効果値,2100,2300,2400,2700,2800,3600,4500,4900,範囲(中),2,効果値,1800,2000,2100,2300,2500,3100,3900,4300,範囲(大),2,効果値,1500,1700,1800,2000,2100,2600,3300,3600,範囲(特大),2,効果値,1400,1500,1600,1800,1900,2400,3000,3300,範囲(小：威力減),2,効果値,1400,1500,1600,1800,1900,2400,3000,3300
火傷,単体,2,効果時間,150,150,150,150,150,150,300,300,範囲(小),2,効果時間,150,150,150,150,150,150,300,300,範囲(中),2,効果時間,150,150,150,150,150,150,300,300,範囲(大),2,効果時間,150,150,150,150,150,150,300,300,範囲(特大),2,効果時間,150,150,150,150,150,150,300,300,範囲(小：威力減),2,効果時間,150,150,150,150,150,150,300,300
火傷,単体,2,発動確率,100,100,100,100,100,100,100,100,範囲(小),2,発動確率,100,100,100,100,100,100,100,100,範囲(中),2,発動確率,100,100,100,100,100,100,100,100,範囲(大),2,発動確率,100,100,100,100,100,100,100,100,範囲(特大),2,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),2,発動確率,100,100,100,100,100,100,100,100
火傷,単体,3,効果値,3800,4200,4600,5000,5300,6800,9000,9700,範囲(小),3,効果値,2900,3200,3500,3800,4000,5100,6800,7300,範囲(中),3,効果値,2500,2800,3000,3300,3500,4500,5900,6400,範囲(大),3,効果値,2100,2400,2600,2800,3000,3800,5000,5400,範囲(特大),3,効果値,1900,2100,2300,2500,2700,3400,4500,4900,範囲(小：威力減),3,効果値,1900,2100,2300,2500,2700,3400,4500,4900
火傷,単体,3,効果時間,150,150,150,150,150,300,450,450,範囲(小),3,効果時間,150,150,150,150,150,300,450,450,範囲(中),3,効果時間,150,150,150,150,150,300,450,450,範囲(大),3,効果時間,150,150,150,150,150,300,450,450,範囲(特大),3,効果時間,150,150,150,150,150,300,450,450,範囲(小：威力減),3,効果時間,150,150,150,150,150,300,450,450
火傷,単体,3,発動確率,100,100,100,100,100,100,100,100,範囲(小),3,発動確率,100,100,100,100,100,100,100,100,範囲(中),3,発動確率,100,100,100,100,100,100,100,100,範囲(大),3,発動確率,100,100,100,100,100,100,100,100,範囲(特大),3,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),3,発動確率,100,100,100,100,100,100,100,100
火傷,単体,4,効果値,4300,4800,5200,5600,6000,7700,10200,11100,範囲(小),4,効果値,3300,3600,3900,4200,4500,5800,7700,8400,範囲(中),4,効果値,2800,3200,3400,3700,3900,5100,6700,7300,範囲(大),4,効果値,2400,2700,2900,3100,3300,4300,5700,6200,範囲(特大),4,効果値,2200,2400,2600,2800,3000,3900,5100,5600,範囲(小：威力減),4,効果値,2200,2400,2600,2800,3000,3900,5100,5600
火傷,単体,4,効果時間,150,150,150,150,150,300,450,450,範囲(小),4,効果時間,150,150,150,150,150,300,450,450,範囲(中),4,効果時間,150,150,150,150,150,300,450,450,範囲(大),4,効果時間,150,150,150,150,150,300,450,450,範囲(特大),4,効果時間,150,150,150,150,150,300,450,450,範囲(小：威力減),4,効果時間,150,150,150,150,150,300,450,450
火傷,単体,4,発動確率,100,100,100,100,100,100,100,100,範囲(小),4,発動確率,100,100,100,100,100,100,100,100,範囲(中),4,発動確率,100,100,100,100,100,100,100,100,範囲(大),4,発動確率,100,100,100,100,100,100,100,100,範囲(特大),4,発動確率,100,100,100,100,100,100,100,100,範囲(小：威力減),4,発動確率,100,100,100,100,100,100,100,100
