,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,15,285690,,w6,,80,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,raid_osh1_00001,,,event_osh_0001,,,無敵（♾️）,,,202512020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,15,ノノア+アクアで33万くらい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,,,100,,,なし,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00001,,,カラーメモリー・グレー,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00002,,,カラーメモリー・レッド,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00003,,,カラーメモリー・ブルー,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00004,,,カラーメモリー・イエロー,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00005,,,カラーメモリー・グリーン,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,9,,3コマ,,0.55,,0.25,,0.5,,0.25,,none,,osh_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,6,,2コマ,,0.55,,0.5,,0.5,,none,,none,,osh_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,1,,1コマ,,0.55,,1,,none,,none,,none,,osh_00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,10,,3コマ,,0.55,,0.25,,0.25,,0.5,,none,,osh_00001,,,Burn,,,,,3000,,1000,,Poison,,,,,3000,,10,,SlipDamage,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,撃破スコア,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃間隔値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,リリースキー
,,,1,,,,c_osh_00301_osh1_advent_Normal_Yellow,,,,MEMちょ,,,,Normal,,Yellow,,Technical,,Default,,Normal,,,,3000,,3,,50,,0.5,,56.5,,,,44.25,,3回目小ノックバック,,,,ノックバック中+攻撃ダウン,,,,,5,,166.5,,,,37,,0.27,,0,,0.28,,1,,1,,50,,250,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,2.3,,ElapsedTime,,,,250,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,1,,InitialSummon,0,SummonEnemy,c_osh_00301_osh1_advent_Normal_Yellow,,1,0,None,2.3,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,3,0.5,1,250,50,,None,,202512020
,,,2,,,,c_osh_00401_osh1_advent_Normal_Colorless,,,,有馬 かな,,,,Normal,,Colorless,,Technical,,Default,,Normal,,,,5000,,5,,100,,1,,58.5,,,,85.47,,,,,,火傷,,,,,5,,123.5,,,,37,,0.24,,0,,0.25,,1,,1,,50,,500,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,2.5,,ElapsedTime,,,,250,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,2,,InitialSummon,0,SummonEnemy,c_osh_00401_osh1_advent_Normal_Colorless,,1,0,None,2.5,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,5,1,1,500,50,,None,,202512020
,,,3,,,,c_osh_00201_osh1_advent_Normal_Red,,,,星野 ルビー,,,,Normal,,Red,,Attack,,Default,,Normal,,,,3000,,3,,150,,1.5,,68.5,,,,109.49,,,,,,20秒自身の攻撃UP(100%),,,,,5,,150,,,,37,,0.22,,0,,0.23,,1,,1,,50,,250,,50,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,2.7,,ElapsedTime,,,,250,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,3,,InitialSummon,0,SummonEnemy,c_osh_00201_osh1_advent_Normal_Red,,1,0,None,2.7,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,3,1.5,1,250,50,,None,,202512020
,,,4,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,2000,,2,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,2.1,,ElapsedTime,,,,200,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,4,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,2.1,ElapsedTime,200,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
,,,5,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,2000,,2,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,2.9,,ElapsedTime,,,,250,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,5,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,2.9,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
,,,6,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,2000,,2,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,0.9,,EnterTargetKoma,,,,1,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,6,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,0.9,EnterTargetKoma,1,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
,,,7,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,2000,,2,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.3,,ElapsedTime,,,,500,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,7,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,1.3,ElapsedTime,500,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
,,,8,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,1000,,1,,100,,1,,58.5,,,,85.47,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTime,,,,0,,500,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,8,,ElapsedTime,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,50,10,,None,,202512020
,,,groupchange_1,,,,w1,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,2,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,groupchange_1,,FriendUnitDead,2,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w1,,9,,,,e_glo_00002_osh1_advent_Boss_Green,,,,推し活ファントム,,,,Boss,,Green,,Attack,,AdventBoss1,,Normal,,,,50000,,5,,300,,3,,58.5,,,,256.41,,,,,,,,,,,-,,0,,,,45,,0.22,,0,,0.23,,1,,1,,100,,300,,50,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,1.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,9,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Boss_Green,,1,0,Fall0,1.8,None,,None,,None,,,FALSE,,AdventBoss1,Normal,5,3,1,300,50,,None,,202512020
,w1,,10,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,8000,,8,,250,,2.5,,58.5,,,,213.68,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,500,,10,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,10,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,8,2.5,1,50,10,,None,,202512020
,w1,,11,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,8000,,8,,250,,2.5,,58.5,,,,213.68,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,3,,,,Fall0,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,11,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,50,Fall0,2.5,None,,None,,None,,,FALSE,,Default,Normal,8,2.5,1,50,10,,None,,202512020
,w1,,12,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,10000,,10,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.2,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.2,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
,w1,,12,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,10000,,10,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.4,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.4,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
,w1,,12,,,,e_glo_00002_osh1_advent_Normal_Colorless,,,,推し活ファントム,,,,Normal,,Colorless,,Defense,,Default,,Normal,,,,10000,,10,,50,,0.5,,58.5,,,,42.74,,100%ノックバック小,,,,,,,,,-,,0,,,,20,,0.22,,0,,0.23,,1,,0,,5,,10,,20,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall0,,2.6,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.6,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
