"作品ID
+
施策回数",作品名,"クエスト難易度
or
種別",クエストタイプ,クエストカテゴリー,クエスト_id,クエスト名,ステージ_id,"stage_id
※降臨バトルは不要","ステージアイコン画像ID
※イベントや降臨バトルは不要",リリースキー,備考
glo1,GLOW,normal,main,メインクエスト,quest_main_glo1_normal_4,4.リミックスクエスト Vol.1,04,normal_glo1_00004,stage_icon_glo1_normal_04,,
glo1,GLOW,normal,main,メインクエスト,quest_main_glo1_normal_4,4.リミックスクエスト Vol.1,05,normal_glo1_00005,stage_icon_glo1_normal_05,,
glo1,GLOW,normal,main,メインクエスト,quest_main_glo1_normal_4,4.リミックスクエスト Vol.1,06,normal_glo1_00006,stage_icon_glo1_normal_06,,
,,,,,,,,,,,
dan,ダンダダン,normal,main,メインクエスト,quest_main_dan_normal_5,5.ダンダダン,01,normal_dan_00001,stage_icon_dan_normal_01,,
dan,ダンダダン,normal,main,メインクエスト,quest_main_dan_normal_5,5.ダンダダン,02,normal_dan_00002,stage_icon_dan_normal_02,,
dan,ダンダダン,normal,main,メインクエスト,quest_main_dan_normal_5,5.ダンダダン,03,normal_dan_00003,stage_icon_dan_normal_03,,
dan,ダンダダン,normal,main,メインクエスト,quest_main_dan_normal_5,5.ダンダダン,04,normal_dan_00004,stage_icon_dan_normal_04,,
dan,ダンダダン,normal,main,メインクエスト,quest_main_dan_normal_5,5.ダンダダン,05,normal_dan_00005,stage_icon_dan_normal_05,,
dan,ダンダダン,normal,main,メインクエスト,quest_main_dan_normal_5,5.ダンダダン,06,normal_dan_00006,stage_icon_dan_normal_06,,
,,,,,,,,,,,
jig,地獄楽,normal,main,メインクエスト,quest_main_jig_normal_6,6.地獄楽,01,normal_jig_00001,stage_icon_jig_normal_01,,
jig,地獄楽,normal,main,メインクエスト,quest_main_jig_normal_6,6.地獄楽,02,normal_jig_00002,stage_icon_jig_normal_02,,
jig,地獄楽,normal,main,メインクエスト,quest_main_jig_normal_6,6.地獄楽,03,normal_jig_00003,stage_icon_jig_normal_03,,
jig,地獄楽,normal,main,メインクエスト,quest_main_jig_normal_6,6.地獄楽,04,normal_jig_00004,stage_icon_jig_normal_04,,
jig,地獄楽,normal,main,メインクエスト,quest_main_jig_normal_6,6.地獄楽,05,normal_jig_00005,stage_icon_jig_normal_05,,
jig,地獄楽,normal,main,メインクエスト,quest_main_jig_normal_6,6.地獄楽,06,normal_jig_00006,stage_icon_jig_normal_06,,
,,,,,,,,,,,
tak,タコピーの原罪,normal,main,メインクエスト,quest_main_tak_normal_7,7.タコピーの原罪,01,normal_tak_00001,stage_icon_tak_normal_01,,
tak,タコピーの原罪,normal,main,メインクエスト,quest_main_tak_normal_7,7.タコピーの原罪,02,normal_tak_00002,stage_icon_tak_normal_02,,
tak,タコピーの原罪,normal,main,メインクエスト,quest_main_tak_normal_7,7.タコピーの原罪,03,normal_tak_00003,stage_icon_tak_normal_03,,
,,,,,,,,,,,
glo2,GLOW,normal,main,メインクエスト,quest_main_glo2_normal_8,8.リミックスクエスト Vol.2,01,normal_glo2_00001,stage_icon_glo2_normal_01,,
glo2,GLOW,normal,main,メインクエスト,quest_main_glo2_normal_8,8.リミックスクエスト Vol.2,02,normal_glo2_00002,stage_icon_glo2_normal_02,,
glo2,GLOW,normal,main,メインクエスト,quest_main_glo2_normal_8,8.リミックスクエスト Vol.2,03,normal_glo2_00003,stage_icon_glo2_normal_03,,
glo2,GLOW,normal,main,メインクエスト,quest_main_glo2_normal_8,8.リミックスクエスト Vol.2,04,normal_glo2_00004,stage_icon_glo2_normal_04,,
glo2,GLOW,normal,main,メインクエスト,quest_main_glo2_normal_8,8.リミックスクエスト Vol.2,05,normal_glo2_00005,stage_icon_glo2_normal_05,,
glo2,GLOW,normal,main,メインクエスト,quest_main_glo2_normal_8,8.リミックスクエスト Vol.2,06,normal_glo2_00006,stage_icon_glo2_normal_06,,
,,,,,,,,,,,
chi,チェンソーマン,normal,main,メインクエスト,quest_main_chi_normal_9,9.チェンソーマン,01,normal_chi_00001,stage_icon_chi_normal_01,,
chi,チェンソーマン,normal,main,メインクエスト,quest_main_chi_normal_9,9.チェンソーマン,02,normal_chi_00002,stage_icon_chi_normal_02,,
chi,チェンソーマン,normal,main,メインクエスト,quest_main_chi_normal_9,9.チェンソーマン,03,normal_chi_00003,stage_icon_chi_normal_03,,
chi,チェンソーマン,normal,main,メインクエスト,quest_main_chi_normal_9,9.チェンソーマン,04,normal_chi_00004,stage_icon_chi_normal_04,,
chi,チェンソーマン,normal,main,メインクエスト,quest_main_chi_normal_9,9.チェンソーマン,05,normal_chi_00005,stage_icon_chi_normal_05,,
chi,チェンソーマン,normal,main,メインクエスト,quest_main_chi_normal_9,9.チェンソーマン,06,normal_chi_00006,stage_icon_chi_normal_06,,
,,,,,,,,,,,
sur,魔都精兵のスレイブ,normal,main,メインクエスト,quest_main_sur_normal_10,10.魔都精兵のスレイブ,01,normal_sur_00001,stage_icon_sur_normal_01,,
sur,魔都精兵のスレイブ,normal,main,メインクエスト,quest_main_sur_normal_10,10.魔都精兵のスレイブ,02,normal_sur_00002,stage_icon_sur_normal_02,,
sur,魔都精兵のスレイブ,normal,main,メインクエスト,quest_main_sur_normal_10,10.魔都精兵のスレイブ,03,normal_sur_00003,stage_icon_sur_normal_03,,
sur,魔都精兵のスレイブ,normal,main,メインクエスト,quest_main_sur_normal_10,10.魔都精兵のスレイブ,04,normal_sur_00004,stage_icon_sur_normal_04,,
sur,魔都精兵のスレイブ,normal,main,メインクエスト,quest_main_sur_normal_10,10.魔都精兵のスレイブ,05,normal_sur_00005,stage_icon_sur_normal_05,,
sur,魔都精兵のスレイブ,normal,main,メインクエスト,quest_main_sur_normal_10,10.魔都精兵のスレイブ,06,normal_sur_00006,stage_icon_sur_normal_06,,
,,,,,,,,,,,
rik,トマトイプーのリコピン,normal,main,メインクエスト,quest_main_rik_normal_11,11.トマトイプーのリコピン,01,normal_rik_00001,stage_icon_rik_normal_01,,
rik,トマトイプーのリコピン,normal,main,メインクエスト,quest_main_rik_normal_11,11.トマトイプーのリコピン,02,normal_rik_00002,stage_icon_rik_normal_02,,
rik,トマトイプーのリコピン,normal,main,メインクエスト,quest_main_rik_normal_11,11.トマトイプーのリコピン,03,normal_rik_00003,stage_icon_rik_normal_03,,
,,,,,,,,,,,
glo3,GLOW,normal,main,メインクエスト,quest_main_glo3_normal_12,12.リミックスクエスト Vol.3,01,normal_glo3_00001,stage_icon_glo3_normal_01,,
glo3,GLOW,normal,main,メインクエスト,quest_main_glo3_normal_12,12.リミックスクエスト Vol.3,02,normal_glo3_00002,stage_icon_glo3_normal_02,,
glo3,GLOW,normal,main,メインクエスト,quest_main_glo3_normal_12,12.リミックスクエスト Vol.3,03,normal_glo3_00003,stage_icon_glo3_normal_03,,
glo3,GLOW,normal,main,メインクエスト,quest_main_glo3_normal_12,12.リミックスクエスト Vol.3,04,normal_glo3_00004,stage_icon_glo3_normal_04,,
glo3,GLOW,normal,main,メインクエスト,quest_main_glo3_normal_12,12.リミックスクエスト Vol.3,05,normal_glo3_00005,stage_icon_glo3_normal_05,,
glo3,GLOW,normal,main,メインクエスト,quest_main_glo3_normal_12,12.リミックスクエスト Vol.3,06,normal_glo3_00006,stage_icon_glo3_normal_06,,
,,,,,,,,,,,
mag,株式会社マジルミエ,normal,main,メインクエスト,quest_main_mag_normal_13,13.株式会社マジルミエ,01,normal_mag_00001,stage_icon_mag_normal_01,,
mag,株式会社マジルミエ,normal,main,メインクエスト,quest_main_mag_normal_13,13.株式会社マジルミエ,02,normal_mag_00002,stage_icon_mag_normal_02,,
mag,株式会社マジルミエ,normal,main,メインクエスト,quest_main_mag_normal_13,13.株式会社マジルミエ,03,normal_mag_00003,stage_icon_mag_normal_03,,
mag,株式会社マジルミエ,normal,main,メインクエスト,quest_main_mag_normal_13,13.株式会社マジルミエ,04,normal_mag_00004,stage_icon_mag_normal_04,,
mag,株式会社マジルミエ,normal,main,メインクエスト,quest_main_mag_normal_13,13.株式会社マジルミエ,05,normal_mag_00005,stage_icon_mag_normal_05,,
mag,株式会社マジルミエ,normal,main,メインクエスト,quest_main_mag_normal_13,13.株式会社マジルミエ,06,normal_mag_00006,stage_icon_mag_normal_06,,
,,,,,,,,,,,
sum,サマータイムレンダ,normal,main,メインクエスト,quest_main_sum_normal_14,14.サマータイムレンダ,01,normal_sum_00001,stage_icon_sum_normal_01,,
sum,サマータイムレンダ,normal,main,メインクエスト,quest_main_sum_normal_14,14.サマータイムレンダ,02,normal_sum_00002,stage_icon_sum_normal_02,,
sum,サマータイムレンダ,normal,main,メインクエスト,quest_main_sum_normal_14,14.サマータイムレンダ,03,normal_sum_00003,stage_icon_sum_normal_03,,
sum,サマータイムレンダ,normal,main,メインクエスト,quest_main_sum_normal_14,14.サマータイムレンダ,04,normal_sum_00004,stage_icon_sum_normal_04,,
sum,サマータイムレンダ,normal,main,メインクエスト,quest_main_sum_normal_14,14.サマータイムレンダ,05,normal_sum_00005,stage_icon_sum_normal_05,,
sum,サマータイムレンダ,normal,main,メインクエスト,quest_main_sum_normal_14,14.サマータイムレンダ,06,normal_sum_00006,stage_icon_sum_normal_06,,
,,,,,,,,,,,
kai,怪獣８号,normal,main,メインクエスト,quest_main_kai_normal_15,15.怪獣８号,01,normal_kai_00001,stage_icon_kai_normal_01,,
kai,怪獣８号,normal,main,メインクエスト,quest_main_kai_normal_15,15.怪獣８号,02,normal_kai_00002,stage_icon_kai_normal_02,,
kai,怪獣８号,normal,main,メインクエスト,quest_main_kai_normal_15,15.怪獣８号,03,normal_kai_00003,stage_icon_kai_normal_03,,
kai,怪獣８号,normal,main,メインクエスト,quest_main_kai_normal_15,15.怪獣８号,04,normal_kai_00004,stage_icon_kai_normal_04,,
kai,怪獣８号,normal,main,メインクエスト,quest_main_kai_normal_15,15.怪獣８号,05,normal_kai_00005,stage_icon_kai_normal_05,,
kai,怪獣８号,normal,main,メインクエスト,quest_main_kai_normal_15,15.怪獣８号,06,normal_kai_00006,stage_icon_kai_normal_06,,
,,,,,,,,,,,
glo4,GLOW,normal,main,メインクエスト,quest_main_glo4_normal_16,16.リミックスクエスト Vol.4,01,normal_glo4_00001,stage_icon_glo4_normal_01,,
glo4,GLOW,normal,main,メインクエスト,quest_main_glo4_normal_16,16.リミックスクエスト Vol.4,02,normal_glo4_00002,stage_icon_glo4_normal_02,,
glo4,GLOW,normal,main,メインクエスト,quest_main_glo4_normal_16,16.リミックスクエスト Vol.4,03,normal_glo4_00003,stage_icon_glo4_normal_03,,
glo4,GLOW,normal,main,メインクエスト,quest_main_glo4_normal_16,16.リミックスクエスト Vol.4,04,normal_glo4_00004,stage_icon_glo4_normal_04,,
glo4,GLOW,normal,main,メインクエスト,quest_main_glo4_normal_16,16.リミックスクエスト Vol.4,05,normal_glo4_00005,stage_icon_glo4_normal_05,,
glo4,GLOW,normal,main,メインクエスト,quest_main_glo4_normal_16,16.リミックスクエスト Vol.4,06,normal_glo4_00006,stage_icon_glo4_normal_06,,
,,,,,,,,,,,
osh,【推しの子】,normal,main,メインクエスト,quest_main_osh_normal_17,17.【推しの子】,01,normal_osh_00001,stage_icon_osh_normal_01,,
osh,【推しの子】,normal,main,メインクエスト,quest_main_osh_normal_17,17.【推しの子】,02,normal_osh_00002,stage_icon_osh_normal_02,,
osh,【推しの子】,normal,main,メインクエスト,quest_main_osh_normal_17,17.【推しの子】,03,normal_osh_00003,stage_icon_osh_normal_03,,
,,,,,,,,,,,
you,幼稚園WARS,normal,main,メインクエスト,quest_main_you_normal_18,18.幼稚園WARS,01,normal_you_00001,stage_icon_you_normal_01,,
you,幼稚園WARS,normal,main,メインクエスト,quest_main_you_normal_18,18.幼稚園WARS,02,normal_you_00002,stage_icon_you_normal_02,,
you,幼稚園WARS,normal,main,メインクエスト,quest_main_you_normal_18,18.幼稚園WARS,03,normal_you_00003,stage_icon_you_normal_03,,
,,,,,,,,,,,
aya,あやかしトライアングル,normal,main,メインクエスト,quest_main_aya_normal_19,19.あやかしトライアングル,01,normal_aya_00001,stage_icon_aya_normal_01,,
aya,あやかしトライアングル,normal,main,メインクエスト,quest_main_aya_normal_19,19.あやかしトライアングル,02,normal_aya_00002,stage_icon_aya_normal_02,,
aya,あやかしトライアングル,normal,main,メインクエスト,quest_main_aya_normal_19,19.あやかしトライアングル,03,normal_aya_00003,stage_icon_aya_normal_03,,
,,,,,,,,,,,
mar,マリッジトキシン,normal,main,メインクエスト,quest_main_mar_normal_20,20.マリッジトキシン,01,normal_mar_00001,stage_icon_mar_normal_01,,
mar,マリッジトキシン,normal,main,メインクエスト,quest_main_mar_normal_20,20.マリッジトキシン,02,normal_mar_00002,stage_icon_mar_normal_02,,
mar,マリッジトキシン,normal,main,メインクエスト,quest_main_mar_normal_20,20.マリッジトキシン,03,normal_mar_00003,stage_icon_mar_normal_03,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
▼メインクエスト（ハード）,,,,,,,,,,,
,,,,,,,,,,,
spy,SPY×FAMILY,hard,main,メインクエスト,quest_main_spy_hard_1,1.SPY FAMILY,01,hard_spy_00001,stage_icon_spy_hard_01,,
spy,SPY×FAMILY,hard,main,メインクエスト,quest_main_spy_hard_1,1.SPY FAMILY,02,hard_spy_00002,stage_icon_spy_hard_02,,
spy,SPY×FAMILY,hard,main,メインクエスト,quest_main_spy_hard_1,1.SPY FAMILY,03,hard_spy_00003,stage_icon_spy_hard_03,,
spy,SPY×FAMILY,hard,main,メインクエスト,quest_main_spy_hard_1,1.SPY FAMILY,04,hard_spy_00004,stage_icon_spy_hard_04,,
spy,SPY×FAMILY,hard,main,メインクエスト,quest_main_spy_hard_1,1.SPY FAMILY,05,hard_spy_00005,stage_icon_spy_hard_05,,
spy,SPY×FAMILY,hard,main,メインクエスト,quest_main_spy_hard_1,1.SPY FAMILY,06,hard_spy_00006,stage_icon_spy_hard_06,,
,,,,,,,,,,,
gom,姫様“拷問”の時間です,hard,main,メインクエスト,quest_main_gom_hard_2,2.姫様“拷問”の時間です,01,hard_gom_00001,stage_icon_gom_hard_01,,
gom,姫様“拷問”の時間です,hard,main,メインクエスト,quest_main_gom_hard_2,2.姫様“拷問”の時間です,02,hard_gom_00002,stage_icon_gom_hard_02,,
gom,姫様“拷問”の時間です,hard,main,メインクエスト,quest_main_gom_hard_2,2.姫様“拷問”の時間です,03,hard_gom_00003,stage_icon_gom_hard_03,,
gom,姫様“拷問”の時間です,hard,main,メインクエスト,quest_main_gom_hard_2,2.姫様“拷問”の時間です,04,hard_gom_00004,stage_icon_gom_hard_04,,
gom,姫様“拷問”の時間です,hard,main,メインクエスト,quest_main_gom_hard_2,2.姫様“拷問”の時間です,05,hard_gom_00005,stage_icon_gom_hard_05,,
gom,姫様“拷問”の時間です,hard,main,メインクエスト,quest_main_gom_hard_2,2.姫様“拷問”の時間です,06,hard_gom_00006,stage_icon_gom_hard_06,,
,,,,,,,,,,,
aka,ラーメン赤猫,hard,main,メインクエスト,quest_main_aka_hard_3,3.ラーメン赤猫,01,hard_aka_00001,stage_icon_aka_hard_01,,
aka,ラーメン赤猫,hard,main,メインクエスト,quest_main_aka_hard_3,3.ラーメン赤猫,02,hard_aka_00002,stage_icon_aka_hard_02,,
aka,ラーメン赤猫,hard,main,メインクエスト,quest_main_aka_hard_3,3.ラーメン赤猫,03,hard_aka_00003,stage_icon_aka_hard_03,,
,,,,,,,,,,,
glo1,GLOW,hard,main,メインクエスト,quest_main_glo1_hard_4,4.リミックスクエスト Vol.1,01,hard_glo1_00001,stage_icon_glo1_hard_01,,
glo1,GLOW,hard,main,メインクエスト,quest_main_glo1_hard_4,4.リミックスクエスト Vol.1,02,hard_glo1_00002,stage_icon_glo1_hard_02,,
glo1,GLOW,hard,main,メインクエスト,quest_main_glo1_hard_4,4.リミックスクエスト Vol.1,03,hard_glo1_00003,stage_icon_glo1_hard_03,,
glo1,GLOW,hard,main,メインクエスト,quest_main_glo1_hard_4,4.リミックスクエスト Vol.1,04,hard_glo1_00004,stage_icon_glo1_hard_04,,
glo1,GLOW,hard,main,メインクエスト,quest_main_glo1_hard_4,4.リミックスクエスト Vol.1,05,hard_glo1_00005,stage_icon_glo1_hard_05,,
glo1,GLOW,hard,main,メインクエスト,quest_main_glo1_hard_4,4.リミックスクエスト Vol.1,06,hard_glo1_00006,stage_icon_glo1_hard_06,,
,,,,,,,,,,,
dan,ダンダダン,hard,main,メインクエスト,quest_main_dan_hard_5,5.ダンダダン,01,hard_dan_00001,stage_icon_dan_hard_01,,
dan,ダンダダン,hard,main,メインクエスト,quest_main_dan_hard_5,5.ダンダダン,02,hard_dan_00002,stage_icon_dan_hard_02,,
dan,ダンダダン,hard,main,メインクエスト,quest_main_dan_hard_5,5.ダンダダン,03,hard_dan_00003,stage_icon_dan_hard_03,,
dan,ダンダダン,hard,main,メインクエスト,quest_main_dan_hard_5,5.ダンダダン,04,hard_dan_00004,stage_icon_dan_hard_04,,
dan,ダンダダン,hard,main,メインクエスト,quest_main_dan_hard_5,5.ダンダダン,05,hard_dan_00005,stage_icon_dan_hard_05,,
dan,ダンダダン,hard,main,メインクエスト,quest_main_dan_hard_5,5.ダンダダン,06,hard_dan_00006,stage_icon_dan_hard_06,,
,,,,,,,,,,,
jig,地獄楽,hard,main,メインクエスト,quest_main_jig_hard_6,6.地獄楽,01,hard_jig_00001,stage_icon_jig_hard_01,,
jig,地獄楽,hard,main,メインクエスト,quest_main_jig_hard_6,6.地獄楽,02,hard_jig_00002,stage_icon_jig_hard_02,,
jig,地獄楽,hard,main,メインクエスト,quest_main_jig_hard_6,6.地獄楽,03,hard_jig_00003,stage_icon_jig_hard_03,,
jig,地獄楽,hard,main,メインクエスト,quest_main_jig_hard_6,6.地獄楽,04,hard_jig_00004,stage_icon_jig_hard_04,,
jig,地獄楽,hard,main,メインクエスト,quest_main_jig_hard_6,6.地獄楽,05,hard_jig_00005,stage_icon_jig_hard_05,,
jig,地獄楽,hard,main,メインクエスト,quest_main_jig_hard_6,6.地獄楽,06,hard_jig_00006,stage_icon_jig_hard_06,,
,,,,,,,,,,,
tak,タコピーの原罪,hard,main,メインクエスト,quest_main_tak_hard_7,7.タコピーの原罪,01,hard_tak_00001,stage_icon_tak_hard_01,,
tak,タコピーの原罪,hard,main,メインクエスト,quest_main_tak_hard_7,7.タコピーの原罪,02,hard_tak_00002,stage_icon_tak_hard_02,,
tak,タコピーの原罪,hard,main,メインクエスト,quest_main_tak_hard_7,7.タコピーの原罪,03,hard_tak_00003,stage_icon_tak_hard_03,,
,,,,,,,,,,,
glo2,GLOW,hard,main,メインクエスト,quest_main_glo2_hard_8,8.リミックスクエスト Vol.2,01,hard_glo2_00001,stage_icon_glo2_hard_01,,
glo2,GLOW,hard,main,メインクエスト,quest_main_glo2_hard_8,8.リミックスクエスト Vol.2,02,hard_glo2_00002,stage_icon_glo2_hard_02,,
glo2,GLOW,hard,main,メインクエスト,quest_main_glo2_hard_8,8.リミックスクエスト Vol.2,03,hard_glo2_00003,stage_icon_glo2_hard_03,,
glo2,GLOW,hard,main,メインクエスト,quest_main_glo2_hard_8,8.リミックスクエスト Vol.2,04,hard_glo2_00004,stage_icon_glo2_hard_04,,
glo2,GLOW,hard,main,メインクエスト,quest_main_glo2_hard_8,8.リミックスクエスト Vol.2,05,hard_glo2_00005,stage_icon_glo2_hard_05,,
glo2,GLOW,hard,main,メインクエスト,quest_main_glo2_hard_8,8.リミックスクエスト Vol.2,06,hard_glo2_00006,stage_icon_glo2_hard_06,,
,,,,,,,,,,,
chi,チェンソーマン,hard,main,メインクエスト,quest_main_chi_hard_9,9.チェンソーマン,01,hard_chi_00001,stage_icon_chi_hard_01,,
chi,チェンソーマン,hard,main,メインクエスト,quest_main_chi_hard_9,9.チェンソーマン,02,hard_chi_00002,stage_icon_chi_hard_02,,
chi,チェンソーマン,hard,main,メインクエスト,quest_main_chi_hard_9,9.チェンソーマン,03,hard_chi_00003,stage_icon_chi_hard_03,,
chi,チェンソーマン,hard,main,メインクエスト,quest_main_chi_hard_9,9.チェンソーマン,04,hard_chi_00004,stage_icon_chi_hard_04,,
chi,チェンソーマン,hard,main,メインクエスト,quest_main_chi_hard_9,9.チェンソーマン,05,hard_chi_00005,stage_icon_chi_hard_05,,
chi,チェンソーマン,hard,main,メインクエスト,quest_main_chi_hard_9,9.チェンソーマン,06,hard_chi_00006,stage_icon_chi_hard_06,,
,,,,,,,,,,,
sur,魔都精兵のスレイブ,hard,main,メインクエスト,quest_main_sur_hard_10,10.魔都精兵のスレイブ,01,hard_sur_00001,stage_icon_sur_hard_01,,
sur,魔都精兵のスレイブ,hard,main,メインクエスト,quest_main_sur_hard_10,10.魔都精兵のスレイブ,02,hard_sur_00002,stage_icon_sur_hard_02,,
sur,魔都精兵のスレイブ,hard,main,メインクエスト,quest_main_sur_hard_10,10.魔都精兵のスレイブ,03,hard_sur_00003,stage_icon_sur_hard_03,,
sur,魔都精兵のスレイブ,hard,main,メインクエスト,quest_main_sur_hard_10,10.魔都精兵のスレイブ,04,hard_sur_00004,stage_icon_sur_hard_04,,
sur,魔都精兵のスレイブ,hard,main,メインクエスト,quest_main_sur_hard_10,10.魔都精兵のスレイブ,05,hard_sur_00005,stage_icon_sur_hard_05,,
sur,魔都精兵のスレイブ,hard,main,メインクエスト,quest_main_sur_hard_10,10.魔都精兵のスレイブ,06,hard_sur_00006,stage_icon_sur_hard_06,,
,,,,,,,,,,,
rik,トマトイプーのリコピン,hard,main,メインクエスト,quest_main_rik_hard_11,11.トマトイプーのリコピン,01,hard_rik_00001,stage_icon_rik_hard_01,,
rik,トマトイプーのリコピン,hard,main,メインクエスト,quest_main_rik_hard_11,11.トマトイプーのリコピン,02,hard_rik_00002,stage_icon_rik_hard_02,,
rik,トマトイプーのリコピン,hard,main,メインクエスト,quest_main_rik_hard_11,11.トマトイプーのリコピン,03,hard_rik_00003,stage_icon_rik_hard_03,,
,,,,,,,,,,,
glo3,GLOW,hard,main,メインクエスト,quest_main_glo3_hard_12,12.リミックスクエスト Vol.3,01,hard_glo3_00001,stage_icon_glo3_hard_01,,
glo3,GLOW,hard,main,メインクエスト,quest_main_glo3_hard_12,12.リミックスクエスト Vol.3,02,hard_glo3_00002,stage_icon_glo3_hard_02,,
glo3,GLOW,hard,main,メインクエスト,quest_main_glo3_hard_12,12.リミックスクエスト Vol.3,03,hard_glo3_00003,stage_icon_glo3_hard_03,,
glo3,GLOW,hard,main,メインクエスト,quest_main_glo3_hard_12,12.リミックスクエスト Vol.3,04,hard_glo3_00004,stage_icon_glo3_hard_04,,
glo3,GLOW,hard,main,メインクエスト,quest_main_glo3_hard_12,12.リミックスクエスト Vol.3,05,hard_glo3_00005,stage_icon_glo3_hard_05,,
glo3,GLOW,hard,main,メインクエスト,quest_main_glo3_hard_12,12.リミックスクエスト Vol.3,06,hard_glo3_00006,stage_icon_glo3_hard_06,,
,,,,,,,,,,,
mag,株式会社マジルミエ,hard,main,メインクエスト,quest_main_mag_hard_13,13.株式会社マジルミエ,01,hard_mag_00001,stage_icon_mag_hard_01,,
mag,株式会社マジルミエ,hard,main,メインクエスト,quest_main_mag_hard_13,13.株式会社マジルミエ,02,hard_mag_00002,stage_icon_mag_hard_02,,
mag,株式会社マジルミエ,hard,main,メインクエスト,quest_main_mag_hard_13,13.株式会社マジルミエ,03,hard_mag_00003,stage_icon_mag_hard_03,,
mag,株式会社マジルミエ,hard,main,メインクエスト,quest_main_mag_hard_13,13.株式会社マジルミエ,04,hard_mag_00004,stage_icon_mag_hard_04,,
mag,株式会社マジルミエ,hard,main,メインクエスト,quest_main_mag_hard_13,13.株式会社マジルミエ,05,hard_mag_00005,stage_icon_mag_hard_05,,
mag,株式会社マジルミエ,hard,main,メインクエスト,quest_main_mag_hard_13,13.株式会社マジルミエ,06,hard_mag_00006,stage_icon_mag_hard_06,,
,,,,,,,,,,,
sum,サマータイムレンダ,hard,main,メインクエスト,quest_main_sum_hard_14,14.サマータイムレンダ,01,hard_sum_00001,stage_icon_sum_hard_01,,
sum,サマータイムレンダ,hard,main,メインクエスト,quest_main_sum_hard_14,14.サマータイムレンダ,02,hard_sum_00002,stage_icon_sum_hard_02,,
sum,サマータイムレンダ,hard,main,メインクエスト,quest_main_sum_hard_14,14.サマータイムレンダ,03,hard_sum_00003,stage_icon_sum_hard_03,,
