memo
TABLE,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward
e,advent_battle_kim_reward_0028,advent_battle_kim_rank_reward_09,Item,item_glo_00002,1,1
e,advent_battle_kim_reward_0029,advent_battle_kim_rank_reward_10,FreeDiamond,,30,1
e,advent_battle_kim_reward_0030,advent_battle_kim_rank_reward_10,Coin,,3000,1
e,advent_battle_kim_reward_0031,advent_battle_kim_rank_reward_10,Item,item_glo_00001,2,1
e,advent_battle_kim_reward_0032,advent_battle_kim_rank_reward_10,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0033,advent_battle_kim_rank_reward_11,FreeDiamond,,30,1
e,advent_battle_kim_reward_0034,advent_battle_kim_rank_reward_11,Coin,,3000,1
e,advent_battle_kim_reward_0035,advent_battle_kim_rank_reward_11,Item,item_glo_00001,2,1
e,advent_battle_kim_reward_0036,advent_battle_kim_rank_reward_11,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0037,advent_battle_kim_rank_reward_12,FreeDiamond,,30,1
e,advent_battle_kim_reward_0038,advent_battle_kim_rank_reward_12,Coin,,3000,1
e,advent_battle_kim_reward_0039,advent_battle_kim_rank_reward_12,Item,item_glo_00001,2,1
e,advent_battle_kim_reward_0040,advent_battle_kim_rank_reward_12,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0041,advent_battle_kim_rank_reward_13,FreeDiamond,,40,1
e,advent_battle_kim_reward_0042,advent_battle_kim_rank_reward_13,Coin,,4000,1
e,advent_battle_kim_reward_0043,advent_battle_kim_rank_reward_13,Item,item_glo_00001,3,1
e,advent_battle_kim_reward_0044,advent_battle_kim_rank_reward_13,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0045,advent_battle_kim_rank_reward_14,FreeDiamond,,40,1
e,advent_battle_kim_reward_0046,advent_battle_kim_rank_reward_14,Coin,,4000,1
e,advent_battle_kim_reward_0047,advent_battle_kim_rank_reward_14,Item,item_glo_00001,3,1
e,advent_battle_kim_reward_0048,advent_battle_kim_rank_reward_14,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0049,advent_battle_kim_rank_reward_15,FreeDiamond,,40,1
e,advent_battle_kim_reward_0050,advent_battle_kim_rank_reward_15,Coin,,4000,1
e,advent_battle_kim_reward_0051,advent_battle_kim_rank_reward_15,Item,item_glo_00001,3,1
e,advent_battle_kim_reward_0052,advent_battle_kim_rank_reward_15,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0053,advent_battle_kim_rank_reward_16,FreeDiamond,,40,1
e,advent_battle_kim_reward_0054,advent_battle_kim_rank_reward_16,Coin,,4000,1
e,advent_battle_kim_reward_0055,advent_battle_kim_rank_reward_16,Item,item_glo_00001,3,1
e,advent_battle_kim_reward_0056,advent_battle_kim_rank_reward_16,Item,item_glo_00002,2,1
e,advent_battle_kim_reward_0057,advent_battle_kim_rank_reward_16,Item,item_glo_00004,1,1
e,advent_battle_kim_reward_0058,advent_battle_kim_score_reward_01,FreeDiamond,,20,1
e,advent_battle_kim_reward_0059,advent_battle_kim_score_reward_02,Coin,,1500,1
e,advent_battle_kim_reward_0060,advent_battle_kim_score_reward_03,FreeDiamond,,30,1
e,advent_battle_kim_reward_0061,advent_battle_kim_score_reward_04,Coin,,3000,1
e,advent_battle_kim_reward_0062,advent_battle_kim_score_reward_05,FreeDiamond,,50,1
e,advent_battle_kim_reward_0063,advent_battle_kim_score_reward_06,Coin,,4500,1
e,advent_battle_kim_reward_0064,advent_battle_kim_score_reward_07,FreeDiamond,,50,1
e,advent_battle_kim_reward_0065,advent_battle_kim_score_reward_08,Coin,,6000,1
e,advent_battle_kim_reward_0066,advent_battle_kim_score_reward_09,FreeDiamond,,100,1
e,advent_battle_kim_reward_0067,advent_battle_kim_score_reward_10,Item,item_glo_00004,1,1
e,advent_battle_kim_reward_0068,advent_battle_kim_score_reward_11,Item,ticket_glo_00001,1,1
