　作品ID,作品名,立ち絵png_ID,キャラ名（仮）,キャラ名（監修FIX）,valid_start_date,valid_end_date,デプロイ,補足
aha,阿波連さんははかれない,unit_stand_image_aha_00001,ライドウ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aha,阿波連さんははかれない,unit_stand_image_aha_00101,阿波連 れいな,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
tak,タコピーの原罪,unit_stand_image_tak_00001,タコピー,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,unit_stand_image_jig_00001,画眉丸,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,unit_stand_image_jig_00101,山田浅ェ門 佐切,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
mag,株式会社マジルミエ,unit_stand_image_mag_00001,桜木 カナ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
mag,株式会社マジルミエ,unit_stand_image_mag_00101,越谷 仁美,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dos,道産子ギャルはなまらめんこい,unit_stand_image_dos_00001,冬木 美波,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dos,道産子ギャルはなまらめんこい,unit_stand_image_dos_00101,秋野 沙友理,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,unit_stand_image_sum_00001,網代 慎平,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,unit_stand_image_sum_00101,小舟 潮,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,unit_stand_image_sum_00201,小舟 澪,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
