　作品ID,作品名,強敵（BOSS）専用アイコン_ID（無属性）,強敵（BOSS）専用アイコン_ID（赤属性）,強敵（BOSS）専用アイコン_ID（青属性）,強敵（BOSS）専用アイコン_ID（緑属性）,強敵（BOSS）専用アイコン_ID（黄属性）,キャラ名（仮）,キャラ名（監修FIX）,レアリティ,キャラ立ち位置,ロール,valid_start_date,valid_end_date,デプロイ,補足
spy,SPY×FAMILY,boss_icon_enemy_spy_00005,red_boss_icon_enemy_spy_00005,blue_boss_icon_enemy_spy_00005,green_boss_icon_enemy_spy_00005,yellow_boss_icon_enemy_spy_00005,学生テロリストたち,,,敵キャラonly ,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_enemy_spy_00006,red_boss_icon_enemy_spy_00006,blue_boss_icon_enemy_spy_00006,green_boss_icon_enemy_spy_00006,yellow_boss_icon_enemy_spy_00006,爆弾犬,,,敵キャラonly ,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aka,ラーメン赤猫,boss_icon_chara_aka_00001,red_boss_icon_chara_aka_00001,blue_boss_icon_chara_aka_00001,green_boss_icon_chara_aka_00001,yellow_boss_icon_chara_aka_00001,佐々木,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aka,ラーメン赤猫,boss_icon_chara_aka_00101,red_boss_icon_chara_aka_00101,blue_boss_icon_chara_aka_00101,green_boss_icon_chara_aka_00101,yellow_boss_icon_chara_aka_00101,文蔵,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,boss_icon_chara_rik_00001,red_boss_icon_chara_rik_00001,blue_boss_icon_chara_rik_00001,green_boss_icon_chara_rik_00001,yellow_boss_icon_chara_rik_00001,リコピン,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,boss_icon_chara_rik_00101,red_boss_icon_chara_rik_00101,blue_boss_icon_chara_rik_00101,green_boss_icon_chara_rik_00101,yellow_boss_icon_chara_rik_00101,甘戸 めめ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,boss_icon_chara_rik_00201,red_boss_icon_chara_rik_00201,blue_boss_icon_chara_rik_00201,green_boss_icon_chara_rik_00201,yellow_boss_icon_chara_rik_00201,チアミン,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,boss_icon_chara_dan_00001,red_boss_icon_chara_dan_00001,blue_boss_icon_chara_dan_00001,green_boss_icon_chara_dan_00001,yellow_boss_icon_chara_dan_00001,"オカルン
（制服着用）",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,boss_icon_chara_dan_00002,red_boss_icon_chara_dan_00002,blue_boss_icon_chara_dan_00002,green_boss_icon_chara_dan_00002,yellow_boss_icon_chara_dan_00002,"オカルン（高倉 健）
（ターボババア憑依状態）",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,boss_icon_chara_dan_00101,red_boss_icon_chara_dan_00101,blue_boss_icon_chara_dan_00101,green_boss_icon_chara_dan_00101,yellow_boss_icon_chara_dan_00101,綾瀬桃,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,boss_icon_chara_dan_00201,red_boss_icon_chara_dan_00201,blue_boss_icon_chara_dan_00201,green_boss_icon_chara_dan_00201,yellow_boss_icon_chara_dan_00201,白鳥 愛羅,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,boss_icon_enemy_dan_00001,red_boss_icon_enemy_dan_00001,blue_boss_icon_enemy_dan_00001,green_boss_icon_enemy_dan_00001,yellow_boss_icon_enemy_dan_00001,"セルポ星人
桃が最初に出会った宇宙人",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,boss_icon_enemy_dan_00002,red_boss_icon_enemy_dan_00002,blue_boss_icon_enemy_dan_00002,green_boss_icon_enemy_dan_00002,yellow_boss_icon_enemy_dan_00002,ターボババァ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,boss_icon_chara_gom_00001,red_boss_icon_chara_gom_00001,blue_boss_icon_chara_gom_00001,green_boss_icon_chara_gom_00001,yellow_boss_icon_chara_gom_00001,姫（奴隷服）,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,boss_icon_chara_gom_00101,red_boss_icon_chara_gom_00101,blue_boss_icon_chara_gom_00101,green_boss_icon_chara_gom_00101,yellow_boss_icon_chara_gom_00101,トーチャー・トルチュール,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,boss_icon_enemy_gom_00001,red_boss_icon_enemy_gom_00001,blue_boss_icon_enemy_gom_00001,green_boss_icon_enemy_gom_00001,yellow_boss_icon_enemy_gom_00001,"カナッジ
魔王側近。",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,boss_icon_enemy_gom_00002,red_boss_icon_enemy_gom_00002,blue_boss_icon_enemy_gom_00002,green_boss_icon_enemy_gom_00002,yellow_boss_icon_enemy_gom_00002,魔王ゴッドサンダー,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,boss_icon_chara_chi_00001,red_boss_icon_chara_chi_00001,blue_boss_icon_chara_chi_00001,green_boss_icon_chara_chi_00001,yellow_boss_icon_chara_chi_00001,デンジ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,boss_icon_chara_chi_00002,red_boss_icon_chara_chi_00002,blue_boss_icon_chara_chi_00002,green_boss_icon_chara_chi_00002,yellow_boss_icon_chara_chi_00002,"デンジ
（チェンソーマン）",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,boss_icon_chara_chi_00101,red_boss_icon_chara_chi_00101,blue_boss_icon_chara_chi_00101,green_boss_icon_chara_chi_00101,yellow_boss_icon_chara_chi_00101,ポチタ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,boss_icon_enemy_chi_00001,red_boss_icon_enemy_chi_00001,blue_boss_icon_enemy_chi_00001,green_boss_icon_enemy_chi_00001,yellow_boss_icon_enemy_chi_00001,ゾンビの悪魔,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,boss_icon_enemy_chi_00002,red_boss_icon_enemy_chi_00002,blue_boss_icon_enemy_chi_00002,green_boss_icon_enemy_chi_00002,yellow_boss_icon_enemy_chi_00002,ゾンビ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
bat,忘却バッテリー,boss_icon_chara_bat_00001,red_boss_icon_chara_bat_00001,blue_boss_icon_chara_bat_00001,green_boss_icon_chara_bat_00001,yellow_boss_icon_chara_bat_00001,清峰 葉流火,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
bat,忘却バッテリー,boss_icon_chara_bat_00101,red_boss_icon_chara_bat_00101,blue_boss_icon_chara_bat_00101,green_boss_icon_chara_bat_00101,yellow_boss_icon_chara_bat_00101,要 圭,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_chara_kai_00001,red_boss_icon_chara_kai_00001,blue_boss_icon_chara_kai_00001,green_boss_icon_chara_kai_00001,yellow_boss_icon_chara_kai_00001,"日比野 カフカ
通常の戦闘スーツver",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_chara_kai_00002,red_boss_icon_chara_kai_00002,blue_boss_icon_chara_kai_00002,green_boss_icon_chara_kai_00002,yellow_boss_icon_chara_kai_00002,"日比野 カフカ
怪獣8号ver",,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_chara_kai_00101,red_boss_icon_chara_kai_00101,blue_boss_icon_chara_kai_00101,green_boss_icon_chara_kai_00101,yellow_boss_icon_chara_kai_00101,市川 レノ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_chara_kai_00201,red_boss_icon_chara_kai_00201,blue_boss_icon_chara_kai_00201,green_boss_icon_chara_kai_00201,yellow_boss_icon_chara_kai_00201,亜白 ミナ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_chara_kai_00301,red_boss_icon_chara_kai_00301,blue_boss_icon_chara_kai_00301,green_boss_icon_chara_kai_00301,yellow_boss_icon_chara_kai_00301,四ノ宮 キコル,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_enemy_kai_00001,red_boss_icon_enemy_kai_00001,blue_boss_icon_enemy_kai_00001,green_boss_icon_enemy_kai_00001,yellow_boss_icon_enemy_kai_00001,怪獣（エイリアン系）本獣,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_enemy_kai_00002,red_boss_icon_enemy_kai_00002,blue_boss_icon_enemy_kai_00002,green_boss_icon_enemy_kai_00002,yellow_boss_icon_enemy_kai_00002,怪獣（エイリアン系）小さい,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,boss_icon_enemy_kai_00003,red_boss_icon_enemy_kai_00003,blue_boss_icon_enemy_kai_00003,green_boss_icon_enemy_kai_00003,yellow_boss_icon_enemy_kai_00003,怪獣9号,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,boss_icon_chara_yuw_00001,red_boss_icon_chara_yuw_00001,blue_boss_icon_chara_yuw_00001,green_boss_icon_chara_yuw_00001,yellow_boss_icon_chara_yuw_00001,奥村 正宗,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,boss_icon_chara_yuw_00101,red_boss_icon_chara_yuw_00101,blue_boss_icon_chara_yuw_00101,green_boss_icon_chara_yuw_00101,yellow_boss_icon_chara_yuw_00101,天乃 リリサ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,boss_icon_chara_yuw_00201,red_boss_icon_chara_yuw_00201,blue_boss_icon_chara_yuw_00201,green_boss_icon_chara_yuw_00201,yellow_boss_icon_chara_yuw_00201,橘 美花莉,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_chara_sur_00001,red_boss_icon_chara_sur_00001,blue_boss_icon_chara_sur_00001,green_boss_icon_chara_sur_00001,yellow_boss_icon_chara_sur_00001,和倉 優希,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_chara_sur_00101,red_boss_icon_chara_sur_00101,blue_boss_icon_chara_sur_00101,green_boss_icon_chara_sur_00101,yellow_boss_icon_chara_sur_00101,羽前 京香,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_chara_sur_00201,red_boss_icon_chara_sur_00201,blue_boss_icon_chara_sur_00201,green_boss_icon_chara_sur_00201,yellow_boss_icon_chara_sur_00201,東 日万凛,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_chara_sur_00301,red_boss_icon_chara_sur_00301,blue_boss_icon_chara_sur_00301,green_boss_icon_chara_sur_00301,yellow_boss_icon_chara_sur_00301,駿河 朱々,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_chara_sur_00401,red_boss_icon_chara_sur_00401,blue_boss_icon_chara_sur_00401,green_boss_icon_chara_sur_00401,yellow_boss_icon_chara_sur_00401,大川村 寧,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_enemy_sur_00001,red_boss_icon_enemy_sur_00001,blue_boss_icon_enemy_sur_00001,green_boss_icon_enemy_sur_00001,yellow_boss_icon_enemy_sur_00001,和倉 青羽,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,boss_icon_enemy_sur_00002,red_boss_icon_enemy_sur_00002,blue_boss_icon_enemy_sur_00002,green_boss_icon_enemy_sur_00002,yellow_boss_icon_enemy_sur_00002,醜鬼,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
ron,鴨乃橋ロンの禁断推理,boss_icon_chara_ron_00001,red_boss_icon_chara_ron_00001,blue_boss_icon_chara_ron_00001,green_boss_icon_chara_ron_00001,yellow_boss_icon_chara_ron_00001,鴨乃橋 ロン,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
ron,鴨乃橋ロンの禁断推理,boss_icon_chara_ron_00101,red_boss_icon_chara_ron_00101,blue_boss_icon_chara_ron_00101,green_boss_icon_chara_ron_00101,yellow_boss_icon_chara_ron_00101,一色 都々丸,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aha,阿波連さんははかれない,boss_icon_chara_aha_00001,red_boss_icon_chara_aha_00001,blue_boss_icon_chara_aha_00001,green_boss_icon_chara_aha_00001,yellow_boss_icon_chara_aha_00001,ライドウ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aha,阿波連さんははかれない,boss_icon_chara_aha_00101,red_boss_icon_chara_aha_00101,blue_boss_icon_chara_aha_00101,green_boss_icon_chara_aha_00101,yellow_boss_icon_chara_aha_00101,阿波連 れいな,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
tak,タコピーの原罪,boss_icon_chara_tak_00001,red_boss_icon_chara_tak_00001,blue_boss_icon_chara_tak_00001,green_boss_icon_chara_tak_00001,yellow_boss_icon_chara_tak_00001,タコピー,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,boss_icon_chara_jig_00001,red_boss_icon_chara_jig_00001,blue_boss_icon_chara_jig_00001,green_boss_icon_chara_jig_00001,yellow_boss_icon_chara_jig_00001,画眉丸,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,boss_icon_chara_jig_00101,red_boss_icon_chara_jig_00101,blue_boss_icon_chara_jig_00101,green_boss_icon_chara_jig_00101,yellow_boss_icon_chara_jig_00101,山田浅ェ門 佐切,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,boss_icon_enemy_jig_00001,red_boss_icon_enemy_jig_00001,blue_boss_icon_enemy_jig_00001,green_boss_icon_enemy_jig_00001,yellow_boss_icon_enemy_jig_00001,門神,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,boss_icon_enemy_jig_00002,red_boss_icon_enemy_jig_00002,blue_boss_icon_enemy_jig_00002,green_boss_icon_enemy_jig_00002,yellow_boss_icon_enemy_jig_00002,そう神（A）,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,boss_icon_enemy_jig_00003,red_boss_icon_enemy_jig_00003,blue_boss_icon_enemy_jig_00003,green_boss_icon_enemy_jig_00003,yellow_boss_icon_enemy_jig_00003,そう神（B）,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,boss_icon_enemy_jig_00004,red_boss_icon_enemy_jig_00004,blue_boss_icon_enemy_jig_00004,green_boss_icon_enemy_jig_00004,yellow_boss_icon_enemy_jig_00004,そう神（C）,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
mag,株式会社マジルミエ,boss_icon_chara_mag_00001,red_boss_icon_chara_mag_00001,blue_boss_icon_chara_mag_00001,green_boss_icon_chara_mag_00001,yellow_boss_icon_chara_mag_00001,桜木 カナ,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
mag,株式会社マジルミエ,boss_icon_chara_mag_00101,red_boss_icon_chara_mag_00101,blue_boss_icon_chara_mag_00101,green_boss_icon_chara_mag_00101,yellow_boss_icon_chara_mag_00101,越谷 仁美,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dos,道産子ギャルはなまらめんこい,boss_icon_chara_dos_00001,red_boss_icon_chara_dos_00001,blue_boss_icon_chara_dos_00001,green_boss_icon_chara_dos_00001,yellow_boss_icon_chara_dos_00001,冬木 美波,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dos,道産子ギャルはなまらめんこい,boss_icon_chara_dos_00101,red_boss_icon_chara_dos_00101,blue_boss_icon_chara_dos_00101,green_boss_icon_chara_dos_00101,yellow_boss_icon_chara_dos_00101,秋野 沙友理,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,boss_icon_chara_sum_00001,red_boss_icon_chara_sum_00001,blue_boss_icon_chara_sum_00001,green_boss_icon_chara_sum_00001,yellow_boss_icon_chara_sum_00001,網代 慎平,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,boss_icon_chara_sum_00101,red_boss_icon_chara_sum_00101,blue_boss_icon_chara_sum_00101,green_boss_icon_chara_sum_00101,yellow_boss_icon_chara_sum_00101,小舟 潮,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,boss_icon_chara_sum_00201,red_boss_icon_chara_sum_00201,blue_boss_icon_chara_sum_00201,green_boss_icon_chara_sum_00201,yellow_boss_icon_chara_sum_00201,小舟 澪,,,,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
