作品_ID,作品名,接頭語（カテゴリー）,アイテム_ID,assetKey,drop_ID,アイテム名,レアリティ,最大所持数,フレーバーテキスト,アイテム備考,start_date,リリースキー
spy,SPY×FAMILY,artwork_event,artwork_event_spy_0001,artwork_event_spy_0001,,うそつきのちち,-,1,2人の家への帰り路、娘を守るために奮闘した父はすごくかっこいい！		,イベントクエスト,2025-10-06 0:00:00,202510010
spy,SPY×FAMILY,artwork_event,artwork_event_spy_0002,artwork_event_spy_0002,,オトナの余裕,-,1,ちょっとした意地悪くらいなら笑って流せるのがカッコイイお姉さん。,イベントクエスト,2025-10-06 0:00:00,202510010
dan,ダンダダン,artwork_event,artwork_event_dan_0001,artwork_event_dan_0001,,逃げろ!!,-,1,"招き猫の中に乗り移ってしまったターボババア。
とにかく逃げろ!!",イベントクエスト,2025-10-22 15:00:00,202510020
dan,ダンダダン,artwork_event,artwork_event_dan_0002,artwork_event_dan_0002,,お⺟さん 愛してる,-,1,"アイラに炎(オーラ)を託して消えゆくアクロバティックさらさら。
宇宙で⼀番幸せだった記憶は絶対に消えない。",イベントクエスト,2025-10-22 15:00:00,202510020
mag,株式会社マジルミエ,artwork_event,artwork_event_mag_0001,artwork_event_mag_0001,,上司です,-,1,"株式会社マジルミエの社長を務める重本 浩司は魔法少女に魂を捧げており、その覚悟は私生活にも表れている。
日々、衣装の手入れやスキンケアを欠かすことなく、自身が思い描く理想の魔法少女像を追い求めている。",イベントクエスト,2025-11-06 15:00:00,202511010
mag,株式会社マジルミエ,artwork_event,artwork_event_mag_0002,artwork_event_mag_0002,,一人とチーム,-,1,これまでは一人で考え、選択し、責任を負う仕事をしてきた槇野 あかね。マジルミエで桜木 カナや越谷 仁美、そしてエンジニアと共に業務をこなす中で、「チームで仕事をすること」を身につけ、連携し対応できるようになった。,イベントクエスト,2025-11-06 15:00:00,202511010
yuw,2.5次元の誘惑,artwork_event,artwork_event_yuw_0001,artwork_event_yuw_0001,, 負けられないのよっ!!!,-,1,コスプレの神様がいるのなら、自分の力で振り向かせる！誰にも負けないくらいコスプレを楽しんでやるんだから！		,イベントクエスト,2025-11-25 15:00:00,202511020
yuw,2.5次元の誘惑,artwork_event,artwork_event_yuw_0002,artwork_event_yuw_0002,,私たちは本気だ,-,1,隣を見れば仲間がいる、恋焦がれた漫画の次元を全力で作っている 幸せです…,イベントクエスト,2025-11-25 15:00:00,202511020
sur,魔都精兵のスレイブ,artwork_event,artwork_event_sur_0001,artwork_event_sur_0001,,六番組長の出雲 天花です,-,1,初めて会う未来のお義姉さんへ、心よりご挨拶を。,イベントクエスト,,202512010
sur,魔都精兵のスレイブ,artwork_event,artwork_event_sur_0002,artwork_event_sur_0002,,お前の姉じゃない,-,1,魔防隊は敵。協力するつもりは無い。そのうえ「お義姉さん」などと勝手に呼ぶ女など、しばき倒す他にない。,イベントクエスト,,202512010
osh,【推しの子】,artwork_event,artwork_event_osh_0001,artwork_event_osh_0001,,絶対ママみたいになるんだ！,-,1,幼い頃から夢に見た、アイというアイドルの輝きを追って。厳しさや辛さも覚悟のうえ。ついに、芸能界へ一歩踏み出す。,イベントクエスト,2026-01-01 0:00:00,202512020
osh,【推しの子】,artwork_event,artwork_event_osh_0002,artwork_event_osh_0002,,覆面筋トレ系ユーチューバー,-,1,苺プロダクションの稼ぎ頭！大先輩の背中はデカい…,イベントクエスト,2026-01-01 0:00:00,202512020
jig,地獄楽,artwork_event,artwork_event_jig_0001,artwork_event_jig_0001,,必ず生きて帰る,-,1,"死罪となった""がらんの画眉丸""は、死を目前に妻の言葉を思い出す。
「人の心は、そんなに簡単に死なないわ」。里に残した妻がかけてくれた言葉だ。
妻との「普通の暮らし」を手に入れるため、画眉丸は謎多き島・神仙郷へ向かう。
そして心に強く誓う「必ず生きて帰る」と。",イベントクエスト,2026-01-16 15:00:00,202601010
jig,地獄楽,artwork_event,artwork_event_jig_0002,artwork_event_jig_0002,,兄は弟の道標だ！！,-,1,"立場こそ死罪人と首切り役人だが、亜左 弔兵衛と山田浅ェ門 桐馬は、紛れもなく兄弟である。
二人は、壮絶な幼少期を生き抜いてきた。
親を失い路頭に迷う日々に、泣きじゃくる弟へ兄は言った。
「何が正しいかわからねぇなら、オレだけを信じろ！」
その言葉が示すように、二人の絆は成長した今も昔も変わらない。
兄は弟を導き、弟は兄を信じ続けている。",イベントクエスト,2026-01-16 15:00:00,202601010
you,幼稚園WARS,artwork_event,artwork_event_you_0001,artwork_event_you_0001,,これで貸しはチャラだ,-,1,"攫われたダグを助けにきたリタ。
殺し屋たちがブラック幼稚園に向かわないように
全員やっつける！",イベントクエスト,2026-02-02 15:00:00,202602010
you,幼稚園WARS,artwork_event,artwork_event_you_0002,artwork_event_you_0002,,兄と妹,-,1,"世界で一番大切な人。
お互いに罪を償って、また再会しよう。",イベントクエスト,2026-02-02 15:00:00,202602010
kim,君のことが大大大大大好きな100人の彼女,artwork_event,artwork_event_kim_0001,artwork_event_kim_0001,,キスゾンビ,-,1,彼女たちがキスを求めるキスゾンビに！愛の力でキスバイオハザードを生き残れ！,イベントクエスト,2026-02-16 15:00:00,202602020
kim,君のことが大大大大大好きな100人の彼女,artwork_event,artwork_event_kim_0002,artwork_event_kim_0002,,運命の出会い,-,1,"一目見た瞬間、全身に走った衝撃。この二人が愛城 恋太郎の""運命の人""…!?",イベントクエスト,2026-02-16 15:00:00,202602020
hut,ふつうの軽音部,artwork_event,artwork_event_hut_0001,artwork_event_hut_0001,,もっと自由にわがままに,-,1,そもそもの実力以前にまだ私は歌うときに恥じらいを残してたんじゃないか？もっと自由にわがままに歌ってもいいんじゃないか？もっと傍若無人に!!もっと厚顔無恥に!!,イベントクエスト,2026-03-02 15:00:00,
hut,ふつうの軽音部,artwork_event,artwork_event_hut_0002,artwork_event_hut_0002,,はーとぶれいく,-,1,私が組みたいバンドは、みんな仲良しのバンドよりかっこいいバンド。はーとぶれいく…私たち4人ははーとぶれいく……,イベントクエスト,2026-03-02 15:00:00,
aya,あやかしトライアングル,artwork_event,artwork_event_aya_0001,artwork_event_aya_0001,,オモカゲ,-,1,,イベントクエスト,2026-04-17 15:00:00,
aya,あやかしトライアングル,artwork_event,artwork_event_aya_0002,artwork_event_aya_0002,,覚醒の兆し,-,1,,イベントクエスト,2026-04-17 15:00:00,
ara,アラガネの子,artwork_event,artwork_event_ara_0001,artwork_event_ara_0001,,俺を‼︎あんたの弟子にしてくれ！,-,1,,イベントクエスト(ハーフアニバ前半),,
hyp,ハイパーインフレーション,artwork_event,artwork_event_hyp_0001,artwork_event_hyp_0001,,超精巧なコピーを出せる「力」,-,1,,イベントクエスト(ハーフアニバ前半),,
sur,魔都精兵のスレイブ,artwork_event,artwork_event_sur_0003,artwork_event_sur_0003,,組長集結,-,1,,イベントクエスト(ハーフアニバ前半),,
gam,ゲーミングお嬢様,artwork_event,artwork_event_gam_0001,artwork_event_gam_0001,,DOWNLOADEAD,-,1,,イベントクエスト(ハーフアニバ前半),,
gom,姫様“拷問”の時間です,artwork_event,artwork_event_gom_0001,artwork_event_gom_0001,,ラーメンを深夜に食う悪行…,-,1,,イベントクエスト(ハーフアニバ後半),,
osh,【推しの子】,artwork_event,artwork_event_osh_0003,artwork_event_osh_0003,,だって君はどうしようもないほどアイドルで,-,1,,イベントクエスト(ハーフアニバ後半),,
kai,怪獣８号,artwork_event,artwork_event_kai_0003,artwork_event_kai_0003,,日本防衛隊第1部隊＆第3部隊,-,1,,イベントクエスト(ハーフアニバ後半),,
mar,マリッジトキシン,artwork_event,artwork_event_mar_0001,artwork_event_mar_0001,,初めての相手,-,1,,イベントクエスト,,
mar,マリッジトキシン,artwork_event,artwork_event_mar_0002,artwork_event_mar_0002,,運命にド感謝,-,1,,イベントクエスト,,
,error,artwork_event,artwork_event__0000,artwork_event__0000,,,,,,,,
,,,,,,,,,,,,
原画のかけらID　※アイテムIDは100番台→ノーマル、200番台→ハード、300番台→ベリーハード、400番台→イベントとしておく（α3）,,,,,,,,,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00101,,spy_a_0001,秘密の家族のかけら1,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00102,,spy_a_0001,秘密の家族のかけら2,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00103,,spy_a_0002,秘密の家族のかけら3,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00104,,spy_a_0002,秘密の家族のかけら4,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00105,,spy_a_0003,秘密の家族のかけら5,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00106,,spy_a_0003,秘密の家族のかけら6,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00107,,spy_a_0004,秘密の家族のかけら7,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00108,,spy_a_0004,秘密の家族のかけら8,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00109,,spy_a_0005,秘密の家族のかけら9,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00110,,spy_a_0005,秘密の家族のかけら10,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00111,,spy_a_0006,秘密の家族のかけら11,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00112,,spy_a_0006,秘密の家族のかけら12,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00201,,spy_b_0001,素敵な家族のかけら1,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00202,,spy_b_0001,素敵な家族のかけら2,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00203,,spy_b_0002,素敵な家族のかけら3,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00204,,spy_b_0002,素敵な家族のかけら4,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00205,,spy_b_0003,素敵な家族のかけら5,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00206,,spy_b_0003,素敵な家族のかけら6,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00207,,spy_b_0004,素敵な家族のかけら7,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00208,,spy_b_0004,素敵な家族のかけら8,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00209,,spy_b_0005,素敵な家族のかけら9,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00210,,spy_b_0005,素敵な家族のかけら10,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00211,,spy_b_0006,素敵な家族のかけら11,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00212,,spy_b_0006,素敵な家族のかけら12,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00301,,spy_c_0001,明るい未来に！！のかけら1,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00302,,spy_c_0001,明るい未来に！！のかけら2,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00303,,spy_c_0002,明るい未来に！！のかけら3,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00304,,spy_c_0002,明るい未来に！！のかけら4,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00305,,spy_c_0003,明るい未来に！！のかけら5,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00306,,spy_c_0003,明るい未来に！！のかけら6,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00307,,spy_c_0004,明るい未来に！！のかけら7,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00308,,spy_c_0004,明るい未来に！！のかけら8,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00309,,spy_c_0005,明るい未来に！！のかけら9,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00310,,spy_c_0005,明るい未来に！！のかけら10,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00311,,spy_c_0006,明るい未来に！！のかけら11,N,1,,,,
spy,SPY×FAMILY,artwork_fragment,artwork_fragment_spy_00312,,spy_c_0006,明るい未来に！！のかけら12,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00101,,aka_a_0001,ラーメン赤猫101,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00102,,aka_a_0001,ラーメン赤猫102,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00103,,aka_a_0001,ラーメン赤猫103,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00104,,aka_a_0001,ラーメン赤猫104,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00105,,aka_a_0001,ラーメン赤猫105,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00106,,aka_a_0002,ラーメン赤猫106,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00107,,aka_a_0002,ラーメン赤猫107,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00108,,aka_a_0002,ラーメン赤猫108,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00109,,aka_a_0002,ラーメン赤猫109,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00110,,aka_a_0002,ラーメン赤猫110,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00111,,aka_a_0002,ラーメン赤猫111,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00112,,aka_a_0003,ラーメン赤猫112,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00113,,aka_a_0003,ラーメン赤猫113,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00114,,aka_a_0003,ラーメン赤猫114,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00115,,aka_a_0003,ラーメン赤猫115,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00116,,aka_a_0003,ラーメン赤猫116,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00201,,aka_b_0001,ラーメン赤猫201,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00202,,aka_b_0001,ラーメン赤猫202,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00203,,aka_b_0001,ラーメン赤猫203,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00204,,aka_b_0001,ラーメン赤猫204,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00205,,aka_b_0001,ラーメン赤猫205,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00206,,aka_b_0002,ラーメン赤猫206,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00207,,aka_b_0002,ラーメン赤猫207,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00208,,aka_b_0002,ラーメン赤猫208,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00209,,aka_b_0002,ラーメン赤猫209,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00210,,aka_b_0002,ラーメン赤猫210,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00211,,aka_b_0002,ラーメン赤猫211,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00212,,aka_b_0003,ラーメン赤猫212,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00213,,aka_b_0003,ラーメン赤猫213,N,1,,,,
aka,ラーメン赤猫,artwork_fragment,artwork_fragment_aka_00214,,aka_b_0003,ラーメン赤猫214,N,1,,,,
