作品_ID,作品名,接頭語（カテゴリー）,chara_id,アイテム_ID,assetKey,原画名,レアリティ,最大所持数,フレーバーテキスト,入手箇所,リリースキー,指示書関連ページURL,"カットイン原画pngファイル保存先URL
（グレード5強化で獲得できる原画）",原作ページ数,備考
chi,チェンソーマン,artwork,不要,artwork_chi_0001,artwork_chi_0001,邪魔者は全て,R,1,"デビルハンターとして雇われてるからにゃ悪魔は…
ぶっ殺さねえとなあ！
",ノーマル,202509010,,,,
chi,チェンソーマン,artwork,不要,artwork_chi_0002,artwork_chi_0002,早川 アキとの出会い,SR,1,"三年先輩のデビルハンター、早川 アキ。​
デンジを見張るためにアキの部隊に入り、​
一緒の家で暮らすことに…！",ハード,202509010,,,,
chi,チェンソーマン,artwork,不要,artwork_chi_0003,artwork_chi_0003,公安対魔特異４課,SSR,1,"公安に悪魔の駆除要請。​
公安対魔特異４課６人、全員集合！​",Ex,202509010,,,,
,,,,,,,-,1,-,,,,,,
kai,怪獣８号,artwork,不要,artwork_kai_0001,artwork_kai_0001,戦力解放！！,R,1,"怪獣襲来！
解放戦力１％になった、
今までとは違うカフカを見せてやる！",ノーマル,202509010,,,,
kai,怪獣８号,artwork,不要,artwork_kai_0002,artwork_kai_0002,取るべき行動,SR,1,"防衛隊員選別試験二次最終審査開始！
攻撃能力の低いカフカとレノの取るべき行動は…！？",ハード,202509010,,,,
kai,怪獣８号,artwork,不要,artwork_kai_0003,artwork_kai_0003,あとは俺に任せろ,SSR,1,"防衛隊入隊試験中に現れた謎の大怪獣。
他の受験者を避難させる為に足止めをするキコルの前に、
怪獣8号が現れる…！！",Ex,202509010,,,,
,,,,,,,-,,-,,,,,,
sur,魔都精兵のスレイブ,artwork,不要,artwork_sur_0001,artwork_sur_0001,お前を私の奴隷にする,R,1,"魔都に迷い込んだ和倉 優希を助けた
魔防隊七番組組長、羽前 京香は、
突然奴隷にすると言い出し…！？",ノーマル,202509010,,,,
sur,魔都精兵のスレイブ,artwork,不要,artwork_sur_0002,artwork_sur_0002,無窮の鎖,SR,1,"無窮の鎖となった優希は、
驚異的な力を発揮する！",ハード,202509010,,,,
sur,魔都精兵のスレイブ,artwork,不要,artwork_sur_0003,artwork_sur_0003,魔都精兵七番隊,SSR,1,"京香の奴隷となった優希は、
七番隊組寮の管理人となる！",Ex,202509010,,,,
,,,,,,,-,1,-,,,,,,
rik,トマトイプーのリコピン,artwork,不要,artwork_rik_0001,artwork_rik_0001,フワフワ乗り物の雲,R,1,"リコピンのパパが設計をしたフワフワ乗り物の雲！
他にも食べられる雲やインテリア雲があるぞ！",ノーマル,202509010,,,,
rik,トマトイプーのリコピン,artwork,不要,artwork_rik_0002,artwork_rik_0002,めめちゃんの世界へようこそ,SR,1,"めめちゃんの世界に来てしまったリコピン！
洗濯をしたり、不燃ごみをまとめたり…！？",ハード,202509010,,,,
rik,トマトイプーのリコピン,artwork,不要,artwork_rik_0003,artwork_rik_0003,はじめましてぼくリコピン,SSR,1,"リコピンはトマトの苗から生まれたトイプードル！
トマトイプーの3さいの男の子なんだよ！",Ex,202509010,,,,
,,,,,,,-,1,-,,,,,,
mag,株式会社マジルミエ,artwork,不要,artwork_mag_0001,artwork_mag_0001,初めての変身,R,1,"魔法少女としての初仕事！​
出動前に変身だ！",ノーマル,202509010,,,,
mag,株式会社マジルミエ,artwork,不要,artwork_mag_0002,artwork_mag_0002,業務完了！,SR,1,"面接中に現れた怪異に対応すべく現れた​
魔法少女・越谷 仁美。",ハード,202509010,,,,
mag,株式会社マジルミエ,artwork,不要,artwork_mag_0003,artwork_mag_0003,飛ばすよ！,SSR,1,"初めての仕事、初めてのホーキ、初めての魔法！
初めてでももう立派な魔法少女。",Ex,202509010,,,,
,,,,,,,-,1,-,,,,,,
sum,サマータイムレンダ,artwork,不要,artwork_sum_0001,artwork_sum_0001,言うてる場合かっ！！！,R,1,"見つからないように人混みの中を駆け抜ける
慎平と潮。",ノーマル,202509010,,,,
sum,サマータイムレンダ,artwork,不要,artwork_sum_0002,artwork_sum_0002,ちゃんと見つけてよ,SR,1,"夏祭りの人混みで潮を見かけたような気がして
向かった先の浜辺には潮の姿が…！？",ハード,202509010,,,,
sum,サマータイムレンダ,artwork,不要,artwork_sum_0003,artwork_sum_0003,言おうと思てたことあんねん,SSR,1,"
浜辺で再会した、死んだはずの幼馴染潮。
彼女は、慎平に再会できたら
言おうと思っていたことがあるという。",Ex,202509010,,,,
,,,,,,,-,,,,,,,,
glo,GLOW,artwork,不要,artwork_tutorial_0001,artwork_tutorial_0001,希望のコマ,-,1,,チュートリアル初期設定。最初から持ち物に所持。,"202509010
※チュートリアル使用",,,,
glo,GLOW,artwork,不要,artwork_glo_0002,artwork_glo_0002,ジャンプラバースファントム侵攻,-,1,侵略されたジャンプラバースの画像,エネミー専用のゲート原画,"202509010
※チュートリアル使用",,,,
,,,,,,,,,,,,,,,
osh,【推しの子】,artwork,不要,artwork_osh_0001,artwork_osh_0001,激バズ！本能のヲタ芸！,R,1,"推しへの愛が高まりすぎた双子の赤ちゃんが
ヲタ芸を打つという異常事態に思わずアイドルも個レス！",ノーマル,202512020,,,,
osh,【推しの子】,artwork,不要,artwork_osh_0002,artwork_osh_0002,やっと言えた,SR,1,この言葉は絶対 嘘じゃない,ハード,202512020,,,,
osh,【推しの子】,artwork,不要,artwork_osh_0003,artwork_osh_0003,いってきます,SSR,1,"かくして幼少期(プロローグ)は終わり
それぞれの想いを胸に、新たな物語の幕が上がる",Ex,202512020,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
原画のかけら　イベント用,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
kai,怪獣８号,artwork_event,不要,artwork_event_kai_0001,artwork_event_kai_0001,ぶち抜くから歯食いしばれ,SR,1,傷付いた仲間を想い、怪獣９号へ怒りをむき出しに。怒りを乗せたその拳で怪獣９号の討伐へ挑む。,クエスト名入力,202509010,,,,
kai,怪獣８号,artwork_event,不要,artwork_event_kai_0002,artwork_event_kai_0002,うん ずっと待ってる,SR,1,四ノ宮 功との戦いで怪獣８号に変身した日比野 カフカ。激闘の中で荒ぶる怪獣の本能に身を蝕まれ暴走するも、亜白 ミナとの約束が彼を再び人へと引き戻した。,,202509010,,,,
spy,SPY×FAMILY,artwork_event,不要,artwork_event_spy_0001,artwork_event_spy_0001,うそつきのちち,SR,1,2人の家への帰り路、娘を守るために奮闘した父はすごくかっこいい！		,,202510010,,,,
spy,SPY×FAMILY,artwork_event,不要,artwork_event_spy_0002,artwork_event_spy_0002,オトナの余裕,SR,1,ちょっとした意地悪くらいなら笑って流せるのがカッコイイお姉さん。,,202510010,,,,
dan,ダンダダン,artwork_event,不要,artwork_event_dan_0001,artwork_event_dan_0001,逃げろ!!,SR,1,"招き猫の中に乗り移ってしまったターボババア。
とにかく逃げろ!!",,202510020,,,,
dan,ダンダダン,artwork_event,不要,artwork_event_dan_0002,artwork_event_dan_0002,お⺟さん 愛してる,SR,1,"アイラに炎(オーラ)を託して消えゆくアクロバティックさらさら。
宇宙で⼀番幸せだった記憶は絶対に消えない。",,202510020,,,,
mag,株式会社マジルミエ,artwork_event,不要,artwork_event_mag_0001,artwork_event_mag_0001,上司です,SR,1,"株式会社マジルミエの社長を務める重本 浩司は魔法少女に魂を捧げており、その覚悟は私生活にも表れている。
日々、衣装の手入れやスキンケアを欠かすことなく、自身が思い描く理想の魔法少女像を追い求めている。",,202511010,,,,
mag,株式会社マジルミエ,artwork_event,不要,artwork_event_mag_0002,artwork_event_mag_0002,一人とチーム,SR,1,これまでは一人で考え、選択し、責任を負う仕事をしてきた槇野 あかね。マジルミエで桜木 カナや越谷 仁美、そしてエンジニアと共に業務をこなす中で、「チームで仕事をすること」を身につけ、連携し対応できるようになった。,,202511010,,,,
yuw,2.5次元の誘惑,artwork_event,不要,artwork_event_yuw_0001,artwork_event_yuw_0001, 負けられないのよっ!!!,SR,1,コスプレの神様がいるのなら、自分の力で振り向かせる！誰にも負けないくらいコスプレを楽しんでやるんだから！		,,202511020,,,,
yuw,2.5次元の誘惑,artwork_event,不要,artwork_event_yuw_0002,artwork_event_yuw_0002,私たちは本気だ,SR,1,隣を見れば仲間がいる、恋焦がれた漫画の次元を全力で作っている 幸せです…,,202511020,,,,
sur,魔都精兵のスレイブ,artwork_event,不要,artwork_event_sur_0001,artwork_event_sur_0001,六番組長の出雲 天花です,SR,1,初めて会う未来のお義姉さんへ、心よりご挨拶を。,,202512010,,,,
sur,魔都精兵のスレイブ,artwork_event,不要,artwork_event_sur_0002,artwork_event_sur_0002,お前の姉じゃない,SR,1,魔防隊は敵。協力するつもりは無い。そのうえ「お義姉さん」などと勝手に呼ぶ女など、しばき倒す他にない。,,202512010,,,,
osh,【推しの子】,artwork_event,不要,artwork_event_osh_0001,artwork_event_osh_0001,絶対ママみたいになるんだ！,SR,1,幼い頃から夢に見た、アイというアイドルの輝きを追って。厳しさや辛さも覚悟のうえ。ついに、芸能界へ一歩踏み出す。,,202512020,,,,
osh,【推しの子】,artwork_event,不要,artwork_event_osh_0002,artwork_event_osh_0002,覆面筋トレ系ユーチューバー,SR,1,苺プロダクションの稼ぎ頭！大先輩の背中はデカい…,,202512020,,,,
jig,地獄楽,artwork_event,不要,artwork_event_jig_0001,artwork_event_jig_0001,必ず生きて帰る,SR,1,"死罪となった""がらんの画眉丸""は、死を目前に妻の言葉を思い出す。
「人の心は、そんなに簡単に死なないわ」。里に残した妻がかけてくれた言葉だ。
妻との「普通の暮らし」を手に入れるため、画眉丸は謎多き島・神仙郷へ向かう。
そして心に強く誓う「必ず生きて帰る」と。",,202601010,,,,
jig,地獄楽,artwork_event,不要,artwork_event_jig_0002,artwork_event_jig_0002,兄は弟の道標だ！！,SR,1,"立場こそ死罪人と首切り役人だが、亜左 弔兵衛と山田浅ェ門 桐馬は、紛れもなく兄弟である。
二人は、壮絶な幼少期を生き抜いてきた。
親を失い路頭に迷う日々に、泣きじゃくる弟へ兄は言った。
「何が正しいかわからねぇなら、オレだけを信じろ！」
その言葉が示すように、二人の絆は成長した今も昔も変わらない。
兄は弟を導き、弟は兄を信じ続けている。",,202601010,,,,
you,幼稚園WARS,artwork_event,不要,artwork_event_you_0001,artwork_event_you_0001,これで貸しはチャラだ,SR,1,"攫われたダグを助けにきたリタ。
殺し屋たちがブラック幼稚園に向かわないように
全員やっつける！",,202602010,,,,
you,幼稚園WARS,artwork_event,不要,artwork_event_you_0002,artwork_event_you_0002,兄と妹,SR,1,"世界で一番大切な人。
お互いに罪を償って、また再会しよう。",,202602010,,,,
kim,君のことが大大大大大好きな100人の彼女,artwork_event,不要,artwork_event_kim_0001,artwork_event_kim_0001,キスゾンビ,SR,1,彼女たちがキスを求めるキスゾンビに！愛の力でキスバイオハザードを生き残れ！,,202602020,,,,
kim,君のことが大大大大大好きな100人の彼女,artwork_event,不要,artwork_event_kim_0002,artwork_event_kim_0002,運命の出会い,SR,1,"一目見た瞬間、全身に走った衝撃。この二人が愛城 恋太郎の""運命の人""…!?",,202602020,,,,
hut,ふつうの軽音部,artwork_event,不要,artwork_event_hut_0001,artwork_event_hut_0001,もっと自由にわがままに,SR,1,そもそもの実力以前にまだ私は歌うときに恥じらいを残してたんじゃないか？もっと自由にわがままに歌ってもいいんじゃないか？もっと傍若無人に!!もっと厚顔無恥に!!,,,,,,
hut,ふつうの軽音部,artwork_event,不要,artwork_event_hut_0002,artwork_event_hut_0002,はーとぶれいく,SR,1,私が組みたいバンドは、みんな仲良しのバンドよりかっこいいバンド。はーとぶれいく…私たち4人ははーとぶれいく……,,,,,,
aya,あやかしトライアングル,artwork_event,不要,artwork_event_aya_0001,artwork_event_aya_0001,オモカゲ,SR,1,,,,,,,
aya,あやかしトライアングル,artwork_event,不要,artwork_event_aya_0002,artwork_event_aya_0002,覚醒の兆し,SR,1,,,,,,,
ara,アラガネの子,artwork_event,不要,artwork_event_ara_0001,artwork_event_ara_0001,俺を‼︎あんたの弟子にしてくれ！（監修未通過名称）,SR,1,,,,,,,
hyp,ハイパーインフレーション,artwork_event,不要,artwork_event_hyp_0001,artwork_event_hyp_0001,超精巧なコピーを出せる「力」（監修未通過名称）,SR,1,,,,,,,
sur,魔都精兵のスレイブ,artwork_event,不要,artwork_event_sur_0003,artwork_event_sur_0003,組長集結（監修未通過名称）,SR,1,,,,,,,
gam,ゲーミングお嬢様,artwork_event,不要,artwork_event_gam_0001,artwork_event_gam_0001,DOWNLOADEA（監修未通過名称）,SR,1,,,,,,,
gom,姫様“拷問”の時間です,artwork_event,不要,artwork_event_gom_0001,artwork_event_gom_0001,ラーメンを深夜に食う悪行…（監修未通過名称）,SR,1,,,,,,,
osh,【推しの子】,artwork_event,不要,artwork_event_osh_0003,artwork_event_osh_0003,だって君はどうしようもないほどアイドルで（監修未通過名称）,SR,1,,,,,,,
kai,怪獣８号,artwork_event,不要,artwork_event_kai_0003,artwork_event_kai_0003,日本防衛隊第1部隊＆第3部隊（監修未通過名称）,SR,1,,,,,,,
,error,artwork_event,不要,artwork_event__0000,artwork_event__0000,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
キャラ強化獲得原画のかけら（URキャラをグレード5強化で獲得）,,,,,,,,,,,,,,,⬇︎キャラ名を記載する
spy,SPY×FAMILY,artwork_chara,chara_spy_00001,artwork_chara_spy_00001,artwork_chara_spy_00001,わくわく アーニャの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1ROUKGdPq3CJdKK5zbb0zBWNWo3v_34T1/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1oHXU5maUr1RcmYm2SXCyWMThEgywqavo,02巻044-045P,わくわく アーニャ
spy,SPY×FAMILY,artwork_chara,chara_spy_00101,artwork_chara_spy_00101,artwork_chara_spy_00101,<黄昏> ロイドの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1Kme-qJeTm2bDbHS8ZF5DytBRV-1G2-oy/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1xptmwl5RSvF_jK-WCgsQgy7bo9E_N3Qu,04巻110-111P,<黄昏> ロイド
spy,SPY×FAMILY,artwork_chara,chara_spy_00201,artwork_chara_spy_00201,artwork_chara_spy_00201,<いばら姫> ヨルの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1vsvctWiEuzHGRXLu6VA9pDPGvMGzxHnk/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1qQv5jx_GGIhXFZmG7eNuyKCzvv-KDyj0,08巻202-203P,<いばら姫> ヨル
spy,SPY×FAMILY,artwork_chara,chara_spy_00501,artwork_chara_spy_00501,artwork_chara_spy_00501,姉を想う盲愛 ユーリ・ブライアの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1LxVF3pJ_nOxubrIG_oU4tkl6msQyxjfc/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1Ah42VWn8isVH2kmTzoPX2sr0LB4PrgL2,07巻108-109P,姉を想う盲愛 ユーリ・ブライア
dan,ダンダダン,artwork_chara,chara_dan_00002,artwork_chara_dan_00002,artwork_chara_dan_00002,ターボババアの霊力 オカルンの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/15E8izSgisQ3YXdjMlEI-wNpKusm_kSRy/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1PSg_9UzvdcVUcRih4Du9EgHvfP-3XCWm,01巻098-099P,ターボババアの霊力 オカルン
dan,ダンダダン,artwork_chara,chara_dan_00202,artwork_chara_dan_00202,artwork_chara_dan_00202,アクさらの愛 アイラの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1hpmLC8gkjQVJe_KTZCvbqLlDlLrMlDtG/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1fXKDJuv0-0Dq_jpDpzv1HqrtiaINtVQ7,03巻136-137P,アクさらの愛 アイラ
dan,ダンダダン,artwork_chara,chara_dan_00601,artwork_chara_dan_00601,artwork_chara_dan_00601,選定中の原画(仮名称),UR,1,,,,,,,選定中
dan,ダンダダン,artwork_chara,chara_dan_00701,artwork_chara_dan_00701,artwork_chara_dan_00701,選定中の原画(仮名称),UR,1,,,,,,,選定中
gom,姫様“拷問”の時間です,artwork_chara,chara_gom_00001,artwork_chara_gom_00001,artwork_chara_gom_00001,囚われの王女 姫様の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1mU2-7tLSEEbLSOu2xGlmeDmUkywbj0Gu/edit?slide=id.p20#slide=id.p20,https://drive.google.com/drive/folders/1d_pZcs2kiUZgMHLLJVOZWr2rWHM7bxAL,4巻056-057P,囚われの王女 姫様
gom,姫様“拷問”の時間です,artwork_chara,chara_gom_00301,artwork_chara_gom_00301,artwork_chara_gom_00301,悪のカリスマ 魔王ゴッドサンダーの原画(仮名称),UR,1,,,,,,,悪のカリスマ 魔王ゴッドサンダー
chi,チェンソーマン,artwork_chara,chara_chi_00002,artwork_chara_chi_00002,artwork_chara_chi_00002,悪魔が恐れる悪魔 チェンソーマンの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/102ik3r1boPXq4EHKr39mnQ7A8teVKl75/edit?slide=id.p25#slide=id.p25,https://drive.google.com/drive/folders/1WhgZWq_GlkvvdUIar0LjBnO3oGnhTJN6,06巻082-083P,悪魔が恐れる悪魔 チェンソーマン
chi,チェンソーマン,artwork_chara,chara_chi_00401,artwork_chara_chi_00401,artwork_chara_chi_00401,選定中の原画(仮名称),UR,1,,,,,,,選定中
chi,チェンソーマン,artwork_chara,chara_chi_00901,artwork_chara_chi_00901,artwork_chara_chi_00901,選定中の原画(仮名称),UR,1,,,,,,,選定中
bat,忘却バッテリー,artwork_chara,chara_bat_00102,artwork_chara_bat_00102,artwork_chara_bat_00102,選定中の原画(仮名称),UR,1,,,,,,,選定中
kai,怪獣８号,artwork_chara,chara_kai_00002,artwork_chara_kai_00002,artwork_chara_kai_00002,隠された英雄の姿 怪獣８号の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1egT7xbuKSMjnvO2UZhtMu2hoGTjLOH58/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1n15EMzSJxjXsm7QGKLq01JijAthVUxHE,02巻012-013P,隠された英雄の姿 怪獣８号
kai,怪獣８号,artwork_chara,chara_kai_00003,artwork_chara_kai_00003,artwork_chara_kai_00003,選定中の原画(仮名称),UR,1,,,,,,,選定中
kai,怪獣８号,artwork_chara,chara_kai_00102,artwork_chara_kai_00102,artwork_chara_kai_00102,識別怪獣兵器6 市川 レノの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1Kx99YoSu1nMXPisdo8U-9iG9ok8VAfBU/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1qnGu4XP2nWW5GXYpR0sUdPimaNxX87zM,13巻100-101P,識別怪獣兵器6 市川 レノ
kai,怪獣８号,artwork_chara,chara_kai_00201,artwork_chara_kai_00201,artwork_chara_kai_00201,第三部隊隊長 亜白 ミナの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/132VSXdQgBzyJHJwjLVPRqBlrzR3xXHHe/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/14_BhkKPW6Py4zpinBmpQ02UfyCewJQ8w,04巻084-085P,第三部隊隊長 亜白 ミナ
kai,怪獣８号,artwork_chara,chara_kai_00202,artwork_chara_kai_00202,artwork_chara_kai_00202,選定中の原画(仮名称),UR,1,,,,,,,選定中
kai,怪獣８号,artwork_chara,chara_kai_00302,artwork_chara_kai_00302,artwork_chara_kai_00302,選定中の原画(仮名称),UR,1,,,,,,,選定中
kai,怪獣８号,artwork_chara,chara_kai_00701,artwork_chara_kai_00701,artwork_chara_kai_00701,識別怪獣兵器1 鳴海 弦の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1Nj5FO7ccPttih_7RIZclVmtTJOZUox8O/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/14KF3YsrwsWf8El4Ue2sYuKE5v2PHQZUC,11巻108-109P,識別怪獣兵器1 鳴海 弦
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00001,artwork_chara_yuw_00001,artwork_chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサの原画(仮名称),UR,1,,,,,,,リリエルに捧ぐ愛 天乃 リリサ
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00002,artwork_chara_yuw_00002,artwork_chara_yuw_00002,選定中の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1ePXxMixpiDxiT4P3yylYtH3vzOTEo0Xr/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1STDQzJ-GnZxRGGQVlYtUEx-gqDclusEy,07巻084ー085P,選定中
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00101,artwork_chara_yuw_00101,artwork_chara_yuw_00101,コスプレに託す乙女心 橘 美花莉の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1TZX1v189B7hJ4hGE17Zx57e9DBNL6snq/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1xJQJVWd2bKtE2_FRY-XSjhNU0aLDb6ls,07巻084ー085P,コスプレに託す乙女心 橘 美花莉
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00102,artwork_chara_yuw_00102,artwork_chara_yuw_00102,愛届ける聖夜のサンタ 橘 美花莉の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1xUSPrSD2s8Ov5zjuKwfCs2S4lFFs0VWw/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1UwLcyHPyqC2WycSsjVcVgUwMVZGJ01f-,イラスト72,愛届ける聖夜のサンタ 橘 美花莉
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00301,artwork_chara_yuw_00301,artwork_chara_yuw_00301,勇気を纏うコスプレ 乃愛の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1H5JzXDrxh6uT6Kw7lVWuQ83yz_9bQ99t/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1on2sKs6nBbDN5qpFRcLNa3Jhi5idblBN,07巻084ー085P,勇気を纏うコスプレ 乃愛
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00401,artwork_chara_yuw_00401,artwork_chara_yuw_00401,伝えたいウチの想い 喜咲 アリアの原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/1ZPb9RvTj1BEYWRHPrnxYmk42JU3SYpiq/edit?slide=id.p23#slide=id.p23,https://drive.google.com/drive/folders/1PYZ5Z0dYUZbZQcheAqFjma7Y6_JWtbPe,07巻084ー085P,伝えたいウチの想い 喜咲 アリア
yuw,2.5次元の誘惑,artwork_chara,chara_yuw_00502,artwork_chara_yuw_00502,artwork_chara_yuw_00502,選定中の原画(仮名称),UR,1,,,,,,,選定中
sur,魔都精兵のスレイブ,artwork_chara,chara_sur_00101,artwork_chara_sur_00101,artwork_chara_sur_00101,誇り高き魔都の剣姫 羽前 京香の原画(仮名称),UR,1,,,,https://docs.google.com/presentation/d/11E5nK-nGYiT9a7BvZzaNOoa3u3PloT8k/edit?slide=id.p54#slide=id.p54,https://drive.google.com/drive/folders/19hzeYZcRsnItOKgjlqHfg9fX1ajNicoF,06巻050-051P,誇り高き魔都の剣姫 羽前 京香
