種類,掲載内容,作品ID,識別名称,識別番号,お知らせバナーID,昇格タグ,備考
ガシャ,【お知らせ_Mバナー】バレンタインピックアップガシャ,glo,gacha_glo_,00006,notice_gacha_glo_00006,,
パック,"バレンタイン お得なパック登場お知らせ
まとめお知らせ
・バレンタインキャラパック(7種)",glo,shop_pack_,00020,notice_shop_pack_00020,,
パック,「ヨル」バレンタインキャラパック,glo,shop_pack_,00021,notice_shop_pack_00021,,
パック,「姫様」バレンタインキャラパック,glo,shop_pack_,00022,notice_shop_pack_00022,,
パック,「天乃 リリサ」バレンタインキャラパック,glo,shop_pack_,00023,notice_shop_pack_00023,,
パック,「橘 美花莉」バレンタインキャラパック,glo,shop_pack_,00024,notice_shop_pack_00024,,
パック,「羽前 京香」バレンタインキャラパック,glo,shop_pack_,00025,notice_shop_pack_00025,,
パック,「桜木 カナ」バレンタインキャラパック,glo,shop_pack_,00026,notice_shop_pack_00026,,
パック,「小舟 潮」バレンタインキャラパック,glo,shop_pack_,00027,notice_shop_pack_00027,,
パック,いいジャン!スタミナドリンクパック,glo,shop_pack_,00028,notice_shop_pack_00028,,
パック,スタミナブースト応援パック,glo,shop_pack_,00029,notice_shop_pack_00029,,
パック,即戦力!キャラ強化パック,glo,shop_pack_,00030,notice_shop_pack_00030,,
交換所,【お知らせ_Mバナー】ふつうの軽音部 いいジャン祭 交換所,hut,exchange_hut_,00001,notice_exchange_hut_00001,,
SNS,内田桃の誕生日お祝いCPバナー,hut,sns_,00019,notice_sns_00019,,
パック,"ホワイトデー お得なパック登場お知らせ
まとめお知らせ
・ホワイトデーキャラパック(5種)",glo,shop_pack_,00031,notice_shop_pack_00031,,
パック,「<黄昏> ロイド」ホワイトデーキャラパック,glo,shop_pack_,00032,notice_shop_pack_00032,,
パック,「ターボババアの霊力 オカルン」ホワイトデーキャラパック,glo,shop_pack_,00033,notice_shop_pack_00033,,
パック,「悪魔が恐れる悪魔 チェンソーマン」ホワイトデーキャラパック,glo,shop_pack_,00034,notice_shop_pack_00034,,
パック,「隠された英雄の姿 怪獣８号」ホワイトデーキャラパック,glo,shop_pack_,00035,notice_shop_pack_00035,,
パック,「がらんの画眉丸」ホワイトデーキャラパック,glo,shop_pack_,00036,notice_shop_pack_00036,,
その他,ハーフアニバーサリーキャラ紹介バナー,hav1,other_,00006,notice_other_00006,,
その他,【お知らせ_Mバナー】カウントダウンプレゼントキャンペーン！,hav1,other_,00007,notice_other_00007,,
イベント,復刻イベント開催,hav1,event_hav1_,00001,notice_event_hav1_00001,,
キャンペーン,ハーフアニバーサリー お得プリズム,glo,campaign_,00015,notice_campaign_00015,,
パック,"ハーフアニバーサリー お得なパック登場お知らせ
まとめお知らせ
・ハーフアニバーサリー DXお得パック梅
・ハーフアニバーサリー DXお得パック竹
・ハーフアニバーサリー DXお得パック松
・ハーフアニバーサリー 超DX ジャンブルパック",glo,shop_pack_,00037,notice_shop_pack_00037,,
パック,ハーフアニバーサリー DXお得パック梅,glo,shop_pack_,00038,notice_shop_pack_00038,,
パック,ハーフアニバーサリー DXお得パック竹,glo,shop_pack_,00039,notice_shop_pack_00039,,
パック,ハーフアニバーサリー DXお得パック松,glo,shop_pack_,00040,notice_shop_pack_00040,,
パック,ハーフアニバーサリー 超DX ジャンブルパック,glo,shop_pack_,00041,notice_shop_pack_00041,,
パック,アニバ限定いいジャン!スタミナドリンクパック,glo,shop_pack_,00042,notice_shop_pack_00042,,
パック,原画強化パック,glo,shop_pack_,00043,notice_shop_pack_00043,,機能実装されてから詳細設計
パック,いいジャン祭 楽しもうパック,glo,shop_pack_,00044,notice_shop_pack_00044,,
パス,ハーフアニバーサリー限定 特別パス,glo,shop_pass_,00005,notice_shop_pass_00005,,
交換所,あやかしトライアングル交換所,aya,exchange_aya_,00001,notice_exchange_aya_00001,,
イベント,【開催お知らせ_Mバナー】ハーフアニバーサリー 感謝祭！前半,hav1,event_hav1_,00002,notice_event_hav1_00002,,
降臨バトル,【降臨バトル開催のお知らせ】前半,hav1,advent_hav1_,00001,notice_advent_hav1_00001,,
イベント,【開催お知らせ_Mバナー】ハーフアニバーサリー 感謝祭！後半,hav2,event_hav2_,00001,notice_event_hav2_00001,,
イベント,【お知らせ_Mバナー】ハーフアニバーサリー いいジャンくじ,hav2,event_hav2_,00002,notice_event_hav2_00002,,
ガシャ,【お知らせ_Mバナー】ハーフアニバーサリー 感謝祭!DXフェスガシャ A,glo,gacha_glo_,00007,notice_gacha_glo_00007,,
ガシャ,【お知らせ_Mバナー】ハーフアニバーサリー 感謝祭!DXフェスガシャ B,glo,gacha_glo_,00008,notice_gacha_glo_00008,,
ガシャ,【お知らせ_Mバナー】ハーフアニバーサリー 感謝祭!ピックアップガシャ,glo,gacha_glo_,00009,notice_gacha_glo_00009,,
ガシャ,【お知らせ_Mバナー】ハーフアニバーサリー 感謝祭!記念ステップアップガシャ,glo,gacha_glo_,00010,notice_gacha_glo_00010,,
ガシャ,【お知らせ_Mバナー】ありがとうメダルガシャ,glo,gacha_glo_,00011,notice_gacha_glo_00011,,
パック,初心者オススメ いいジャンパック,glo,shop_pack_,00045,notice_shop_pack_00045,,
降臨バトル,【降臨バトル開催のお知らせ】後半　英雄への挑戦編,hav2,advent_hav2_,00001,notice_advent_hav2_00001,,
,,,,,,,
,,,,,,,
,,,#N/A,00001,#N/A,,
,,,#N/A,00002,#N/A,,
