設定可,使用クエスト,作品_id,作品名,クエストカテゴリ,クエスト区分,クエスト番号,ステージ番号,演出種類,表示タイミング,名称追加,種類区別,表示区別,演出_asset_key ※設定ID併用,プレハブ名,使用場所,原作場面,監修通過の有無,psd差し替え,デプロイ
◎,メインクエスト,dan,ダンダダン,main,normal,5,1,原画,開始,,genga_,_start,genga_dan_main_005_01_start,manga_animation_genga_dan_main_005_01_start,メイン5-1　開始時,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,1,原画,クリア,,genga_,_victory,genga_dan_main_005_01_victory,manga_animation_genga_dan_main_005_01_victory,メイン5-1　クリア,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,1,原画,ボス出現,_ta-bobabaa,genga_,_appear,genga_dan_main_005_01_appear_ta-bobabaa,manga_animation_genga_dan_main_005_01_appear_ta-bobabaa,メイン5-1　ターボババア出現,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,2,原画,開始,,genga_,_start,genga_dan_main_005_02_start,manga_animation_genga_dan_main_005_02_start,メイン5-2　開始時,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,2,原画,クリア,,genga_,_victory,genga_dan_main_005_02_victory,manga_animation_genga_dan_main_005_02_victory,メイン5-2　クリア,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,2,原画,ボス出現,_seruposeijin,genga_,_appear,genga_dan_main_005_02_appear_seruposeijin,manga_animation_genga_dan_main_005_02_appear_seruposeijin,メイン5-2　セルポ星人出現,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,3,原画,開始,,genga_,_start,genga_dan_main_005_03_start,manga_animation_genga_dan_main_005_03_start,メイン5-3　開始時,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,3,原画,クリア,,genga_,_victory,genga_dan_main_005_03_victory,manga_animation_genga_dan_main_005_03_victory,メイン5-3　クリア,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,3,セリフ,エネミー行動,_seruposeijin,talk_,_action,talk_dan_main_005_03_action_seruposeijin,manga_animation_talk_dan_main_005_03_action_seruposeijin,メイン5-3　セルポ星人変身前,「ただちに出ていきなさい」「そうでなければ」,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,3,原画,エネミー行動,_seruposeijin,genga_,_action,genga_dan_main_005_03_action_seruposeijin,manga_animation_genga_dan_main_005_03_action_seruposeijin,メイン5-3　セルポ星人変身後,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,4,原画,開始,,genga_,_start,genga_dan_main_005_04_start,manga_animation_genga_dan_main_005_04_start,メイン5-4　開始時,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,4,原画,クリア,,genga_,_victory,genga_dan_main_005_04_victory,manga_animation_genga_dan_main_005_04_victory,メイン5-4　クリア,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,原画,開始,,genga_,_start,genga_dan_main_005_05_start,manga_animation_genga_dan_main_005_05_start,メイン5-5　開始時,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,原画,クリア,,genga_,_victory,genga_dan_main_005_05_victory,manga_animation_genga_dan_main_005_05_victory,メイン5-5　クリア,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa2,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa2,manga_animation_talk_dan_main_005_05_action_ta-bobabaa2,メイン5-1　ターボババアカウント「1」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa3,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa3,manga_animation_talk_dan_main_005_05_action_ta-bobabaa3,メイン5-1　ターボババアカウント「2」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa4,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa4,manga_animation_talk_dan_main_005_05_action_ta-bobabaa4,メイン5-1　ターボババアカウント「5」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa5,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa5,manga_animation_talk_dan_main_005_05_action_ta-bobabaa5,メイン5-1　ターボババアカウント「20」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa6,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa6,manga_animation_talk_dan_main_005_05_action_ta-bobabaa6,メイン5-1　ターボババアカウント「1分」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa7,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa7,manga_animation_talk_dan_main_005_05_action_ta-bobabaa7,メイン5-1　ターボババアカウント「28」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa8,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa8,manga_animation_talk_dan_main_005_05_action_ta-bobabaa8,メイン5-1　ターボババアカウント「45」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa9,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa9,manga_animation_talk_dan_main_005_05_action_ta-bobabaa9,メイン5-1　ターボババアカウント「3分」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa10,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa10,manga_animation_talk_dan_main_005_05_action_ta-bobabaa10,メイン5-1　ターボババアカウント「3分31」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa11,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa11,manga_animation_talk_dan_main_005_05_action_ta-bobabaa11,メイン5-1　ターボババアカウント「3分46」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,セリフ,エネミー行動,_ta-bobabaa12,talk_,_action,talk_dan_main_005_05_action_ta-bobabaa12,manga_animation_talk_dan_main_005_05_action_ta-bobabaa12,メイン5-1　ターボババアカウント「3分52」,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,5,原画,エネミー行動,_ta-bobabaa,genga_,_action,genga_dan_main_005_05_action_ta-bobabaa,manga_animation_genga_dan_main_005_05_action_ta-bobabaa,メイン5-1　ターボババア移動,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,6,原画,ボス出現,_ayasemomo,genga_,_appear,genga_dan_main_005_06_appear_ayasemomo,manga_animation_genga_dan_main_005_06_appear_ayasemomo,メイン5-6　綾瀬桃出現,,通過済み,,
◎,メインクエスト,dan,ダンダダン,main,normal,5,6,原画,ボス出現,_okarun,genga_,_appear,genga_dan_main_005_06_appear_okarun,manga_animation_genga_dan_main_005_06_appear_okarun,メイン5-6　ターボババアの霊力 オカルン出現,,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,1,原画,開始,,genga_,_start,genga_jig_main_006_01_start,manga_animation_genga_jig_main_006_01_start,メイン6-1　開始時,地獄楽コミックス1巻P166。さぎりvs画眉丸,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,1,原画,クリア,,genga_,_victory,genga_jig_main_006_01_victory,manga_animation_genga_jig_main_006_01_victory,メイン6-1　クリア,地獄楽コミックス1巻P188。さぎりvs画眉丸決着,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,2,原画,開始,,genga_,_start,genga_jig_main_006_02_start,manga_animation_genga_jig_main_006_02_start,メイン6-2　開始,地獄楽1巻P198。極楽蝶・門神初登場,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,3,原画,開始,,genga_,_start,genga_jig_main_006_03_start,manga_animation_genga_jig_main_006_03_start,メイン6-3　開始,極楽蝶と門神のダブルカットイン,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,4,原画,開始,,genga_,_start,genga_jig_main_006_04_start,manga_animation_genga_jig_main_006_04_start,メイン6-4　開始,地獄楽1巻最終ページ　竈神 魚初登場,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,4,原画,クリア,,genga_,_victory,genga_jig_main_006_04_victory,manga_animation_genga_jig_main_006_04_victory,メイン6-4　クリア,地獄楽コミックス？巻　画眉丸がさぎりを守って敵を倒す,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,5,原画,開始,,genga_,_start,genga_jig_main_006_05_start,manga_animation_genga_jig_main_006_05_start,メイン6-5　開始,竈神 魚と門神のダブルカットイン,通過済み,,
◎,メインクエスト,jig,地獄楽,main,normal,6,6,原画,ボス出現,,genga_,_appear,genga_jig_main_006_06_appear,manga_animation_genga_jig_main_006_06_appear,メイン6-6　開始,さぎり＆画眉丸,通過済み,,
◎,メインクエスト,tak,タコピーの原罪,main,normal,7,1,原画,開始,,genga_,_start,genga_tak_main_007_01_start,manga_animation_genga_tak_main_007_01_start,メイン7-1　開始,,通過済み,,
◎,メインクエスト,tak,タコピーの原罪,main,normal,7,2,原画,開始,,genga_,_start,genga_tak_main_007_02_start,manga_animation_genga_tak_main_007_02_start,メイン7-2　開始,,通過済み,,
◎,メインクエスト,tak,タコピーの原罪,main,normal,7,3,原画,開始,,genga_,_start,genga_tak_main_007_03_start,manga_animation_genga_tak_main_007_03_start,メイン7-3　開始,,通過済み,,
◎,メインクエスト,tak,タコピーの原罪,main,normal,7,1,原画,クリア,,genga_,_victory,genga_tak_main_007_01_victory,manga_animation_genga_tak_main_007_01_victory,メイン7-1　クリア,,通過済み,,
◎,メインクエスト,tak,タコピーの原罪,main,normal,7,2,原画,クリア,,genga_,_victory,genga_tak_main_007_02_victory,manga_animation_genga_tak_main_007_02_victory,メイン7-1　クリア,,通過済み,,
◎,メインクエスト,tak,タコピーの原罪,main,normal,7,3,原画,クリア,,genga_,_victory,genga_tak_main_007_03_victory,manga_animation_genga_tak_main_007_03_victory,メイン7-1　クリア,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,1,原画,開始,,genga_,_start,genga_chi_main_009_01_start,manga_animation_genga_chi_main_009_01_start,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,2,原画,開始,,genga_,_start,genga_chi_main_009_02_start,manga_animation_genga_chi_main_009_02_start,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,3,原画,開始,,genga_,_start,genga_chi_main_009_03_start,manga_animation_genga_chi_main_009_03_start,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,4,原画,開始,,genga_,_start,genga_chi_main_009_04_start,manga_animation_genga_chi_main_009_04_start,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,5,原画,開始,,genga_,_start,genga_chi_main_009_05_start,manga_animation_genga_chi_main_009_05_start,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,6,原画,ボス出現,_denji,genga_,_appear,genga_chi_main_009_06_appear_denji,manga_animation_genga_chi_main_009_06_appear_denji,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,1,原画,クリア,,genga_,_victory,genga_chi_main_009_01_victory,manga_animation_genga_chi_main_009_01_victory,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,2,原画,クリア,,genga_,_victory,genga_chi_main_009_02_victory,manga_animation_genga_chi_main_009_02_victory,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,3,原画,クリア,,genga_,_victory,genga_chi_main_009_03_victory,manga_animation_genga_chi_main_009_03_victory,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,4,原画,クリア,,genga_,_victory,genga_chi_main_009_04_victory,manga_animation_genga_chi_main_009_04_victory,,,通過済み,,
◎,メインクエスト,chi,チェンソーマン,main,normal,9,5,原画,クリア,,genga_,_victory,genga_chi_main_009_05_victory,manga_animation_genga_chi_main_009_05_victory,,,通過済み,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,1,原画,開始,,genga_,_start,genga_kai_main_015_01_start,manga_animation_genga_kai_main_015_01_start,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,2,原画,開始,,genga_,_start,genga_kai_main_015_02_start,manga_animation_genga_kai_main_015_02_start,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,3,原画,開始,,genga_,_start,genga_kai_main_015_03_start,manga_animation_genga_kai_main_015_03_start,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,4,原画,開始,,genga_,_start,genga_kai_main_015_04_start,manga_animation_genga_kai_main_015_04_start,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,5,原画,開始,,genga_,_start,genga_kai_main_015_05_start,manga_animation_genga_kai_main_015_05_start,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,6,原画,ボス出現,_8gou,genga_,_appear,genga_kai_main_015_06_appear_8gou,manga_animation_genga_kai_main_015_06_appear_8gou,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,1,原画,クリア,,genga_,_victory,genga_kai_main_015_01_victory,manga_animation_genga_kai_main_015_01_victory,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,2,原画,クリア,,genga_,_victory,genga_kai_main_015_02_victory,manga_animation_genga_kai_main_015_02_victory,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,3,原画,クリア,,genga_,_victory,genga_kai_main_015_03_victory,manga_animation_genga_kai_main_015_03_victory,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,4,原画,クリア,,genga_,_victory,genga_kai_main_015_04_victory,manga_animation_genga_kai_main_015_04_victory,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,5,原画,クリア,,genga_,_victory,genga_kai_main_015_05_victory,manga_animation_genga_kai_main_015_05_victory,,,監修待ち,,
◎,メインクエスト,kai,怪獣８号,main,normal,15,5,原画,ボス出現,_9gou,genga_,_appear,genga_kai_main_015_05_appear_9gou,manga_animation_genga_kai_main_015_05_appear_9gou,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,1,原画,開始,,genga_,_start,genga_sur_main_010_01_start,manga_animation_genga_sur_main_010_01_start,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,2,原画,開始,,genga_,_start,genga_sur_main_010_02_start,manga_animation_genga_sur_main_010_02_start,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,3,原画,開始,,genga_,_start,genga_sur_main_010_03_start,manga_animation_genga_sur_main_010_03_start,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,4,原画,開始,,genga_,_start,genga_sur_main_010_04_start,manga_animation_genga_sur_main_010_04_start,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,5,原画,開始,,genga_,_start,genga_sur_main_010_05_start,manga_animation_genga_sur_main_010_05_start,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,6,原画,ボス出現,_kyoka,genga_,_appear,genga_sur_main_010_06_appear_kyoka,manga_animation_genga_sur_main_010_06_appear_kyoka,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,1,原画,クリア,,genga_,_victory,genga_sur_main_010_01_victory,manga_animation_genga_sur_main_010_01_victory,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,2,原画,クリア,,genga_,_victory,genga_sur_main_010_02_victory,manga_animation_genga_sur_main_010_02_victory,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,3,原画,クリア,,genga_,_victory,genga_sur_main_010_03_victory,manga_animation_genga_sur_main_010_03_victory,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,4,原画,クリア,,genga_,_victory,genga_sur_main_010_04_victory,manga_animation_genga_sur_main_010_04_victory,,,監修待ち,,
◎,メインクエスト,sur,魔都精兵のスレイブ,main,normal,10,5,原画,クリア,,genga_,_victory,genga_sur_main_010_05_victory,manga_animation_genga_sur_main_010_05_victory,,,監修待ち,,
◎,メインクエスト,rik,トマトイプーのリコピン,main,normal,11,1,原画,開始,,genga_,_start,genga_rik_main_011_01_start,manga_animation_genga_rik_main_011_01_start,,,監修待ち,,
◎,メインクエスト,rik,トマトイプーのリコピン,main,normal,11,2,原画,開始,,genga_,_start,genga_rik_main_011_02_start,manga_animation_genga_rik_main_011_02_start,,,監修待ち,,
◎,メインクエスト,rik,トマトイプーのリコピン,main,normal,11,3,原画,開始,,genga_,_start,genga_rik_main_011_03_start,manga_animation_genga_rik_main_011_03_start,,,監修待ち,,
◎,メインクエスト,rik,トマトイプーのリコピン,main,normal,11,1,原画,ボス出現,_lycopene,genga_,_appear,genga_rik_main_011_01_appear_lycopene,manga_animation_genga_rik_main_011_01_appear_lycopene,リコピン登場時,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,1,原画,開始,,genga_,_start,genga_mag_main_013_01_start,manga_animation_genga_mag_main_013_01_start,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,2,原画,開始,,genga_,_start,genga_mag_main_013_02_start,manga_animation_genga_mag_main_013_02_start,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,3,原画,開始,,genga_,_start,genga_mag_main_013_03_start,manga_animation_genga_mag_main_013_03_start,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,4,原画,開始,,genga_,_start,genga_mag_main_013_04_start,manga_animation_genga_mag_main_013_04_start,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,5,原画,開始,,genga_,_start,genga_mag_main_013_05_start,manga_animation_genga_mag_main_013_05_start,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,6,原画,ボス出現,_kana,genga_,_appear,genga_mag_main_013_06_appear_kana,manga_animation_genga_mag_main_013_06_appear_kana,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,1,原画,クリア,,genga_,_victory,genga_mag_main_013_01_victory,manga_animation_genga_mag_main_013_01_victory,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,2,原画,クリア,,genga_,_victory,genga_mag_main_013_02_victory,manga_animation_genga_mag_main_013_02_victory,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,3,原画,クリア,,genga_,_victory,genga_mag_main_013_03_victory,manga_animation_genga_mag_main_013_03_victory,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,4,原画,クリア,,genga_,_victory,genga_mag_main_013_04_victory,manga_animation_genga_mag_main_013_04_victory,,,監修待ち,,
◎,メインクエスト,mag,株式会社マジルミエ,main,normal,13,5,原画,クリア,,genga_,_victory,genga_mag_main_013_05_victory,manga_animation_genga_mag_main_013_05_victory,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,1,原画,開始,,genga_,_start,genga_sum_main_014_01_start,manga_animation_genga_sum_main_014_01_start,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,2,原画,開始,,genga_,_start,genga_sum_main_014_02_start,manga_animation_genga_sum_main_014_02_start,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,3,原画,開始,,genga_,_start,genga_sum_main_014_03_start,manga_animation_genga_sum_main_014_03_start,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,4,原画,開始,,genga_,_start,genga_sum_main_014_04_start,manga_animation_genga_sum_main_014_04_start,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,5,原画,開始,,genga_,_start,genga_sum_main_014_05_start,manga_animation_genga_sum_main_014_05_start,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,5,原画,ボス出現,_mio,genga_,_appear,genga_sum_main_014_05_appear_mio,manga_animation_genga_sum_main_014_05_appear_mio,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,2,原画,クリア,,genga_,_victory,genga_sum_main_014_02_victory,manga_animation_genga_sum_main_014_02_victory,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,normal,14,4,原画,クリア,,genga_,_victory,genga_sum_main_014_04_victory,manga_animation_genga_sum_main_014_04_victory,,,監修待ち,,
◎,メインクエスト,sum,サマータイムレンダ,main,story,14,6,原画,ボス出現,_ushio,genga_,_appear,genga_sum_main_014_06_appear_ushio,manga_animation_genga_sum_main_014_06_appear_ushio,,,,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,1,原画,開始,,genga_,_start,genga_spy_main_001_01_start,manga_animation_genga_spy_main_001_01_start,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,2,原画,開始,,genga_,_start,genga_spy_main_001_02_start,manga_animation_genga_spy_main_001_02_start,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,3,原画,開始,,genga_,_start,genga_spy_main_001_03_start,manga_animation_genga_spy_main_001_03_start,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,4,原画,開始,,genga_,_start,genga_spy_main_001_04_start,manga_animation_genga_spy_main_001_04_start,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,5,原画,開始,,genga_,_start,genga_spy_main_001_05_start,manga_animation_genga_spy_main_001_05_start,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,6,原画,ボス出現,_loid,genga_,_appear,genga_spy_main_001_06_appear_loid,manga_animation_genga_spy_main_001_06_appear_loid,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,1,原画,クリア,,genga_,_victory,genga_spy_main_001_01_victory,manga_animation_genga_spy_main_001_01_victory,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,2,原画,クリア,,genga_,_victory,genga_spy_main_001_02_victory,manga_animation_genga_spy_main_001_02_victory,,,監修待ち,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,3,原画,クリア,,genga_,_victory,genga_spy_main_001_03_victory,manga_animation_genga_spy_main_001_03_victory,,,監修待ち,,
