種別,イベント番号,作品_ID,作品名,モチーフID,アイコンのモチーフ,stage_iconファイル名,備考
イベント専用,1,sur,魔都精兵のスレイブ,6,和倉 青羽のメモリー,stage_icon_event_sur1_00006,
イベント専用,1,sur,魔都精兵のスレイブ,7,誇り高き魔都の剣姫 羽前 京香のかけら,stage_icon_event_sur1_00007,
イベント専用,1,sur,魔都精兵のスレイブ,8,空間を操る六番組組長 出雲 天花のかけら,stage_icon_event_sur1_00008,
イベント専用,1,sur,魔都精兵のスレイブ,9,東 八千穂のかけら,stage_icon_event_sur1_00009,
イベント専用,1,sur,魔都精兵のスレイブ,10,魔都防衛隊エンブレム,stage_icon_event_sur1_00010,
イベント専用,1,sur,魔都精兵のスレイブ,11,羽前 京香エンブレム,stage_icon_event_sur1_00011,
イベント専用,1,sur,魔都精兵のスレイブ,12,出雲 天花のエンブレム,stage_icon_event_sur1_00012,
イベント専用,1,sur,魔都精兵のスレイブ,13,エンブレム「山城恋」,stage_icon_event_sur1_00013,
,,,,,,,
,,,,,,,
イベント専用,1,osh,【推しの子】,1,ぴえヨンのメモリー,stage_icon_event_osh1_00001,
イベント専用,1,osh,【推しの子】,2,星野 ルビーのかけら,stage_icon_event_osh1_00002,
イベント専用,1,osh,【推しの子】,3,MEMちょのかけら,stage_icon_event_osh1_00003,
イベント専用,1,osh,【推しの子】,4,有馬かなのかけら,stage_icon_event_osh1_00004,
イベント専用,1,osh,【推しの子】,5,黒川 あかねのかけら,stage_icon_event_osh1_00005,
イベント専用,1,osh,【推しの子】,6,アイのかけら,stage_icon_event_osh1_00006,
イベント専用,1,osh,【推しの子】,7,星野 アクアのかけら,stage_icon_event_osh1_00007,
イベント専用,1,osh,【推しの子】,8,【推しの子】SSR確定チケット,stage_icon_event_osh1_00008,
イベント専用,1,osh,【推しの子】,9,B小町エンブレム,stage_icon_event_osh1_00009,
イベント専用,1,osh,【推しの子】,10,嘘吐きエンブレム,stage_icon_event_osh1_00010,
イベント専用,1,osh,【推しの子】,11,アイのサインエンブレム,stage_icon_event_osh1_00011,
,,,,,,,
イベント専用,1,jig,地獄楽,1,キャラ_メイ,stage_icon_event_jig1_00001,
イベント専用,1,jig,地獄楽,2,メイのかけら,stage_icon_event_jig1_00002,
イベント専用,1,jig,地獄楽,3,メイのメモリー,stage_icon_event_jig1_00003,
イベント専用,1,jig,地獄楽,4,キャラ_民谷 巌鉄斎,stage_icon_event_jig1_00004,
イベント専用,1,jig,地獄楽,5,民谷 巌鉄斎のかけら,stage_icon_event_jig1_00005,
イベント専用,1,jig,地獄楽,6,民谷 巌鉄斎のメモリー,stage_icon_event_jig1_00006,
イベント専用,1,jig,地獄楽,7,がらんの画眉丸のかけら,stage_icon_event_jig1_00007,
イベント専用,1,jig,地獄楽,8,賊王 亜左 弔兵衛のかけら,stage_icon_event_jig1_00008,
イベント専用,1,jig,地獄楽,9,山田浅ェ門 桐馬のかけら,stage_icon_event_jig1_00009,
イベント専用,1,jig,地獄楽,10,神仙郷エンブレム,stage_icon_event_jig1_00010,
,,,,,,,
イベント専用,1,you,幼稚園WARS,1,キャラ_ダグ,stage_icon_event_you1_00001,
イベント専用,1,you,幼稚園WARS,2,ダグのかけら,stage_icon_event_you1_00002,
イベント専用,1,you,幼稚園WARS,3,ダグのメモリー,stage_icon_event_you1_00003,
イベント専用,1,you,幼稚園WARS,4,キャラ_ハナ,stage_icon_event_you1_00004,
イベント専用,1,you,幼稚園WARS,5,ハナのかけら,stage_icon_event_you1_00005,
イベント専用,1,you,幼稚園WARS,6,ハナのメモリー,stage_icon_event_you1_00006,
イベント専用,1,you,幼稚園WARS,7,元殺し屋の新人教諭 リタのかけら,stage_icon_event_you1_00007,
イベント専用,1,you,幼稚園WARS,8,ルークのかけら,stage_icon_event_you1_00008,
イベント専用,1,you,幼稚園WARS,9,エンブレムブラック幼稚園の園章,stage_icon_event_you1_00009,
,,,,,,,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,1,溢れる母性 花園 羽々里のかけら,stage_icon_event_kim1_00001,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,2,花園 羽香里のかけら,stage_icon_event_kim1_00002,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,3,院田 唐音のかけら,stage_icon_event_kim1_00003,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,4,好本 静のかけら,stage_icon_event_kim1_00004,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,5,打ち消しの薬,stage_icon_event_kim1_00005,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,6,エンブレム神様,stage_icon_event_kim1_00006,
イベント専用,1,kim,君のことが大大大大大好きな100人の彼女,7,100カノ いいジャンくじ券,stage_icon_event_kim1_00007,
,,,,,,,
イベント専用,1,hut,ふつうの軽音部,1,キャラ_内田 桃,stage_icon_event_hut1_00001,
イベント専用,1,hut,ふつうの軽音部,2,内田 桃のかけら,stage_icon_event_hut1_00002,
イベント専用,1,hut,ふつうの軽音部,3,キャラ_藤井 彩目,stage_icon_event_hut1_00003,
イベント専用,1,hut,ふつうの軽音部,4,藤井 彩目のかけら,stage_icon_event_hut1_00004,
イベント専用,1,hut,ふつうの軽音部,5,ひたむきギタリスト 鳩野 ちひろのかけら,stage_icon_event_hut1_00005,
イベント専用,1,hut,ふつうの軽音部,6,幸山 厘のかけら,stage_icon_event_hut1_00006,
イベント専用,1,hut,ふつうの軽音部,7,ギターピック,stage_icon_event_hut1_00007,
イベント専用,1,hut,ふつうの軽音部,8,エンブレム機熟,stage_icon_event_hut1_00008,
イベント専用,1,hut,ふつうの軽音部,9,エンブレム木彫りの鳩野ちひろ,stage_icon_event_hut1_00009,
,,,,,,,
イベント専用,1,hav,error,1,キャラ_ルーク,stage_icon_event_hav1_00001,
イベント専用,1,hav,error,2,ルークのかけら,stage_icon_event_hav1_00002,
イベント専用,1,hav,error,3,エンブレム「セバスチャン」,stage_icon_event_hav1_00003,
イベント専用,1,hav,error,4,祥龍院 隆子のかけら,stage_icon_event_hav1_00004,
イベント専用,1,hav,error,5,エンブレム「山城恋」,stage_icon_event_hav1_00005,
イベント専用,2,hav,error,1,キャラ_雨宮 吾郎,stage_icon_event_hav2_00001,
イベント専用,2,hav,error,2,雨宮 吾郎のかけら,stage_icon_event_hav2_00002,
イベント専用,2,hav,error,3,エンブレム「御意に…」,stage_icon_event_hav2_00003,
イベント専用,2,hav,error,4,市川レノのかけら,stage_icon_event_hav2_00004,
イベント専用,2,hav,error,5,エンブレム「怪獣１号」,stage_icon_event_hav2_00005,
,,,error,,,,
イベント専用,1,aya,あやかしトライアングル,1,風巻 祭里のかけら,stage_icon_event_aya1_00001,
イベント専用,1,aya,あやかしトライアングル,2,花奏 すずのかけら,stage_icon_event_aya1_00002,
イベント専用,1,aya,あやかしトライアングル,3,キャラ_香炉木 恋緒,stage_icon_event_aya1_00003,
イベント専用,1,aya,あやかしトライアングル,4,香炉木 恋緒のメモリー,stage_icon_event_aya1_00004,
イベント専用,1,aya,あやかしトライアングル,5,香炉木 恋緒のかけら,stage_icon_event_aya1_00005,
イベント専用,1,aya,あやかしトライアングル,6,二ノ曲 宗牙のメモリー,stage_icon_event_aya1_00006,
イベント専用,1,aya,あやかしトライアングル,7,二ノ曲 宗牙のかけら,stage_icon_event_aya1_00007,
イベント専用,1,aya,あやかしトライアングル,8,風車,stage_icon_event_aya1_00008,
イベント専用,1,aya,あやかしトライアングル,9,風巻祭里のエンブレム,stage_icon_event_aya1_00009,
イベント専用,1,aya,あやかしトライアングル,10,花奏すずのエンブレム,stage_icon_event_aya1_00010,
イベント専用,1,aya,あやかしトライアングル,11,シロガネのエンブレム,stage_icon_event_aya1_00011,
,,,error,,,,
,,,error,,,,
,,,error,,,,
,,,error,,,,
