ENABLE,id,release_key,progress_group_key,criterion_type,criterion_value,criterion_count,mission_category,mst_mission_reward_group_id,sort_order,destination_scene,start_at,end_at
e,limited_term_22,202511020,group6,AdventBattleChallengeCount,"",10,AdventBattle,yuw_00001_limited_term_2,2,AdventBattle,2025-12-05 15:00:00,2025-12-12 14:59:59
e,limited_term_23,202511020,group6,AdventBattleChallengeCount,"",20,AdventBattle,yuw_00001_limited_term_3,3,AdventBattle,2025-12-05 15:00:00,2025-12-12 14:59:59
e,limited_term_24,202511020,group6,AdventBattleChallengeCount,"",30,AdventBattle,yuw_00001_limited_term_4,4,AdventBattle,2025-12-05 15:00:00,2025-12-12 14:59:59
e,limited_term_25,202512010,group7,AdventBattleChallengeCount,"",5,AdventBattle,sur_00001_limited_term_1,1,AdventBattle,2025-12-22 15:00:00,2025-12-29 14:59:59
e,limited_term_26,202512010,group7,AdventBattleChallengeCount,"",10,AdventBattle,sur_00001_limited_term_2,2,AdventBattle,2025-12-22 15:00:00,2025-12-29 14:59:59
e,limited_term_27,202512010,group7,AdventBattleChallengeCount,"",20,AdventBattle,sur_00001_limited_term_3,3,AdventBattle,2025-12-22 15:00:00,2025-12-29 14:59:59
e,limited_term_28,202512010,group7,AdventBattleChallengeCount,"",30,AdventBattle,sur_00001_limited_term_4,4,AdventBattle,2025-12-22 15:00:00,2025-12-29 14:59:59
e,limited_term_29,202601010,group8,AdventBattleChallengeCount,"",5,AdventBattle,jig_00001_limited_term_1,1,AdventBattle,2026-01-23 15:00:00,2026-01-29 14:59:59
e,limited_term_30,202601010,group8,AdventBattleChallengeCount,"",10,AdventBattle,jig_00001_limited_term_2,2,AdventBattle,2026-01-23 15:00:00,2026-01-29 14:59:59
e,limited_term_31,202601010,group8,AdventBattleChallengeCount,"",20,AdventBattle,jig_00001_limited_term_3,3,AdventBattle,2026-01-23 15:00:00,2026-01-29 14:59:59
e,limited_term_32,202601010,group8,AdventBattleChallengeCount,"",30,AdventBattle,jig_00001_limited_term_4,4,AdventBattle,2026-01-23 15:00:00,2026-01-29 14:59:59
e,limited_term_33,202512020,group9,AdventBattleChallengeCount,"",5,AdventBattle,osh_00001_limited_term_1,1,AdventBattle,2026-01-09 15:00:00,2026-01-13 14:59:59
e,limited_term_34,202512020,group9,AdventBattleChallengeCount,"",10,AdventBattle,osh_00001_limited_term_2,2,AdventBattle,2026-01-09 15:00:00,2026-01-13 14:59:59
e,limited_term_35,202512020,group9,AdventBattleChallengeCount,"",20,AdventBattle,osh_00001_limited_term_3,3,AdventBattle,2026-01-09 15:00:00,2026-01-13 14:59:59
e,limited_term_36,202512020,group9,AdventBattleChallengeCount,"",25,AdventBattle,osh_00001_limited_term_4,4,AdventBattle,2026-01-09 15:00:00,2026-01-13 14:59:59
