ENABLE,release_key,id,mst_event_display_unit_id,language,speech_balloon_text1,speech_balloon_text2,speech_balloon_text3
e,202510010,quest_event_spy1_savage01_ja,quest_event_spy1_savage01,ja,スパイは目立っては\nいけない…,"",""
e,202510010,quest_event_spy1_savage011_ja,quest_event_spy1_savage011,ja,お片づけしかできま\nせんもの…,"",""
e,202510020,quest_event_dan1_1day_ja,quest_event_dan1_1day,ja,見せてやりましょう\nUFO！,"",""
e,202510020,quest_event_dan1_charaget01_ja,quest_event_dan1_charaget01,ja,年上ナメんじゃ\nねえぜ,"",""
e,202510020,quest_event_dan1_charaget02_ja,quest_event_dan1_charaget02,ja,リーダーは\n私でしょ！,"",""
e,202510020,quest_event_dan1_challenge011_ja,quest_event_dan1_challenge011,ja,ボッコボッコに\nしたるわい!!,"",""
e,202510020,quest_event_dan1_challenge012_ja,quest_event_dan1_challenge012,ja,力が溢れて\nくるぜえ…!!,"",""
e,202510020,quest_event_dan1_challenge013_ja,quest_event_dan1_challenge013,ja,それがいい女の\n条件でしょ,"",""
e,202510020,quest_event_dan1_savage01_ja,quest_event_dan1_savage01,ja,それがいい女の\n条件でしょ,"",""
e,202510020,quest_event_dan1_savage02_ja,quest_event_dan1_savage02,ja,力が溢れて\nくるぜえ…!!,"",""
e,202511010,quest_event_mag1_1day_ja,quest_event_mag1_1day,ja,私が魔法弾を\n撃ち込みます,"",""
e,202511010,quest_event_mag1_charaget01_ja,quest_event_mag1_charaget01,ja,君はとても優秀だ,"",""
e,202511010,quest_event_mag1_charaget02_ja,quest_event_mag1_charaget02,ja,御社のこと全部\n学びたいんで,"",""
e,202511010,quest_event_mag1_challenge011_ja,quest_event_mag1_challenge011,ja,弊社の指示通り\n動いて下さい,"",""
e,202511010,quest_event_mag1_challenge012_ja,quest_event_mag1_challenge012,ja,協働業務\nよろしくね,"",""
e,202511010,quest_event_mag1_challenge013_ja,quest_event_mag1_challenge013,ja,出動準備完了！,"",""
e,202511010,quest_event_mag1_savage01_ja,quest_event_mag1_savage01,ja,私が魔法弾を\n撃ち込みます,"",""
e,202511010,quest_event_mag1_savage02_ja,quest_event_mag1_savage02,ja,協働業務\nよろしくね,"",""
e,202511020,quest_event_yuw1_1day01_ja,quest_event_yuw1_1day01,ja,好きな物の話は\n否定しない!!,"",""
e,202511020,quest_event_yuw1_1day02_ja,quest_event_yuw1_1day02,ja,一緒にコスプレ\nやりませんかっ!?,"",""
e,202511020,quest_event_yuw1_charaget01_ja,quest_event_yuw1_charaget01,ja,私はずっとコスプレ\nしていたいの,"",""
e,202511020,quest_event_yuw1_charaget02_ja,quest_event_yuw1_charaget02,ja,好きな物の話は\n否定しない!!,"",""
e,202511020,quest_event_yuw1_challenge011_ja,quest_event_yuw1_challenge011,ja,安心してよ,"",""
e,202511020,quest_event_yuw1_challenge012_ja,quest_event_yuw1_challenge012,ja,一緒に撮るくらい\nいいけど…？,"",""
e,202511020,quest_event_yuw1_savage01_ja,quest_event_yuw1_savage01,ja,私はずっとコスプレ\nしていたいの,"",""
e,202511020,quest_event_yuw1_savage02_ja,quest_event_yuw1_savage02,ja,コスプレしたい\nからするのよ,"",""
e,202512015,quest_event_yuw1_savage021_ja,quest_event_yuw1_savage021,ja,好きな物の話は\n否定しない!!,"",""
e,202512015,quest_event_yuw1_savage022_ja,quest_event_yuw1_savage022,ja,コスプレしたい\nからするのよ,"",""
e,202512010,quest_event_sur1_1day01_ja,quest_event_sur1_1day01,ja,屈服の時間だ,"",""
e,202512010,quest_event_sur1_1day02_ja,quest_event_sur1_1day02,ja,ヒーローに\nなりたいです!,"",""
e,202512010,quest_event_sur1_charaget01_ja,quest_event_sur1_charaget01,ja,よし!\n絶好調だぜ,"",""
e,202512010,quest_event_sur1_savage01_ja,quest_event_sur1_savage01,ja,屈服の時間だ,"",""
e,202512010,quest_event_sur1_savage02_ja,quest_event_sur1_savage02,ja,奴隷クン　私に頂戴,"",""
e,202512010,quest_event_sur1_charaget02_ja,quest_event_sur1_charaget02,ja,優希はここで\n私と暮らすのよ,"",""
e,202512010,quest_event_sur1_challenge011_ja,quest_event_sur1_challenge011,ja,ありがたく\n協力しなさい!,"",""
e,202512010,quest_event_sur1_challenge012_ja,quest_event_sur1_challenge012,ja,姉の偉大さ\n思い知れい,"",""
e,202512020,quest_event_osh1_1day01_ja,quest_event_osh1_1day01,ja,役者というのは\n単なる手段だ,"",""
e,202512020,quest_event_osh1_charaget0201_ja,quest_event_osh1_charaget0201,ja,ぴえヨン\nチャンネルぅうぅ!!,"",""
e,202512020,quest_event_osh1_charaget01_ja,quest_event_osh1_charaget01,ja,私はママみたい\nになる!,"",""
e,202512020,quest_event_osh1_charaget02_ja,quest_event_osh1_charaget02,ja,私が居ないと\n駄目ね!,"",""
e,202512020,quest_event_osh1_charaget03_ja,quest_event_osh1_charaget03,ja,アクアくんの\n助けになるよ,"",""
e,202512020,quest_event_osh1_challenge011_ja,quest_event_osh1_challenge011,ja,アイドルは個性！,"",""
e,202512020,quest_event_osh1_challenge012_ja,quest_event_osh1_challenge012,ja,私はママみたい\nになる!,"",""
e,202512020,quest_event_osh1_challenge013_ja,quest_event_osh1_challenge013,ja,私が居ないと\n駄目ね!,"",""
e,202512020,quest_event_osh1_savage_ja,quest_event_osh1_savage,ja,私にとって嘘は愛,"",""
e,202512020,quest_event_glo1_1day01_ja,quest_event_glo1_1day01,ja,"","",""
e,202512020,quest_event_glo1_1day02_ja,quest_event_glo1_1day02,ja,"","",""
e,202512020,quest_event_glo1_1day03_ja,quest_event_glo1_1day03,ja,"","",""
e,202601010,quest_event_jig1_1day01_ja,quest_event_jig1_1day01,ja,"ワシはっ""がらんの\n画眉丸""だ!!","",""
e,202601010,quest_event_jig1_charaget0201_ja,quest_event_jig1_charaget0201,ja, 天下に轟く\n偉業を成す！,"",""
e,202601010,quest_event_jig1_charaget0101_ja,quest_event_jig1_charaget0101,ja,モウ一度ダケ…\n会イタイ,"",""
e,202601010,quest_event_jig1_challenge011_ja,quest_event_jig1_challenge011,ja,ありったけ\n試してあげる♡,"",""
e,202601010,quest_event_jig1_challenge012_ja,quest_event_jig1_challenge012,ja,先立つものは\nまず情報ですから,"",""
e,202601010,quest_event_jig1_savage01_ja,quest_event_jig1_savage01,ja,モタついてっと\n死ぬぜ!?,"",""
e,202601010,quest_event_jig1_savage02_ja,quest_event_jig1_savage02,ja,兄さんの強さは\n変化だ…,"",""
