ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,event_category,destination_scene
e,100kano_boss_55,202602160,100kano_event,BossDefeatCount,55,55,__NULL__,,0,100kano_missions,100kano_boss_55_reward,13,__NULL__,Event
e,100kano_boss_60,202602160,100kano_event,BossDefeatCount,60,60,__NULL__,,0,100kano_missions,100kano_boss_60_reward,14,__NULL__,Event
e,100kano_boss_65,202602160,100kano_event,BossDefeatCount,65,65,__NULL__,,0,100kano_missions,100kano_boss_65_reward,15,__NULL__,Event
e,100kano_boss_70,202602160,100kano_event,BossDefeatCount,70,70,__NULL__,,0,100kano_missions,100kano_boss_70_reward,16,__NULL__,Event
e,100kano_boss_75,202602160,100kano_event,BossDefeatCount,75,75,__NULL__,,0,100kano_missions,100kano_boss_75_reward,17,__NULL__,Event
e,100kano_boss_80,202602160,100kano_event,BossDefeatCount,80,80,__NULL__,,0,100kano_missions,100kano_boss_80_reward,18,__NULL__,Event
e,100kano_boss_85,202602160,100kano_event,BossDefeatCount,85,85,__NULL__,,0,100kano_missions,100kano_boss_85_reward,19,__NULL__,Event
e,100kano_boss_90,202602160,100kano_event,BossDefeatCount,90,90,__NULL__,,0,100kano_missions,100kano_boss_90_reward,20,__NULL__,Event
e,100kano_boss_95,202602160,100kano_event,BossDefeatCount,95,95,__NULL__,,0,100kano_missions,100kano_boss_95_reward,21,__NULL__,Event
e,100kano_boss_100,202602160,100kano_event,BossDefeatCount,100,100,__NULL__,,0,100kano_missions,100kano_boss_100_reward,22,__NULL__,Event
e,100kano_quest_1,202602160,100kano_event,SpecificStageClear,kiss_zombie_panic,1,__NULL__,,0,100kano_missions,100kano_quest_1_reward,23,__NULL__,Event
e,100kano_quest_2,202602160,100kano_event,SpecificStageClear,best_love_partner,1,__NULL__,,0,100kano_missions,100kano_quest_2_reward,24,__NULL__,Event
e,100kano_quest_3,202602160,100kano_event,SpecificStageClear,rentaro_family,1,__NULL__,,0,100kano_missions,100kano_quest_3_reward,25,__NULL__,Event
e,100kano_quest_4,202602160,100kano_event,SpecificStageClear,dead_or_love,1,__NULL__,,0,100kano_missions,100kano_quest_4_reward,26,__NULL__,Event
e,100kano_enemy_10,202602160,100kano_event,EnemyDefeatCount,10,10,__NULL__,,0,100kano_missions,100kano_enemy_10_reward,27,__NULL__,Event
e,100kano_enemy_20,202602160,100kano_event,EnemyDefeatCount,20,20,__NULL__,,0,100kano_missions,100kano_enemy_20_reward,28,__NULL__,Event
e,100kano_enemy_30,202602160,100kano_event,EnemyDefeatCount,30,30,__NULL__,,0,100kano_missions,100kano_enemy_30_reward,29,__NULL__,Event
e,100kano_enemy_40,202602160,100kano_event,EnemyDefeatCount,40,40,__NULL__,,0,100kano_missions,100kano_enemy_40_reward,30,__NULL__,Event
e,100kano_enemy_50,202602160,100kano_event,EnemyDefeatCount,50,50,__NULL__,,0,100kano_missions,100kano_enemy_50_reward,31,__NULL__,Event
e,100kano_enemy_60,202602160,100kano_event,EnemyDefeatCount,60,60,__NULL__,,0,100kano_missions,100kano_enemy_60_reward,32,__NULL__,Event
e,100kano_enemy_70,202602160,100kano_event,EnemyDefeatCount,70,70,__NULL__,,0,100kano_missions,100kano_enemy_70_reward,33,__NULL__,Event
e,100kano_enemy_80,202602160,100kano_event,EnemyDefeatCount,80,80,__NULL__,,0,100kano_missions,100kano_enemy_80_reward,34,__NULL__,Event
e,100kano_enemy_90,202602160,100kano_event,EnemyDefeatCount,90,90,__NULL__,,0,100kano_missions,100kano_enemy_90_reward,35,__NULL__,Event
e,100kano_enemy_100,202602160,100kano_event,EnemyDefeatCount,100,100,__NULL__,,0,100kano_missions,100kano_enemy_100_reward,36,__NULL__,Event
e,100kano_enemy_150,202602160,100kano_event,EnemyDefeatCount,150,150,__NULL__,,0,100kano_missions,100kano_enemy_150_reward,37,__NULL__,Event
e,100kano_enemy_200,202602160,100kano_event,EnemyDefeatCount,200,200,__NULL__,,0,100kano_missions,100kano_enemy_200_reward,38,__NULL__,Event
e,100kano_enemy_300,202602160,100kano_event,EnemyDefeatCount,300,300,__NULL__,,0,100kano_missions,100kano_enemy_300_reward,39,__NULL__,Event
