作品ID,敵キャラID,MstEnemyStageParameterID,敵キャラ名,クエストタイプ,難易度,インゲームID,コンテンツタイプ,コンテンツID
aya,enemy_glo_00001,e_glo_00001_general_Normal_Yellow,ファントム,normal,Hard,hard_tak_00001,stage,quest_main_tak_hard_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Yellow,ファントム,normal,Extra,veryhard_tak_00001,stage,quest_main_tak_veryhard_7
aya,enemy_glo_00001,e_glo_00001_general_as_Normal_Red,ファントム,normal,Normal,normal_glo3_00003,stage,quest_main_glo3_normal_12
aya,enemy_glo_00001,e_glo_00001_general_as_Normal_Yellow,ファントム,normal,Normal,normal_glo4_00003,stage,quest_main_glo4_normal_16
aya,enemy_glo_00001,e_glo_00001_general_as_h_Normal_Red,ファントム,normal,Hard,hard_glo3_00003,stage,quest_main_glo3_hard_12
aya,enemy_glo_00001,e_glo_00001_general_as_h_Normal_Yellow,ファントム,normal,Hard,hard_glo4_00003,stage,quest_main_glo4_hard_16
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_Normal_Blue,ファントム,normal,Extra,veryhard_chi_00001,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_Normal_Colorless,ファントム,normal,Extra,veryhard_chi_00001,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_Normal_Colorless,ファントム,normal,Extra,veryhard_chi_00002,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_Normal_Colorless,ファントム,normal,Extra,veryhard_chi_00003,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_Normal_Green,ファントム,normal,Extra,veryhard_chi_00002,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_Normal_Red,ファントム,normal,Extra,veryhard_chi_00002,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_big_Normal_Red,ファントム,normal,Extra,veryhard_chi_00003,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_chi_vh_big_Normal_Yellow,ファントム,normal,Extra,veryhard_chi_00002,stage,quest_main_chi_veryhard_9
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Blue,ファントム,normal,Hard,hard_glo1_00003,stage,quest_main_glo1_hard_4
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Blue,ファントム,normal,Hard,hard_spy_00006,stage,quest_main_spy_hard_1
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Blue,ファントム,normal,Normal,normal_glo1_00003,stage,quest_main_glo1_normal_4
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Blue,ファントム,normal,Extra,veryhard_gom_00005,stage,quest_main_gom_veryhard_2
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Blue,ファントム,normal,Extra,veryhard_spy_00001,stage,quest_main_spy_veryhard_1
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Yellow,ファントム,normal,Hard,hard_glo1_00002,stage,quest_main_glo1_hard_4
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Yellow,ファントム,normal,Hard,hard_gom_00003,stage,quest_main_gom_hard_2
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Yellow,ファントム,normal,Extra,veryhard_gom_00001,stage,quest_main_gom_veryhard_2
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Yellow,ファントム,normal,Extra,veryhard_gom_00003,stage,quest_main_gom_veryhard_2
aya,enemy_glo_00001,e_glo_00001_general_h_Normal_Yellow,ファントム,normal,Extra,veryhard_gom_00006,stage,quest_main_gom_veryhard_2
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_Normal_Blue,ファントム,normal,Extra,veryhard_kai_00002,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_Normal_Blue,ファントム,normal,Extra,veryhard_kai_00004,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_Normal_Green,ファントム,normal,Extra,veryhard_kai_00004,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_Normal_Red,ファントム,normal,Extra,veryhard_kai_00001,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_Normal_Red,ファントム,normal,Extra,veryhard_kai_00004,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_big_Normal_Green,ファントム,normal,Extra,veryhard_kai_00004,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_big_Normal_Red,ファントム,normal,Extra,veryhard_kai_00001,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_kai_vh_big_Normal_Red,ファントム,normal,Extra,veryhard_kai_00002,stage,quest_main_kai_veryhard_15
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00001,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00005,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Green,ファントム,normal,Extra,veryhard_mag_00001,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Green,ファントム,normal,Extra,veryhard_mag_00002,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Green,ファントム,normal,Extra,veryhard_mag_00003,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Green,ファントム,normal,Extra,veryhard_mag_00004,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Green,ファントム,normal,Extra,veryhard_mag_00005,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Green,ファントム,normal,Extra,veryhard_mag_00006,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Red,ファントム,normal,Extra,veryhard_mag_00001,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_mag_00002,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_mag_00003,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_mag_00004,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_mag_00005,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_mag_00006,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00001,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00003,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00004,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00005,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Blue,ファントム,normal,Extra,veryhard_mag_00006,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Green,ファントム,normal,Extra,veryhard_mag_00002,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Green,ファントム,normal,Extra,veryhard_mag_00005,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Green,ファントム,normal,Extra,veryhard_mag_00006,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_mag_vh_big_Normal_Yellow,ファントム,normal,Extra,veryhard_mag_00005,stage,quest_main_mag_veryhard_13
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_aka_00001,stage,quest_main_aka_hard_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_aka_00002,stage,quest_main_aka_hard_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_dan_00001,stage,quest_main_dan_hard_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_dan_00003,stage,quest_main_dan_hard_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_gom_00001,stage,quest_main_gom_hard_2
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_gom_00002,stage,quest_main_gom_hard_2
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_gom_00003,stage,quest_main_gom_hard_2
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_gom_00005,stage,quest_main_gom_hard_2
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_spy_00001,stage,quest_main_spy_hard_1
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_spy_00002,stage,quest_main_spy_hard_1
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_spy_00004,stage,quest_main_spy_hard_1
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Hard,hard_spy_00005,stage,quest_main_spy_hard_1
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Normal,normal_aka_00001,stage,quest_main_aka_normal_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Normal,normal_aka_00002,stage,quest_main_aka_normal_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Normal,normal_dan_00001,stage,quest_main_dan_normal_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Normal,normal_dan_00005,stage,quest_main_dan_normal_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Normal,normal_gom_00003,stage,quest_main_gom_normal_2
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Extra,veryhard_aka_00002,stage,quest_main_aka_veryhard_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Extra,veryhard_aka_00003,stage,quest_main_aka_veryhard_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Colorless,ファントム,normal,Extra,veryhard_gom_00003,stage,quest_main_gom_veryhard_2
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Hard,hard_aka_00003,stage,quest_main_aka_hard_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Hard,hard_dan_00006,stage,quest_main_dan_hard_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Hard,hard_glo1_00001,stage,quest_main_glo1_hard_4
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Normal,normal_aka_00003,stage,quest_main_aka_normal_3
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Normal,normal_dan_00002,stage,quest_main_dan_normal_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Extra,veryhard_dan_00006,stage,quest_main_dan_veryhard_5
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Extra,veryhard_glo1_00001,stage,quest_main_glo1_veryhard_4
aya,enemy_glo_00001,e_glo_00001_general_n_Normal_Red,ファントム,normal,Extra,veryhard_gom_00005,stage,quest_main_gom_veryhard_2
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh2_Normal_Blue,ファントム,normal,Extra,veryhard_glo3_00002,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh2_Normal_Colorless,ファントム,normal,Extra,veryhard_glo3_00002,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh2_big_Normal_Blue,ファントム,normal,Extra,veryhard_glo3_00002,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh2_big_Normal_Colorless,ファントム,normal,Extra,veryhard_glo3_00002,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh3_Normal_Colorless,ファントム,normal,Extra,veryhard_glo3_00003,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh3_Normal_Red,ファントム,normal,Extra,veryhard_glo3_00003,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh3_big_Normal_Colorless,ファントム,normal,Extra,veryhard_glo3_00003,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh3_big_Normal_Red,ファントム,normal,Extra,veryhard_glo3_00003,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh_Normal_Colorless,ファントム,normal,Extra,veryhard_glo3_00001,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori3_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_glo3_00001,stage,quest_main_glo3_veryhard_12
aya,enemy_glo_00001,e_glo_00001_general_ori4_Normal_Blue,ファントム,normal,Extra,veryhard_glo4_00002,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_Normal_Colorless,ファントム,normal,Extra,veryhard_glo4_00003,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_Normal_Green,ファントム,normal,Extra,veryhard_glo4_00001,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_Normal_Yellow,ファントム,normal,Extra,veryhard_glo4_00003,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_big_Normal_Blue,ファントム,normal,Extra,veryhard_glo4_00002,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_big_Normal_Colorless,ファントム,normal,Extra,veryhard_glo4_00003,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_big_Normal_Green,ファントム,normal,Extra,veryhard_glo4_00001,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_big_Normal_Yellow,ファントム,normal,Extra,veryhard_glo4_00003,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_ori4_big_a__Normal_Green,ファントム,normal,Extra,veryhard_glo4_00003,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_osh_h_Boss_Blue,ファントム,normal,Hard,hard_osh_00003,stage,quest_main_osh_hard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_h_Normal_Blue,ファントム,normal,Hard,hard_osh_00001,stage,quest_main_osh_hard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_h_Normal_Colorless,ファントム,normal,Hard,hard_osh_00003,stage,quest_main_osh_hard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_h_Normal_Colorless,ファントム,normal,Extra,veryhard_osh_00001,stage,quest_main_osh_veryhard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_n_Boss_Yellow,ファントム,normal,Normal,normal_osh_00001,stage,quest_main_osh_normal_17
aya,enemy_glo_00001,e_glo_00001_general_osh_n_Normal_Green,ファントム,normal,Normal,normal_osh_00003,stage,quest_main_osh_normal_17
aya,enemy_glo_00001,e_glo_00001_general_osh_n_Normal_Green,ファントム,normal,Extra,veryhard_osh_00001,stage,quest_main_osh_veryhard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_n_Normal_Green,ファントム,normal,Extra,veryhard_osh_00002,stage,quest_main_osh_veryhard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_n_Normal_Yellow,ファントム,normal,Hard,hard_osh_00003,stage,quest_main_osh_hard_17
aya,enemy_glo_00001,e_glo_00001_general_osh_n_Normal_Yellow,ファントム,normal,Normal,normal_osh_00001,stage,quest_main_osh_normal_17
aya,enemy_glo_00001,e_glo_00001_general_osh_vh_Boss_Blue,ファントム,normal,Extra,veryhard_osh_00001,stage,quest_main_osh_veryhard_17
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Green,ファントム,normal,Extra,veryhard_rik_00001,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Green,ファントム,normal,Extra,veryhard_rik_00002,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Green,ファントム,normal,Extra,veryhard_rik_00003,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Red,ファントム,normal,Extra,veryhard_rik_00001,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Red,ファントム,normal,Extra,veryhard_rik_00002,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Red,ファントム,normal,Extra,veryhard_rik_00003,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Yellow,ファントム,normal,Hard,hard_glo3_00001,stage,quest_main_glo3_hard_12
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Yellow,ファントム,normal,Normal,normal_glo3_00001,stage,quest_main_glo3_normal_12
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_rik_00001,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_rik_00002,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_Normal_Yellow,ファントム,normal,Extra,veryhard_rik_00003,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_big_Normal_Yellow,ファントム,normal,Extra,veryhard_rik_00001,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_rik_vh_big_Normal_Yellow,ファントム,normal,Extra,veryhard_rik_00002,stage,quest_main_rik_veryhard_11
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Blue,ファントム,normal,Extra,veryhard_sum_00003,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Blue,ファントム,normal,Extra,veryhard_sum_00004,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Green,ファントム,normal,Extra,veryhard_sum_00001,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Green,ファントム,normal,Extra,veryhard_sum_00002,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Green,ファントム,normal,Extra,veryhard_sum_00003,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Green,ファントム,normal,Extra,veryhard_sum_00005,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Green,ファントム,normal,Extra,veryhard_sum_00006,stage,quest_main_sum_veryhard_14
aya,enemy_glo_00001,e_glo_00001_general_sum_vh_Normal_Red,ファントム,normal,Extra,veryhard_sum_00004,stage,quest_main_sum_veryhard_14
