,,5,効果時間,250.0,265.0,275.0,290.0,300.0,400.0,500.0,550.0,,5,効果時間,250.0,265.0,275.0,290.0,300.0,400.0,500.0,550.0,,,,,,,,,,,,,5,効果時間,250.0,265.0,275.0,290.0,300.0,400.0,500.0,550.0
攻撃UP,ハイブリッド型,1,効果値,20,20,20,20,20,27,33,35,,1,効果値,5,5,5,5,5,10,15,15,,,,15,15,15,15,15,17,18,20,,1,効果値(%),60,60,60,60,60,189,304,322
,,1,効果時間,150.0,150.0,150.0,150.0,150.0,350.0,460.0,460.0,,1,効果時間,150.0,150.0,150.0,150.0,150.0,350.0,460.0,460.0,,,,,,,,,,,,,1,効果時間(s),3.0,3.0,3.0,3.0,3.0,7.0,9.2,9.2
,タップしたコマ,2,効果値,25,25,25,25,26,32,38,41,,2,効果値,10,10,10,10,11,15,20,21,,,,15,15,15,15,15,17,18,20,,2,効果値(%),96,102,103,106,113,243,365,413
,or,2,効果時間,195.0,205.0,205.0,210.0,215.0,375.0,480.0,500.0,,2,効果時間,195.0,205.0,205.0,210.0,215.0,375.0,480.0,500.0,,,,,,,,,,,,,2,効果時間(s),3.9,4.1,4.1,4.2,4.3,7.5,9.6,10.0
,タップしたコマ(属性orロール),3,効果値,28,28,28,29,31,36,41,46,,3,効果値,13,13,13,14,16,19,23,26,,,,15,15,15,15,15,17,18,20,,3,効果値(%),122,132,136,144,156,278,406,478
,,3,効果時間,220.0,235.0,240.0,250.0,255.0,385.0,490.0,525.0,,3,効果時間,220.00,235.00,240.00,250.00,255.00,385.00,490.00,525.00,,,,,,,,,,,,,3,効果時間(s),4,5,5,5,5,8,10,11
,,4,効果値,30,30,31,31,33,38,44,48,,4,効果値,15,15,16,16,18,21,26,28,,,,15,15,15,15,15,17,18,20,,4,効果値(%),142.5,153.6,162.0,170.5,189.2,303.7,435.6,520.6
,,4,効果時間,240.0,255.0,265.0,275.0,285.0,395.0,500.0,540.0,,4,効果時間,240.0,255.0,265.0,275.0,285.0,395.0,500.0,540.0,,,,,,,,,,,,,4,効果時間(s),5,5,5,6,6,8,10,11
,,5,効果値,31,32,32,33,35,40,45,50,,5,効果値,16,17,17,18,20,23,27,30,,,,15,15,15,15,15,17,18,20,,5,効果値(%),155.0,167.0,176.0,188.5,210.0,320.0,450.0,550.0
,,5,効果時間,250.0,265.0,275.0,290.0,300.0,400.0,500.0,550.0,,5,効果時間,250.0,265.0,275.0,290.0,300.0,400.0,500.0,550.0,,,,,,,,,,,,,5,効果時間(s),5,5,6,6,6,8,10,11
※アーニャ専用,タップしたコマ前後,1,効果値,60,,,,,,,,,1,効果値,30,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
HP回復(割合),,2,効果値,70.0,,,,,,,,,2,効果値,46.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,
,,3,効果値,80,,,,,,,,,3,効果値,58,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
,,4,効果値,90.0,,,,,,,,,4,効果値,65.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,
,,5,効果値,100,,,,,,,,,5,効果値,70,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
※アーニャ専用,タップしたコマ前後,1,効果値,30.0,,,,,,,,,1,効果値,10.00,,,,,,,,,,,20.0,,,,,,,,,1,効果値(%),300,0,0,0,0,0,0,0
攻撃UP,,1,効果時間,500,,,,,,,,,1,効果時間,500,,,,,,,,,,,,,,,,,,,,1,効果時間(s),10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,効果値,38.4,,,,,,,,,2,効果値,18.4,,,,,,,,,,,20.0,,,,,,,,,2,効果値(%),150,0,0,0,0,0,0,0
,,2,効果時間,195,,,,,,,,,2,効果時間,545,,,,,,,,,,,,,,,,,,,,2,効果時間(s),3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,効果値,44.0,,,,,,,,,3,効果値,24.0,,,,,,,,,,,20.0,,,,,,,,,3,効果値(%),194,0,0,0,0,0,0,0
,,3,効果時間,220,,,,,,,,,3,効果時間,570,,,,,,,,,,,,,,,,,,,,3,効果時間(s),4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,効果値,47.6,,,,,,,,,4,効果値,27.6,,,,,,,,,,,20.0,,,,,,,,,4,効果値(%),228,0,0,0,0,0,0,0
,,4,効果時間,240,,,,,,,,,4,効果時間,590,,,,,,,,,,,,,,,,,,,,4,効果時間(s),4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,効果値,50.0,,,,,,,,,5,効果値,30.0,,,,,,,,,,,20.0,,,,,,,,,5,効果値(%),600,0,0,0,0,0,0,0
,,5,効果時間,600,,,,,,,,,5,効果時間,600,,,,,,,,,,,,,,,,,,,,5,効果時間(s),12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
コマ指定：固定ダメージ,,1,効果値,,,,,,,,,,1,効果値,,,,,,,,,,1,効果値,,,,,,,,,,1,効果値,,,,,,,,
※スペシャル専用,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,
※SSR以上に設定可能,,2,効果値,,,,,,,,,,2,効果値,,,,,,,,,,2,効果値,,,,,,,,,,2,効果値,,,,,,,,
,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,
,,3,効果値,,,,,,,,,,3,効果値,,,,,,,,,,3,効果値,,,,,,,,,,3,効果値,,,,,,,,
,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,
,,4,効果値,,,,,,,,,,4,効果値,,,,,,,,,,4,効果値,,,,,,,,,,4,効果値,,,,,,,,
,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,
,,5,効果値,,,,,,,,,,5,効果値,,,,,,,,,,5,効果値,,,,,,,,,,5,効果値,,,,,,,,
,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,
コマ指定固定ダメージ,,1,効果値,,,5000,,,11500,20000,30000,,1,効果値,,,2000,,,5500,10000,15000,,1,効果値,,,3000,,,6000,10000,15000,,1,効果値,,,,,,,,
※スペシャル専用,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,
※SSR以上に設定可能,,2,効果値,,,5320,,,12380,21600,32400,,2,効果値,,,2320,,,6380,11600,17400,,2,効果値,,,3000,,,6000,10000,15000,,2,効果値,,,,,,,,
,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,
,,3,効果値,,,5800,,,13700,24000,36000,,3,効果値,,,2800,,,7700,14000,21000,,3,効果値,,,3000,,,6000,10000,15000,,3,効果値,,,,,,,,
,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,
,,4,効果値,,,6400,,,15350,27000,40500,,4,効果値,,,3400,,,9350,17000,25500,,4,効果値,,,3000,,,6000,10000,15000,,4,効果値,,,,,,,,
,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,
,,5,効果値,,,7000,,,17000,30000,45000,,5,効果値,,,4000,,,11000,20000,30000,,5,効果値,,,3000,,,6000,10000,15000,,5,効果値,,,,,,,,
,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,
再召喚時間短縮,,1,効果値,,,50,,,75,125,200,,1,効果値,,,,,,,,,,1,効果値,,,,,,,,,,1,効果値,,,,,,,,
※スペシャル専用,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,,,1,効果時間,,,,,,,,
※SSR以上に設定可能,,2,効果値,,,50,,,75,125,200,,2,効果値,,,,,,,,,,2,効果値,,,,,,,,,,2,効果値,,,,,,,,
,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,,,2,効果時間,,,,,,,,
,,3,効果値,,,50,,,75,125,200,,3,効果値,,,,,,,,,,3,効果値,,,,,,,,,,3,効果値,,,,,,,,
,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,,,3,効果時間,,,,,,,,
,,4,効果値,,,50,,,75,125,200,,4,効果値,,,,,,,,,,4,効果値,,,,,,,,,,4,効果値,,,,,,,,
,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,,,4,効果時間,,,,,,,,
,,5,効果値,,,50,,,75,125,200,,5,効果値,,,,,,,,,,5,効果値,,,,,,,,,,5,効果値,,,,,,,,
,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,,,5,効果時間,,,,,,,,
