「GLOW_基本販売物_レギュレーション」を参照,,,,,,,,,,,,
,,,,,,,,,,,,
,UR確定ガシャチケット,,¥300.00,,150,,30000,,,,,
,コンティニュー,,¥60.00,,30,,6000,,,,,
,クイック探索,,¥60.00,,30,,6000,,,,,
,プレミアムメダル,,¥300.00,,150,,30000,,,,,
,ランクマッチチケット,,¥60.00,,30,,6000,,,,,
,キャラアイコン,,¥300.00,,150,,30000,,,,,
,エンブレム,,¥300.00,,150,,30000,,,,,
,原画,,¥300.00,,150,,30000,,,,,
,スタミナドリンク,,¥75.60,,37.8,,7560,,スタミナを10回復するアイテムの為、スタミナ単価から算出,,,
,スーパースタミナドリンク,,¥378.00,,189,,37800,,スタミナを50回復するアイテムの為、スタミナ単価から算出,,,
,ハーフスタミナドリンク,,¥30.00,,15,,3000,,"ユーザーの現在のスタミナ所持上限の半分のスタミナ量を回復する
アイテムの為、プリズム30個使用で全回復するところから算出",,,
,,,,,,,,,,,,
,★景品単価の簡便な算定方法,,,,,,,,,,,
,「クエスト等のゲームプレイにより、1時間あたりで対象アイテムを何個取得できるか」という観点から景品単価を算定します。,,,,,,,,,,,
,例えば、ゲームプレイにより、1時間あたり「進化アイテムA」を5個入手できる場合には、「進化アイテムA」の景品単価を以下のように算定します。,,,,,,,,,,,
,,,,,,,,,,,,
,「進化アイテムA」の景品単価＝【一般的にお客様が1時間の時短のために課金する平均金額（税込30円）】÷【1時間あたりの入手数（5個）】 ＝ 6円,,,,,,,,,,,
,,,,⬆︎,,,⬆︎,,,,,
,,,"BNE NE事業部が配信するゲームタイトルであれば、
一律「税込30円」で算出いただいて問題ありません。",,,,「スタミナ制限」があるゲームタイトルの場合には、「スタミナ制限」がないと仮定して算定してください。,,,,,
,※探索と期待値計算のうち試算が高くなった方を採用しています。,,,,,,,,,,,
,,計算表,,,,,,,,,,
,項目,景品,,,"時短1時間の
 ための課金額",1時間あたりの入手数,単価（税込）,,,,,
,リソース,カラーメモリー（5種）,,,¥30.00,110,¥0.27,,,,,
,,初級メモリーフラグメント,,,¥30.00,3,¥10.00,,,,,
,,中級メモリーフラグメント,,,¥30.00,2,¥15.00,,,,,
,,上級メモリーフラグメント,,,¥30.00,1,¥30.00,,,,,
,,コイン,,,¥30.00,5760,¥0.01,,,,,
,,,,,,,,,,,,
,,,,計算,,,,,,,,
,,,,回復1回に使用するプリズムの個数,,,30,,,,,
,,,,回復量,,,全回復する,,,,,
,,,,最大スタミナの平均値,,,113.4333333,,,,,
,,,,プリズム1個あたりのスタミナ回復量,,,3.781111111,,,,,
,,,,1スタミナの金額（小数点2桁で切り捨て）,,,¥7.56,,,,,
,,,,,,,,,,,,
,▼キャラLv.強化,,,,,,▼キャラのLv.80強化までに必要なコイン量,,,,,
,"レベル
/個数",全レアリティ共通,,,,,UR,164550,,,,
,Lv.,カラーメモリー1種,"メモリーフラグメント
初級","メモリーフラグメント
中級","メモリーフラグメント
上級",,SSR,98730,,,,
,Lv.10,-,-,-,-,,SR,65820,,,,
,Lv.20,200,-,-,-,,R,32910,,,,
,Lv.30,250,5,-,-,,,,,,,
,Lv.40,300,10,5,-,,,,,,,
,Lv.50,350,15,10,-,,,,,,,
,Lv.60,400,20,15,3,,,,,,,
,Lv.70,450,25,20,5,,,,,,,
,"Lv.80までの強化に
各種強化アイテムの個数",1950,75,50,8,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,▼グレード強化,,,,,,▼キャラ被り時のキャラのかけらへの変換数,,,▼ガシャ確率(％),,
,グレード数（凸数）,UR,SSR,SR,R,,UR,50,,UR,3,0.75
,☆☆,50,50,50,50,,SSR,20,,SSR,10,
,☆☆☆,50,50,50,50,,SR,10,,SR,35,
,☆☆☆☆,50,50,50,50,,R,10,,R,52,
,☆☆☆☆☆,50,50,50,50,,↑これで決定(6/10),,,"ピックアップUR：0.75%
ピックアップSSR：1.5%",,
,"⭐︎5までの必要な
キャラのかけらの個数",200,200,200,200,,"※ピックアップガシャの新キャラ登場時に合わせて、キャラのかけらBOXに
そのキャラのかけらのラインナップを追加する
⇨他のゲームでいうところのガチャポイントみたいなイメージ
⇨ピックアップキャラの恒常ガシャへの追加は、BNEレギュでバナーに期間限定表示や
販売期間を限定している場合は、販売4ヶ月後以降にしか追加できないので要注意。",,,,,
,"⭐︎5まで必要体数
（強化元のキャラが1体必要）",5,5,5,5,,,,,,,
,,,,,,,,,,,,
,▼キャラのかけらBOX,,,,,,▼1凸分のかけら獲得するのに必要なガシャ回転数期待値,,,,,
,交換に必要なアイテム,交換に必要な数,交換可能アイテム,交換後獲得数,"1体被りで獲得できる
かけらBOX数",,レアリティ,期待値回転数,,種別,単価,
,URのキャラのかけら,3,選べるURのキャラのかけらBOX,1,16.7,,UR(ピックアップ),133.33,⇨100連目天井,キャラのかけら,30.00,
,SSRのキャラのかけら,5,選べるSSRのキャラのかけらBOX,1,4.0,,UR(通常),33.33,,プリズム,2.00,
,SRのキャラのかけら,10,選べるSRのキャラのかけらBOX,1,1.0,,SSR,25,,,,
,Rのキャラのかけら,15,選べるRのキャラのかけらBOX,1,0.7,,SR,14.29,,,,
,,,,,,,R,9.615384615,,,,
,交換計算（新）,,,,,,,,,,,
,レアリティ,"1体被りで獲得できる
かけら数","かけらBOXを50個獲得するのに
必要な被りキャラの数",ガシャ確率（%）,"BOX1個獲得するのに
必要なガシャ回転数（期待値）",,▼10連で何体出るかの期待値,,,,,
,UR,50,1.0,3.00%,0.50,,レアリティ,期待値体数,,,,
,SSR,20,2.5,10.00%,0.40,,UR(ピックアップ),0.075,,,,
,SR,10,5.0,35.00%,0.35,,UR,0.3,,,,
,R,10,5.0,52.00%,0.35,,SSR,1,,,,
,,,,,,,SR,3.5,,,,
,,,,,,,R,5.2,,,,
,交換計算（古）_キャラの1凸に必要なかけらの数も10個,,,,,,,,,,,
,交換に必要なアイテム,交換に必要な数,交換可能アイテム,交換後獲得数,"1体被りで獲得できる
かけらBOX数",,,,,,,
,URのキャラのかけら,10,選べるURのキャラのかけらBOX,1,1.0,,,,,,,
,SSRのキャラのかけら,10,選べるSSRのキャラのかけらBOX,1,1.0,,,,,,,
,SRのキャラのかけら,10,選べるSRのキャラのかけらBOX,1,1.0,,,,,,,
,Rのキャラのかけら,10,選べるRのキャラのかけらBOX,1,1.0,,,,,,,
,交換計算（古）,,,,,,,,,,,
,レアリティ,"1体被りで獲得できる
かけら数","かけらBOXを10個獲得するのに
必要な被りキャラの数",ガシャ確率（%）,"BOX1個獲得するのに
必要なガシャ回転数（期待値）",,,,,,,
,UR,10.0,10.0,4.00%,0.040,,,,,,,
,SSR,10.0,10.0,10.00%,0.100,,,,,,,
,SR,10.0,10.0,35.00%,0.350,,,,,,,
,R,10.0,10.0,53.00%,0.530,,,,,,,
,,,,,,,,,,,,
,◆販売物シミュレーション用シート,,,,,,,,,,,
,"・割引率の上限：通常販売のものは「55%まで」、購入制限があるものは「80%まで」が割引上限（セール上限）となります。
※上記以上の割引率での提供を行いたい場合はBNEプロデューサーへご相談ください。",,,,,,,,,,,
,■商品種別,パック,,,,,,,,,,
,■合計価格(税込),"¥13,235",,,,,,,,,,
,■税別価格,"¥11,912",,,,,,,,,,
,■割引価格(税込)=販売価格,"¥5,000",■割引率,62.22%,,,,,,,,
,■税別割引価格,"¥4,500",,,,,,,,,,
,■購入可能回数,1,,,,,,,,,,
,■販売期間(有効期間),2025/12/08,〜,2026/01/01,,,,,,,,
,,,,,,,,,,,,
,名称,有効期限・オマケ,受け取り期限,有償分,無償分(オマケ),単価,価格,おまけ,,,,
,メモリーフラグメント・初級,有償販売,(無期限),50,0,¥10.00,¥500,¥0.00,,,,
,メモリーフラグメント・中級,有償販売,(無期限),30,0,¥15.00,¥450,¥0.00,,,,
,メモリーフラグメント・上級,有償販売,(無期限),3,0,¥30.00,¥90,¥0.00,,,,
,カラーメモリー・グレー,有償販売,(無期限),100,0,¥0.27,¥27,¥0.00,,,,
,カラーメモリー・レッド,有償販売,(無期限),100,0,¥0.27,¥27,¥0.00,,,,
,カラーメモリー・グリーン,有償販売,(無期限),100,0,¥0.27,¥27,¥0.00,,,,
,カラーメモリー・ブルー,有償販売,(無期限),100,0,¥0.27,¥27,¥0.00,,,,
,カラーメモリー・イエロー,有償販売,(無期限),100,0,¥0.27,¥27,¥0.00,,,,
,スペシャルガシャチケット,有償販売,(無期限),10,0,¥300.00,"¥3,000",¥0.00,,,,
,ピックアップガシャチケット,有償販売,(無期限),10,0,¥300.00,"¥3,000",¥0.00,,,,
,UR1体確定10連ガシャチケット,有償販売,(無期限),1,0,"¥3,000.00","¥3,000",¥0.00,,,,
,ピックアップUR1体確定10連ガシャチケット,有償販売,(無期限),1,0,"¥3,000.00",,¥0.00,,,,
,URランダムかけらBOX,有償販売,(無期限),10,0,¥6.00,"¥3,000",¥0.00,,,,
,UR選択かけらBOX,有償販売,(無期限),10,0,¥6.00,¥60,¥0.00,,,,
,コイン,無償販売,(無期限),0,100000,¥0.01,¥0,"¥1,000.00",,,,
,,,,,合計,,"¥13,235","¥1,000.00",,,,
,,,,,割引後価格,,"¥5,000",▼無償報酬の割合,,,,
,,,,,割引,,62.22%,20.00%,,,,
