ENABLE,id,mst_auto_player_sequence_id,mst_auto_player_sequence_set_id,bgm_asset_key,boss_bgm_asset_key,loop_background_asset_key,player_outpost_asset_key,mst_page_id,mst_enemy_outpost_id,mst_defense_target_id,boss_mst_enemy_stage_parameter_id,boss_count,normal_enemy_hp_coef,normal_enemy_attack_coef,normal_enemy_speed_coef,boss_enemy_hp_coef,boss_enemy_attack_coef,boss_enemy_speed_coef,release_key,result_tips.ja,description.ja
e,dungeon_kai_normal_00001,,dungeon_kai_normal_00001,SSE_SBG_003_001,,kai_00001,,dungeon_kai_normal_00001,dungeon_kai_normal_00001,,,0,1,1,1,1,1,1,202604010,無属性の怪獣余獣が出現する。どの属性のキャラでも戦いやすいが、素早く撃破してHP消耗を抑えよう。,怪獣討伐部隊として余獣の群れに立ち向かえ！無属性の怪獣が次々と押し寄せてくる。
e,dungeon_kai_boss_00001,dungeon_kai_boss_00001,dungeon_kai_boss_00001,SSE_SBG_003_001,,kai_00001,,dungeon_kai_boss_00001,dungeon_kai_boss_00001,,c_kai_00001_general_Normal_Yellow,1,1,1,1,1,1,1,999999999,カフカが撃破されるまで敵ゲートはダメージを受けない。まず日比野カフカを倒すことに集中しよう！,防衛省の隊員・日比野カフカが立ちはだかる！黄属性のボスに緑属性のキャラが有利。護衛の怪獣余獣にも注意せよ。
e,dungeon_kim_normal_00001,,dungeon_kim_normal_00001,SSE_SBG_003_002,,kim_00001,,dungeon_kim_normal_00001,dungeon_kim_normal_00001,,,,1,1,1,1,1,1,999999999,青属性キャラは赤属性の敵に対して有利に戦えるぞ！,無属性と赤属性のファントムが次々と押し寄せる！青属性キャラで赤属性の敵に有利に戦え！
e,dungeon_kim_boss_00001,dungeon_kim_boss_00001,dungeon_kim_boss_00001,SSE_SBG_003_009,SSE_SBG_003_007,kim_00001,,dungeon_kim_boss_00001,dungeon_kim_boss_00001,,c_kim_00001_kim1_challenge_Boss_Red,1,1,1,1,1,1,1,999999999,ボスが生き残っている間は敵ゲートにダメージが入らないぞ！花園 羽々里の撃破を最優先しよう！,溢れる母性 花園 羽々里がゲートを守護！ボスを倒さなければゲートは壊せないぞ！青属性キャラで赤属性のボスに有利に戦え！
e,dungeon_mag_normal_00001,dungeon_mag_normal_00001,dungeon_mag_normal_00001,SSE_SBG_003_001,,mag_00004,,dungeon_mag_normal_00001,dungeon_mag_normal_00001,,,0,1,1,1,1,1,1,999999999,,魔法少女たちが怪異を退治するマジルミエの世界へようこそ。青属性の敵も登場するので黄属性のキャラは有利に戦える。後半は超高速のつらら（怪異）が突撃してくるので注意！
e,dungeon_mag_boss_00001,dungeon_mag_boss_00001,dungeon_mag_boss_00001,SSE_SBG_003_001,,mag_00004,,dungeon_mag_boss_00001,dungeon_mag_boss_00001,,c_mag_00001_challange_Boss_Yellow,1,1,1,1,1,1,1,999999999,,黄属性のボスが登場するので緑属性のキャラは有利に戦える。ボスを倒すまで敵ゲートへのダメージは無効。まずボスを集中撃破せよ。マジルミエの新人魔法少女・桜木カナが立ちはだかる決戦フロア
e,dungeon_osh_normal_00001,dungeon_osh_normal_00001,dungeon_osh_normal_00001,SSE_SBG_003_003,,osh_00001,,dungeon_osh_normal_00001,dungeon_osh_normal_00001,,,0,1,1,1,1,1,1,999999999,,黄属性の敵と無属性の敵が登場するぞ！緑属性のキャラは黄属性の敵に対して有利に戦うことができるぞ！
e,dungeon_osh_boss_00001,dungeon_osh_boss_00001,dungeon_osh_boss_00001,SSE_SBG_003_003,,osh_00001,,dungeon_osh_boss_00001,dungeon_osh_boss_00001,,c_osh_00001_general_osh_n_Boss_Colorless,1,1,1,1,1,1,1,999999999
e,dungeon_spy_normal_00001,dungeon_spy_normal_00001,dungeon_spy_normal_00001,SSE_SBG_003_002,,spy_00005,,dungeon_spy_normal_00001,dungeon_spy_normal_00001,,,0,1,1,1,1,1,1,999999999,無属性の敵が登場する,無属性の強敵が波状に押し寄せる。攻撃力の高い敵を素早く撃破せよ。
e,dungeon_spy_boss_00001,dungeon_spy_boss_00001,dungeon_spy_boss_00001,SSE_SBG_003_002,,spy_00005,,dungeon_spy_boss_00001,dungeon_spy_boss_00001,,c_spy_00101_spy_dungeon_Boss_Blue,1,1,1,1,1,1,1,999999999,青属性のボスが登場する（黄属性有利）,必殺ワザを使ってくる強敵に注意。黄属性キャラを中心に編成し、ボスを撃破せよ。
e,dungeon_sum_normal_00001,dungeon_sum_normal_00001,dungeon_sum_normal_00001,SSE_SBG_003_003,,sum_00003,,dungeon_sum_normal_00001,dungeon_sum_normal_00001,,,0,1,1,1,1,1,1,999999999,影に飲み込まれるな！緑属性のキャラが黄属性の敵に対して有利に戦えるぞ,無属性と黄属性の影が次々と押し寄せてくる。黄属性の敵に対しては緑属性のキャラを活用しよう！
e,dungeon_sum_boss_00001,dungeon_sum_boss_00001,dungeon_sum_boss_00001,SSE_SBG_003_003,,sum_00003,,dungeon_sum_boss_00001,dungeon_sum_boss_00001,,c_sum_00101_general_Boss_Red,1,1,1,1,1,1,1,999999999,影のウシオを倒さないと敵ゲートにダメージが入らないぞ！青属性のキャラが赤属性の敵に有利だ,サマータイムレンダの世界から影のウシオが現れた！強力なボスを倒して先へ進め！赤属性の敵が登場するので青属性のキャラが有利に戦えるぞ
e,dungeon_sur_normal_00001,dungeon_sur_normal_00001,dungeon_sur_normal_00001,SSE_SBG_003_001,,sur_00001,,dungeon_sur_normal_00001,dungeon_sur_normal_00001,,,0,1,1,1,1,1,1,999999999,無属性・青属性・緑属性の醜鬼が次々と出現する。緑属性の醜鬼には赤属性のキャラが有利だぞ！,魔都から現れた醜鬼の群れが迫りくる。段階的に強化される敵の波を食い止めろ！
e,dungeon_sur_boss_00001,dungeon_sur_boss_00001,dungeon_sur_boss_00001,SSE_SBG_003_001,,sur_00001,sur_00001,dungeon_sur_boss_00001,dungeon_sur_boss_00001,,c_sur_00101_general_Boss_Blue,1,1,1,1,1,1,1,999999999,誇り高き魔都の剣姫・羽前 京香がボスとして登場。ボスを撃破するまで敵ゲートにダメージが入らないぞ！まずは羽前 京香を倒せ！,魔都最強の剣姫・羽前 京香が立ちはだかる。彼女を打ち倒し、限界チャレンジを突破せよ！
e,dungeon_tak_normal_00001,dungeon_tak_normal_00001,dungeon_tak_normal_00001,SSE_SBG_003_002,,glo_00004,,dungeon_tak_normal_00001,dungeon_tak_normal_00001,,,0,1,1,1,1,1,1,999999999,無属性の敵が登場する。敵ゲートを守りながら着実に撃破しよう,タコピーの世界の仲間たちが迫ってくる！無属性の敵をすばやく倒して敵ゲートを守り切れ！
e,dungeon_tak_boss_00001,dungeon_tak_boss_00001,dungeon_tak_boss_00001,SSE_SBG_003_002,,glo_00004,,dungeon_tak_boss_00001,dungeon_tak_boss_00001,,c_tak_00001_tak_dungeon_Boss_Yellow,1,1,1,1,1,1,1,999999999,黄属性のタコピーが登場！ボスを倒すまで敵ゲートはダメージを受けない。緑属性キャラで集中攻撃しよう,"みんなを幸せにしたい"そう願うタコピーが立ちはだかる！ボスを撃破して突破せよ！
e,dungeon_you_normal_00001,dungeon_you_normal_00001,dungeon_you_normal_00001,SSE_SBG_003_001,,you_00001,,dungeon_you_normal_00001,dungeon_you_normal_00001,,,0,1,1,1,1,1,1,999999999
e,dungeon_you_boss_00001,dungeon_you_boss_00001,dungeon_you_boss_00001,SSE_SBG_003_001,SSE_SBG_003_004,you_00001,,dungeon_you_boss_00001,dungeon_you_boss_00001,,c_you_00001_you_dungeon_Boss_Red,1,1,1,1,1,1,1,999999999,赤属性の強敵（ボス）が登場する（青属性有利）,必殺ワザを使ってくる元殺し屋に注意。ボスを先に倒さないとゲートにダメージが入らない。
e,dungeon_yuw_normal_00001,dungeon_yuw_normal_00001,dungeon_yuw_normal_00001,SSE_SBG_003_006,,yuw_00001,,dungeon_yuw_normal_00001,dungeon_yuw_normal_00001,,,0,1,1,1,1,1,1,999999999,黄属性の敵には緑属性、緑属性の敵には赤属性が有利です,コスプレの世界へようこそ！天乃リリサたちが進軍してくるぞ。黄属性と緑属性の敵が入り混じって登場するため、両属性に対応できる編成で挑もう！
e,dungeon_yuw_boss_00001,dungeon_yuw_boss_00001,dungeon_yuw_boss_00001,SSE_SBG_003_006,SSE_SBG_003_007,yuw_00001,,dungeon_yuw_boss_00001,dungeon_yuw_boss_00001,,c_yuw_00301_yuw_dungeon_Boss_Blue,1,1,1,1,1,1,1,999999999,ボスを倒すまで敵ゲートにダメージが入りません！まずはボス（青属性）を撃破しよう。緑属性キャラが有利です,乃愛がボスとして立ちはだかる！ボスが生存している間は敵ゲートへのダメージが無効。ボスを撃破してから敵ゲートを破壊せよ。護衛の天乃リリサにも要注意！
