,【高難易度】,,,スレイブと組長,12/08 15:00,1/16 10:59,v1.4.1メンテナンスがあるため終了時間変更,,,
,【降臨バトル】,,,魔防隊と戦う者,12/22 15:00,12/29 14:59,,,,
,【ログインボーナス】,,,魔都精兵のスレイブ いいジャン祭 特別ログインボーナス,12/08 15:00,2026/01/01 3:59,"D承認済み（年始都合上、直後に入れ替え）
推しの子1/1 4:00から",,,
,【ミッション】,,,魔都精兵のスレイブ いいジャン祭 特別ミッション,12/08 15:00,1/16 10:59,v1.4.1メンテナンスがあるため終了時間変更,,,
,【コイン獲得クエスト】,,,コイン獲得クエスト キャラボーナス,12/08 15:00,1/16 10:59,v1.4.1メンテナンスがあるため終了時間変更,,,
,,,,,※12/08 12:00 開始の施策は総じて、ユーザーに 12/08 15:00 で告知する。,,,,,
,,,,,,,,,,
,,,,,,,,,,
,新キャラ一覧,,,,,,,,,
,,,,,,,,,,
,キャラID,,,キャラ名,,獲得場所,レアリティ,獲得属性色,備考,
,chara_sur_00501,,,空間を操る六番組組長 出雲 天花,,ピックアップガシャ,UR,黄,,
,chara_sur_00601,,,東 八千穂,,ピックアップガシャ,SSR,赤,,
,chara_sur_00701,,,和倉 青羽,,イベント報酬,SR,青,,
,chara_sur_00801,,,無窮の鎖 和倉 優希,,イベント報酬,SR,黄,,
,,,,,,,,,,
,chara_yuw_00102,,,愛届ける聖夜のサンタ　橘 美花莉,,ピックアップガシャ,UR,緑,12/22 15:00スタート フェス限,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,新アイテム一覧,,,,,,,,,
,,,,,,,,,,
,アイテムID,,,アイテム名,,ID管理シート,備考,,,記載したい物
,piece_sur_00501,,,空間を操る六番組組長 出雲 天花のかけら,,GLOW_ID 管理,,,,キャラのかけら
,piece_sur_00601,,,東 八千穂のかけら,,GLOW_ID 管理,,,,キャラ専用カラーメモリー
,memory_chara_sur_00701,,,和倉 青羽のメモリー,,GLOW_ID 管理,,,,エンブレム
,memory_chara_sur_00801,,,無窮の鎖 和倉 優希のメモリー,,GLOW_ID 管理,,,,原画のかけら（完成）
,emblem_event_sur_00001,,,魔都防衛隊エンブレム(仮),,GLOW_ID 管理,,,,ガシャチケット
,emblem_event_sur_00002,,,羽前 京香アイコン(仮),,GLOW_ID 管理,,,,エネミー専用キャラ（新キャラ一覧へ）
,emblem_event_sur_00003,,,出雲 天花アイコン(仮),,GLOW_ID 管理,,,,
,emblem_adventbattle_sur_season01_00001,,,屈服の時間だ(1位),,GLOW_ID 管理,,,,
,emblem_adventbattle_sur_season01_00002,,,屈服の時間だ(2位),,GLOW_ID 管理,,,,
,emblem_adventbattle_sur_season01_00003,,,屈服の時間だ(3位),,GLOW_ID 管理,,,,
,emblem_adventbattle_sur_season01_00004,,,屈服の時間だ(4~50位),,GLOW_ID 管理,,,,
,emblem_adventbattle_sur_season01_00005,,,屈服の時間だ(51~300位),,GLOW_ID 管理,,,,
,emblem_adventbattle_sur_season01_00006,,,"屈服の時間だ(301~1,000位)",,GLOW_ID 管理,,,,
,artwork_event_sur_0001,,,六番組長の出雲 天花です,,GLOW_ID 管理,,,,
,artwork_event_sur_0002,,,お前の姉じゃない,,GLOW_ID 管理,,,,
