,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,味方ゲートID,,,敵ゲートID,,,敵ゲートasset,,,敵ゲートHP,,,リリースキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,15,245057,,w5,,80,15,245297,,w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,default,,,raid_you1_00001,,,event_you_0001,,,無敵（♾️）,,,202602010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,304134,,w6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■報酬設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,クリアコイン,,,リーダーEXP,,,原画のかけら確率,,,原画のかけら種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,,,100,,,なし,,,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ドロップ区分,,,リソースtype,,アイテムID,,,アイテム名,,,,,,,,ドロップ数,,ドロップ率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00001,,,カラーメモリー・グレー,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00002,,,カラーメモリー・レッド,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00003,,,カラーメモリー・ブルー,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00004,,,カラーメモリー・イエロー,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random,,,item,,memory_glo_00005,,,カラーメモリー・グリーン,,,,,,,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■コマ設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,行数,,行パターンID,,コマ数,,コマ高さ,,コマ幅1,,コマ幅2,,コマ幅3,,コマ幅4,,コマ背景,,,コマ効果1,,,,,効果時間,,効果数値,,コマ効果2,,,,,効果時間,,効果数値,,コマ効果3,,,,,効果時間,,効果数値,,コマ効果4,,,,,効果時間,,効果数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1行目,,6,,2コマ,,0.55,,0.5,,0.5,,none,,none,,you_00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2行目,,1,,1コマ,,0.55,,1,,none,,none,,none,,you_00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3行目,,9,,3コマ,,0.55,,0.25,,0.5,,0.25,,none,,you_00003,,,,,,,,,,,,AttackPowerDown,,,,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4行目,,10,,3コマ,,0.55,,0.25,,0.25,,0.5,,none,,you_00003,,,Poison,,,,,3000,,15,,AttackPowerDown,,,,,,,50%,,AttackPowerDown,,,,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5行目,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■Enemyシーケンス ,,,,※コピペして使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sequence
_group_id",,"sequence_
element_id",,priority_sequence_element_id,,Enemy_ID,,,,ファントム名,,,,unit_kind,,属性,,ロール,,オーラタイプ,,死亡タイプ,,必殺ワザ有無,,体力,,体力係数,,攻撃力,,攻撃係数,,通常攻撃F,,通常攻撃CDF,,通常攻撃DPS,,通常攻撃備考,,,,必殺技内容,,,,,必殺発動回数,,必殺技F(秒),,特性,,移動速度,,well_distance,,start_range,,end_range,,攻撃範囲,,KB回数,,撃破p,,上書き撃破p,,撃破スコア,,変身先ID,,変身条件1,,変身条件2,,"出撃条件
condition_type",,,,"出撃開始値
condition_value",,"出撃間隔値
summon_interval",,"召喚回数
summon_count",,"アクション遅延
action_delay",,"出撃
アニメーション",,"召喚pos
summon_position",,"移動開始条件
move_start_condition_type",,,,"移動開始値
condition_value",,"移動停止条件
move_stop_condition_type",,,,移動停止値,,"移動再スタート条件
move_restart_condition_type",,,,移動再スタート値,,"再スタート回数
move_loop_count",,ゲート無敵化,,出現停止条件,,,,停止条件値,,備考,,,,,,,,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,リリースキー
,,,1,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,10000,,10,,100,,1,,63.5,,,,78.74,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,100,,30,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.2,,EnterTargetKoma,,,,0,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,1,,InitialSummon,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,1,0,None,1.2,EnterTargetKoma,0,None,,None,,,FALSE,,Default,Normal,10,1,1,100,30,,None,,202512020
,,,2,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,10000,,10,,100,,1,,63.5,,,,78.74,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,100,,30,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.5,,EnterTargetKoma,,,,1,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,2,,InitialSummon,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,1,0,None,1.5,EnterTargetKoma,1,None,,None,,,FALSE,,Default,Normal,10,1,1,100,30,,None,,202512020
,,,3,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,4000,,4,,200,,2,,63.5,,,,157.48,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,200,,30,,,,,,,,InitialSummon,,,,0,,0,,1,,,,None,,1.8,,EnterTargetKoma,,,,1,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,3,,InitialSummon,0,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,1,0,None,1.8,EnterTargetKoma,1,None,,None,,,FALSE,,Default,Normal,4,2,1,200,30,,None,,202512020
,,,4,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,4000,,4,,200,,2,,63.5,,,,157.48,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,100,,10,,,,,,,,ElapsedTime,,,,500,,500,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,4,,ElapsedTime,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,FALSE,,Default,Normal,4,2,1,100,10,,None,,202512020
,,,groupchange_1,,,,w1,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,3,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,groupchange_1,,FriendUnitDead,3,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w1,,5,,,,c_you_00001_you1_advent_Normal_Colorless,,,,元殺し屋の新人教諭 リタ,,,,Normal,,Colorless,,Attack,,Default,,Normal,,,,10000,,10,,200,,2,,67,,,,149.25,,,,,,1回目の攻撃に合わせて攻撃UP100%(5秒間),,,,,4,,88.5,,,,45,,0.2,,,,,,,,1,,50,,100,,50,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,0,,1,,,,Fall,,2.8,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,5,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_you_00001_you1_advent_Normal_Colorless,,1,0,Fall,2.8,None,,None,,None,,,FALSE,,Default,Normal,10,2,1,100,50,,None,,202512020
,w1,,6,,,,c_you_00201_you1_advent_Boss_Green,,,,ダグ,,,,Boss,,Green,,Technical,,AdventBoss1,,Normal,,,,80000,,8,,400,,4,,83.5,,,,239.52,,,,,,1回目の攻撃に合わせて攻撃DOWN10%(6秒間),,,,,4,,158.5,,,,32,,0.6,,,,,,,,1,,100,,150,,75,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,150,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,6,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_you_00201_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss1,Normal,8,4,1,150,75,,None,,202512020
,w1,,7,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,20000,,20,,100,,1,,63.5,,,,78.74,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,50,,30,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,250,,2,,,,Fall,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,7,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,250,Fall,2.5,None,,None,,None,,,FALSE,,Default,Normal,20,1,1,50,30,,None,,202512020
,w1,,8,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,20000,,20,,100,,1,,63.5,,,,78.74,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,750,,500,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,8,,ElapsedTimeSinceSequenceGroupActivated,750,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,FALSE,,Default,Normal,20,1,1,50,10,,None,,202512020
,w1,,groupchange_2,,,,w2,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,6,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w1,groupchange_2,,FriendUnitDead,6,SwitchSequenceGroup,w2,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
,w2,,9,,,,c_you_00101_you1_advent_Boss_Green,,,,ルーク,,,,Boss,,Green,,Technical,,AdventBoss1,,Normal,,,,200000,,20,,800,,8,,82,,,,487.80,,,,,,1回目の攻撃に合わせて5%の毒状態(18秒間),,,,,5,,178.5,,,,40,,0.26,,,,,,,,1,,100,,150,,75,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,9,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_you_00101_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss1,Normal,20,8,1,150,75,,None,,202512020
,w2,,10,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,25000,,25,,300,,3,,63.5,,,,236.22,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,0,,50,,2,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,10,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,25,3,1,50,10,,None,,202512020
,w2,,11,,,,e_you_00001_you1_advent_Normal_Green,,,,不良系金髪イケメン,,,,Normal,,Green,,Defense,,Default,,Normal,,,,25000,,25,,300,,3,,63.5,,,,236.22,,,,,,,,,,,-,,none,,,,37,,0.2,,,,,,,,2,,50,,50,,30,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,150,,2,,,,Fall,,2.5,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,11,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,150,Fall,2.5,None,,None,,None,,,FALSE,,Default,Normal,25,3,1,50,30,,None,,202512020
,w2,,12,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,10000,,10,,800,,8,,63.5,,,,629.92,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,100,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,12,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,100,None,,None,,None,,None,,,FALSE,,Default,Normal,10,8,1,50,10,,None,,202512020
,w2,,13,,,,e_you_00101_you1_advent_Normal_Green,,,,イケメンじゃない殺し屋,,,,Normal,,Green,,Attack,,Default,,Normal,,,,10000,,10,,800,,8,,63.5,,,,629.92,,,,,,,,,,,-,,none,,,,30,,0.6,,,,,,,,3,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,1500,,250,,3,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,13,,ElapsedTimeSinceSequenceGroupActivated,1500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,250,None,,None,,None,,None,,,FALSE,,Default,Normal,10,8,1,50,10,,None,,202512020
,w2,,groupchange_3,,,,w3,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,9,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w2,groupchange_3,,FriendUnitDead,9,SwitchSequenceGroup,w3,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
