ENABLE,id,mst_unit_id,bonus_percentage,event_bonus_group_id,is_pick_up,release_key
e,raid87,chara_kai_00501,999,raid_kai_00001,,1
e,raid88,chara_kai_00601,999,raid_kai_00001,,1
e,raid89,chara_sur_00601,999,raid_kai_00001,,1
e,raid90,chara_sur_00701,999,raid_kai_00001,,1
e,raid91,chara_dan_00201,999,raid_kai_00001,,1
e,raid92,chara_dan_00202,999,raid_kai_00001,,1
e,raid93,chara_dan_00301,999,raid_kai_00001,,1
e,raid94,chara_sur_00401,999,raid_kai_00001,,1
e,raid95,chara_spy_00001,999,raid_kai_00001,,1
e,raid96,chara_spy_00301,999,raid_kai_00001,,1
e,raid97,chara_dos_00101,999,raid_kai_00001,,1
e,raid98,chara_jig_00401,999,raid_kai_00001,,1
e,raid99,chara_chi_00401,999,raid_kai_00001,,1
e,raid100,chara_chi_00601,999,raid_kai_00001,,1
e,raid101,chara_jig_00701,999,raid_kai_00001,,1
e,raid102,chara_jig_00601,999,raid_kai_00001,,1
